state	power	likelihood
1255	7.59375e-05	-17059.4
1260	7.59375e-05	-1439.42
1265	7.59375e-05	-2489.3
1270	7.59375e-05	-1658.21
1275	7.59375e-05	-6015.59
1280	7.59375e-05	-14473.1
1285	7.59375e-05	-2535.27
1290	7.59375e-05	-4036.86
1295	7.59375e-05	-1430.43
1300	7.59375e-05	-6763.89
1305	7.59375e-05	-1503.36
1310	7.59375e-05	-4012.37
1315	7.59375e-05	-6061.34
1320	7.59375e-05	-3341.03
1325	7.59375e-05	-1717.74
1330	7.59375e-05	-2000.47
1335	7.59375e-05	-5626.78
1340	7.59375e-05	-1646.2
1345	7.59375e-05	-9688.99
1350	7.59375e-05	-2028.48
1355	7.59375e-05	-30458
1360	7.59375e-05	-10477.6
1365	7.59375e-05	-12744
1370	7.59375e-05	-20939.8
1375	7.59375e-05	-2442.48
1380	7.59375e-05	-22332.1
1385	7.59375e-05	-8628.84
1390	7.59375e-05	-4393.22
1395	7.59375e-05	-2619.69
1400	7.59375e-05	-43257.1
1405	7.59375e-05	-6090.8
1410	7.59375e-05	-6443.94
1415	7.59375e-05	-3610.55
1420	7.59375e-05	-1670.9
1425	7.59375e-05	-3212.17
1430	7.59375e-05	-1600.85
1435	7.59375e-05	-10042.4
1440	7.59375e-05	-1746.53
1445	7.59375e-05	-6022.69
1450	7.59375e-05	-2362.46
1455	7.59375e-05	-13136.3
1460	7.59375e-05	-1550.79
1465	7.59375e-05	-11279.2
1470	7.59375e-05	-1465.62
1475	7.59375e-05	-13632.1
1480	7.59375e-05	-1608.67
1485	7.59375e-05	-24473.6
1490	7.59375e-05	-27422.4
1495	7.59375e-05	-5843.84
1500	7.59375e-05	-5843.84
1505	7.59375e-05	-3955.1
1510	7.59375e-05	-11543.6
1515	7.59375e-05	-40128.9
1520	7.59375e-05	-4289.21
1525	7.59375e-05	-1485.41
1530	7.59375e-05	-5912.48
1535	7.59375e-05	-3488.47
1540	7.59375e-05	-30906.4
1545	7.59375e-05	-11804.5
1550	7.59375e-05	-7591.83
1555	7.59375e-05	-4305.17
1560	7.59375e-05	-1851.22
1565	7.59375e-05	-1438.53
1570	7.59375e-05	-2575.15
1575	7.59375e-05	-7017.1
1580	7.59375e-05	-35523.2
1585	7.59375e-05	-1477.1
1590	7.59375e-05	-2433.41
1595	7.59375e-05	-5657.11
1600	7.59375e-05	-2305.74
1605	7.59375e-05	-1438.38
1610	7.59375e-05	-2531.18
1615	7.59375e-05	-2954.84
1620	7.59375e-05	-36748.9
1625	7.59375e-05	-53659.3
1630	7.59375e-05	-1562.22
1635	7.59375e-05	-1646.9
1640	7.59375e-05	-1470.44
1645	7.59375e-05	-10764.8
1650	7.59375e-05	-2265.4
1655	7.59375e-05	-14649.5
1660	7.59375e-05	-24090.8
1665	7.59375e-05	-17127.6
1670	7.59375e-05	-19389
1675	7.59375e-05	-3050.4
1680	7.59375e-05	-7648.44
1685	7.59375e-05	-10862.2
1690	7.59375e-05	-1881.78
1695	7.59375e-05	-8932.66
1700	7.59375e-05	-16056.7
1705	7.59375e-05	-1560.19
1710	7.59375e-05	-10195.3
1715	7.59375e-05	-2222.57
1720	7.59375e-05	-3569.47
1725	7.59375e-05	-3801.96
1730	7.59375e-05	-17315.7
1735	7.59375e-05	-4843.09
1740	7.59375e-05	-1792.44
1745	7.59375e-05	-4844.71
1750	7.59375e-05	-19432.7
1755	7.59375e-05	-7610.99
1760	7.59375e-05	-8244.01
1765	7.59375e-05	-21323
1770	7.59375e-05	-1624.39
1775	7.59375e-05	-23471.1
1780	7.59375e-05	-2508.88
1785	7.59375e-05	-2983.46
1790	7.59375e-05	-10394.1
1795	7.59375e-05	-4504.74
1800	7.59375e-05	-7903.66
1805	7.59375e-05	-3619.78
1810	7.59375e-05	-2407.22
1815	7.59375e-05	-2240.12
1820	7.59375e-05	-7077.88
1825	7.59375e-05	-1593.41
1830	7.59375e-05	-18761.1
1835	7.59375e-05	-1437.01
1840	7.59375e-05	-2000.16
1845	7.59375e-05	-10311.2
1850	7.59375e-05	-10311.2
1855	7.59375e-05	-21149.1
1860	7.59375e-05	-11038.6
1865	7.59375e-05	-5696.74
1870	7.59375e-05	-12135.8
1875	7.59375e-05	-7540.22
1880	7.59375e-05	-9827.64
1885	7.59375e-05	-21828.2
1890	7.59375e-05	-5275.9
1895	7.59375e-05	-13506.6
1900	7.59375e-05	-12645
1905	7.59375e-05	-8164.64
1910	7.59375e-05	-1429.73
1915	7.59375e-05	-28164.5
1920	7.59375e-05	-10273.5
1925	7.59375e-05	-11072.6
1930	7.59375e-05	-1775.27
1935	7.59375e-05	-42955.3
1940	7.59375e-05	-2109.4
1945	7.59375e-05	-4519.13
1950	7.59375e-05	-1928.76
1955	7.59375e-05	-2352.7
1960	7.59375e-05	-1632.79
1965	7.59375e-05	-1622.08
1970	7.59375e-05	-24196.9
1975	7.59375e-05	-9217.49
1980	7.59375e-05	-31409.9
1985	7.59375e-05	-47537.1
1990	7.59375e-05	-6002.93
1995	7.59375e-05	-6002.93
2000	7.59375e-05	-23380.8
2005	7.59375e-05	-5748.78
2010	7.59375e-05	-5128.39
2015	7.59375e-05	-3333.72
