state	power	likelihood
1255	0.443705	-1426.56
1260	0.443705	-1425.09
1265	0.443705	-1429.72
1270	0.443705	-1427.15
1275	0.443705	-1425.02
1280	0.443705	-1433.84
1285	0.443705	-1426
1290	0.443705	-1425.62
1295	0.443705	-1426.45
1300	0.443705	-1426.07
1305	0.443705	-1425.2
1310	0.443705	-1425.11
1315	0.443705	-1425.24
1320	0.443705	-1432.03
1325	0.443705	-1425.1
1330	0.443705	-1425.1
1335	0.443705	-1433.87
1340	0.443705	-1426.04
1345	0.443705	-1426.97
1350	0.443705	-1426.58
1355	0.443705	-1425.14
1360	0.443705	-1425.4
1365	0.443705	-1425.14
1370	0.443705	-1425.09
1375	0.443705	-1425.07
1380	0.443705	-1425.18
1385	0.443705	-1425.56
1390	0.443705	-1425.56
1395	0.443705	-1425.36
1400	0.443705	-1425.89
1405	0.443705	-1425.04
1410	0.443705	-1427.25
1415	0.443705	-1426.73
1420	0.443705	-1425.01
1425	0.443705	-1425.91
1430	0.443705	-1425.32
1435	0.443705	-1425.1
1440	0.443705	-1425.1
1445	0.443705	-1425.25
1450	0.443705	-1425.48
1455	0.443705	-1425.03
1460	0.443705	-1426.6
1465	0.443705	-1425.05
1470	0.443705	-1425.87
1475	0.443705	-1429.15
1480	0.443705	-1425.23
1485	0.443705	-1425.23
1490	0.443705	-1425.3
1495	0.443705	-1425.28
1500	0.443705	-1425.13
1505	0.443705	-1425.02
1510	0.443705	-1426.48
1515	0.443705	-1431.02
1520	0.443705	-1425.15
1525	0.443705	-1426.61
1530	0.443705	-1426.17
1535	0.443705	-1429.98
1540	0.443705	-1425.04
1545	0.443705	-1427.12
1550	0.443705	-1427.12
1555	0.443705	-1426.06
1560	0.443705	-1428.97
1565	0.443705	-1425.4
1570	0.443705	-1425.93
1575	0.443705	-1425.07
1580	0.443705	-1426.5
1585	0.443705	-1425.04
1590	0.443705	-1425.24
1595	0.443705	-1425.75
1600	0.443705	-1425.25
1605	0.443705	-1436.85
1610	0.443705	-1433.48
1615	0.443705	-1425.03
1620	0.443705	-1428.34
1625	0.443705	-1427.5
1630	0.443705	-1426.72
1635	0.443705	-1426.02
1640	0.443705	-1425.93
1645	0.443705	-1425.93
1650	0.443705	-1425.36
1655	0.443705	-1425.19
1660	0.443705	-1426.59
1665	0.443705	-1425.3
1670	0.443705	-1427.72
1675	0.443705	-1426.2
1680	0.443705	-1425.01
1685	0.443705	-1428.17
1690	0.443705	-1428.35
1695	0.443705	-1425.03
1700	0.443705	-1425.64
1705	0.443705	-1425.2
1710	0.443705	-1427.83
1715	0.443705	-1425.78
1720	0.443705	-1425.25
1725	0.443705	-1425.21
1730	0.443705	-1425.46
1735	0.443705	-1425.27
1740	0.443705	-1425.67
1745	0.443705	-1426.75
1750	0.443705	-1425.02
1755	0.443705	-1427
1760	0.443705	-1425.01
1765	0.443705	-1425.44
1770	0.443705	-1425.02
1775	0.443705	-1425.83
1780	0.443705	-1425.27
1785	0.443705	-1425.23
1790	0.443705	-1425.1
1795	0.443705	-1425.1
1800	0.443705	-1425.02
1805	0.443705	-1425.04
1810	0.443705	-1426.11
1815	0.443705	-1427.86
1820	0.443705	-1425.02
1825	0.443705	-1427.12
1830	0.443705	-1427.12
1835	0.443705	-1425.01
1840	0.443705	-1425.07
1845	0.443705	-1425.03
1850	0.443705	-1425.03
1855	0.443705	-1425.02
1860	0.443705	-1425.02
1865	0.443705	-1425.07
1870	0.443705	-1425.04
1875	0.443705	-1425.02
1880	0.443705	-1425.07
1885	0.443705	-1425.03
1890	0.443705	-1425.01
1895	0.443705	-1425.18
1900	0.443705	-1425.49
1905	0.443705	-1425.9
1910	0.443705	-1425.08
1915	0.443705	-1425.07
1920	0.443705	-1425.69
1925	0.443705	-1425.8
1930	0.443705	-1425.02
