state	power	likelihood
1255	0.32768	-1425.71
1260	0.32768	-1425.02
1265	0.32768	-1425.08
1270	0.32768	-1425.51
1275	0.32768	-1425.98
1280	0.32768	-1425.34
1285	0.32768	-1425.18
1290	0.32768	-1427.06
1295	0.32768	-1425.36
1300	0.32768	-1425.1
1305	0.32768	-1425.1
1310	0.32768	-1426.93
1315	0.32768	-1425.42
1320	0.32768	-1425.46
1325	0.32768	-1425.09
1330	0.32768	-1425.17
1335	0.32768	-1425.76
1340	0.32768	-1425.91
1345	0.32768	-1425.51
1350	0.32768	-1429.04
1355	0.32768	-1425.29
1360	0.32768	-1429.08
1365	0.32768	-1425.14
1370	0.32768	-1425.43
1375	0.32768	-1426.59
1380	0.32768	-1425.01
1385	0.32768	-1425.36
1390	0.32768	-1425.01
1395	0.32768	-1432.4
1400	0.32768	-1425.1
1405	0.32768	-1426.23
1410	0.32768	-1425.3
1415	0.32768	-1425.7
1420	0.32768	-1425.7
1425	0.32768	-1425.03
1430	0.32768	-1425.03
1435	0.32768	-1425.28
1440	0.32768	-1425.16
1445	0.32768	-1425.03
1450	0.32768	-1431.16
1455	0.32768	-1425.94
1460	0.32768	-1425.07
1465	0.32768	-1425.09
1470	0.32768	-1428.2
1475	0.32768	-1425.14
1480	0.32768	-1425.12
1485	0.32768	-1425.04
1490	0.32768	-1426.55
1495	0.32768	-1428.57
1500	0.32768	-1427.16
1505	0.32768	-1425.98
1510	0.32768	-1426
1515	0.32768	-1425.23
1520	0.32768	-1425.05
1525	0.32768	-1425.16
1530	0.32768	-1425.16
1535	0.32768	-1425.64
1540	0.32768	-1427.77
1545	0.32768	-1428.86
1550	0.32768	-1426.32
1555	0.32768	-1425.21
1560	0.32768	-1425.21
1565	0.32768	-1425.01
1570	0.32768	-1425.2
1575	0.32768	-1425.39
1580	0.32768	-1427.45
1585	0.32768	-1426.03
1590	0.32768	-1426.67
1595	0.32768	-1425.75
1600	0.32768	-1425.66
1605	0.32768	-1426.51
1610	0.32768	-1425.02
1615	0.32768	-1433.98
1620	0.32768	-1432.29
1625	0.32768	-1427.63
1630	0.32768	-1425.59
1635	0.32768	-1425.04
1640	0.32768	-1425.01
1645	0.32768	-1425.5
1650	0.32768	-1425.41
1655	0.32768	-1426.51
1660	0.32768	-1425.28
1665	0.32768	-1425.08
1670	0.32768	-1427.85
1675	0.32768	-1426.22
1680	0.32768	-1426.42
1685	0.32768	-1426.36
1690	0.32768	-1426.02
1695	0.32768	-1425.35
1700	0.32768	-1426.68
1705	0.32768	-1426.68
1710	0.32768	-1425.02
1715	0.32768	-1427.39
1720	0.32768	-1425.38
1725	0.32768	-1426.27
1730	0.32768	-1426.27
1735	0.32768	-1425.96
1740	0.32768	-1427.04
1745	0.32768	-1428
1750	0.32768	-1428.62
1755	0.32768	-1425.13
1760	0.32768	-1429.8
1765	0.32768	-1426.73
1770	0.32768	-1429.06
1775	0.32768	-1426.17
1780	0.32768	-1425.64
1785	0.32768	-1438.37
1790	0.32768	-1428.79
