state	power	likelihood
1255	3.125e-07	-207031
1260	3.125e-07	-25280.2
1265	3.125e-07	-109629
1270	3.125e-07	-421934
1275	3.125e-07	-248605
1280	3.125e-07	-415536
1285	3.125e-07	-151236
1290	3.125e-07	-78666.7
1295	3.125e-07	-210896
1300	3.125e-07	-192588
1305	3.125e-07	-17824.3
1310	3.125e-07	-3247.27
1315	3.125e-07	-81124.1
1320	3.125e-07	-162903
1325	3.125e-07	-162903
1330	3.125e-07	-338420
1335	3.125e-07	-2122.56
1340	3.125e-07	-88169.2
1345	3.125e-07	-160931
1350	3.125e-07	-41775.1
1355	3.125e-07	-49203.5
1360	3.125e-07	-258987
1365	3.125e-07	-465274
1370	3.125e-07	-162082
1375	3.125e-07	-191206
1380	3.125e-07	-313667
1385	3.125e-07	-288053
1390	3.125e-07	-387724
1395	3.125e-07	-437407
1400	3.125e-07	-169458
1405	3.125e-07	-10003.3
1410	3.125e-07	-433351
1415	3.125e-07	-257132
1420	3.125e-07	-160120
1425	3.125e-07	-98154.7
1430	3.125e-07	-25381.3
1435	3.125e-07	-1765.14
1440	3.125e-07	-14200.5
1445	3.125e-07	-54773.5
1450	3.125e-07	-237933
1455	3.125e-07	-181527
1460	3.125e-07	-130013
1465	3.125e-07	-367317
1470	3.125e-07	-228742
1475	3.125e-07	-48664.8
1480	3.125e-07	-165293
1485	3.125e-07	-331532
1490	3.125e-07	-90717.2
1495	3.125e-07	-135678
1500	3.125e-07	-18184.9
1505	3.125e-07	-10493.3
1510	3.125e-07	-14185.5
1515	3.125e-07	-172130
1520	3.125e-07	-172130
1525	3.125e-07	-366344
1530	3.125e-07	-89549.3
1535	3.125e-07	-26313.1
1540	3.125e-07	-368502
1545	3.125e-07	-211059
1550	3.125e-07	-414852
1555	3.125e-07	-448763
1560	3.125e-07	-205369
1565	3.125e-07	-473993
1570	3.125e-07	-348430
1575	3.125e-07	-176695
1580	3.125e-07	-203222
1585	3.125e-07	-309535
1590	3.125e-07	-234356
1595	3.125e-07	-437727
1600	3.125e-07	-437727
1605	3.125e-07	-437727
1610	3.125e-07	-253913
1615	3.125e-07	-107974
1620	3.125e-07	-178619
1625	3.125e-07	-244803
1630	3.125e-07	-86276
1635	3.125e-07	-141105
1640	3.125e-07	-59923.5
1645	3.125e-07	-176023
1650	3.125e-07	-206687
1655	3.125e-07	-237698
1660	3.125e-07	-21491.9
1665	3.125e-07	-71638.5
1670	3.125e-07	-139724
1675	3.125e-07	-168726
1680	3.125e-07	-230330
1685	3.125e-07	-445961
1690	3.125e-07	-318678
1695	3.125e-07	-122303
1700	3.125e-07	-97616.1
1705	3.125e-07	-8356.04
1710	3.125e-07	-70725.9
1715	3.125e-07	-197314
1720	3.125e-07	-350891
1725	3.125e-07	-368148
1730	3.125e-07	-248853
1735	3.125e-07	-387953
1740	3.125e-07	-253659
1745	3.125e-07	-279066
1750	3.125e-07	-244885
1755	3.125e-07	-419317
1760	3.125e-07	-419317
1765	3.125e-07	-223524
1770	3.125e-07	-357863
1775	3.125e-07	-15556.8
1780	3.125e-07	-80775.2
1785	3.125e-07	-9177.16
1790	3.125e-07	-325816
1795	3.125e-07	-317348
1800	3.125e-07	-280422
1805	3.125e-07	-478209
1810	3.125e-07	-321206
1815	3.125e-07	-4832.66
1820	3.125e-07	-165736
1825	3.125e-07	-466274
1830	3.125e-07	-380560
1835	3.125e-07	-131386
1840	3.125e-07	-20253.6
1845	3.125e-07	-121741
1850	3.125e-07	-86533.4
1855	3.125e-07	-27220.6
1860	3.125e-07	-7672.55
1865	3.125e-07	-2305.15
1870	3.125e-07	-29226.5
1875	3.125e-07	-329772
1880	3.125e-07	-275045
1885	3.125e-07	-125444
1890	3.125e-07	-31483.4
1895	3.125e-07	-2462.5
1900	3.125e-07	-6844.76
1905	3.125e-07	-7407.65
1910	3.125e-07	-3338.7
1915	3.125e-07	-56788.6
1920	3.125e-07	-93433.5
1925	3.125e-07	-106646
1930	3.125e-07	-259743
1935	3.125e-07	-274407
1940	3.125e-07	-406631
1945	3.125e-07	-244515
1950	3.125e-07	-356446
1955	3.125e-07	-356446
1960	3.125e-07	-430294
1965	3.125e-07	-406010
1970	3.125e-07	-406010
1975	3.125e-07	-370860
1980	3.125e-07	-342552
1985	3.125e-07	-264444
1990	3.125e-07	-61627.8
1995	3.125e-07	-110930
2000	3.125e-07	-342588
2005	3.125e-07	-342588
2010	3.125e-07	-267118
2015	3.125e-07	-300532
2020	3.125e-07	-293279
2025	3.125e-07	-294406
2030	3.125e-07	-303917
2035	3.125e-07	-432694
