Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
170	-4083.139	-4083.908	0.768961	0.4084634	0.165572	0.439843	0.599423	0.295749	0.210293	0.200392	0.126476	0.174216	0.0321476	0.180692	0.0402766	0.0479423	0.14599	0.0901364	0.261739	0.116059	0.0584075	0.416687	0.0569708	0.338713	0.301607	0.132587	0.227093	0.0179541	0.18805	0.740279	3.05372	2.659013
180	-4083.261	-4086.13	2.868786	0.3960278	0.134737	0.421636	0.422045	0.306019	0.168973	0.216722	0.134702	0.187611	0.0371039	0.0809768	0.0788524	0.181666	0.0779858	0.0661047	0.254527	0.111802	0.0326233	0.474692	0.0602513	0.351371	0.31562	0.121626	0.211383	0.0161455	0.178783	0.726946	3.07813	2.44903
190	-4093.363	-4090.157	-3.205873	0.3428325	0.115474	0.521925	0.588739	0.40651	0.253216	0.186693	0.0954501	0.349767	0.0621041	0.0369655	0.111419	0.178888	0.149346	0.058244	0.228091	0.0992266	0.0304107	0.519261	0.0647672	0.381766	0.257818	0.135818	0.224599	0.00940307	0.137973	0.661199	3.19143	3.056496
200	-4083.152	-4078.906	-4.245884	0.3366473	0.201611	0.6061	0.535671	0.468339	0.218228	0.234279	0.16813	0.23601	0.0284849	0.190693	0.0753849	0.118139	0.0794277	0.0667286	0.24317	0.100713	0.0176636	0.52704	0.044684	0.341894	0.313351	0.120986	0.223769	0.0087332	0.133144	0.652514	3.20561	3.160497
210	-4082.135	-4080.242	-1.893169	0.3661813	0.147315	0.499721	0.447638	0.402776	0.197114	0.227763	0.133829	0.24927	0.137729	0.0609392	0.0868865	0.202937	0.131307	0.0738849	0.227959	0.0987065	0.0701622	0.488979	0.0403089	0.349894	0.286688	0.134414	0.229004	0.0121531	0.15608	0.691929	3.13984	2.925226
220	-4082.33	-4079.038	-3.292343	0.3064358	0.165074	0.502983	0.568766	0.491912	0.246141	0.169719	0.19975	0.244133	0.105623	0.0308465	0.0227428	0.051321	0.266134	0.0971311	0.24959	0.0812946	0.0381426	0.50492	0.028922	0.330411	0.289999	0.124324	0.255267	0.00583188	0.10951	0.606454	3.2782	3.065143
230	-4080.919	-4078.799	-2.119901	0.3046777	0.116208	0.557106	0.653862	0.408432	0.209626	0.195543	0.1293	0.18447	0.105623	0.0859252	0.0178686	0.0913747	0.192561	0.0902383	0.25943	0.0892737	0.0309997	0.475663	0.0543957	0.33597	0.29821	0.134043	0.231777	0.00568242	0.108139	0.603575	3.2826	2.947899
240	-4081.003	-4078.056	-2.946928	0.3303273	0.194598	0.446788	0.522853	0.396124	0.236039	0.202539	0.144931	0.317006	0.0585553	0.212101	0.0517262	0.12918	0.118161	0.081258	0.218117	0.0792258	0.0337328	0.549205	0.0384623	0.358963	0.282504	0.123527	0.235006	0.00807493	0.128201	0.643389	3.22034	3.030602
250	-4089.558	-4085.751	-3.807794	0.3357157	0.189402	0.458822	0.419858	0.423167	0.276373	0.265504	0.146223	0.361744	0.0159249	0.13903	0.103906	0.18523	0.131504	0.0484499	0.284963	0.109045	0.0222027	0.442426	0.0929126	0.34156	0.313474	0.115497	0.229468	0.00863449	0.132415	0.651185	3.20777	3.116688
260	-4083.544	-4081.795	-1.749171	0.3283993	0.169377	0.462312	0.533708	0.423167	0.182934	0.269883	0.123477	0.237907	0.0509165	0.0753817	0.0750033	0.133145	0.173615	0.0412826	0.255149	0.102248	0.0623327	0.497274	0.0417131	0.345357	0.306151	0.122108	0.226384	0.00787944	0.126692	0.640553	3.22488	2.910826
270	-4082.999	-4081.337	-1.661928	0.3227408	0.130855	0.353433	0.511234	0.427797	0.178451	0.199249	0.131883	0.234776	0.051914	0.175146	0.176763	0.161938	0.168661	0.0999659	0.227046	0.0669409	0.0402936	0.522937	0.0428163	0.342531	0.286623	0.127241	0.243605	0.00732025	0.122262	0.632089	3.23833	2.902102
280	-4078.868	-4077.807	-1.061291	0.3360353	0.124214	0.479997	0.494684	0.386957	0.233429	0.269799	0.12389	0.215452	0.0539867	0.170129	0.0779608	0.0921831	0.119355	0.0771121	0.220784	0.0907161	0.0557944	0.534444	0.0211496	0.324785	0.305401	0.129376	0.240438	0.00866829	0.132665	0.651641	3.20703	2.842038
290	-4082.755	-4082.372	-0.3829076	0.3568763	0.165352	0.314981	0.484769	0.386957	0.221921	0.191557	0.126894	0.247872	0.038488	0.16569	0.121836	0.0619353	0.245946	0.0849443	0.258773	0.0924152	0.0519994	0.470063	0.0418052	0.310299	0.307296	0.132571	0.249833	0.011016	0.148893	0.680058	3.16003	2.774199
300	-4086.915	-4084.177	-2.737824	0.3171269	0.157295	0.623363	0.378075	0.311245	0.186689	0.191441	0.205278	0.308863	0.0321669	0.19305	0.106279	0.177357	0.13859	0.0752369	0.248249	0.110874	0.0380099	0.491857	0.0357729	0.356828	0.279128	0.123712	0.240332	0.00678706	0.117867	0.623475	3.25187	3.009691
