Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
170	-4093.861	-4090.957	-2.904695	0.4043629	0.200618	0.588991	0.524795	0.454738	0.109871	0.271086	0.13808	0.240317	0.0340328	0.0890718	0.1367	0.131475	0.106602	0.327352	0.308938	0.14135	0.22236	0.127866	0.163386	0.0952951	0.00484659	0.561161	0.0474454	0.0173488	0.185008	0.735959	3.06168	3.026378
180	-4085.704	-4082.355	-3.349203	0.3052167	0.159576	0.434429	0.511211	0.554846	0.230437	0.281404	0.115066	0.230051	0.0612224	0.110411	0.161113	0.0706483	0.150415	0.336682	0.291711	0.144418	0.227188	0.0894912	0.185117	0.0839694	0.00521827	0.574015	0.0621899	0.00572801	0.108559	0.60446	3.28125	3.070829
190	-4086.152	-4079.066	-7.086216	0.3142542	0.172969	0.608339	0.608004	0.534442	0.207288	0.190891	0.199107	0.265255	0.0332585	0.156856	0.311695	0.0632916	0.0931338	0.333921	0.281681	0.143234	0.241164	0.0897842	0.218837	0.0842444	0.00523535	0.559665	0.0422333	0.00652262	0.11562	0.618982	3.25888	3.44453
200	-4087.249	-4086.996	-0.2523931	0.3052353	0.14554	0.411099	0.5098	0.428467	0.17868	0.148314	0.179684	0.18431	0.0681412	0.10242	0.137512	0.172784	0.0943965	0.324749	0.28556	0.145206	0.244485	0.0795525	0.17386	0.0816379	0.00708762	0.592891	0.064971	0.00572959	0.108574	0.604491	3.28121	2.761148
210	-4087.477	-4085.126	-2.351488	0.289715	0.168935	0.564303	0.468892	0.32594	0.252765	0.191555	0.190309	0.304086	0.0226746	0.121638	0.223074	0.0927037	0.0441834	0.347192	0.305294	0.139818	0.207697	0.0800744	0.175001	0.0821735	0.00713412	0.59678	0.0588365	0.00449817	0.0965218	0.578119	3.32086	2.971058
220	-4091.05	-4084.415	-6.63505	0.3001429	0.211629	0.550515	0.553932	0.649137	0.344053	0.187093	0.1664	0.265767	0.00555879	0.0728032	0.219484	0.0917683	0.0812725	0.315229	0.320241	0.146663	0.217866	0.0827225	0.193556	0.0908864	0.00789054	0.543658	0.0812863	0.0053069	0.104606	0.596043	3.29404	3.399414
230	-4085.946	-4086.952	1.006803	0.3733491	0.168578	0.48277	0.569171	0.308273	0.214113	0.216533	0.130524	0.221243	0.0038925	0.0340669	0.179632	0.0359245	0.0705069	0.328093	0.298819	0.150107	0.222981	0.0842326	0.187892	0.100075	0.00868831	0.529608	0.0895047	0.0130648	0.161585	0.700752	3.1246	2.635228
240	-4088.574	-4089.343	0.7690725	0.3944152	0.22921	0.448633	0.527121	0.339972	0.187021	0.180576	0.129996	0.170591	0.0273051	0.0874908	0.141344	0.0742904	0.115452	0.325446	0.304477	0.148895	0.221182	0.103149	0.171731	0.0954086	0.0498917	0.533249	0.0465708	0.015917	0.177572	0.725166	3.08135	2.659001
250	-4091.126	-4086.04	-5.086186	0.3602312	0.16234	0.504311	0.50464	0.522367	0.317431	0.189074	0.148843	0.371151	0.0655571	0.193151	0.186363	0.0578159	0.0214842	0.315573	0.295365	0.144378	0.244684	0.100081	0.22678	0.092571	0.0448228	0.480564	0.0551802	0.0114198	0.151489	0.684394	3.1527	3.244527
260	-4079.466	-4082.223	2.757495	0.4040212	0.14918	0.352736	0.447071	0.332555	0.195658	0.172067	0.132838	0.20054	0.0402306	0.0918034	0.196267	0.0807303	0.068483	0.324617	0.298434	0.129723	0.247226	0.091526	0.268023	0.109512	0.0409912	0.439484	0.0504632	0.0172988	0.184754	0.735596	3.06235	2.460159
