Iteration	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-4273.741	-4289.299	15.5577	0.104566	0.223453	0.221321	0.150708	0.11553	0.126517	0.100833	0.110168	0.0413421	0.01236	0.0499595	0.0732365	0.0804041	0.195932	0.251783	0.158252	0.0581541	0.305512	0.0303663	0.27088	0.281269	0.162074	0.285777	1.410397
210	-4272.523	-4287.452	14.92895	0.115689	0.184977	0.225311	0.224337	0.165464	0.126157	0.0905902	0.0979366	0.0305357	0.0193453	0.0610548	0.0566168	0.0752579	0.185898	0.307137	0.132262	0.0520463	0.289866	0.0327911	0.271393	0.28799	0.14577	0.294847	1.473272
220	-4268.297	-4284.445	16.14762	0.0942625	0.167844	0.223364	0.187607	0.144831	0.117313	0.0917953	0.104584	0.0250829	0.0243612	0.0840311	0.0306328	0.0556959	0.181663	0.278511	0.14607	0.050607	0.303256	0.0398925	0.266987	0.277451	0.166386	0.289176	1.351405
230	-4271.742	-4286.394	14.65118	0.105584	0.222784	0.226934	0.231726	0.118643	0.100832	0.102007	0.133444	0.0441195	0.0426353	0.0638553	0.0633696	0.0451158	0.23147	0.24521	0.123882	0.0582395	0.306642	0.034556	0.256113	0.279523	0.161511	0.302853	1.501049
240	-4280.923	-4295.581	14.6573	0.145796	0.175255	0.208989	0.180802	0.140316	0.103828	0.0777421	0.145541	0.0243307	0.0353535	0.0771086	0.092842	0.0925335	0.213527	0.209896	0.136376	0.0493456	0.319493	0.0713628	0.28463	0.256033	0.164517	0.294819	1.500438
250	-4268.62	-4283.163	14.54319	0.115758	0.192453	0.224934	0.207532	0.131011	0.125782	0.113095	0.140318	0.0493393	0.0226676	0.0669104	0.0633664	0.058682	0.205879	0.262014	0.141802	0.0414342	0.309625	0.0392463	0.285015	0.267764	0.179893	0.267328	1.511848
260	-4272.807	-4287.558	14.75014	0.114848	0.168324	0.220987	0.203906	0.132728	0.108547	0.115876	0.146345	0.0353542	0.0309991	0.114859	0.0529894	0.0453897	0.168082	0.284756	0.148711	0.0560316	0.300398	0.0420209	0.277891	0.283785	0.156207	0.282117	1.491153
270	-4275.151	-4289.814	14.66268	0.0912197	0.171315	0.245189	0.222929	0.192783	0.119093	0.0952469	0.12348	0.010769	0.036082	0.069212	0.0710641	0.0515173	0.178086	0.237943	0.125804	0.0826378	0.349069	0.0264606	0.275924	0.266876	0.175977	0.281223	1.4999
280	-4270.089	-4284.637	14.54846	0.106375	0.204177	0.258068	0.241387	0.153679	0.116099	0.0799436	0.124289	0.0411459	0.024201	0.0782558	0.0340377	0.0496637	0.229278	0.25985	0.121522	0.0467257	0.314459	0.028165	0.271247	0.273812	0.159324	0.295617	1.511321
290	-4269.656	-4284.947	15.29119	0.11803	0.18212	0.262594	0.217052	0.120871	0.123456	0.0953436	0.111062	0.0193154	0.0366954	0.0703241	0.0481049	0.0320797	0.203455	0.259143	0.125372	0.049742	0.334759	0.027529	0.271685	0.277856	0.157567	0.292892	1.437048
