Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	bl[98]	bl[99]	bl[100]	bl[101]	bl[102]	bl[103]	bl[104]	bl[105]	bl[106]	bl[107]	bl[108]	bl[109]	bl[110]	bl[111]	bl[112]	bl[113]	bl[114]	bl[115]	bl[116]	bl[117]	bl[118]	bl[119]	bl[120]	bl[121]	bl[122]	bl[123]	bl[124]	bl[125]	gamma	kappa	TL
2180	-11147.86	-11156.87	9.00967	0.125966	0.0452451	0.00770269	0.00183543	0.155962	0.0587729	0.0935767	0.0636512	0.0409081	0.0454729	0.0853475	0.00628413	0.0226313	0.160942	0.00150151	0.0396102	0.147031	0.0281196	0.014574	0.0597887	0.122029	0.06289	0.0648373	0.0515288	0.169214	0.0113922	0.012812	0.0375872	0.0617217	0.0219936	0.0391157	0.0529077	0.131468	0.014967	0.00968195	0.0441401	0.00945214	0.0569392	0.0128662	0.0399302	0.0837721	0.100067	0.0119818	0.0611426	0.00904422	0.0503279	0.012151	0.0750361	0.0230253	0.00284332	0.048053	0.047328	0.0173596	0.0293743	0.0389604	0.0114145	0.0443757	0.0238489	0.0197599	0.0561523	0.00545879	0.0471722	0.0380769	0.0605942	0.00353186	0.00281984	0.00871359	0.00925077	0.0118702	0.00217167	0.0381579	0.00628143	0.00162755	0.0192248	0.00788749	0.00361709	0.0128253	0.0135409	0.00674467	0.0425607	0.00363379	0.00843827	0.0226449	0.0193938	0.000875522	0.000822339	0.0376434	0.0059465	0.00307577	0.145497	0.0175922	0.0020971	0.0581444	0.00196559	0.00501737	0.0118329	0.0380788	0.00119911	0.0177523	0.0188241	0.00479329	0.0162983	0.0692548	0.113042	0.00778243	0.0103531	0.139622	0.002991	0.0142966	0.00111992	0.0124109	0.0194715	0.00270639	0.00305396	0.0109257	0.00188978	0.00647563	0.0196742	0.0068586	0.0164145	0.0076345	0.0253064	0.0406653	0.0119327	0.0406061	0.4798721	4.537256	4.366598
2190	-11131.43	-11138.98	7.546099	0.164041	0.0548752	0.00472713	0.00462075	0.181555	0.0587729	0.0813754	0.0327572	0.0577943	0.03668	0.0670919	0.00995127	0.0258226	0.258514	0.000623831	0.041354	0.140862	0.0296671	0.0132825	0.0847606	0.122029	0.0838755	0.0698645	0.0444205	0.144134	0.0206958	0.0173554	0.0301479	0.0328403	0.0279138	0.01253	0.0370301	0.139812	0.0162779	0.00754768	0.0307387	0.00461508	0.0712011	0.0120573	0.033874	0.101205	0.0745382	0.0073368	0.0657606	0.0166939	0.0475738	0.0104364	0.0684172	0.0223806	0.00244607	0.0772393	0.0605683	0.0145511	0.0369726	0.0264008	0.00944752	0.0397572	0.0325432	0.021178	0.03441	0.00222513	0.0609469	0.0303526	0.0562441	0.00485621	0.00350407	0.00961068	0.0113797	0.0137179	0.00443148	0.0477792	0.0140487	0.00267512	0.0192884	0.0126866	0.00259085	0.0147506	0.0257374	0.00558259	0.0350123	0.00402263	0.0189166	0.0317902	0.0177584	0.00260645	0.000747051	0.0356758	0.010239	0.00205435	0.180911	0.0124938	0.00062367	0.0435048	0.00266993	0.00192977	0.00969223	0.0347085	0.00171063	0.00949253	0.021903	0.00350426	0.0190126	0.0641504	0.10994	0.0180006	0.0043386	0.139622	0.0107034	0.0102463	0.00369763	0.0110864	0.0149112	0.000466575	0.00557729	0.0147841	0.00175798	0.00947143	0.0175899	0.00644485	0.0189966	0.00500126	0.0114294	0.0681334	0.0136942	0.0334141	0.4637751	4.353577	4.514792
2200	-11143.61	-11151.4	7.785354	0.131291	0.0654473	0.00646035	0.00826517	0.128822	0.0615455	0.0628846	0.0344224	0.042225	0.0522287	0.0665979	0.0104744	0.0389381	0.334904	0.00043489	0.0286002	0.109183	0.0217643	0.0204743	0.080105	0.103218	0.0563959	0.0814173	0.0458395	0.141127	0.0178495	0.0169349	0.0225031	0.0430275	0.028795	0.0145517	0.0410165	0.122407	0.0221714	0.00713138	0.0347644	0.0010725	0.0696261	0.00851674	0.0325452	0.0679767	0.139844	0.00711659	0.0497295	0.0149913	0.0379605	0.0190148	0.0655093	0.0193735	0.00314734	0.0783136	0.0473525	0.00614472	0.0287588	0.0358108	0.0111085	0.0543155	0.0282302	0.0205282	0.0431815	0.00238194	0.0461637	0.0387873	0.0819884	0.00393478	0.00565992	0.0111026	0.0171808	0.00571615	0.00228658	0.0407902	0.0088899	0.0027468	0.0298966	0.0129704	0.0086184	0.0107425	0.0196406	0.0113585	0.0518768	0.00190422	0.0185593	0.0293367	0.0214395	0.00150123	0.00106691	0.0224373	0.0121716	0.00121432	0.150234	0.0289238	0.000519635	0.0595367	0.00216846	0.00245421	0.00846213	0.0371598	0.0013191	0.00924102	0.0199631	0.0021279	0.0115937	0.0486464	0.134557	0.00411119	0.0090223	0.16413	0.00901236	0.027547	0.0028779	0.0169436	0.0261839	0.000956885	0.0061798	0.03109	0.00268135	0.0111651	0.0140437	0.00715438	0.0075541	0.00293704	0.0112518	0.0477504	0.0115014	0.0410516	0.4724001	4.559895	4.488803
2210	-11152.85	-11161.02	8.168092	0.137311	0.0516813	0.00494116	0.00495453	0.148134	0.0586259	0.0509282	0.0276389	0.0403324	0.0427384	0.0558069	0.0186441	0.0218987	0.0939959	0.000747314	0.0277345	0.1096	0.0258579	0.00508221	0.10999	0.0884272	0.059144	0.0906961	0.0406028	0.141426	0.0140535	0.0131412	0.0306731	0.0407605	0.0201632	0.0170332	0.0335885	0.129465	0.0093536	0.007073	0.0481463	0.00205437	0.0874724	0.0186562	0.0376325	0.0914743	0.145761	0.00467803	0.0617472	0.0307801	0.0469868	0.0187291	0.0791504	0.0236273	0.00317458	0.111288	0.0740284	0.00982294	0.0340463	0.0397258	0.0101015	0.0424333	0.0293346	0.022012	0.0456145	0.00388987	0.0465521	0.0415834	0.0969729	0.00527598	0.00489484	0.00718202	0.0166963	0.00469086	0.00762676	0.0613815	0.0185065	0.00140448	0.0241678	0.0115715	0.00838008	0.0115547	0.0138669	0.0067456	0.0754691	0.00136824	0.0196117	0.0197381	0.0203787	0.00603015	0.00109006	0.0484613	0.0176649	0.00196738	0.14737	0.0192305	0.0011075	0.0483123	0.00186531	0.00580455	0.00574424	0.0262754	0.00461653	0.0125862	0.0230104	0.00214387	0.0277687	0.0727296	0.097168	0.00331027	0.0122686	0.172367	0.00673134	0.021058	0.0029198	0.0268825	0.0171091	0.00146376	0.00382838	0.021387	0.00341502	0.00496784	0.0125525	0.00779473	0.00950136	0.00209594	0.00762747	0.0679278	0.0107771	0.0425211	0.4745757	4.644341	4.449685
2220	-11144.03	-11152.99	8.966704	0.134568	0.0478587	0.00373441	0.00269612	0.174527	0.0725838	0.0770613	0.0336305	0.0563261	0.0458502	0.0407867	0.0135257	0.0144101	0.102039	0.00164594	0.0341794	0.123915	0.045108	0.00690787	0.0871274	0.110882	0.0850372	0.0760113	0.054227	0.0977091	0.0100622	0.0169456	0.038863	0.0479373	0.0124185	0.00919437	0.0415054	0.157217	0.0110464	0.0078578	0.0443067	0.0119499	0.0550481	0.0151556	0.0354438	0.107388	0.108104	0.00494401	0.0666941	0.0441507	0.0418245	0.0109662	0.105855	0.0210742	0.00336421	0.127466	0.0615821	0.0153862	0.0609283	0.0375949	0.00961372	0.046883	0.0280691	0.0239231	0.0425101	0.00382829	0.054581	0.0268437	0.0733764	0.00238558	0.0126764	0.00543514	0.00842678	0.0148344	0.0133632	0.0409474	0.0153315	0.000897946	0.0226123	0.00573119	0.00692914	0.00784028	0.0166821	0.00772446	0.0370689	0.000811077	0.00690485	0.0333218	0.0193838	0.00529629	0.000515593	0.0310275	0.00996617	0.00333029	0.149064	0.0170856	0.000366011	0.0187932	0.00908214	0.00241273	0.0175102	0.0261181	0.0016917	0.014296	0.0274138	0.00118934	0.0137805	0.0647613	0.113076	0.0012823	0.0103791	0.120487	0.0121989	0.00850188	0.0040872	0.0167907	0.0244727	0.000942609	0.00274001	0.020094	0.00218908	0.00359831	0.0299775	0.00768292	0.00816596	0.00708586	0.0102105	0.045252	0.0151437	0.0282063	0.4638592	4.644341	4.369824
2230	-11154.75	-11163.46	8.713745	0.175518	0.0639696	0.0125449	0.0017579	0.12869	0.0610704	0.0750628	0.0273747	0.0620148	0.0448968	0.0659129	0.0150819	0.0271476	0.169339	0.00137745	0.0409206	0.112296	0.0528847	0.0243114	0.100576	0.130365	0.0475547	0.0568838	0.0635906	0.132347	0.0210038	0.0121498	0.0227835	0.0463437	0.00810692	0.00288398	0.0327934	0.149063	0.00623525	0.0107287	0.0452931	0.00425789	0.0534522	0.00919842	0.0395966	0.0642688	0.094712	0.00579226	0.0496288	0.0292118	0.0291355	0.0167193	0.0570941	0.0153004	0.00507056	0.127052	0.0571578	0.0108208	0.0484253	0.0282887	0.00911765	0.0425846	0.0536931	0.0265066	0.0452539	0.00432063	0.0519067	0.0361413	0.0675316	0.0101102	0.0124196	0.00882961	0.00680781	0.0220549	0.00719758	0.0594736	0.00820907	0.00785707	0.0317493	0.014441	0.00358236	0.0145601	0.0247869	0.00331746	0.0379848	0.00204961	0.0117242	0.0351888	0.0178342	0.00405961	0.00116121	0.0413999	0.00859273	0.00318509	0.136456	0.0195542	0.00103663	0.0155261	0.00350155	0.000295776	0.0181843	0.033665	0.0015028	0.00423165	0.0269233	0.000305241	0.0194599	0.0476293	0.0988855	0.00965484	0.00886278	0.147029	0.0156545	0.0143753	0.00326466	0.014414	0.0179858	0.00102648	0.00247872	0.0139584	0.0017301	0.00999993	0.0213026	0.00735529	0.0129312	0.0132816	0.0117887	0.0684358	0.0145414	0.0282224	0.4995427	4.442118	4.397142
2240	-11156.78	-11166.68	9.896918	0.122886	0.0375715	0.00577848	0.00264307	0.15714	0.0774731	0.0729353	0.0345138	0.048376	0.0543154	0.0714761	0.0184093	0.0348945	0.149945	0.00151672	0.0680742	0.133135	0.0528847	0.0106154	0.0694184	0.0987453	0.0839004	0.0546684	0.0518669	0.149356	0.0119611	0.0228312	0.0293157	0.048141	0.0112254	0.00250501	0.0325493	0.0982773	0.00861539	0.017338	0.0744742	0.0091972	0.0429947	0.0111718	0.0380591	0.0782734	0.0958013	0.00478174	0.0545707	0.0231189	0.0335556	0.0126499	0.0705111	0.0181615	0.003195	0.117251	0.0583991	0.00816153	0.04796	0.0393577	0.00763585	0.0373686	0.0386515	0.0216265	0.0377336	0.00743503	0.0344225	0.0365851	0.0753554	0.0116399	0.0133337	0.0127484	0.00718637	0.0173314	0.0118561	0.0391138	0.014571	0.00349398	0.0237174	0.0102163	0.00393552	0.00507388	0.0127013	0.00567344	0.0389448	0.00287961	0.0103278	0.0414209	0.0326582	0.00509029	0.00151217	0.0328806	0.0102302	0.00206399	0.115465	0.00961228	0.000291792	0.0192152	0.0128202	0.00139797	0.0166745	0.0281339	0.00532441	0.00604558	0.0190934	0.00137235	0.0145489	0.0617377	0.107502	0.00599469	0.00965522	0.126987	0.0120942	0.023654	0.0061436	0.0236597	0.0340618	0.00153518	0.00245158	0.0143735	0.00168013	0.00920586	0.0188894	0.00307673	0.0159794	0.00192108	0.00884597	0.0460132	0.00623397	0.0327743	0.467265	4.442118	4.278825
2250	-11150.31	-11161.33	11.01628	0.12445	0.0490003	0.00556537	0.0017292	0.200526	0.076851	0.0692869	0.0344528	0.0342346	0.0494436	0.0258269	0.0154616	0.0321444	0.0456756	0.00945513	0.0338951	0.127145	0.0541892	0.0109964	0.0642363	0.110494	0.073029	0.0539345	0.0563838	0.132483	0.0204328	0.0185733	0.0126603	0.0349824	0.0100471	0.000805389	0.0381171	0.114966	0.0129387	0.00990092	0.0353129	0.012177	0.0412076	0.0125196	0.0350002	0.0994051	0.110785	0.00196286	0.0541773	0.0303998	0.0524235	0.0140201	0.0643364	0.0248811	0.00631429	0.0985017	0.0940113	0.0126798	0.0453587	0.0315889	0.00457504	0.047036	0.0246306	0.0224501	0.0429566	0.0171981	0.0336454	0.0348205	0.0654414	0.0107915	0.0108914	0.0072326	0.00454026	0.0192028	0.00741731	0.0516346	0.0117665	0.00446306	0.0256356	0.00427524	0.0015774	0.00936432	0.0218504	0.00794717	0.0361541	0.00635047	0.00436576	0.0273354	0.0243521	0.00613893	0.00357313	0.0307741	0.0145511	0.00140816	0.162265	0.0193553	0.000684969	0.0362786	0.00931257	0.00237511	0.00605806	0.0228629	0.0036749	0.00950289	0.02086	0.000862312	0.0147192	0.0527889	0.119061	0.00371918	0.00384191	0.157345	0.00400369	0.0117331	0.00638608	0.0153007	0.0144157	0.00407049	0.00500925	0.0154109	0.00129863	0.00827353	0.0209719	0.00442467	0.0169926	0.00857294	0.0178727	0.0352508	0.0130797	0.0293294	0.4946525	4.562052	4.165689
2260	-11155.06	-11164.32	9.253608	0.129774	0.0612657	0.00468783	0.00149706	0.145549	0.0559066	0.0621628	0.0390366	0.0377786	0.0361487	0.0372587	0.012494	0.0155606	0.0572394	0.00285375	0.0389899	0.120938	0.046183	0.0132032	0.0763595	0.128328	0.0737161	0.0835616	0.0411627	0.128703	0.00929215	0.0203907	0.0243944	0.0585831	0.0083719	0.00136106	0.0573011	0.135267	0.00646468	0.015529	0.0354632	0.0227614	0.0439656	0.00680895	0.035273	0.0937764	0.109901	0.00769886	0.0614642	0.0417612	0.0479976	0.00651278	0.0607173	0.0342848	0.00508476	0.112333	0.0752347	0.0131067	0.0428743	0.0329583	0.0046282	0.0483046	0.0292562	0.0192223	0.0457158	0.00562311	0.0406852	0.0258433	0.0640054	0.0128059	0.0116884	0.009344	0.00360967	0.00657103	0.00751699	0.0289003	0.00903504	0.000692749	0.0248705	0.0145076	0.00639516	0.00851197	0.0394166	0.00247915	0.0441556	0.00465145	0.00447706	0.0278035	0.0227344	0.000888734	0.00690632	0.0336307	0.009101	0.000557948	0.177876	0.0183639	0.0027084	0.0337148	0.00437015	0.00391144	0.00476736	0.0237083	0.00324613	0.00892617	0.0289265	0.000805251	0.00449766	0.07169	0.171999	0.00741825	0.00997047	0.17798	0.00883671	0.0139805	0.0143141	0.0247998	0.019968	0.00389953	0.00390716	0.0352375	0.000708745	0.00958705	0.0122405	0.00146185	0.0118898	0.0079767	0.00930107	0.054641	0.0107919	0.041708	0.4788025	4.562052	4.341956
2270	-11153.48	-11163.15	9.677059	0.118556	0.0515503	0.00708895	0.00399764	0.144266	0.060086	0.0537186	0.0278723	0.0499008	0.056424	0.0315438	0.00974668	0.020908	0.0515907	0.00378422	0.0425382	0.120938	0.0319298	0.00694154	0.086249	0.157394	0.0738692	0.0734351	0.0591514	0.149649	0.0209141	0.013683	0.0154791	0.0337028	0.00539483	0.00184996	0.024914	0.132706	0.0063529	0.00784531	0.0291755	0.00819763	0.0526399	0.00356757	0.0587242	0.0964991	0.11727	0.00475713	0.0593838	0.0281733	0.0411865	0.009004	0.0722416	0.0139138	0.00492797	0.136267	0.0618998	0.00935796	0.0408558	0.0329583	0.0118438	0.0534227	0.0264913	0.018883	0.0353652	0.0380528	0.0678878	0.0360469	0.0886538	0.0166856	0.00690904	0.0136254	0.00458767	0.00938278	0.00363507	0.0340902	0.00618609	0.0038134	0.0213303	0.00747612	0.00747074	0.010735	0.0137884	0.00334055	0.0469781	0.00411616	0.0117287	0.0299014	0.0182974	0.00234742	0.00956584	0.0576482	0.0121453	0.000487223	0.165861	0.0365198	0.00160827	0.0463456	0.00413789	0.000988172	0.00576491	0.0328907	0.00276012	0.0141084	0.012515	0.0017186	0.00609161	0.0321972	0.148446	0.0166106	0.014163	0.124025	0.00683768	0.0121921	0.0138752	0.0137665	0.00932663	0.0016913	0.00765709	0.0199053	0.00246264	0.00837001	0.0232184	0.00205812	0.0154699	0.0106964	0.0113529	0.062371	0.0102793	0.0314373	0.4666457	4.562052	4.299611
2280	-11142.18	-11151.97	9.785324	0.127424	0.0463871	0.00527552	0.00299788	0.144266	0.0730714	0.0821333	0.0420255	0.0510621	0.0367169	0.0394376	0.0165595	0.0204587	0.0736663	0.00554988	0.0396974	0.125648	0.0537236	0.00865109	0.0639957	0.10641	0.075146	0.0498346	0.0580766	0.131376	0.0159694	0.0102438	0.0295707	0.0424427	0.0193123	0.00151534	0.0483183	0.114742	0.00594521	0.0147655	0.0521496	0.00635049	0.0535715	0.0143973	0.0329832	0.096368	0.0945595	0.00344874	0.0554722	0.0250815	0.0424058	0.00951078	0.0639371	0.00674017	0.00282704	0.0895191	0.0675485	0.00912243	0.0454916	0.0360619	0.0183764	0.0504736	0.0376138	0.0187974	0.0435572	0.069408	0.0686579	0.0301376	0.0561117	0.00878689	0.00942064	0.0061216	0.00597631	0.0201279	0.0101994	0.0557051	0.00718042	0.00228136	0.0309858	0.00222612	0.00235794	0.00580328	0.0140736	0.00339666	0.0313176	0.00230953	0.0165108	0.0364811	0.016913	0.00189359	0.00478028	0.0274549	0.00401903	0.00072117	0.0993076	0.0196898	0.00139363	0.0628019	0.00425739	0.00080415	0.0139452	0.0337854	0.00879629	0.0171439	0.024825	0.00231851	0.0118245	0.0646031	0.125015	0.0120404	0.0181772	0.158577	0.0053865	0.0133421	0.00487027	0.0209867	0.0104886	0.00534177	0.00422889	0.0272916	0.00280011	0.00649432	0.0303318	0.00604127	0.0250704	0.0142948	0.00893472	0.0659821	0.0110831	0.0384647	0.4636293	4.352598	4.290879
2290	-11156.28	-11166.16	9.885645	0.1056	0.058552	0.00737109	0.00933734	0.151767	0.0436073	0.0766629	0.0396998	0.0459777	0.0297639	0.0857414	0.0141167	0.0252538	0.0422643	0.00985197	0.0450461	0.107154	0.0416852	0.00970407	0.0788624	0.111802	0.0558729	0.0783749	0.0524358	0.154097	0.030208	0.00704626	0.0265651	0.0290499	0.0120925	0.0054236	0.0593399	0.138724	0.00626871	0.0204818	0.0442733	0.00471976	0.0723538	0.0116324	0.0235776	0.0766181	0.102677	0.00435711	0.0658706	0.0270551	0.0482018	0.00818095	0.0612608	0.0205264	0.00142962	0.0659804	0.063831	0.0180627	0.0464675	0.0394008	0.00868453	0.0582449	0.0435845	0.0235501	0.0246629	0.0951712	0.0468267	0.0308316	0.089574	0.00705904	0.0132058	0.00918068	0.00365339	0.0176669	0.00602114	0.0816552	0.0128754	0.00648394	0.0279452	0.00949487	0.00236396	0.0116184	0.0150214	0.00448307	0.0372403	0.00722786	0.0100176	0.0235919	0.0194282	0.00245147	0.0104268	0.0254419	0.00626003	0.00127348	0.0837636	0.00924426	0.00257496	0.051111	0.00333719	0.000988733	0.016683	0.0226636	0.010779	0.0138156	0.0209392	0.0019651	0.0097741	0.0566159	0.120525	0.0143692	0.0142534	0.121068	0.00421423	0.00990241	0.00155132	0.0153809	0.0146158	0.012021	0.00901209	0.0315071	0.00365373	0.00760871	0.0170566	0.00283407	0.0159963	0.00426997	0.0092084	0.0661022	0.0172511	0.0486937	0.4901362	4.352598	4.280847
2300	-11147.78	-11156.99	9.210225	0.11502	0.0433164	0.00572771	0.00664892	0.138954	0.0520815	0.104748	0.034386	0.0333995	0.0429546	0.0488368	0.0187993	0.027545	0.312404	0.00673534	0.0252186	0.111572	0.0325771	0.0185525	0.0844833	0.116744	0.0546405	0.0667233	0.062653	0.118189	0.0192035	0.0105881	0.026999	0.0370542	0.013335	0.00554944	0.0314897	0.112892	0.00419172	0.0125146	0.0548729	0.00298638	0.0634066	0.00929445	0.0280973	0.0793002	0.106102	0.00570922	0.0597764	0.013088	0.0338945	0.0125122	0.0583914	0.0119408	0.00502793	0.103043	0.0770677	0.0225986	0.0511577	0.0275767	0.00764808	0.0572262	0.0358045	0.029216	0.0266787	0.0850433	0.0435982	0.0405006	0.0869007	0.00616182	0.0116114	0.0160032	0.00735737	0.0221925	0.017315	0.0331755	0.0109007	0.00305263	0.0124885	0.00553791	0.00138955	0.00630916	0.0231021	0.00111381	0.0335955	0.00162256	0.00578196	0.0263309	0.018832	0.00286975	0.0107451	0.0182786	0.0110627	0.0015764	0.104362	0.00991999	0.00395066	0.0334078	0.00691463	0.00287454	0.0163131	0.0234157	0.00186828	0.0197697	0.0261367	0.00475008	0.0208482	0.0605984	0.0860271	0.0111709	0.0143162	0.141733	0.00722975	0.0053341	0.00294848	0.0155203	0.0194621	0.00485551	0.00609486	0.0205136	0.00161929	0.00514861	0.0128847	0.00633163	0.020834	0.00290898	0.0068143	0.0548087	0.0108073	0.051506	0.4921604	4.431929	4.347596
2310	-11145.44	-11153.68	8.240893	0.143507	0.0787141	0.0101691	0.0100177	0.179007	0.0454803	0.0664894	0.0318886	0.0377472	0.0459779	0.0450892	0.0153628	0.021245	0.154937	0.00196623	0.0423451	0.116633	0.0461383	0.010885	0.0958888	0.149017	0.0804964	0.0686557	0.0761742	0.168687	0.0221938	0.00791318	0.0295593	0.0303461	0.0122715	0.00510113	0.0407608	0.132942	0.0087325	0.00463701	0.0361767	0.00484539	0.054152	0.011803	0.0391176	0.0838447	0.0947765	0.00135309	0.0803922	0.040011	0.034338	0.00966156	0.0858763	0.0182497	0.00504414	0.104992	0.0607888	0.0129906	0.0413819	0.0414639	0.00962322	0.0418787	0.0242311	0.025353	0.0446506	0.0617366	0.0428346	0.0337749	0.0699359	0.0130032	0.00588777	0.0132129	0.00717767	0.0163056	0.0166807	0.0405316	0.0133172	0.00150641	0.0272443	0.00537399	0.00151167	0.00985893	0.0205508	0.000683861	0.0602244	0.00248319	0.00477666	0.0283595	0.0242558	0.00653197	0.0026163	0.0384694	0.00991556	0.00239533	0.0830241	0.0105838	0.00187217	0.0336739	0.00314641	0.00139901	0.0245933	0.0252333	0.00165434	0.0106006	0.0182033	0.00490282	0.0163278	0.0521748	0.112808	0.00500097	0.00766568	0.157618	0.0106304	0.0123446	0.016204	0.0217432	0.0257379	0.0012926	0.00956342	0.0163086	0.000752967	0.00320699	0.0145698	0.00624209	0.0101938	0.00236281	0.00458446	0.0632125	0.00630463	0.025058	0.4877738	4.292556	4.445923
2320	-11159.56	-11165.45	5.894403	0.136396	0.0538657	0.00669126	0.00224733	0.176748	0.0567696	0.0875181	0.0465685	0.0310988	0.0411341	0.00867563	0.010287	0.0260077	0.333607	0.000776653	0.0271854	0.123139	0.0363224	0.0142814	0.0719972	0.123074	0.0770238	0.0648737	0.0680323	0.12137	0.0175757	0.00768773	0.0374819	0.0498192	0.0243724	0.00267679	0.048594	0.0994397	0.0115583	0.00435714	0.0399863	0.0232489	0.0702791	0.00814606	0.0245347	0.105695	0.106253	0.00131661	0.0659524	0.015974	0.0369177	0.00793701	0.0645293	0.0204677	0.00259311	0.10139	0.0685309	0.0101771	0.0469106	0.0358655	0.0122976	0.0607783	0.0367854	0.0384592	0.0362662	0.0721909	0.066525	0.0398507	0.0598301	0.00805657	0.0100906	0.0183178	0.00949865	0.0332896	0.0184899	0.0405672	0.0141993	0.00267748	0.0169015	0.00655284	0.0025563	0.00965289	0.0158867	0.00197319	0.0401296	0.00215216	0.0146794	0.0340457	0.0208665	0.00906268	0.00539633	0.049402	0.00619327	0.000907659	0.0978464	0.0165107	0.0024663	0.0443364	0.00738601	0.00306325	0.00808913	0.0375477	0.00206722	0.00742166	0.0363752	0.00359326	0.0176776	0.0656484	0.165777	0.00336672	0.00712838	0.139571	0.00875655	0.0147046	0.00683116	0.021523	0.0131769	0.00143229	0.0197085	0.0224862	0.00203814	0.00452948	0.0177238	0.0060365	0.0201558	0.00118198	0.00791002	0.0570418	0.0201007	0.0474265	0.4750329	4.437499	4.679122
2330	-11168.49	-11175.1	6.61266	0.12224	0.0579201	0.00623718	0.00352022	0.167092	0.0633208	0.0779162	0.0573665	0.040943	0.0463988	0.0253361	0.0141525	0.0320246	0.209613	0.00253856	0.0444617	0.126139	0.0569666	0.0108385	0.0623651	0.116568	0.0873764	0.0940194	0.0460519	0.161274	0.0241729	0.00535965	0.0282126	0.0450761	0.0473679	0.00493221	0.0299355	0.119004	0.00613223	0.00201191	0.0362434	0.00390828	0.0538408	0.00558573	0.0261295	0.0787255	0.087727	0.00157538	0.0551483	0.0276633	0.0401287	0.00776963	0.0766143	0.0184081	0.00441497	0.142285	0.0733707	0.0164763	0.0518981	0.0421756	0.0123184	0.0429244	0.0293165	0.0225388	0.0284846	0.0632094	0.0429167	0.0367842	0.0836383	0.00251888	0.00539223	0.00732075	0.0126032	0.0219839	0.0113082	0.0727856	0.00626506	0.00452041	0.0303016	0.00847977	0.00168244	0.0124651	0.0150859	0.00234674	0.0510199	0.000985508	0.00993104	0.0348744	0.0174223	0.00307021	0.0039219	0.0324328	0.00886688	0.000478095	0.0971398	0.02209	0.00932135	0.0718388	0.00660106	0.00602314	0.0118688	0.0251945	0.00168046	0.0135328	0.025626	0.00358013	0.00542727	0.060183	0.118724	0.00375329	0.0101959	0.166053	0.0104718	0.0339661	0.00741789	0.0419301	0.0263978	0.000541447	0.00941071	0.0126918	0.00259836	0.0103234	0.0119366	0.0132869	0.015289	0.00453477	0.0114233	0.040337	0.0244012	0.0399412	0.4801749	4.077085	4.610901
2340	-11170.7	-11179.31	8.609803	0.136052	0.0477689	0.00266186	0.00339029	0.141548	0.0596799	0.0750688	0.0412679	0.0232726	0.0460907	0.0212178	0.0137912	0.0178425	0.111843	0.00104774	0.0382095	0.142298	0.0237721	0.00734159	0.0976777	0.120992	0.0717367	0.0575706	0.04737	0.130275	0.0354193	0.00972609	0.0268318	0.0514864	0.0258541	0.0211963	0.0508694	0.0818954	0.00833116	0.00642298	0.0351236	0.00335825	0.0656223	0.0110048	0.020567	0.0821549	0.0898005	0.00506262	0.10282	0.0241852	0.0397046	0.0153863	0.0661311	0.0197982	0.00562396	0.130177	0.0659716	0.0125598	0.0426925	0.0341531	0.0153862	0.0365177	0.0432535	0.0180438	0.0638846	0.0919876	0.07383	0.0411422	0.0713201	0.00395598	0.00652002	0.0187867	0.011356	0.0317916	0.0124833	0.0616557	0.00716681	0.00676244	0.0181398	0.00281762	0.00390325	0.0105513	0.0261862	0.0019625	0.0398339	0.000682403	0.0163902	0.0404937	0.0152381	0.00418555	0.00180101	0.0307335	0.00971202	0.000481445	0.077472	0.021164	0.00313469	0.0438526	0.00996815	0.00160262	0.00880838	0.0481263	0.00117195	0.00700291	0.0436472	0.00435716	0.00633523	0.0487955	0.131896	0.0185299	0.00884297	0.14099	0.0155571	0.0143919	0.00296358	0.0189525	0.0105313	0.00078555	0.00519022	0.0146555	0.00361258	0.0154103	0.015093	0.00906229	0.0242702	0.00342124	0.0137676	0.0665307	0.00882871	0.0334867	0.4764033	4.107363	4.410884
