Iteration	Posterior	Likelihood	Prior	p	T
1020	-5.192247	-2.196515	-2.995732	0.01406271	10.64716
1030	-5.128156	-2.132424	-2.995732	0.01314978	9.949817
1040	-5.116454	-2.120722	-2.995732	0.01273962	9.636793
1050	-5.124793	-2.129061	-2.995732	0.01306412	9.884433
1060	-5.123341	-2.127609	-2.995732	0.01302277	9.852871
1070	-5.1651	-2.169368	-2.995732	0.01137585	8.597252
1080	-5.184613	-2.188881	-2.995732	0.01117791	8.446537
1090	-5.154649	-2.158917	-2.995732	0.0114992	8.691201
1100	-5.127177	-2.131444	-2.995732	0.01194909	9.033977
1110	-5.119625	-2.123893	-2.995732	0.01216664	9.199808
1120	-5.117496	-2.121764	-2.995732	0.01225936	9.270492
1130	-5.194645	-2.198912	-2.995732	0.01108779	8.377927
1140	-5.424312	-2.42858	-2.995732	0.009800479	7.398807
1150	-5.115255	-2.119523	-2.995732	0.0126302	9.553319
1160	-5.119383	-2.123651	-2.995732	0.01288766	9.749758
1170	-5.130393	-2.134661	-2.995732	0.01320098	9.988906
1180	-5.122256	-2.126524	-2.995732	0.01298957	9.827526
1190	-5.115364	-2.119632	-2.995732	0.01241321	9.387814
1200	-5.116612	-2.120879	-2.995732	0.01275004	9.644745
1210	-5.201452	-2.20572	-2.995732	0.01415499	10.7177
1220	-5.322731	-2.326999	-2.995732	0.01510458	11.44406
1230	-5.142913	-2.147181	-2.995732	0.01343799	10.16988
1240	-5.115004	-2.119272	-2.995732	0.01247178	9.43248
1250	-5.290057	-2.294325	-2.995732	0.01488156	11.27339
1260	-5.144114	-2.148382	-2.995732	0.01345773	10.18495
1270	-5.158001	-2.162269	-2.995732	0.01366283	10.34161
1280	-5.123773	-2.128041	-2.995732	0.01303542	9.86252
1290	-5.119993	-2.12426	-2.995732	0.01291148	9.767935
1300	-5.125086	-2.129354	-2.995732	0.0130721	9.890519
1310	-5.122349	-2.126616	-2.995732	0.0120755	9.130325
1320	-5.177977	-2.182245	-2.995732	0.0139089	10.52962
1330	-5.202967	-2.207235	-2.995732	0.01416973	10.72897
1340	-5.133232	-2.137499	-2.995732	0.01182304	8.937914
1350	-5.334607	-2.338875	-2.995732	0.01020033	7.702749
1360	-5.17032	-2.174587	-2.995732	0.01131937	8.554243
1370	-5.115791	-2.120059	-2.995732	0.01236975	9.354673
1380	-5.11564	-2.119908	-2.995732	0.01267446	9.587086
1390	-5.118095	-2.122363	-2.995732	0.01283143	9.706846
1400	-5.136621	-2.140888	-2.995732	0.0133272	10.08527
1410	-5.278437	-2.282705	-2.995732	0.01479785	11.20934
1420	-5.123539	-2.127806	-2.995732	0.0130286	9.857318
1430	-5.122196	-2.126464	-2.995732	0.01208009	9.133825
1440	-5.200699	-2.204967	-2.995732	0.01103635	8.338767
1450	-5.417139	-2.421407	-2.995732	0.009829742	7.421045
1460	-5.774758	-2.779025	-2.995732	0.008691601	6.556767
1470	-5.220374	-2.224641	-2.995732	0.01088162	8.220998
1480	-5.114901	-2.119169	-2.995732	0.01254665	9.489584
1490	-5.115201	-2.119469	-2.995732	0.01243502	9.404442
1500	-5.209267	-2.213535	-2.995732	0.01422983	10.77492
1510	-5.281827	-2.286095	-2.995732	0.01482254	11.22822
1520	-5.544173	-2.54844	-2.995732	0.01633049	12.38318
1530	-5.430101	-2.434369	-2.995732	0.0157461	11.9353
1540	-5.475949	-2.480216	-2.995732	0.01599029	12.12241
1550	-5.361353	-2.365621	-2.995732	0.01534905	11.63122
1560	-5.226248	-2.230515	-2.995732	0.01438323	10.8922
1570	-5.149008	-2.153276	-2.995732	0.01353443	10.24353
1580	-5.115577	-2.119844	-2.995732	0.01238984	9.369991
1590	-5.18448	-2.188748	-2.995732	0.01117916	8.447482
1600	-5.118106	-2.122374	-2.995732	0.01222976	9.247928
1610	-5.126655	-2.130922	-2.995732	0.01311302	9.921757
1620	-5.122642	-2.12691	-2.995732	0.01206679	9.123688
1630	-5.139845	-2.144113	-2.995732	0.01170824	8.850445
1640	-5.116313	-2.120581	-2.995732	0.01232925	9.323782
1650	-5.246374	-2.250642	-2.995732	0.0145518	11.02112
1660	-5.137382	-2.14165	-2.995732	0.01334136	10.09608
1670	-5.142718	-2.146986	-2.995732	0.01343476	10.16741
1680	-5.579222	-2.58349	-2.995732	0.01649638	12.51038
1690	-5.402703	-2.406971	-2.995732	0.01559286	11.81792
1700	-5.310628	-2.314896	-2.995732	0.01502392	11.38233
1710	-5.313075	-2.317343	-2.995732	0.0150404	11.39494
1720	-5.181675	-2.185942	-2.995732	0.01395019	10.56117
1730	-5.118597	-2.122864	-2.995732	0.01220799	9.23133
1740	-5.191221	-2.195489	-2.995732	0.01405211	10.63907
1750	-5.2596	-2.263868	-2.995732	0.01465625	11.10101
1760	-5.16294	-2.167207	-2.995732	0.01372794	10.39135
1770	-5.349631	-2.353899	-2.995732	0.01527675	11.57586
1780	-5.356943	-2.36121	-2.995732	0.01532203	11.61053
1790	-5.38376	-2.388027	-2.995732	0.0154832	11.73394
1800	-5.133969	-2.138237	-2.995732	0.01327593	10.04613
1810	-5.144446	-2.148714	-2.995732	0.01346312	10.18907
1820	-5.15526	-2.159527	-2.995732	0.01362516	10.31283
1830	-5.124799	-2.129067	-2.995732	0.01306428	9.884553
1840	-5.138049	-2.142316	-2.995732	0.01173767	8.872867
1850	-5.120885	-2.125153	-2.995732	0.01294398	9.792736
1860	-5.142637	-2.146905	-2.995732	0.0134334	10.16637
1870	-5.187756	-2.192024	-2.995732	0.01401584	10.61135
1880	-5.380019	-2.384286	-2.995732	0.01546115	11.71705
1890	-5.260302	-2.26457	-2.995732	0.01466167	11.10515
1900	-5.184629	-2.188897	-2.995732	0.01398242	10.5858
1910	-5.17593	-2.180197	-2.995732	0.01388555	10.51177
1920	-5.145686	-2.149954	-2.995732	0.013483	10.20425
1930	-5.151588	-2.155855	-2.995732	0.01357275	10.2728
1940	-5.125953	-2.130221	-2.995732	0.01309507	9.908057
1950	-5.315897	-2.320165	-2.995732	0.0150593	11.40941
1960	-5.357919	-2.362186	-2.995732	0.01532803	11.61512
1970	-5.148298	-2.152566	-2.995732	0.01352364	10.23529
1980	-5.367324	-2.371591	-2.995732	0.0153853	11.65897
1990	-5.298097	-2.302365	-2.995732	0.01493804	11.31661
2000	-5.596232	-2.6005	-2.995732	0.016575	12.57067
2010	-5.9164	-2.920668	-2.995732	0.01788956	13.57978
2020	-6.349263	-3.35353	-2.995732	0.01936856	14.71728
2030	-5.811599	-2.815866	-2.995732	0.01748758	13.27101
2040	-5.991137	-2.995404	-2.995732	0.01816363	13.79039
2050	-5.804598	-2.808865	-2.995732	0.0174599	13.24976
2060	-5.6813	-2.685568	-2.995732	0.01695213	12.85999
2070	-6.078844	-3.083112	-2.995732	0.01847389	14.02891
2080	-5.590196	-2.594463	-2.995732	0.01654724	12.54938
2090	-5.338321	-2.342589	-2.995732	0.01520548	11.5213
2100	-5.16236	-2.166628	-2.995732	0.01372047	10.38564
2110	-5.244855	-2.249123	-2.995732	0.0145395	11.01171
2120	-5.263989	-2.268256	-2.995732	0.01468994	11.12678
2130	-5.243047	-2.247315	-2.995732	0.01452479	11.00046
2140	-5.129421	-2.133689	-2.995732	0.0131792	9.972277
2150	-5.118714	-2.122982	-2.995732	0.01285961	9.728353
2160	-5.131284	-2.135552	-2.995732	0.01322037	10.00371
2170	-5.114891	-2.119159	-2.995732	0.01252133	9.470269
2180	-5.124291	-2.128559	-2.995732	0.01202067	9.088534
2190	-5.160002	-2.16427	-2.995732	0.01143412	8.641631
2200	-5.165429	-2.169697	-2.995732	0.0113722	8.594475
2210	-5.150705	-2.154972	-2.995732	0.01155018	8.730035
2220	-5.368051	-2.372319	-2.995732	0.01004183	7.582247
2230	-5.183785	-2.188053	-2.995732	0.01118566	8.45243
2240	-5.392783	-2.397051	-2.995732	0.009932246	7.498949
2250	-5.11504	-2.119307	-2.995732	0.01246356	9.426215
2260	-5.130438	-2.134705	-2.995732	0.01320196	9.989655
2270	-5.163159	-2.167426	-2.995732	0.01373075	10.3935
2280	-5.11794	-2.122207	-2.995732	0.01282392	9.701116
2290	-5.148637	-2.152905	-2.995732	0.01157809	8.751294
2300	-5.179702	-2.183969	-2.995732	0.01392829	10.54444
2310	-5.124138	-2.128405	-2.995732	0.01304585	9.870485
2320	-5.329072	-2.333339	-2.995732	0.01022787	7.723691
2330	-5.57667	-2.580937	-2.995732	0.009255329	6.984683
2340	-5.454322	-2.45859	-2.995732	0.009682186	7.308919
2350	-5.312091	-2.316358	-2.995732	0.01031498	7.789929
2360	-5.423958	-2.428226	-2.995732	0.009801913	7.399896
2370	-5.170814	-2.175081	-2.995732	0.01131418	8.550289
2380	-5.144289	-2.148557	-2.995732	0.0116399	8.798376
2390	-5.25427	-2.258538	-2.995732	0.01064854	8.04364
2400	-5.158616	-2.162884	-2.995732	0.01145056	8.654151
2410	-5.232173	-2.236441	-2.995732	0.01079634	8.156099
2420	-5.131891	-2.136158	-2.995732	0.01184883	8.957566
2430	-5.180264	-2.184532	-2.995732	0.01121915	8.477935
2440	-5.187735	-2.192003	-2.995732	0.01114915	8.42464
2450	-5.117491	-2.121759	-2.995732	0.01225961	9.270688
2460	-5.129748	-2.134015	-2.995732	0.0131866	9.977925
2470	-5.128169	-2.132437	-2.995732	0.01315008	9.950045
2480	-5.125653	-2.129921	-2.995732	0.01308723	9.902067
2490	-5.194583	-2.198851	-2.995732	0.01108833	8.378332
2500	-5.193949	-2.198217	-2.995732	0.01109384	8.38253
2510	-5.293537	-2.297804	-2.995732	0.01041518	7.866127
2520	-5.64583	-2.650098	-2.995732	0.009044009	6.824236
2530	-5.527593	-2.531861	-2.995732	0.009417268	7.107668
2540	-5.433522	-2.43779	-2.995732	0.009763483	7.370693
2550	-5.504346	-2.508613	-2.995732	0.009498043	7.169023
2560	-5.137128	-2.141396	-2.995732	0.01175321	8.88471
2570	-5.116106	-2.120373	-2.995732	0.01271451	9.617638
2580	-5.291383	-2.295651	-2.995732	0.01042718	7.875256
2590	-5.11749	-2.121758	-2.995732	0.01225967	9.270728
2600	-5.178219	-2.182487	-2.995732	0.01391163	10.53171
2610	-5.118679	-2.122947	-2.995732	0.01220449	9.228657
2620	-5.188228	-2.192495	-2.995732	0.01402083	10.61515
2630	-5.207209	-2.211477	-2.995732	0.01421041	10.76007
2640	-5.115285	-2.119553	-2.995732	0.01242322	9.395448
2650	-5.195967	-2.200234	-2.995732	0.01107638	8.369242
2660	-5.245587	-2.249855	-2.995732	0.01070495	8.08656
2670	-5.495843	-2.50011	-2.995732	0.009528306	7.192012
2680	-5.3691	-2.373368	-2.995732	0.01003706	7.578619
2690	-5.404187	-2.408455	-2.995732	0.009883626	7.461996
2700	-5.631624	-2.635892	-2.995732	0.009085972	6.856093
2710	-5.288104	-2.292372	-2.995732	0.01044561	7.889279
2720	-5.314627	-2.318895	-2.995732	0.01030171	7.779835
2730	-5.143429	-2.147697	-2.995732	0.01165268	8.808112
2740	-5.130874	-2.135142	-2.995732	0.01186909	8.973005
2750	-5.238099	-2.242367	-2.995732	0.01075529	8.124864
2760	-5.211641	-2.215909	-2.995732	0.01094816	8.271641
2770	-5.122179	-2.126447	-2.995732	0.01298713	9.825668
2780	-5.13208	-2.136348	-2.995732	0.01184512	8.954738
2790	-5.123532	-2.1278	-2.995732	0.0130284	9.857168
2800	-5.21952	-2.223788	-2.995732	0.01088799	8.225845
2810	-5.114932	-2.119199	-2.995732	0.01249401	9.449436
2820	-5.13121	-2.135477	-2.995732	0.01321877	10.00249
2830	-5.157774	-2.162042	-2.995732	0.01146068	8.661859
2840	-5.145018	-2.149286	-2.995732	0.01162921	8.790233
2850	-5.122868	-2.127136	-2.995732	0.01300858	9.842036
2860	-5.118888	-2.123155	-2.995732	0.01286711	9.734072
2870	-5.230042	-2.23431	-2.995732	0.01441601	10.91727
2880	-5.290779	-2.295047	-2.995732	0.01488668	11.27731
2890	-5.168955	-2.173223	-2.995732	0.01380313	10.4488
2900	-5.195773	-2.20004	-2.995732	0.01409862	10.67462
2910	-5.16897	-2.173238	-2.995732	0.01380332	10.44894
2920	-5.121293	-2.125561	-2.995732	0.01295804	9.803467
2930	-5.125353	-2.12962	-2.995732	0.01199318	9.067581
2940	-5.116553	-2.120821	-2.995732	0.01231316	9.311519
2950	-5.128657	-2.132925	-2.995732	0.01316158	9.958829
2960	-5.12181	-2.126078	-2.995732	0.01297524	9.816592
2970	-5.226947	-2.231214	-2.995732	0.0143893	10.89685
2980	-5.359337	-2.363604	-2.995732	0.01533672	11.62178
2990	-5.357145	-2.361412	-2.995732	0.01532327	11.61148
3000	-5.636953	-2.64122	-2.995732	0.01675868	12.71156
3010	-5.372676	-2.376943	-2.995732	0.01541747	11.68361
3020	-5.135208	-2.139476	-2.995732	0.01330029	10.06473
3030	-5.20448	-2.208748	-2.995732	0.01418434	10.74014
3040	-5.396048	-2.400316	-2.995732	0.0155547	11.7887
3050	-5.118644	-2.122912	-2.995732	0.01285655	9.726012
3060	-5.175473	-2.179741	-2.995732	0.0138803	10.50776
3070	-5.168523	-2.17279	-2.995732	0.01133848	8.568798
3080	-5.135922	-2.14019	-2.995732	0.013314	10.07519
3090	-5.341284	-2.345552	-2.995732	0.0152243	11.53571
3100	-5.556335	-2.560603	-2.995732	0.01638867	12.42779
3110	-6.152871	-3.157139	-2.995732	0.01872737	14.22386
3120	-5.778386	-2.782654	-2.995732	0.01735524	13.1694
3130	-5.586765	-2.591033	-2.995732	0.01653139	12.53723
3140	-5.612561	-2.616829	-2.995732	0.0166494	12.62774
