Iteration	Posterior	Likelihood	Prior	T
1260	-1291.518	-1288.522	-2.995732	11.20478
1270	-1291.355	-1288.359	-2.995732	9.496098
1280	-1291.541	-1288.545	-2.995732	11.32891
1290	-1291.742	-1288.747	-2.995732	12.22511
1300	-1291.515	-1288.519	-2.995732	7.94941
1310	-1291.454	-1288.459	-2.995732	8.256413
1320	-1291.395	-1288.399	-2.995732	8.690616
1330	-1292.495	-1289.499	-2.995732	5.785234
1340	-1291.614	-1288.619	-2.995732	7.561234
1350	-1291.356	-1288.36	-2.995732	9.345745
1360	-1291.637	-1288.641	-2.995732	11.79142
1370	-1291.519	-1288.523	-2.995732	7.928546
1380	-1292.47	-1289.475	-2.995732	5.818668
1390	-1292.426	-1289.431	-2.995732	14.30979
1400	-1291.91	-1288.914	-2.995732	12.82114
1410	-1291.749	-1288.754	-2.995732	12.25257
1420	-1291.358	-1288.363	-2.995732	9.242267
1430	-1292.285	-1289.289	-2.995732	13.93779
1440	-1291.355	-1288.36	-2.995732	9.552753
1450	-1291.695	-1288.699	-2.995732	7.308434
1460	-1291.377	-1288.381	-2.995732	10.08898
1470	-1294.007	-1291.011	-2.995732	17.69209
1480	-1291.508	-1288.512	-2.995732	7.978725
1490	-1291.4	-1288.404	-2.995732	10.35978
1500	-1292.91	-1289.914	-2.995732	15.46422
1510	-1291.37	-1288.375	-2.995732	8.982022
1520	-1291.873	-1288.878	-2.995732	12.69915
1530	-1291.382	-1288.386	-2.995732	10.15873
1540	-1291.418	-1288.422	-2.995732	8.49858
1550	-1291.356	-1288.361	-2.995732	9.628928
1560	-1292.032	-1289.036	-2.995732	13.21032
1570	-1291.526	-1288.53	-2.995732	11.24874
1580	-1291.584	-1288.589	-2.995732	7.667287
1590	-1291.444	-1288.449	-2.995732	10.73815
1600	-1291.38	-1288.384	-2.995732	10.12956
1610	-1292.066	-1289.071	-2.995732	13.31524
1620	-1291.386	-1288.39	-2.995732	8.781707
1630	-1291.369	-1288.374	-2.995732	9.96747
1640	-1291.723	-1288.727	-2.995732	12.14822
1650	-1292.139	-1289.143	-2.995732	6.329229
1660	-1292.258	-1289.263	-2.995732	13.86542
1670	-1291.792	-1288.796	-2.995732	12.41162
1680	-1291.608	-1288.612	-2.995732	7.583193
1690	-1294.873	-1291.877	-2.995732	3.763383
1700	-1291.428	-1288.432	-2.995732	10.61131
1710	-1291.57	-1288.574	-2.995732	11.48021
1720	-1291.514	-1288.518	-2.995732	7.953142
1730	-1291.372	-1288.376	-2.995732	10.00826
1740	-1291.442	-1288.446	-2.995732	8.332538
1750	-1292.517	-1289.521	-2.995732	14.53852
1760	-1291.405	-1288.409	-2.995732	10.40788
1770	-1291.372	-1288.377	-2.995732	10.01829
1780	-1291.429	-1288.433	-2.995732	8.416812
1790	-1292.196	-1289.2	-2.995732	6.231903
1800	-1292.476	-1289.48	-2.995732	5.811585
1810	-1292.768	-1289.772	-2.995732	5.44296
1820	-1291.38	-1288.384	-2.995732	8.850102
1830	-1291.642	-1288.647	-2.995732	11.81577
1840	-1291.402	-1288.406	-2.995732	8.627171
1850	-1292.491	-1289.496	-2.995732	14.4753
1860	-1291.663	-1288.667	-2.995732	11.90525
1870	-1292.385	-1289.389	-2.995732	14.20265
1880	-1291.756	-1288.761	-2.995732	7.137381
1890	-1291.362	-1288.367	-2.995732	9.829553
1900	-1291.445	-1288.45	-2.995732	10.74613
1910	-1291.534	-1288.538	-2.995732	11.29394
1920	-1291.38	-1288.385	-2.995732	10.13732
1930	-1291.514	-1288.518	-2.995732	11.18502
1940	-1292.642	-1289.646	-2.995732	5.594289
1950	-1291.42	-1288.424	-2.995732	10.54812
1960	-1292.234	-1289.238	-2.995732	13.79783
1970	-1292.369	-1289.373	-2.995732	14.16182
1980	-1291.403	-1288.407	-2.995732	10.38762
1990	-1291.837	-1288.841	-2.995732	12.57156
2000	-1291.356	-1288.36	-2.995732	9.35206
2010	-1291.355	-1288.359	-2.995732	9.531507
2020	-1295.232	-1292.236	-2.995732	19.84322
2030	-1291.478	-1288.482	-2.995732	10.96537
2040	-1291.559	-1288.564	-2.995732	7.761243
2050	-1294.916	-1291.92	-2.995732	3.73908
2060	-1291.535	-1288.539	-2.995732	11.29958
2070	-1291.815	-1288.82	-2.995732	12.49579
2080	-1291.387	-1288.391	-2.995732	8.773916
2090	-1291.377	-1288.382	-2.995732	10.09263
2100	-1291.687	-1288.691	-2.995732	12.0032
2110	-1293.149	-1290.153	-2.995732	15.98646
2120	-1291.757	-1288.761	-2.995732	12.2802
2130	-1291.355	-1288.359	-2.995732	9.533571
2140	-1291.555	-1288.559	-2.995732	11.40403
2150	-1292.11	-1289.114	-2.995732	13.44513
2160	-1291.373	-1288.377	-2.995732	10.02863
2170	-1291.929	-1288.933	-2.995732	6.730436
2180	-1291.359	-1288.363	-2.995732	9.223208
2190	-1291.885	-1288.889	-2.995732	12.73871
2200	-1291.648	-1288.652	-2.995732	11.84133
2210	-1292.6	-1289.605	-2.995732	14.7438
2220	-1291.355	-1288.36	-2.995732	9.549906
2230	-1294.843	-1291.847	-2.995732	19.18641
2240	-1291.886	-1288.89	-2.995732	6.824057
2250	-1291.43	-1288.434	-2.995732	8.410931
2260	-1291.364	-1288.369	-2.995732	9.088032
2270	-1291.408	-1288.413	-2.995732	10.44123
2280	-1292.094	-1289.098	-2.995732	13.39686
2290	-1291.578	-1288.582	-2.995732	11.51687
2300	-1291.359	-1288.364	-2.995732	9.744022
2310	-1291.356	-1288.36	-2.995732	9.607893
2320	-1291.841	-1288.845	-2.995732	12.58593
