Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	disc_rates[1]	disc_rates[2]	disc_rates[3]	disc_rates[4]	gamma	gene_alpha	gene_rate[1]	gene_rate[2]	gene_rate[3]	gene_rate[4]	gene_rate[5]	gene_rate[6]	gene_rate[7]	gene_rate[8]	gene_rate[9]	gene_rate[10]	gene_rate[11]	gene_rate[12]	gene_rate[13]	gene_rate[14]	gene_rate[15]	gene_rate[16]	gene_rate[17]	gene_rate_var	kappa	rate_var	TL
100	-194056.3	-194012.1	-44.18015	0.5039461	0.115257	0.206422	0.259668	0.109027	0.219567	0.197113	0.221997	0.123442	0.177255	0.191849	0.159749	0.109553	0.131589	0.133724	0.00820176	0.163734	0.0736171	0.38385	0.0148784	0.0744563	0.151229	0.0727034	0.114201	0.222298	0.0737708	0.198154	0.126617	0.234883	0.470372	0.118058	0.156764	0.0337762	0.371528	0.112478	0.833799	0.173824	0.20276	0.00753998	0.311569	0.137454	0.0664128	0.935615	0.0546125	0.0141722	0.0168975	0.00114491	0.025678	0.0066928	0.0295471	0.01269	0.0107374	0.0178871	0.0929534	0.0122475	0.00655823	0.0101639	0.0111587	0.0448914	0.016321	0.00436845	0.0137081	0.0474607	0.0163968	0.0237613	0.00825083	0.00179455	0.00618221	0.00425504	0.00708662	0.00497641	0.00229709	0.0279362	0.010254	0.00806072	0.0200082	0.0460405	0.00146619	0.00512944	0.00803386	0.00816614	0.00623034	0.0341215	0.254484	0.823119	2.88828	0.5473494	3.023696	0.565457	0.561925	0.40272	0.511519	0.308446	0.346372	0.508081	0.493823	0.427471	0.633844	0.551454	0.321515	0.905443	0.498074	0.508062	0.790695	1	0.3307211	5.893992	1.984339	8.866972
110	-193275.8	-193235.4	-40.45046	0.5565286	0.110517	0.148776	0.249545	0.121251	0.209556	0.19045	0.230926	0.126336	0.123173	0.192711	0.174253	0.0965713	0.12945	0.129933	0.00912136	0.169593	0.0791121	0.35801	0.013605	0.076091	0.156616	0.0791886	0.114201	0.235729	0.0751514	0.179197	0.1267	0.225039	0.434887	0.112507	0.156818	0.0322112	0.344698	0.0876369	0.833799	0.156441	0.200502	0.00676962	0.301301	0.133736	0.0698758	0.880903	0.075672	0.0152786	0.0242846	0.00108845	0.0250321	0.00708366	0.0293104	0.0131579	0.00693922	0.010854	0.094052	0.00934231	0.00753563	0.00538155	0.0181867	0.0334784	0.0116291	0.00455102	0.0114938	0.0479812	0.0184384	0.021348	0.0100401	0.00168481	0.00690439	0.00430412	0.00764837	0.00316044	0.00191807	0.0281263	0.00867687	0.00759265	0.0170015	0.0541059	0.00127499	0.00574181	0.00816227	0.0064142	0.00926403	0.0442848	0.287227	0.85741	2.81108	0.5548439	2.831995	0.57931	0.515361	0.39833	0.529829	0.321426	0.407908	0.536638	0.487693	0.433788	0.571772	0.511279	0.343532	0.795825	0.510567	0.485174	0.769064	1	0.353108	4.935111	1.796853	8.557029
120	-192706.3	-192670.9	-35.4715	0.5565286	0.111523	0.126297	0.236623	0.106893	0.215792	0.174114	0.202397	0.127789	0.117128	0.168638	0.186328	0.089811	0.126895	0.131884	0.00784745	0.160399	0.0649452	0.320387	0.0159204	0.0741887	0.14054	0.0716872	0.112353	0.205314	0.0697045	0.179197	0.12489	0.225039	0.394901	0.109144	0.142457	0.036703	0.319066	0.0857592	0.750832	0.156597	0.18176	0.00767523	0.281875	0.118112	0.0610189	0.829173	0.0915323	0.0130737	0.0209148	0.000950187	0.0260484	0.00433131	0.03362	0.0129347	0.00717073	0.00448854	0.088223	0.00485027	0.00566315	0.00663504	0.0250177	0.0244261	0.0103479	0.0040179	0.0124688	0.0515648	0.0117456	0.022671	0.0077737	0.00172975	0.0120555	0.00328041	0.0109793	0.00314913	0.00232231	0.0303717	0.0115001	0.00771869	0.0198814	0.0475548	0.00151126	0.00907564	0.00961349	0.00721055	0.0113438	0.0442848	0.287227	0.85741	2.81108	0.5385379	2.365875	0.600188	0.488688	0.393576	0.502484	0.348605	0.389649	0.563822	0.491542	0.45512	0.624896	0.501348	0.344845	0.851536	0.513098	0.492712	0.865971	1	0.4226766	4.706293	1.796853	8.049364
130	-192191.1	-192157.8	-33.33407	0.5656331	0.104981	0.0992177	0.245816	0.0979984	0.200357	0.175932	0.207127	0.118814	0.0720596	0.17864	0.183551	0.0899973	0.123471	0.130851	0.00857233	0.160399	0.0673952	0.324215	0.0145592	0.07399	0.14245	0.0783582	0.103515	0.193098	0.0712107	0.170756	0.117862	0.22768	0.370247	0.112065	0.1411	0.0312228	0.305626	0.0812364	0.752821	0.131596	0.18098	0.00897405	0.279181	0.134294	0.0676074	0.776261	0.0921995	0.0154367	0.0173582	0.000989281	0.0262424	0.00302973	0.0318119	0.0139168	0.0101006	0.00474351	0.0883546	0.00328053	0.00583733	0.0103243	0.0183519	0.0235141	0.0157262	0.00318948	0.0141933	0.0549398	0.0181954	0.0200372	0.00600793	0.00187339	0.0136897	0.00312232	0.016561	0.00256485	0.0015564	0.0251941	0.00758872	0.00709588	0.0206279	0.0472961	0.00186713	0.00985381	0.0154423	0.00806371	0.0236549	0.0461064	0.29262	0.862719	2.79855	0.5443391	3.323424	0.627393	0.583151	0.410732	0.493652	0.327623	0.402809	0.561593	0.535511	0.457573	0.570442	0.544222	0.368188	0.810897	0.537124	0.489104	0.837948	1	0.3008945	4.53655	1.767931	7.859918
140	-191927.8	-191896.3	-31.58228	0.5629231	0.10725	0.090851	0.227356	0.104277	0.187694	0.166591	0.194948	0.122695	0.0655794	0.162845	0.174519	0.0764647	0.123437	0.125821	0.00829759	0.142042	0.070842	0.310558	0.0169389	0.0716382	0.137022	0.07624	0.090726	0.192104	0.0665167	0.166686	0.122212	0.218762	0.374762	0.110324	0.132113	0.0347538	0.311501	0.0719873	0.743133	0.129361	0.170208	0.00728293	0.278516	0.111657	0.0571434	0.766907	0.0850069	0.0198707	0.0201991	0.00114652	0.0239532	0.00423848	0.0266263	0.0119071	0.00826308	0.00390608	0.0854197	0.00282863	0.00922811	0.0140167	0.0134181	0.0152805	0.0214923	0.00543747	0.0136355	0.0566089	0.0132681	0.0188786	0.0049674	0.00128558	0.0120382	0.00353213	0.0240889	0.00324853	0.00121367	0.0274839	0.0100819	0.00606401	0.0150589	0.0566686	0.00134257	0.0105702	0.0229621	0.00768684	0.0206018	0.0455626	0.291023	0.861157	2.80226	0.5509392	4.331923	0.539093	0.562529	0.434988	0.508163	0.353348	0.392317	0.53586	0.525424	0.504405	0.604515	0.569817	0.369393	0.952895	0.546001	0.505765	0.788404	1	0.2308444	4.53655	1.776442	7.624089
150	-191545	-191514.6	-30.39019	0.5617357	0.113813	0.0912643	0.231203	0.0962489	0.187797	0.152472	0.205848	0.115434	0.0566912	0.16622	0.160218	0.0759162	0.121421	0.135547	0.00808108	0.155104	0.074378	0.310558	0.0134637	0.0683257	0.132824	0.0792846	0.0859683	0.209638	0.0653826	0.175036	0.118706	0.214353	0.359647	0.10046	0.134964	0.0341648	0.311953	0.0621169	0.742313	0.132728	0.149473	0.00678098	0.257084	0.107959	0.059215	0.778965	0.0867919	0.0198612	0.0151745	0.00115386	0.0265125	0.00496504	0.0248935	0.0140348	0.00480411	0.00353303	0.0900374	0.00405364	0.0122469	0.018422	0.00483936	0.0137197	0.0296205	0.00698222	0.0122778	0.0600131	0.0118889	0.019537	0.00470028	0.00134741	0.0102491	0.00518579	0.0295149	0.0046434	0.0016633	0.0241122	0.00875521	0.00726844	0.0148307	0.0556057	0.00143517	0.0165667	0.0161342	0.00695542	0.018232	0.0453247	0.290321	0.860467	2.80389	0.5394189	3.426686	0.64513	0.560031	0.411695	0.515718	0.342436	0.374059	0.575664	0.499516	0.501075	0.584196	0.598323	0.376044	0.951393	0.585584	0.527483	0.821569	1	0.2918271	4.540737	1.780197	7.571583
160	-191393.9	-191369.9	-23.96657	0.5677143	0.0910262	0.0745735	0.227316	0.096705	0.172682	0.14812	0.19308	0.103257	0.0554246	0.159876	0.160409	0.0714484	0.113036	0.115395	0.00834473	0.134461	0.0687023	0.30085	0.0120856	0.0639749	0.127415	0.0678694	0.090284	0.197726	0.0638069	0.149066	0.111293	0.188083	0.34415	0.0980418	0.128175	0.0272536	0.274375	0.0525824	0.676069	0.114576	0.130755	0.00662783	0.245886	0.0952505	0.0584928	0.700218	0.0802907	0.0124378	0.0117543	0.00255678	0.0213461	0.00432209	0.024582	0.0150443	0.0043514	0.00278655	0.0822079	0.00457758	0.00827131	0.0114246	0.00382099	0.0171591	0.0397581	0.0086542	0.00846688	0.0495074	0.013073	0.0191574	0.00270737	0.00134402	0.00862519	0.00561175	0.0492634	0.00689999	0.00243421	0.0274035	0.00615217	0.0061745	0.0123487	0.0510135	0.00152953	0.0210887	0.0149576	0.00733183	0.0184256	0.046525	0.293842	0.863909	2.79572	0.54673	3.315052	0.6924	0.610476	0.468587	0.567503	0.388749	0.474584	0.605093	0.5386	0.504962	0.602351	0.612769	0.403993	0.921321	0.619651	0.537118	0.881733	1	0.3016544	4.572994	1.761449	7.007623
170	-191213.4	-191190.1	-23.34541	0.5687022	0.0936452	0.0767641	0.212795	0.0894774	0.174027	0.141322	0.190024	0.0996815	0.0430658	0.154122	0.155862	0.0677886	0.122483	0.12086	0.00843627	0.142932	0.0664065	0.299046	0.0125236	0.0647306	0.121849	0.071431	0.0840449	0.185348	0.0614179	0.149557	0.102712	0.188083	0.348089	0.098003	0.128175	0.0266707	0.267862	0.0636998	0.669903	0.122989	0.129949	0.00692231	0.249333	0.0852091	0.0521561	0.695376	0.079788	0.011817	0.011794	0.00347442	0.0238413	0.00389027	0.0281267	0.0145988	0.0049391	0.00331099	0.0809605	0.00544878	0.00626615	0.0130165	0.00587735	0.0193278	0.0463106	0.00772271	0.00857399	0.0455532	0.0123186	0.0173257	0.00185075	0.0016158	0.00699099	0.0083436	0.0507853	0.00687591	0.00252119	0.0248659	0.00919369	0.00891772	0.0134025	0.0463523	0.00213764	0.0228683	0.0105847	0.00641174	0.0183957	0.0467239	0.294421	0.864471	2.79438	0.54673	4.231226	0.750322	0.598994	0.46093	0.584591	0.374206	0.46038	0.605093	0.563535	0.526841	0.709894	0.615954	0.403882	0.934617	0.604287	0.501272	0.881733	1	0.2363381	4.521102	1.75839	6.94117
180	-191138.3	-191115.5	-22.82265	0.5687022	0.094821	0.0764067	0.204229	0.0903078	0.167459	0.139191	0.178051	0.0963118	0.0505801	0.166782	0.151733	0.0644953	0.113684	0.111706	0.00687219	0.146096	0.0584874	0.28899	0.0117216	0.0599347	0.122849	0.0667082	0.0777099	0.172626	0.0658275	0.142826	0.106706	0.173829	0.329964	0.0953795	0.118095	0.0328601	0.276811	0.0510033	0.669903	0.126768	0.121117	0.00563298	0.259191	0.0924623	0.0542593	0.696018	0.0816247	0.00989734	0.0120438	0.00462544	0.0236264	0.00545834	0.027713	0.00923754	0.00498126	0.00420315	0.0879657	0.00307853	0.00682635	0.00977252	0.00688014	0.0201436	0.0422665	0.00826828	0.00951824	0.0429574	0.0156012	0.0176391	0.00209499	0.00165504	0.00619108	0.0124993	0.0512833	0.00499307	0.00360263	0.0223626	0.0102796	0.00839017	0.0109862	0.0511401	0.00187279	0.0284172	0.0112381	0.00585512	0.0190858	0.0467239	0.294421	0.864471	2.79438	0.5472007	2.767803	0.83546	0.599703	0.500666	0.566691	0.366283	0.453708	0.610615	0.579419	0.532401	0.731618	0.63972	0.452684	1.07207	0.529884	0.602148	0.910489	1	0.3612974	4.619555	1.75839	6.842682
190	-191090.3	-191068.2	-22.08015	0.5687022	0.102845	0.0759159	0.213589	0.0916805	0.170399	0.127547	0.179606	0.0973019	0.0550988	0.162847	0.161441	0.057649	0.11282	0.124618	0.00791923	0.141913	0.0612571	0.289759	0.011676	0.0630185	0.116125	0.0704506	0.0774255	0.168612	0.0581694	0.143007	0.112841	0.200511	0.335242	0.0997031	0.127169	0.028381	0.266989	0.0486675	0.650346	0.12233	0.119786	0.0063721	0.249852	0.0830726	0.0515411	0.669636	0.0816247	0.00591103	0.00943669	0.00851153	0.02727	0.00645645	0.0293801	0.0128581	0.00516452	0.00445796	0.0745673	0.00298271	0.00788772	0.0139161	0.00641986	0.020431	0.0470407	0.00791681	0.00893726	0.0457041	0.0122084	0.0185889	0.00264378	0.0017455	0.00449472	0.0121001	0.0417733	0.00474419	0.00393833	0.0245774	0.00752912	0.0104505	0.00964065	0.049702	0.00145121	0.040806	0.0135715	0.00676735	0.0172553	0.0467239	0.294421	0.864471	2.79438	0.5422355	3.463713	0.685595	0.593098	0.488134	0.54421	0.406473	0.430178	0.609761	0.599423	0.545567	0.681958	0.605386	0.420805	1.01621	0.591206	0.564229	0.910489	1	0.2887076	4.611872	1.75839	6.825993
