Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	disc_rates[1]	disc_rates[2]	disc_rates[3]	disc_rates[4]	gamma	gene_alpha	gene_rate[1]	gene_rate[2]	gene_rate[3]	gene_rate[4]	gene_rate[5]	gene_rate[6]	gene_rate[7]	gene_rate[8]	gene_rate[9]	gene_rate[10]	gene_rate[11]	gene_rate[12]	gene_rate[13]	gene_rate[14]	gene_rate[15]	gene_rate[16]	gene_rate[17]	gene_rate_var	kappa	rate_var	TL
200	-190891.5	-190870.1	-21.42848	0.5687022	0.0932416	0.0745094	0.213589	0.0909993	0.155231	0.116657	0.179509	0.0867696	0.0445212	0.159223	0.150283	0.0599676	0.110291	0.111874	0.00643937	0.140576	0.0624188	0.295429	0.011605	0.0658169	0.129292	0.0648548	0.0813052	0.161377	0.0609123	0.132593	0.106529	0.192605	0.328149	0.0940051	0.115679	0.0291413	0.267106	0.0449621	0.632125	0.120025	0.121924	0.00671899	0.249513	0.0878253	0.0524083	0.684213	0.0792805	0.006696	0.0117407	0.0113999	0.0204158	0.00569423	0.0243013	0.0110376	0.00418186	0.00339751	0.0726486	0.00372577	0.00747505	0.011236	0.00636992	0.0184564	0.0403651	0.0100886	0.00835949	0.0485996	0.00829742	0.0150573	0.00272485	0.00137188	0.00285332	0.0122258	0.0455398	0.00544743	0.00593632	0.0202268	0.00666929	0.0123577	0.0153545	0.0471493	0.00184726	0.0405807	0.0111248	0.00657006	0.0176641	0.0467239	0.294421	0.864471	2.79438	0.5418019	6.960449	0.797732	0.625112	0.48111	0.591212	0.40213	0.519594	0.630201	0.590934	0.505103	0.739532	0.634681	0.437921	0.992982	0.576204	0.570291	0.924403	1	0.1436689	4.606358	1.75839	6.676683
210	-190758.2	-190739	-19.18563	0.5799502	0.0906514	0.0755865	0.210897	0.0930591	0.155604	0.116773	0.169572	0.0883765	0.0492439	0.156361	0.149565	0.0572185	0.108325	0.123515	0.00694699	0.135683	0.0568148	0.27963	0.0121446	0.0613273	0.115273	0.063949	0.0805721	0.145688	0.0603202	0.135223	0.104773	0.195164	0.331721	0.0967356	0.114105	0.0279235	0.269798	0.0450041	0.631125	0.115341	0.121924	0.00543083	0.244866	0.0732476	0.055089	0.629987	0.0795776	0.0101414	0.00984766	0.0111933	0.0177549	0.00483301	0.0228618	0.00990266	0.00497706	0.00348317	0.0780789	0.00450111	0.00807233	0.0116431	0.00553221	0.00911394	0.0451114	0.00907486	0.00744732	0.0451379	0.0106683	0.0147478	0.00308989	0.00107291	0.0023198	0.00994893	0.04809	0.00919698	0.00900826	0.0256454	0.00593917	0.0133754	0.015161	0.0449268	0.00217134	0.0378635	0.0124939	0.00538704	0.017909	0.0490009	0.300942	0.870735	2.77932	0.5453282	3.711997	0.744354	0.670211	0.48375	0.600296	0.3924	0.426143	0.624191	0.573143	0.580423	0.664132	0.675927	0.411174	1.05257	0.570236	0.589603	0.926325	1	0.2693967	4.625674	1.724286	6.547855
220	-190671	-190650.9	-20.10597	0.5799502	0.0948283	0.0711887	0.202434	0.0893474	0.143806	0.116621	0.176511	0.0841664	0.0500901	0.158675	0.142046	0.0484469	0.101329	0.111645	0.00776621	0.130641	0.0576255	0.275131	0.012901	0.0592163	0.111996	0.0604427	0.0670938	0.129062	0.0631392	0.137029	0.0956803	0.188438	0.322653	0.0971448	0.112896	0.0265749	0.262409	0.052919	0.605512	0.12597	0.116424	0.006717	0.233362	0.0831386	0.0530609	0.679394	0.0780574	0.00955756	0.00617922	0.0124577	0.0200502	0.00459281	0.0223086	0.0112583	0.00549147	0.00270078	0.0715853	0.00287909	0.00708647	0.0123722	0.00517589	0.00953099	0.0467592	0.00596994	0.00533191	0.0446168	0.0128626	0.0147642	0.0058134	0.000821054	0.00158196	0.0109347	0.0457861	0.0192792	0.0104032	0.0256771	0.00490451	0.015793	0.0148365	0.0465769	0.00264861	0.0397183	0.00952457	0.00612399	0.0185297	0.0490009	0.300942	0.870735	2.77932	0.5491554	2.102466	0.629894	0.677387	0.467812	0.635788	0.395027	0.441148	0.609694	0.616746	0.515722	0.901109	0.662649	0.406652	1.04643	0.645936	0.597273	0.974969	1	0.4756319	4.52334	1.724286	6.456015
230	-190596.2	-190578.4	-17.79751	0.5799502	0.0915569	0.0670003	0.193106	0.0847799	0.144741	0.114684	0.167939	0.0919802	0.0470587	0.149471	0.151612	0.0561642	0.102627	0.10823	0.00695085	0.118245	0.0565755	0.275131	0.0118238	0.0605239	0.109235	0.0663463	0.0635359	0.129036	0.0570082	0.131191	0.0956803	0.174476	0.316156	0.0888901	0.106449	0.0254748	0.2547	0.0430885	0.612989	0.114944	0.10744	0.00439204	0.223935	0.0706247	0.0569048	0.658499	0.0736266	0.00941726	0.00532581	0.0114001	0.0195713	0.00490664	0.0222594	0.00953576	0.00487006	0.00325596	0.0752481	0.0029964	0.00551833	0.011865	0.00420061	0.00651587	0.0484475	0.00631466	0.00498832	0.0443251	0.0139371	0.0146018	0.00708161	0.00110248	0.0015708	0.0123874	0.0421663	0.0216523	0.0169487	0.0211007	0.00430865	0.0122018	0.0141967	0.0431594	0.00220311	0.0327967	0.00870584	0.00567547	0.015862	0.0490009	0.300942	0.870735	2.77932	0.5424467	2.230841	0.692425	0.633432	0.533038	0.612427	0.426768	0.511874	0.658813	0.589049	0.585604	0.687371	0.652789	0.457249	1.00892	0.677561	0.632447	0.986067	1	0.4482613	4.485737	1.724286	6.277444
240	-190467.8	-190454.1	-13.76559	0.5799502	0.0846848	0.0698626	0.190967	0.0813048	0.131766	0.103445	0.173132	0.0834218	0.0437044	0.150303	0.144425	0.0503834	0.0962266	0.105723	0.00636948	0.122764	0.0505803	0.255247	0.0120274	0.0560076	0.109235	0.055671	0.0606312	0.126924	0.0567986	0.129498	0.0922664	0.160466	0.309731	0.0873219	0.106449	0.0267604	0.247934	0.042412	0.612989	0.110845	0.106748	0.00564445	0.226144	0.0637442	0.0525817	0.649395	0.0697794	0.00621736	0.00499615	0.0114547	0.0219642	0.0045989	0.0213319	0.0101135	0.00227402	0.00475504	0.073924	0.00222302	0.00752234	0.0123371	0.00548527	0.00664709	0.0488653	0.00753173	0.00366114	0.0396601	0.0118188	0.012673	0.00755659	0.000684868	0.00136136	0.00984163	0.0406244	0.0268233	0.0235206	0.0217557	0.0036855	0.014002	0.0132828	0.0397941	0.00277581	0.0342655	0.00759682	0.00638288	0.0125214	0.0490009	0.300942	0.870735	2.77932	0.5438547	4.425525	0.764573	0.717618	0.54315	0.620774	0.439067	0.511868	0.65804	0.641962	0.587739	0.722823	0.751472	0.462254	1.02077	0.66582	0.574027	1.03269	1	0.2259619	4.480398	1.724286	6.108844
250	-190426.3	-190414.1	-12.16329	0.5673038	0.0778897	0.0702776	0.190779	0.0821091	0.124256	0.0995037	0.172389	0.0837384	0.0469083	0.148767	0.139249	0.0489812	0.100145	0.103896	0.0060179	0.115529	0.0538245	0.249915	0.0129386	0.0586587	0.096051	0.0613018	0.0535652	0.126245	0.0528838	0.127358	0.0892122	0.168347	0.293979	0.0874696	0.10523	0.0234279	0.250135	0.0390015	0.572264	0.12481	0.108487	0.00577735	0.229746	0.0613026	0.0471692	0.644185	0.0621153	0.00535434	0.00393482	0.0113884	0.0172774	0.00450327	0.0249925	0.00893895	0.00262697	0.00501184	0.0662571	0.00242161	0.00664526	0.013448	0.0108947	0.00547779	0.0414926	0.00828982	0.00605354	0.043795	0.0116541	0.0140511	0.0105579	0.000665207	0.0014385	0.00918696	0.0414263	0.0250547	0.0261524	0.021155	0.00240599	0.0138597	0.0141744	0.039167	0.00300353	0.0286817	0.00796285	0.00575187	0.00707312	0.0464424	0.293602	0.863675	2.79628	0.5423353	6.615369	0.821933	0.738468	0.529226	0.645018	0.427798	0.539157	0.673509	0.641962	0.640575	0.769776	0.709021	0.497377	1.12332	0.670877	0.661253	1.02998	1	0.1511631	4.644369	1.762724	5.988063
260	-190404.3	-190391.1	-13.12596	0.5779635	0.0836515	0.0646501	0.184302	0.0799833	0.130473	0.0998341	0.159012	0.083108	0.0423694	0.142277	0.144638	0.0506462	0.0986844	0.105326	0.00599643	0.119612	0.0530998	0.250014	0.012208	0.0608523	0.105441	0.0597403	0.0598122	0.122611	0.057728	0.129265	0.0899676	0.165259	0.299145	0.084812	0.104128	0.0233324	0.240812	0.044449	0.604068	0.111725	0.105305	0.00667233	0.224343	0.0600638	0.052525	0.626632	0.0607873	0.00466808	0.00383111	0.0101689	0.0197661	0.00384275	0.0211708	0.0129085	0.00305225	0.00747644	0.0672348	0.00202196	0.00508365	0.0151769	0.0142062	0.00370052	0.0472374	0.0104236	0.00624934	0.0384014	0.0132559	0.0151923	0.0177276	0.000597583	0.00176084	0.00701785	0.0416532	0.0218591	0.0308724	0.0220554	0.00223813	0.0146926	0.0132595	0.0429776	0.00310238	0.0335503	0.00891171	0.00605104	0.00609046	0.0485972	0.299799	0.869646	2.78196	0.5479401	4.940848	0.701465	0.697645	0.51619	0.67111	0.427184	0.472584	0.69588	0.641962	0.582486	0.719796	0.657542	0.449737	1.18932	0.670877	0.643676	1.06334	1	0.2023944	4.648704	1.730213	6.008847
270	-190398.7	-190387.9	-10.82362	0.5779635	0.084768	0.0562188	0.186977	0.0727794	0.122451	0.0986776	0.151113	0.0768758	0.0430444	0.139478	0.13285	0.0481051	0.0989063	0.103868	0.0061677	0.112984	0.0566741	0.241341	0.0117749	0.0552792	0.101142	0.0576637	0.0616428	0.122659	0.0538185	0.1224	0.0911982	0.151937	0.281523	0.0823876	0.102647	0.0240469	0.249997	0.0460768	0.559637	0.114867	0.100259	0.00461925	0.210167	0.0566313	0.0465144	0.598468	0.0643526	0.00408453	0.00327079	0.0160232	0.0199142	0.00577901	0.0210567	0.00911015	0.00193674	0.00710861	0.0683781	0.00171359	0.00517179	0.0116066	0.0125001	0.0033892	0.0434891	0.00670898	0.00713801	0.039703	0.0136554	0.0139515	0.0183752	0.000548184	0.00189901	0.00626264	0.0392089	0.0271297	0.0325289	0.0209222	0.00261184	0.0141287	0.0139238	0.0402939	0.00352079	0.038222	0.0075046	0.00562284	0.00401648	0.0485972	0.299799	0.869646	2.78196	0.5479401	4.148238	0.695395	0.720695	0.522711	0.647642	0.456799	0.500383	0.758655	0.685811	0.64095	0.763534	0.721245	0.495744	1.24017	0.7222	0.666441	1.07783	1	0.2410662	4.507456	1.730213	5.797398
280	-190397.6	-190386.4	-11.14804	0.5779635	0.0807029	0.0685381	0.182665	0.0800548	0.126933	0.0986776	0.163414	0.0717419	0.0389664	0.131208	0.140068	0.0512457	0.0938847	0.092584	0.00659401	0.122646	0.0532168	0.232019	0.0129993	0.0547427	0.105565	0.0582807	0.0567447	0.119921	0.0532632	0.118025	0.0897012	0.151938	0.28753	0.0895441	0.105454	0.0266574	0.238521	0.0456014	0.534477	0.112106	0.0958202	0.00571543	0.218464	0.0567923	0.0493034	0.590383	0.0627275	0.003163	0.00379201	0.0133545	0.0175954	0.00479471	0.0235504	0.00846557	0.00231208	0.0080003	0.0632257	0.00197943	0.0048986	0.010325	0.0158449	0.00259548	0.0487337	0.00512712	0.00684057	0.0417433	0.0104878	0.0165035	0.0197699	0.000782192	0.00174341	0.00498403	0.0383061	0.0208673	0.033503	0.0197638	0.00172263	0.0138558	0.0113785	0.0371245	0.00300597	0.0354057	0.0107871	0.00514517	0.00304038	0.0485972	0.299799	0.869646	2.78196	0.5456979	3.229856	0.711411	0.734836	0.560531	0.677405	0.479073	0.488835	0.698298	0.606246	0.640823	0.842236	0.724745	0.508727	1.21405	0.743812	0.703152	1.05908	1	0.3096113	4.582739	1.730213	5.749956
290	-190400	-190388.5	-11.45803	0.5779635	0.0859648	0.0609855	0.177384	0.0842033	0.128176	0.0911023	0.1604	0.0858682	0.0412145	0.146018	0.140068	0.0474439	0.0952876	0.103741	0.00575407	0.121571	0.0507982	0.228803	0.0149206	0.0542645	0.106227	0.0546045	0.0553718	0.128481	0.0507127	0.126418	0.0924214	0.157482	0.293457	0.0939446	0.101229	0.0229468	0.238521	0.0464241	0.554652	0.109556	0.101454	0.00664393	0.224552	0.0635118	0.0439035	0.606458	0.0642158	0.00236674	0.00497084	0.0132784	0.0219353	0.00488881	0.0200321	0.0103281	0.00252619	0.00656611	0.064865	0.00179141	0.00613078	0.0115959	0.0134766	0.0017471	0.0418515	0.00697726	0.00670678	0.0465803	0.00924142	0.014498	0.0248843	0.000659772	0.00230466	0.00628785	0.0414406	0.0227703	0.0320742	0.0178721	0.0017722	0.0142322	0.0115256	0.0375846	0.00316766	0.0321359	0.00786334	0.00641973	0.00232684	0.0485972	0.299799	0.869646	2.78196	0.5446984	9.41079	0.802641	0.739217	0.536614	0.675075	0.466739	0.49131	0.747521	0.634718	0.655154	0.870732	0.738843	0.467985	1.13712	0.714079	0.63301	1.04159	1	0.106261	4.550256	1.730213	5.844835
300	-190369.6	-190358.4	-11.16345	0.5779635	0.0833181	0.0640305	0.185875	0.0817557	0.129379	0.102985	0.153084	0.0832244	0.0419625	0.137706	0.135713	0.0463748	0.0922016	0.0924154	0.00670936	0.121571	0.0527012	0.227677	0.00988895	0.0563116	0.109548	0.0585188	0.0586722	0.116717	0.054256	0.123653	0.0919744	0.157482	0.297354	0.0893116	0.101176	0.0238801	0.249807	0.0356956	0.554652	0.110996	0.100957	0.00463325	0.208098	0.0620676	0.0463205	0.603319	0.0691346	0.00228896	0.00509241	0.0119456	0.0171946	0.00504468	0.0252775	0.0108327	0.00277546	0.00734194	0.0599596	0.00181236	0.00839469	0.013078	0.0167917	0.00117788	0.0408289	0.00663249	0.0057735	0.0497973	0.0109168	0.0127801	0.0222769	0.000749127	0.00180199	0.00578143	0.0405485	0.0226931	0.0329288	0.0210183	0.00363439	0.014271	0.0135461	0.0390454	0.00363623	0.032891	0.00871919	0.00591312	0.00232048	0.0485972	0.299799	0.869646	2.78196	0.5464564	9.99948	0.697095	0.724545	0.536616	0.657545	0.461009	0.520345	0.707393	0.701485	0.627497	0.816024	0.746316	0.48973	1.10221	0.714852	0.693352	1.04159	1	0.1000052	4.504903	1.730213	5.820622
310	-190369.1	-190357	-12.03994	0.5779635	0.0808108	0.0658735	0.180592	0.0870705	0.133506	0.1001	0.146662	0.083975	0.0417868	0.148453	0.128963	0.0511375	0.0944843	0.101891	0.00624448	0.115986	0.0531133	0.235969	0.0113692	0.0534962	0.10614	0.0571121	0.0620033	0.118595	0.0529811	0.11928	0.0867397	0.16973	0.297354	0.0842625	0.100355	0.0260491	0.250087	0.0436365	0.581929	0.113316	0.109364	0.0041164	0.2199	0.0654366	0.0498764	0.616706	0.0687873	0.00174317	0.00667604	0.0149862	0.0209662	0.00359804	0.0246641	0.0120978	0.00278565	0.00714117	0.0619471	0.00161324	0.00783318	0.0127245	0.0151316	0.000985282	0.0467976	0.00743973	0.0064263	0.0400543	0.00997807	0.0135339	0.0227773	0.000609837	0.00198129	0.00565311	0.0383842	0.0237473	0.0342181	0.0206883	0.00280137	0.0139479	0.0124312	0.0419966	0.00422786	0.0323083	0.0077504	0.00463586	0.00247335	0.0485972	0.299799	0.869646	2.78196	0.5439082	7.404758	0.705649	0.718496	0.526368	0.634637	0.460309	0.462174	0.72048	0.67687	0.54988	0.851934	0.705603	0.52318	1.1415	0.657108	0.657498	1.0622	1	0.1350483	4.683268	1.730213	5.914995
320	-190322.9	-190309.7	-13.20506	0.5779635	0.084196	0.0643445	0.190254	0.0801995	0.129787	0.103086	0.153094	0.0843835	0.0426735	0.13215	0.139524	0.0471381	0.101819	0.10446	0.0067817	0.123985	0.0535522	0.253709	0.0123975	0.052591	0.10248	0.0631622	0.0568676	0.120121	0.0538463	0.121256	0.0941375	0.166593	0.300551	0.0906257	0.108422	0.0259861	0.258121	0.0423427	0.570731	0.11829	0.110574	0.0039408	0.224943	0.0551856	0.0466532	0.659985	0.0628569	0.00363228	0.00477961	0.013984	0.0243474	0.00335981	0.0190253	0.0117417	0.00312907	0.00661924	0.0723966	0.00205102	0.00653739	0.0150964	0.0173071	0.000956162	0.0493825	0.00662199	0.00665969	0.0413965	0.0145422	0.0124434	0.0227713	0.000757508	0.00360022	0.00640151	0.0468174	0.0296007	0.0358064	0.0201998	0.00287419	0.0127435	0.0130273	0.0470788	0.00452645	0.0306525	0.0102859	0.00494508	0.00276849	0.0485972	0.299799	0.869646	2.78196	0.5449841	5.25469	0.828033	0.709923	0.556721	0.62223	0.449217	0.463574	0.677037	0.655672	0.556958	0.924391	0.704755	0.425354	1.0622	0.685407	0.682184	1.03314	1	0.1903062	4.526311	1.730213	6.048663
330	-190292.6	-190278.8	-13.77191	0.5804801	0.0845385	0.0661849	0.182555	0.0844124	0.122014	0.0912728	0.139939	0.0812389	0.043136	0.138546	0.138875	0.0547328	0.101791	0.107258	0.00590607	0.124301	0.0542066	0.24827	0.0112581	0.0544067	0.104794	0.059796	0.056783	0.14186	0.0539286	0.13197	0.0908413	0.165355	0.303365	0.089481	0.105743	0.0271326	0.250822	0.045597	0.601966	0.120718	0.105219	0.00531487	0.2195	0.0629645	0.05348	0.632038	0.066928	0.00389936	0.00473322	0.0159317	0.0224533	0.00200175	0.0218373	0.00809973	0.0037164	0.00471673	0.0664538	0.00232812	0.00850386	0.010412	0.0158502	0.00108124	0.0517707	0.00727447	0.00627675	0.0437212	0.0142519	0.0131924	0.0225887	0.000680665	0.00923063	0.00601038	0.0465588	0.0224619	0.0383357	0.0227287	0.00455669	0.013104	0.013072	0.0409191	0.00438806	0.0349264	0.00995432	0.00546183	0.00361577	0.0491086	0.301246	0.871024	2.77862	0.5444354	6.379362	0.750544	0.702103	0.542077	0.639698	0.401537	0.495997	0.690245	0.668316	0.571543	0.787303	0.695886	0.423925	1.11365	0.666783	0.623123	1.06079	1	0.1567555	4.614538	1.722712	6.057541
340	-190282.4	-190269.7	-12.74842	0.5804801	0.0902881	0.0679318	0.182406	0.0756124	0.131606	0.0972674	0.158063	0.0739121	0.0509908	0.126691	0.134666	0.0498644	0.101586	0.107258	0.00588654	0.122064	0.0602569	0.242355	0.0120094	0.0534838	0.114202	0.0598361	0.0609038	0.11923	0.054728	0.115514	0.0888194	0.15966	0.309811	0.0865911	0.109052	0.0254925	0.246963	0.0526661	0.601966	0.113901	0.107618	0.00672091	0.216881	0.0578489	0.044203	0.630147	0.0636847	0.00424871	0.00401337	0.0171131	0.0201044	0.0022181	0.0285761	0.01014	0.003112	0.00370298	0.0776967	0.00167771	0.00690466	0.0130105	0.0172447	0.00146521	0.0536433	0.00717473	0.00733067	0.0457071	0.011491	0.0157103	0.0227657	0.000926803	0.0132135	0.00482554	0.0417563	0.0230313	0.029765	0.0187966	0.00498894	0.0132786	0.0118593	0.0432181	0.00433341	0.0374656	0.00965281	0.00594019	0.00310711	0.0491086	0.301246	0.871024	2.77862	0.5486172	5.212682	0.660656	0.65519	0.566899	0.645618	0.452144	0.519118	0.68656	0.613021	0.605944	0.772219	0.684537	0.463928	1.11365	0.681513	0.676619	1.02113	1	0.1918398	4.594035	1.722712	6.031849
350	-190255.1	-190241.4	-13.70811	0.5804801	0.0895636	0.0666053	0.193086	0.0784606	0.127297	0.0907645	0.161392	0.0819359	0.0514831	0.122482	0.134666	0.0500914	0.0952467	0.10182	0.0076259	0.11731	0.0509277	0.232559	0.0132119	0.0535226	0.0953429	0.0600823	0.0609869	0.124457	0.0555199	0.124996	0.0889505	0.163423	0.297311	0.0848362	0.108205	0.0286712	0.251106	0.0382821	0.573582	0.113196	0.102684	0.00672091	0.208177	0.0656621	0.0465539	0.621746	0.0665104	0.00584645	0.00629227	0.0170629	0.0207191	0.0015027	0.0252491	0.0108472	0.00329788	0.00574464	0.0727093	0.00114781	0.00592715	0.0144644	0.0172105	0.00167135	0.0518285	0.00850366	0.00588084	0.0427532	0.00987212	0.0168398	0.0215559	0.000660219	0.0102372	0.00561251	0.0394494	0.0232796	0.0343964	0.0222031	0.00444264	0.0132539	0.00809182	0.0427258	0.00315782	0.0344077	0.0129082	0.00649888	0.0051083	0.0491086	0.301246	0.871024	2.77862	0.5459696	10.70561	0.821012	0.745331	0.545436	0.656192	0.445707	0.526809	0.706698	0.618963	0.570244	0.89154	0.710563	0.465235	1.09842	0.667482	0.650518	1.03606	1	0.09340896	4.531996	1.722712	5.940413
360	-190253.6	-190241.3	-12.25511	0.5805623	0.0858598	0.0625102	0.183081	0.076986	0.128596	0.0999579	0.151731	0.0791184	0.04647	0.127658	0.140917	0.0514217	0.0896311	0.104189	0.00661217	0.118294	0.0503251	0.220622	0.010872	0.0557411	0.0989171	0.0608344	0.0611624	0.125836	0.0567345	0.12618	0.0959229	0.160755	0.297311	0.0839869	0.107562	0.0265502	0.251643	0.0436393	0.584733	0.114657	0.104404	0.00470541	0.225633	0.0644949	0.0492228	0.609942	0.0692598	0.00779784	0.00706224	0.0182127	0.0210411	0.00123837	0.0241899	0.0114932	0.00316382	0.00643461	0.0700445	0.00114873	0.00628776	0.0157494	0.0164835	0.00170873	0.0570722	0.00469507	0.00546726	0.0367703	0.00949447	0.0134053	0.0240641	0.000852083	0.010274	0.00408167	0.0374615	0.0234907	0.0327733	0.0222718	0.0056601	0.015079	0.00949815	0.0442922	0.00382696	0.0318365	0.0093538	0.00579982	0.00569716	0.0491254	0.301293	0.871069	2.77851	0.5512324	4.716704	0.780929	0.709342	0.534328	0.64466	0.404408	0.45534	0.698059	0.657037	0.622551	0.781242	0.739721	0.447036	1.06917	0.682835	0.591773	1.01465	1	0.2120125	4.656063	1.722468	5.939955
370	-190212.4	-190199.6	-12.84728	0.5720475	0.0858598	0.0674967	0.175658	0.0808778	0.134423	0.105072	0.136065	0.0860214	0.0450095	0.125037	0.147614	0.0480815	0.0962693	0.104189	0.00766279	0.126036	0.0555962	0.221197	0.0101744	0.0597385	0.106376	0.0656468	0.0578874	0.115847	0.0512088	0.124579	0.0956187	0.163493	0.297299	0.0822305	0.105068	0.0244034	0.26064	0.0449949	0.596546	0.109993	0.105111	0.00400442	0.225881	0.0633197	0.0487294	0.575156	0.0691935	0.00762238	0.00535533	0.0154545	0.0195337	0.00136176	0.0219027	0.00968008	0.00280388	0.0104526	0.0753197	0.00115827	0.00533444	0.0126491	0.0135839	0.00220979	0.0505222	0.00621645	0.00434177	0.036954	0.00885981	0.018278	0.0233041	0.000853306	0.0140261	0.00465018	0.0357006	0.0278672	0.0367325	0.0215113	0.00460822	0.0130026	0.0100703	0.0367885	0.00397963	0.0353721	0.00995306	0.00384589	0.00779633	0.0473989	0.296373	0.86636	2.78987	0.542789	3.461799	0.716966	0.679552	0.496367	0.630989	0.469148	0.50669	0.68514	0.67268	0.56195	0.878092	0.675225	0.41568	1.05619	0.642491	0.605978	1.07278	1	0.2888672	4.635471	1.748107	5.930962
380	-190193.2	-190182.1	-11.09996	0.5836192	0.0865128	0.068613	0.187333	0.0823513	0.128574	0.0964135	0.143427	0.0761604	0.0397086	0.121245	0.146309	0.0490248	0.0991331	0.106471	0.0065576	0.11606	0.0543244	0.228693	0.0109901	0.0590581	0.106376	0.0575996	0.0579374	0.120517	0.0583851	0.112318	0.092444	0.163451	0.293221	0.0816001	0.102938	0.02648	0.248496	0.0373342	0.564078	0.109006	0.0995339	0.00434652	0.210975	0.0653034	0.0520207	0.58804	0.0694471	0.00892976	0.00501239	0.0175113	0.022482	0.00109265	0.0227393	0.00964974	0.00281988	0.0107729	0.0679833	0.00154382	0.00466457	0.0101594	0.0182992	0.00259082	0.0510073	0.00472306	0.00353963	0.0395832	0.0118978	0.0187389	0.0216247	0.000798785	0.0094861	0.00427337	0.0417899	0.0226743	0.0348689	0.0217695	0.00406349	0.0149105	0.0142572	0.0411577	0.00214633	0.0392317	0.00942451	0.00442353	0.00803398	0.049748	0.303043	0.872726	2.77448	0.5505427	5.311667	0.750964	0.716969	0.528722	0.692589	0.454737	0.453934	0.681966	0.662647	0.592299	0.806427	0.752387	0.462236	1.08685	0.671349	0.618565	1.01908	1	0.1882648	4.562191	1.713446	5.859483
390	-190127.7	-190118.6	-9.091887	0.5838197	0.08057	0.0620516	0.185552	0.0849158	0.125113	0.0934744	0.152213	0.0813145	0.0409501	0.114384	0.135687	0.0499455	0.0953195	0.0999423	0.00752137	0.124472	0.0490901	0.220817	0.0112318	0.0604005	0.105046	0.0659812	0.0573119	0.115234	0.0508124	0.116759	0.0850374	0.163115	0.300839	0.0845305	0.0982597	0.0231442	0.231735	0.0432745	0.496459	0.111224	0.102569	0.00555368	0.210975	0.0606098	0.0464039	0.534633	0.0628013	0.00881979	0.00317399	0.0145846	0.023331	0.00107526	0.020633	0.0109166	0.00275422	0.0129502	0.0648368	0.00161459	0.003817	0.0113954	0.0163507	0.00279345	0.0519223	0.00573545	0.00489487	0.0328805	0.0126493	0.0143602	0.0208046	0.000797681	0.0103269	0.00417481	0.0351354	0.0229041	0.0365722	0.0230064	0.00556114	0.0125539	0.0108777	0.0400133	0.00237208	0.0306532	0.0124906	0.00525731	0.0080918	0.0497889	0.303158	0.872834	2.77422	0.549571	7.524481	0.774215	0.713678	0.488059	0.625983	0.446755	0.545056	0.76537	0.677898	0.600646	0.728883	0.771536	0.469754	1.11298	0.70843	0.644174	1.03345	1	0.1328995	4.548423	1.712858	5.650356
400	-190094.6	-190087.1	-7.473072	0.5838197	0.08057	0.0633396	0.178127	0.0758628	0.12256	0.0917572	0.147339	0.0769321	0.0412986	0.120929	0.127911	0.0450054	0.0976609	0.103721	0.00580938	0.114783	0.0519058	0.214736	0.0108661	0.0508374	0.0977427	0.0570305	0.0572013	0.122777	0.0503626	0.120017	0.0895171	0.15193	0.27313	0.0763886	0.101858	0.0223226	0.22827	0.0458286	0.508788	0.105678	0.0955047	0.00533124	0.200865	0.0550417	0.050923	0.497188	0.0603819	0.00582162	0.00308309	0.0117553	0.0222782	0.00114887	0.0244701	0.0101054	0.00176515	0.0116684	0.0648966	0.00237612	0.00554402	0.00915495	0.0168411	0.00279176	0.0551475	0.00708934	0.00509818	0.0358069	0.0150285	0.0131011	0.0191489	0.000978729	0.0123985	0.00485133	0.0354602	0.0205997	0.0317168	0.0186787	0.0068748	0.0137682	0.0114	0.0400906	0.00303097	0.0334549	0.00909212	0.00497688	0.00649103	0.0497889	0.303158	0.872834	2.77422	0.5441395	9.843056	0.803338	0.779039	0.547041	0.692115	0.46031	0.505824	0.738921	0.663131	0.64388	0.835872	0.7601	0.513266	1.18749	0.693402	0.695276	1.08315	1	0.1015945	4.546298	1.712858	5.494013
