Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	disc_rates[1]	disc_rates[2]	disc_rates[3]	disc_rates[4]	gamma[1]	gamma[2]	gamma[3]	gamma[4]	gamma[5]	gamma[6]	gamma[7]	gamma[8]	gamma[9]	gamma[10]	gamma[11]	gamma[12]	gamma[13]	gamma[14]	gamma[15]	gamma[16]	gamma[17]	gcalpha	gcbeta	gcinvconc	kappa	meangc	rate_var	TL
100	-196737.1	-196758.7	21.63654	0.5378898	0.0727692	0.124205	0.126098	0.063847	0.102486	0.0772496	0.110035	0.0629172	0.0720836	0.10941	0.115992	0.0644742	0.0759205	0.10204	0.00485788	0.118513	0.0497848	0.185628	0.00709951	0.0425326	0.104574	0.0531476	0.0531804	0.108135	0.0965639	0.104791	0.0702702	0.130063	0.192154	0.0718467	0.0802845	0.0183611	0.216645	0.082621	0.41092	0.112082	0.096019	0.00513503	0.200667	0.0464449	0.0382027	0.464831	0.00540782	0.00928247	0.00535297	0.0640118	0.0305946	0.0138838	0.00609824	0.00459337	0.00308774	0.0141067	0.00232562	0.0214963	0.0249677	0.0144999	0.0185219	0.00609164	0.00277316	0.0122543	0.00121809	0.00148902	0.00615167	0.000994575	0.0304267	0.00498686	0.0015384	0.000986004	0.00634424	0.0508639	0.00809846	0.00316739	0.00790212	0.01254	0.00768683	0.0272009	0.00557454	0.006231	0.00255437	0.0226587	0.00999345	0.0406074	0.275933	0.845994	2.83747	0.617675	0.63958	0.569638	0.483291	0.42603	0.633831	0.484185	0.593527	0.55205	0.575839	0.635333	0.490383	0.574349	0.66379	0.516487	0.62697	0.42367	24.14	18.5188	0.02344182	4.823409	0.5658856	1.859117	4.922837
110	-195671.9	-195694	22.02967	0.5378898	0.0699439	0.120984	0.141032	0.0627807	0.103157	0.0755822	0.114892	0.0567914	0.0648091	0.112407	0.119114	0.0642067	0.0705918	0.0993136	0.0046332	0.109617	0.0539129	0.199635	0.00785888	0.0433856	0.0958072	0.0513869	0.0538743	0.105653	0.0913464	0.0905668	0.0712429	0.12554	0.230083	0.0647216	0.0853009	0.0167643	0.221158	0.0763146	0.321693	0.108142	0.0834325	0.00469291	0.199978	0.0474025	0.0361984	0.40791	0.00392309	0.00862354	0.00417813	0.0504286	0.0322608	0.0116995	0.00565146	0.00370893	0.00193677	0.0140727	0.00225254	0.0337685	0.0339312	0.0141693	0.0137257	0.00299171	0.00410885	0.00847443	0.00136715	0.00211029	0.00817964	0.00123304	0.0240806	0.00824176	0.00102507	0.00132171	0.00603077	0.0553642	0.00780998	0.00442288	0.0071072	0.00905291	0.00612089	0.0189232	0.00673145	0.00606708	0.00239915	0.0170969	0.00781856	0.0406074	0.275933	0.845994	2.83747	0.63027	0.634583	0.534747	0.464334	0.425202	0.643744	0.490575	0.574524	0.550337	0.60627	0.657857	0.481926	0.567797	0.683564	0.518384	0.616864	0.410372	21.01421	16.38946	0.02673534	4.810995	0.5618221	1.859117	4.736268
120	-194481.7	-194506	24.3071	0.5384885	0.06666	0.121017	0.142969	0.0647109	0.100224	0.0755822	0.108015	0.0561287	0.0632535	0.104195	0.114615	0.0590547	0.0722891	0.0787326	0.00547181	0.114285	0.047521	0.197706	0.00940668	0.0414349	0.0990059	0.0464431	0.0480144	0.110462	0.070824	0.0911762	0.0649796	0.12554	0.226318	0.0655079	0.0783154	0.0153621	0.207175	0.0725583	0.281012	0.102405	0.0771206	0.00340421	0.191769	0.0461555	0.0368495	0.21519	0.00236698	0.00914222	0.00260658	0.0680762	0.0308376	0.0166058	0.00521235	0.00220974	0.00257766	0.0116837	0.00237903	0.0423277	0.0449226	0.00833745	0.0194523	0.00173993	0.00263491	0.00821125	0.00123884	0.00208851	0.0108085	0.00100012	0.0258154	0.00961909	0.000990344	0.00192018	0.00503547	0.0467752	0.0100253	0.00697479	0.00444651	0.00625902	0.00451398	0.0161753	0.011345	0.00508813	0.00339681	0.0123474	0.00791406	0.0407244	0.276301	0.846372	2.8366	0.600556	0.636645	0.580905	0.464334	0.422923	0.654582	0.491683	0.604095	0.529955	0.600699	0.655414	0.487768	0.564215	0.674672	0.502343	0.61032	0.404906	33.76006	26.33024	0.01664162	4.865133	0.5618221	1.85705	4.393961
130	-193950.7	-193977.5	26.83632	0.5384885	0.0657723	0.121413	0.131599	0.0617547	0.0948221	0.0760687	0.117321	0.0537372	0.0605325	0.113398	0.115059	0.0601727	0.0759678	0.0813363	0.0042141	0.107243	0.0499003	0.195461	0.00997889	0.0403619	0.091095	0.0457879	0.0444373	0.0999863	0.0575462	0.0916604	0.0667079	0.120722	0.24081	0.0629587	0.0772004	0.0176136	0.186853	0.068687	0.214047	0.109597	0.0776709	0.0037695	0.189372	0.0437527	0.0344105	0.142303	0.00444984	0.00844093	0.0022552	0.0821258	0.0298216	0.0136754	0.00515284	0.0043796	0.00243946	0.0129579	0.00265348	0.0464753	0.0485558	0.00520398	0.0202905	0.00271858	0.00245733	0.0112939	0.00144699	0.00251616	0.00904513	0.00179221	0.0200949	0.0097832	0.000851317	0.00259313	0.00365014	0.0493099	0.0116223	0.00854825	0.00340842	0.00424407	0.00221825	0.0131046	0.0163809	0.0044237	0.00546771	0.0107101	0.00511458	0.0407244	0.276301	0.846372	2.8366	0.606945	0.618557	0.567685	0.464857	0.419993	0.66192	0.483847	0.593537	0.529955	0.580902	0.656382	0.46633	0.541866	0.647115	0.566016	0.631953	0.380407	18.95537	14.78373	0.0296392	4.675933	0.5618221	1.85705	4.214776
140	-193087.8	-193113.7	25.88955	0.5449179	0.0586375	0.119341	0.132668	0.0567725	0.0981067	0.0711215	0.11705	0.0576364	0.0579865	0.108723	0.105445	0.0576926	0.0616545	0.0787971	0.00525601	0.104245	0.0512328	0.195225	0.00800911	0.0385484	0.0820284	0.0440127	0.0449447	0.0956291	0.0542388	0.08716	0.0628961	0.12377	0.220071	0.0670256	0.0788454	0.0181721	0.196065	0.0655041	0.148426	0.0924324	0.0679592	0.00418867	0.179822	0.0434027	0.0349737	0.10047	0.00500064	0.00692226	0.00198609	0.13764	0.0288872	0.0081734	0.00455363	0.00318318	0.00350661	0.00869699	0.0024237	0.0480327	0.0469811	0.00464248	0.0280348	0.00277177	0.00194606	0.012603	0.00227088	0.00161034	0.00774936	0.00153489	0.0112852	0.0121117	0.000885636	0.00419426	0.00256833	0.0496574	0.016017	0.00964707	0.00204877	0.00441223	0.00195838	0.00928834	0.0145562	0.00322293	0.00748828	0.0090006	0.00591966	0.0419854	0.280232	0.850388	2.8274	0.601727	0.636012	0.590416	0.456642	0.434036	0.649903	0.486432	0.591418	0.496233	0.587815	0.657986	0.522566	0.550063	0.683127	0.492922	0.64579	0.364983	8.714599	6.796714	0.06446907	4.806262	0.5618221	1.835139	4.0296
150	-191955.1	-191982.9	27.8301	0.5449179	0.0617136	0.115848	0.132966	0.0535909	0.0953449	0.0694199	0.106788	0.056145	0.0594888	0.114282	0.105445	0.0602583	0.0686004	0.0753014	0.00404396	0.0954657	0.0398785	0.193269	0.00782698	0.0392196	0.0846451	0.0471107	0.0424065	0.0999152	0.0365711	0.0863187	0.0652156	0.10878	0.190156	0.0639266	0.0739937	0.0188585	0.178276	0.0629134	0.126917	0.0931494	0.0744249	0.00480813	0.178702	0.0400966	0.0376934	0.0910032	0.00623303	0.00765314	0.00127404	0.218974	0.0289447	0.00797881	0.00293401	0.00298639	0.0057775	0.00753691	0.00346282	0.0465168	0.040269	0.00436014	0.0279948	0.00267028	0.00280383	0.0115009	0.00210005	0.00117193	0.00554633	0.00125067	0.0128558	0.0151851	0.00139522	0.00587238	0.00444666	0.0483709	0.0143915	0.0101311	0.0015031	0.00560002	0.00157394	0.00843898	0.0136825	0.00344763	0.00773796	0.00838548	0.00554777	0.0419854	0.280232	0.850388	2.8274	0.570369	0.620515	0.560022	0.476372	0.426398	0.692567	0.488014	0.629504	0.5327	0.599946	0.655514	0.492901	0.580093	0.688314	0.519641	0.64579	0.410736	10.84428	8.760671	0.05100753	4.634761	0.5531398	1.835139	3.969283
160	-191543.2	-191572.6	29.37124	0.5449179	0.0566915	0.101556	0.127859	0.0558847	0.0912734	0.0661993	0.107339	0.0521262	0.0589574	0.110806	0.106975	0.0588388	0.0642547	0.0734794	0.00519719	0.0895663	0.0398785	0.180932	0.00805899	0.0379143	0.0896946	0.0436498	0.0431455	0.0924911	0.0388318	0.0869257	0.0665936	0.11186	0.205938	0.0660857	0.0750615	0.0167446	0.174846	0.0663886	0.0980018	0.0875231	0.0673347	0.00502358	0.184323	0.0438998	0.0325937	0.0876893	0.00947993	0.00599898	0.00119081	0.279036	0.0281815	0.00575298	0.0017615	0.00281885	0.0107525	0.00727414	0.00476936	0.0482718	0.036277	0.00618774	0.0298339	0.00258835	0.0042284	0.01214	0.00248606	0.00113294	0.00390781	0.000768239	0.0109383	0.0136754	0.00155944	0.0128384	0.00553211	0.0486887	0.00948075	0.0102332	0.00174455	0.00457352	0.0022406	0.015884	0.0142637	0.00346467	0.00905298	0.00947449	0.00467544	0.0419854	0.280232	0.850388	2.8274	0.571494	0.625525	0.56424	0.482602	0.430315	0.659952	0.484799	0.616575	0.535949	0.578625	0.67881	0.482123	0.574929	0.684969	0.5203	0.636182	0.401353	21.36809	17.26245	0.02588626	4.703838	0.5531398	1.835139	3.961592
170	-191189.6	-191216.5	26.86553	0.5449179	0.0600274	0.107977	0.121448	0.0584482	0.0899357	0.0674557	0.107119	0.0524237	0.0573927	0.0949018	0.112035	0.0584058	0.0624678	0.0750926	0.00419626	0.086272	0.0385586	0.183781	0.00860805	0.0406442	0.086839	0.0409478	0.0397503	0.0966305	0.0373021	0.0869257	0.0650402	0.114392	0.203447	0.0647951	0.0780109	0.0173976	0.176684	0.0688498	0.0959026	0.0875231	0.0701999	0.00429934	0.185081	0.0421505	0.0348649	0.0828368	0.0116342	0.00672325	0.00121435	0.314175	0.0287602	0.00413982	0.00146446	0.00260736	0.00940586	0.0105982	0.00627889	0.0469972	0.0373468	0.00596392	0.0292754	0.00177007	0.00648829	0.0105005	0.0019932	0.00127032	0.00306551	0.00144006	0.012127	0.0102864	0.00231926	0.0107117	0.00723267	0.0480708	0.0045286	0.00953049	0.00159644	0.00438615	0.00173235	0.0251548	0.0162121	0.00374154	0.0104813	0.0095474	0.00441293	0.0419854	0.280232	0.850388	2.8274	0.560371	0.632044	0.548798	0.467811	0.402641	0.625892	0.491577	0.619737	0.543079	0.56414	0.682856	0.481103	0.581112	0.669743	0.505372	0.64539	0.386785	32.23059	26.03784	0.01716195	4.791833	0.5531398	1.835139	3.992246
180	-190655.7	-190683.5	27.72355	0.5449179	0.0621444	0.105682	0.122831	0.0602185	0.088007	0.0689659	0.113543	0.0557906	0.0530711	0.100371	0.105469	0.0583319	0.0608542	0.0722471	0.00384539	0.0848563	0.0385703	0.185791	0.00920176	0.0397054	0.074412	0.0422288	0.0383092	0.0905411	0.0418467	0.0852377	0.0650868	0.115286	0.203447	0.0592473	0.0815141	0.0194648	0.176168	0.0646348	0.0862363	0.0833602	0.0692678	0.0046392	0.173906	0.0425927	0.0302434	0.0811452	0.0079188	0.00612694	0.000922549	0.330278	0.0291057	0.00315933	0.00188838	0.00168328	0.00701016	0.0132714	0.00492113	0.0497592	0.0310533	0.00415817	0.0291034	0.00178966	0.00480621	0.0105667	0.00206892	0.00193322	0.00300697	0.00161085	0.0151934	0.00989428	0.00242547	0.00496019	0.00524087	0.0507489	0.00587894	0.0104637	0.00236548	0.00318013	0.00302059	0.0334433	0.0165667	0.00436354	0.00776001	0.00841353	0.00989898	0.0419854	0.280232	0.850388	2.8274	0.60462	0.613355	0.58027	0.461241	0.441291	0.659913	0.49048	0.61919	0.523918	0.58028	0.65139	0.47372	0.570166	0.666034	0.494535	0.618438	0.365122	10.26901	8.295938	0.05386494	4.69311	0.5531398	1.835139	3.958274
190	-190340.4	-190369.7	29.34398	0.5817801	0.0577493	0.0882375	0.135324	0.0603428	0.0911968	0.0730182	0.114754	0.0557516	0.0513742	0.101493	0.0995005	0.0584262	0.0654179	0.0728658	0.00461643	0.0844991	0.0376404	0.188904	0.00946465	0.0434382	0.0751078	0.0392873	0.044091	0.0980318	0.0387925	0.0872491	0.0644451	0.12371	0.207236	0.0624877	0.0768768	0.0161675	0.176518	0.058946	0.0965694	0.0780419	0.0770731	0.00319331	0.191744	0.0416412	0.0321317	0.0783633	0.013537	0.00721212	0.000789917	0.330745	0.0309966	0.00236377	0.00188478	0.00321357	0.00817452	0.0164793	0.00356586	0.0453456	0.0208454	0.00475881	0.0293369	0.00177154	0.0032233	0.0104378	0.0025467	0.0024554	0.00196711	0.00124782	0.0143644	0.00908606	0.00301789	0.0033172	0.00630092	0.0496857	0.00835204	0.0115455	0.00421474	0.0034277	0.0043457	0.0341608	0.0147755	0.00540052	0.00673653	0.00727426	0.0119786	0.0493732	0.301992	0.871731	2.7769	0.56985	0.622115	0.604604	0.473768	0.449196	0.658379	0.49048	0.601035	0.535019	0.597761	0.659925	0.465906	0.559483	0.676899	0.53298	0.61423	0.389036	22.22757	18.61145	0.02448639	4.745983	0.5442729	1.718862	4.002602
200	-189987.2	-190016.7	29.49826	0.5817801	0.0588088	0.0739506	0.132917	0.0582868	0.0927607	0.0773696	0.111228	0.0549515	0.054483	0.104393	0.0977783	0.0594671	0.069739	0.0722699	0.00516359	0.080575	0.0337843	0.191464	0.00907623	0.0392928	0.0751078	0.0405752	0.0442296	0.0916516	0.0378573	0.0844163	0.0656259	0.110525	0.207236	0.065514	0.0825213	0.0169402	0.171479	0.0672816	0.0982984	0.0807199	0.0711564	0.00406851	0.165921	0.0445907	0.0366482	0.0682766	0.0130089	0.00754237	0.000975043	0.351875	0.0284279	0.00307798	0.00175034	0.00366416	0.00650068	0.0189333	0.00531217	0.0452915	0.0162518	0.00397747	0.0309441	0.00164955	0.00287041	0.00999682	0.00170324	0.00256822	0.00136144	0.00138173	0.0157399	0.00655107	0.0037943	0.00271469	0.00593967	0.0458349	0.0109928	0.011876	0.00506388	0.00300159	0.00583837	0.0314622	0.0155331	0.00555973	0.00675842	0.00520698	0.0133208	0.0493732	0.301992	0.871731	2.7769	0.541597	0.590621	0.563908	0.465063	0.428967	0.675957	0.492501	0.597341	0.536097	0.547035	0.659925	0.480106	0.547601	0.673141	0.4948	0.608793	0.393357	29.03007	24.30728	0.01874859	4.671799	0.5442729	1.718862	3.962652
210	-189457.5	-189487.6	30.10713	0.5736399	0.060637	0.0529447	0.133304	0.0633894	0.0869091	0.0760196	0.120121	0.0562526	0.0394658	0.0959445	0.0989453	0.0609992	0.0681375	0.0717104	0.00469725	0.0833685	0.0385304	0.187825	0.00720879	0.0402463	0.0784618	0.0429294	0.0431434	0.0879294	0.0403768	0.0898762	0.0636019	0.120056	0.201821	0.0624355	0.0759139	0.0192387	0.176322	0.0629121	0.0906909	0.0858574	0.0911729	0.00413598	0.17039	0.050115	0.0353153	0.0863718	0.0181489	0.00869778	0.00120607	0.336669	0.0251956	0.00403105	0.00213621	0.0050275	0.00908462	0.0191214	0.00643014	0.0452915	0.0254819	0.00472525	0.0289911	0.00132771	0.00416496	0.0105684	0.00195927	0.00401713	0.00153873	0.00168218	0.0143269	0.00647278	0.00464001	0.00178783	0.00874912	0.0476708	0.00993237	0.0100156	0.00531978	0.00229413	0.00638929	0.0337425	0.0185684	0.00533498	0.00527652	0.00457484	0.0147158	0.0477209	0.297298	0.867251	2.78773	0.573484	0.623502	0.567152	0.47606	0.428967	0.653534	0.492501	0.629867	0.536097	0.596219	0.643234	0.486138	0.578267	0.671187	0.496239	0.624375	0.430948	27.34535	22.89663	0.01990367	4.797668	0.5442729	1.743254	3.991032
220	-189249.8	-189278.7	28.9384	0.5887206	0.0592681	0.0459567	0.139714	0.0661192	0.088129	0.0782039	0.110184	0.0587929	0.0345609	0.0976522	0.103302	0.0598783	0.0656861	0.0768534	0.00504592	0.082963	0.0386452	0.201281	0.00855071	0.0438086	0.0820317	0.045701	0.0423544	0.0909708	0.0393588	0.0928571	0.0647714	0.120903	0.205904	0.0608073	0.0834494	0.0195423	0.172953	0.0555667	0.0945614	0.0794857	0.0913402	0.00275738	0.152045	0.0410805	0.039826	0.0776744	0.0200448	0.00747741	0.00139805	0.339754	0.0260958	0.0028251	0.00173937	0.00609402	0.00814761	0.0185455	0.00760962	0.0488109	0.0408546	0.00494403	0.0320777	0.00140813	0.00423801	0.0111712	0.00256179	0.00530143	0.00134243	0.00128362	0.0152533	0.00665214	0.00533898	0.00176917	0.00665904	0.0457595	0.0100212	0.0113477	0.00419131	0.00185514	0.00890776	0.0183752	0.0169654	0.00422836	0.00407249	0.00502915	0.0133979	0.0507903	0.305944	0.875454	2.76781	0.590596	0.627087	0.55288	0.447917	0.429196	0.657376	0.488732	0.583788	0.547122	0.547058	0.642575	0.496149	0.566677	0.67027	0.515311	0.620252	0.366753	20.10212	17.60203	0.02652228	4.761776	0.5331541	1.698599	3.994084
230	-189153.4	-189183.3	29.96229	0.5887206	0.060762	0.0490854	0.129957	0.0638651	0.0897952	0.0682492	0.118169	0.0587948	0.0320247	0.0918595	0.0964001	0.0569954	0.0688847	0.077066	0.00485649	0.0866414	0.0405528	0.195843	0.00876012	0.0420264	0.0739962	0.0403992	0.0424104	0.0866932	0.0372955	0.0820277	0.0627777	0.120267	0.204856	0.0629294	0.0810001	0.0190243	0.170256	0.0517102	0.0932486	0.0819644	0.0831513	0.00365221	0.151986	0.0434542	0.034853	0.0759619	0.0281827	0.00779299	0.00143708	0.325747	0.0258417	0.00287798	0.00130486	0.0074237	0.00780841	0.017118	0.0106889	0.0454645	0.0358276	0.00401315	0.0305375	0.00169829	0.00510579	0.009599	0.00531248	0.00618257	0.00102206	0.00162606	0.0146556	0.00646247	0.00606019	0.00203006	0.006796	0.0424155	0.00896181	0.0117341	0.00447434	0.00159024	0.00746469	0.0153206	0.0179018	0.00310136	0.0052757	0.00424308	0.0142053	0.0507903	0.305944	0.875454	2.76781	0.590018	0.605409	0.573433	0.482505	0.407279	0.680112	0.470323	0.583788	0.530313	0.59611	0.649138	0.472459	0.553877	0.693461	0.524826	0.613884	0.426438	19.79895	16.99607	0.02717759	4.812792	0.5380878	1.698599	3.899806
240	-188973.3	-189004.4	31.15566	0.5887206	0.0593487	0.0418508	0.12424	0.059576	0.0895629	0.072818	0.112505	0.0534779	0.0224557	0.0910846	0.0952073	0.0541843	0.0663252	0.0732705	0.00406022	0.0829301	0.0380959	0.187088	0.00866164	0.0431615	0.0717093	0.0382775	0.044471	0.0833252	0.0334598	0.0905977	0.0617585	0.118556	0.209148	0.0585473	0.0810001	0.0191229	0.174171	0.0482535	0.0977632	0.0820938	0.0777118	0.00365329	0.148067	0.0432486	0.0361662	0.0800062	0.0304228	0.00789163	0.0015794	0.317618	0.0261408	0.00176675	0.00106823	0.0114791	0.00547363	0.0133292	0.0179269	0.0437669	0.0360857	0.00318537	0.0299454	0.00240822	0.00347917	0.00941744	0.00455561	0.005401	0.00138841	0.00210616	0.0144268	0.00854677	0.00973903	0.00150547	0.0041694	0.0453091	0.00851378	0.00959217	0.00441362	0.00174035	0.00988854	0.00854155	0.0185391	0.00398768	0.00817406	0.00398937	0.0139998	0.0507903	0.305944	0.875454	2.76781	0.588007	0.615817	0.556691	0.467103	0.425353	0.626075	0.497045	0.596994	0.510865	0.57103	0.660219	0.463815	0.557995	0.679502	0.533383	0.625033	0.502369	18.51531	12.65581	0.03208098	4.661578	0.5939892	1.698599	3.832524
250	-188906.5	-188936.2	29.68271	0.5887206	0.056728	0.0514874	0.12647	0.0591393	0.0836966	0.0686876	0.10639	0.0561895	0.0322108	0.0956361	0.095894	0.0566953	0.0693587	0.07214	0.00430885	0.0834518	0.0329174	0.184888	0.00769842	0.0414642	0.0758647	0.0370885	0.040877	0.087344	0.0371819	0.0870821	0.0668564	0.112982	0.206658	0.0665955	0.0788975	0.0174742	0.174907	0.0546013	0.0918698	0.0774846	0.0776852	0.00422833	0.151873	0.0424209	0.038835	0.0808104	0.0287529	0.00738363	0.00114122	0.302344	0.0259578	0.00147286	0.000995044	0.00768675	0.00600016	0.0171551	0.0219284	0.0475665	0.0299438	0.00249942	0.0299641	0.00238455	0.00477413	0.00997995	0.00531357	0.00492426	0.00172371	0.00209628	0.0136251	0.00839571	0.0108611	0.00124371	0.00252411	0.045923	0.00711795	0.00882286	0.00432347	0.00254306	0.0093122	0.00551979	0.0176099	0.00381614	0.012265	0.00447163	0.0139893	0.0507903	0.305944	0.875454	2.76781	0.562975	0.613069	0.547241	0.444405	0.438278	0.656294	0.505174	0.612414	0.514849	0.632815	0.656257	0.47261	0.552867	0.658265	0.492183	0.604783	0.398067	12.88766	12.00593	0.04017099	4.606239	0.5177099	1.698599	3.829422
260	-188870.4	-188899.6	29.2008	0.5670784	0.0592372	0.0459608	0.122938	0.0510262	0.0973572	0.0725544	0.108853	0.0511874	0.0285061	0.0950968	0.101461	0.0576797	0.0660798	0.0730945	0.00432998	0.0789348	0.036797	0.179664	0.0104413	0.0354079	0.0775132	0.0418125	0.041999	0.0912667	0.0381643	0.0870821	0.0639462	0.117295	0.21427	0.0605812	0.0778057	0.0197035	0.167802	0.0539374	0.0979879	0.0742529	0.075355	0.0047317	0.165436	0.0429277	0.0355691	0.080914	0.0299504	0.00654457	0.00135265	0.321494	0.0286647	0.00197165	0.000819621	0.00496044	0.00654999	0.0156404	0.0323389	0.0451173	0.0283223	0.0034357	0.0323836	0.00187554	0.00367436	0.0115752	0.00479398	0.00433591	0.0029747	0.0017742	0.0146482	0.00718171	0.013297	0.000803344	0.0030003	0.0517543	0.00778654	0.00777416	0.00571927	0.00325006	0.00926513	0.00391449	0.0162447	0.00394187	0.0128981	0.00283665	0.0154087	0.046397	0.293469	0.863547	2.79659	0.572104	0.621086	0.60109	0.446603	0.438278	0.656229	0.490623	0.578602	0.51919	0.574986	0.678527	0.467583	0.571598	0.691222	0.476375	0.607843	0.372844	17.82219	14.77877	0.03067394	4.721873	0.5466769	1.763425	3.877236
270	-188866.9	-188898.7	31.85816	0.5901549	0.0600028	0.049614	0.124943	0.0565123	0.0900968	0.0666179	0.113819	0.0509262	0.0263081	0.0929707	0.0988157	0.0550045	0.0686254	0.0739876	0.0051041	0.0843535	0.035071	0.17628	0.00872808	0.0379213	0.0669975	0.0377319	0.0391367	0.0903284	0.0392226	0.0824037	0.0596489	0.113703	0.203478	0.0573499	0.0811415	0.0193491	0.167802	0.0534993	0.0853762	0.0767909	0.070973	0.00285559	0.150303	0.0433932	0.0366595	0.0951721	0.0300581	0.00729408	0.00179444	0.294718	0.0258624	0.00172506	0.000679122	0.00455307	0.00875109	0.0201321	0.0336085	0.0454273	0.0284923	0.00468525	0.030034	0.00171256	0.00349025	0.0148132	0.00407757	0.00583086	0.00309364	0.00153469	0.0121773	0.00741218	0.0108557	0.000672083	0.00263411	0.0464976	0.00786637	0.0113029	0.00572085	0.0039947	0.00983457	0.00381455	0.0201434	0.00345497	0.0130067	0.00285109	0.0164059	0.051084	0.306755	0.876212	2.76595	0.568108	0.610194	0.575869	0.449478	0.442608	0.676229	0.486236	0.596001	0.538585	0.590588	0.667898	0.477938	0.548199	0.667891	0.505038	0.607843	0.419587	18.9501	15.71407	0.02884823	4.643762	0.5466769	1.69447	3.800032
280	-188866.6	-188895.1	28.49063	0.5776357	0.0607458	0.0458554	0.126143	0.0535467	0.0845564	0.0735883	0.116932	0.0492494	0.0335466	0.100259	0.103977	0.0589731	0.0666374	0.0781475	0.00501309	0.0827655	0.0346071	0.17628	0.00704951	0.0399055	0.0707383	0.0428334	0.0400751	0.0901874	0.0392561	0.0816753	0.0655029	0.119286	0.204084	0.0614916	0.0821194	0.0175122	0.163313	0.0577213	0.0834006	0.0815457	0.0731656	0.00404831	0.151311	0.0448172	0.0334264	0.101799	0.0290162	0.00761091	0.00162023	0.323631	0.0256085	0.0019894	0.000549403	0.00467694	0.0073821	0.0175949	0.0360038	0.0452108	0.0249234	0.00559274	0.0344977	0.00214777	0.00279022	0.0154386	0.00336181	0.00635375	0.00389609	0.00131787	0.014882	0.00902241	0.0117456	0.000425563	0.00225959	0.0448157	0.00499609	0.0103045	0.00527963	0.00615182	0.00891781	0.00603005	0.0205856	0.00362808	0.0120096	0.00407556	0.0139114	0.0485306	0.29961	0.869466	2.78239	0.567302	0.611789	0.548312	0.459462	0.413021	0.641015	0.484143	0.606825	0.526015	0.585531	0.680313	0.458693	0.552555	0.669151	0.516576	0.608874	0.395018	9.704517	8.243199	0.0557174	4.692008	0.5407104	1.731195	3.887343
290	-188858.6	-188887.6	28.98859	0.5776357	0.0591762	0.049125	0.131995	0.0557318	0.0936717	0.0717807	0.116912	0.0564558	0.0335728	0.0893659	0.100654	0.0556988	0.0693236	0.0741686	0.00499689	0.0794685	0.0432687	0.180168	0.00743381	0.040892	0.0718929	0.0434121	0.042717	0.0941844	0.0386191	0.0818593	0.0683815	0.112489	0.198733	0.0613483	0.0711385	0.0180802	0.17379	0.0486235	0.0941095	0.0825995	0.0701644	0.00513073	0.151104	0.0446765	0.0340765	0.0831874	0.0264736	0.0081965	0.00144273	0.314206	0.027468	0.00253914	0.000499841	0.00480667	0.00883151	0.0188797	0.0349325	0.0452229	0.0292007	0.0046124	0.0316923	0.00151465	0.00264357	0.0101387	0.004214	0.00470914	0.00445022	0.00136269	0.0142501	0.00656815	0.0117596	0.000566009	0.00202408	0.0455102	0.00446907	0.0114458	0.00531029	0.00574591	0.0090688	0.00627354	0.0207202	0.00375827	0.0125821	0.00529838	0.0144465	0.0485306	0.29961	0.869466	2.78239	0.584804	0.616082	0.549795	0.47063	0.418174	0.666942	0.476405	0.626808	0.518608	0.584308	0.631504	0.520079	0.564463	0.692084	0.518318	0.616586	0.349	15.18063	11.42389	0.03758759	4.755467	0.5706034	1.731195	3.87201
