Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
170	-4093.979	-4090.61	-3.369429	0.412683	0.221441	0.473149	0.480641	0.303477	0.19257	0.226557	0.140101	0.336516	0.277721	0.0995717	0.059292	0.244735	0.0170789	0.339431	0.269432	0.144784	0.246352	0.111644	0.22255	0.103195	0.038678	0.471557	0.0523751	0.0185859	0.191165	0.744648	3.0456	3.072852
180	-4084.462	-4085.787	1.325382	0.3903951	0.187533	0.368339	0.552981	0.277276	0.236716	0.172319	0.119173	0.212025	0.10914	0.137622	0.0602478	0.160673	0.00932496	0.339431	0.269432	0.144784	0.246352	0.111644	0.22255	0.103195	0.038678	0.471557	0.0523751	0.0153535	0.174545	0.720674	3.08943	2.603371
190	-4082.098	-4083.281	1.18315	0.3497847	0.118828	0.403638	0.432614	0.390137	0.2695	0.197546	0.128382	0.2342	0.0916102	0.0527947	0.149664	0.0976026	0.0510765	0.339431	0.269432	0.144784	0.246352	0.0888631	0.187538	0.102704	0.0487464	0.537731	0.0344174	0.0101858	0.143388	0.670681	3.17575	2.617594
200	-4082.253	-4086.918	4.664851	0.3920934	0.148302	0.279375	0.397587	0.407776	0.170684	0.205777	0.104054	0.203129	0.0782182	0.0105218	0.0811528	0.143454	0.0393927	0.319503	0.27756	0.149152	0.253784	0.0959552	0.202506	0.110901	0.0526368	0.500837	0.0371643	0.0155905	0.175825	0.722581	3.086	2.269424
210	-4088.465	-4093.437	4.97121	0.384087	0.110763	0.337916	0.38516	0.298076	0.263139	0.1396	0.0731396	0.180993	0.0741439	0.0643116	0.122997	0.158131	0.0304186	0.313788	0.277477	0.159491	0.249245	0.0973552	0.16657	0.0940865	0.0862916	0.51799	0.0377065	0.0144872	0.169772	0.71347	3.10227	2.238788
220	-4095.731	-4096.975	1.243276	0.4016396	0.146405	0.40223	0.444303	0.306336	0.228276	0.227825	0.119673	0.250982	0.0328498	0.0160493	0.157069	0.248207	0.0313769	0.360224	0.2587	0.148698	0.232378	0.0936161	0.193261	0.109163	0.100119	0.460092	0.0437487	0.0169516	0.18298	0.733049	3.06702	2.611581
230	-4098.298	-4093.662	-4.636053	0.3956638	0.166986	0.550687	0.56797	0.401729	0.343936	0.208848	0.158205	0.210132	0.0600828	0.0567841	0.210627	0.216814	0.0467141	0.371078	0.262699	0.130252	0.235971	0.0558803	0.201307	0.113708	0.104287	0.479247	0.0455701	0.0160938	0.178509	0.726545	3.07885	3.199514
240	-4085.491	-4090.618	5.127179	0.3829623	0.11672	0.358996	0.325603	0.377673	0.158437	0.191843	0.137201	0.109351	0.106323	0.0848537	0.104692	0.116533	0.0349658	0.371078	0.262699	0.130252	0.235971	0.0823706	0.227744	0.105606	0.0968568	0.4451	0.0423232	0.0143351	0.168918	0.712165	3.10458	2.223191
250	-4086.728	-4087.339	0.6114663	0.3411541	0.104368	0.450616	0.493658	0.328145	0.183324	0.243292	0.110872	0.239766	0.153886	0.145002	0.069654	0.0905182	0.0616603	0.327981	0.280701	0.139178	0.252141	0.0848137	0.206726	0.108738	0.0997297	0.458302	0.0416911	0.00921881	0.136663	0.658865	3.19525	2.674762
260	-4079.566	-4079.311	-0.2551688	0.3612648	0.148298	0.516191	0.491468	0.369131	0.215558	0.144733	0.167883	0.211951	0.130951	0.156819	0.0487068	0.109706	0.0500284	0.327981	0.280701	0.139178	0.252141	0.111647	0.218472	0.0895088	0.0309937	0.484344	0.0650341	0.0115456	0.152288	0.685717	3.15045	2.761426
