Iteration	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-4273.005	-4287.953	14.94844	0.104919	0.237324	0.218979	0.198093	0.0985595	0.132011	0.112709	0.129651	0.019884	0.0592917	0.0441817	0.0684559	0.0472643	0.18484	0.236335	0.135177	0.0576516	0.330029	0.0559678	0.280042	0.285747	0.156082	0.27813	1.471324
10	-4275.246	-4290.047	14.80101	0.0866954	0.185681	0.239301	0.210841	0.13806	0.139285	0.120913	0.113763	0.0214718	0.041477	0.105252	0.060819	0.0225054	0.176539	0.230998	0.140758	0.0663622	0.357809	0.0275341	0.296466	0.273997	0.16819	0.261347	1.486066
20	-4272.909	-4287.733	14.82377	0.102303	0.231159	0.209412	0.234698	0.136155	0.111469	0.100951	0.137471	0.0520212	0.0436444	0.0389573	0.0502022	0.0353467	0.190275	0.228946	0.142431	0.037258	0.361669	0.0394205	0.286349	0.261581	0.189816	0.262254	1.48379
30	-4278.04	-4293.017	14.97708	0.130383	0.198013	0.294585	0.182191	0.111256	0.0986284	0.0773911	0.137469	0.0523703	0.0700315	0.0452079	0.0567846	0.0141488	0.202949	0.247756	0.137461	0.0237544	0.333847	0.0542331	0.290191	0.275258	0.172255	0.262296	1.46846
40	-4271.54	-4285.755	14.21496	0.140216	0.197867	0.25651	0.200318	0.169199	0.100539	0.102061	0.128927	0.0385547	0.0697839	0.0634508	0.0413043	0.0359407	0.179138	0.242654	0.142206	0.0755891	0.33357	0.0268423	0.288078	0.277376	0.154187	0.280359	1.544671
50	-4273.152	-4288.561	15.40888	0.105846	0.197867	0.205549	0.23077	0.120088	0.100539	0.115933	0.108728	0.039718	0.0841381	0.0396004	0.027646	0.0488553	0.208843	0.261866	0.111749	0.0604575	0.335768	0.0213181	0.274373	0.269347	0.170764	0.285516	1.425279
60	-4271.688	-4286.907	15.21919	0.106632	0.164259	0.217092	0.229524	0.138914	0.135024	0.0885508	0.137638	0.0435161	0.0638453	0.0634672	0.00693053	0.0488553	0.190157	0.236462	0.14006	0.0556778	0.338787	0.0388565	0.267035	0.258483	0.195847	0.278635	1.444248
70	-4275.691	-4290.886	15.19438	0.106632	0.179432	0.224711	0.181307	0.191327	0.128803	0.093872	0.114131	0.0401164	0.05815	0.0634672	0.0229988	0.0417831	0.176471	0.232805	0.12068	0.0813226	0.345947	0.0427742	0.311027	0.258815	0.160162	0.269995	1.446729
80	-4274.857	-4290.928	16.07178	0.0860835	0.180276	0.236437	0.181095	0.149727	0.0958765	0.078744	0.120061	0.0647387	0.0439823	0.0869549	0.0256802	0.00933279	0.243344	0.238597	0.120916	0.0405812	0.30996	0.0466016	0.281581	0.2486	0.183803	0.286017	1.35899
90	-4278.642	-4294.99	16.3486	0.073171	0.196748	0.187671	0.171971	0.112038	0.120933	0.0902075	0.129148	0.0352576	0.0696369	0.0512384	0.0420335	0.051253	0.220781	0.236528	0.126888	0.0703811	0.317219	0.0282028	0.261677	0.253771	0.18864	0.295912	1.331307
