Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4082.205	-4083.764	1.559609	0.3510618	0.141765	0.476418	0.453531	0.314426	0.248985	0.226124	0.135095	0.165253	0.0834152	0.0441905	0.070058	0.0104289	0.210258	0.106915	0.245094	0.116941	0.0406562	0.427112	0.063282	0.331396	0.275125	0.146149	0.24733	0.0103329	0.144381	0.672391	3.1729	2.579948
10	-4085.585	-4089.47	3.885627	0.3868027	0.084776	0.321946	0.428102	0.322407	0.238634	0.157839	0.113754	0.226168	0.103547	0.0506235	0.131191	0.0144851	0.153873	0.0768824	0.223495	0.112127	0.0531344	0.453248	0.0811129	0.334508	0.314215	0.128104	0.223174	0.0148574	0.171831	0.716595	3.09672	2.347346
20	-4088.328	-4090.429	2.101564	0.3235306	0.084776	0.538177	0.422742	0.300962	0.196694	0.208617	0.145703	0.230021	0.0233157	0.0397566	0.0965609	0.0347876	0.203637	0.0731889	0.216332	0.111503	0.0431305	0.502511	0.0533356	0.343418	0.325397	0.133708	0.197477	0.00739699	0.12288	0.633283	3.23644	2.525752
30	-4082.962	-4081.644	-1.317889	0.3404491	0.131725	0.496432	0.568876	0.371073	0.180183	0.222806	0.168483	0.171222	0.104709	0.109091	0.120245	0.0486712	0.174183	0.0803	0.21104	0.095352	0.0756389	0.503551	0.0341183	0.346298	0.29541	0.132154	0.226137	0.00914196	0.136113	0.65788	3.19686	2.867698
40	-4084.132	-4080.255	-3.876529	0.3250653	0.227736	0.491657	0.514383	0.386519	0.213926	0.189692	0.148171	0.360548	0.152689	0.0713624	0.177874	0.0321443	0.15686	0.0912172	0.232731	0.0807811	0.0226149	0.497815	0.07484	0.343652	0.286548	0.13288	0.23692	0.00754733	0.124082	0.635592	3.23278	3.123562
50	-4085.939	-4084.659	-1.280284	0.3018433	0.14198	0.518784	0.451407	0.497736	0.201472	0.19944	0.119865	0.197167	0.141299	0.00532183	0.124723	0.135261	0.129483	0.11101	0.243502	0.0850179	0.0423674	0.482996	0.0351076	0.306342	0.317648	0.123873	0.252136	0.00544603	0.10593	0.598886	3.28974	2.863937
60	-4081.449	-4079.457	-1.99226	0.3179353	0.1633	0.631942	0.520625	0.362578	0.259067	0.239707	0.171698	0.223955	0.0494209	0.0108782	0.113171	0.0423749	0.146417	0.108865	0.232309	0.0731839	0.0150913	0.522842	0.0477085	0.328398	0.311122	0.132596	0.227884	0.00686251	0.1185	0.624729	3.24991	2.935135
70	-4082.885	-4083.751	0.8663884	0.3471318	0.209482	0.521931	0.386797	0.459478	0.220045	0.213183	0.124951	0.145701	0.119854	0.037939	0.107616	0.00421496	0.098078	0.101194	0.222292	0.0851196	0.0344242	0.493197	0.063773	0.320138	0.305112	0.138139	0.23661	0.00988342	0.141323	0.667097	3.1817	2.64927
80	-4086.435	-4086.388	-0.04693733	0.3205832	0.14983	0.468991	0.537707	0.345902	0.298761	0.218165	0.0728779	0.191848	0.193154	0.0104045	0.0571748	0.0897686	0.106019	0.0931081	0.215361	0.0927394	0.0629315	0.498103	0.0377572	0.341235	0.296031	0.135785	0.22695	0.00711277	0.120573	0.628804	3.24351	2.740602
90	-4082.504	-4081.75	-0.7537155	0.349812	0.151399	0.432224	0.474258	0.469094	0.27544	0.136389	0.175996	0.141355	0.225036	0.0226033	0.13174	0.0582118	0.117534	0.0932947	0.187518	0.106861	0.03598	0.543505	0.0328407	0.333636	0.290316	0.143151	0.232897	0.0101889	0.143409	0.670717	3.17568	2.81128
100	-4080.811	-4076.025	-4.785314	0.3303997	0.148644	0.53281	0.633098	0.41734	0.263126	0.226322	0.165083	0.25833	0.128494	0.0354326	0.143746	0.0553464	0.206669	0.0576025	0.227392	0.105486	0.0122148	0.545596	0.051708	0.348588	0.303326	0.125352	0.222734	0.00808231	0.128257	0.643495	3.22017	3.21444
110	-4079.36	-4078.186	-1.1737	0.3654289	0.134876	0.439201	0.468924	0.55676	0.223783	0.248299	0.112664	0.21324	0.0623211	0.0648023	0.0957934	0.0259456	0.206669	0.0900026	0.217315	0.0883334	0.0494007	0.513852	0.0410962	0.33431	0.30379	0.130026	0.231873	0.0120591	0.155501	0.690987	3.14145	2.853279
120	-4084.172	-4081.617	-2.555483	0.3753649	0.170462	0.634982	0.631918	0.304854	0.253515	0.200361	0.124484	0.28289	0.069113	0.0596722	0.0295915	0.0569433	0.172671	0.0948374	0.22566	0.0861233	0.0690039	0.512373	0.0120022	0.328939	0.284119	0.140563	0.246379	0.0133267	0.163128	0.703184	3.12036	2.991457
130	-4082.072	-4079.145	-2.927582	0.3774038	0.114258	0.47003	0.545726	0.507518	0.2785	0.22066	0.183104	0.177533	0.107502	0.0550022	0.128144	0.0644673	0.176223	0.0805628	0.210663	0.0934063	0.0530148	0.525799	0.0365544	0.336526	0.301953	0.132557	0.228964	0.0135941	0.164685	0.705623	3.1161	3.028667
140	-4088.207	-4079.279	-8.927171	0.2878154	0.170075	0.682035	0.585555	0.501623	0.340963	0.1662	0.176559	0.301707	0.0933124	0.0303074	0.156405	0.0644673	0.359416	0.0713119	0.202732	0.106283	0.0362685	0.556058	0.0273462	0.342705	0.305916	0.109992	0.241387	0.00435908	0.0950563	0.574761	3.32582	3.628626
