Iteration	Replicate_ID	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
20	0	-4275.76	-4290.917	15.15611	0.115688	0.186867	0.221759	0.203344	0.170817	0.093733	0.0952843	0.110639	0.0818261	0.0515951	0.0237716	0.0450907	0.0501408	0.165051	0.22524	0.14216	0.0707553	0.359684	0.0371091	0.299512	0.243702	0.183879	0.272907	1.450556
21	0	-4272.456	-4287.71	15.25355	0.122156	0.21303	0.204577	0.201571	0.165076	0.114604	0.117341	0.0946323	0.0581757	0.0480644	0.0142876	0.0400328	0.0472646	0.198383	0.238165	0.145309	0.0537324	0.329218	0.0351921	0.279439	0.264313	0.180414	0.275834	1.440813
22	0	-4270.869	-4286.416	15.54644	0.106088	0.154894	0.224955	0.173766	0.143518	0.107731	0.110821	0.107619	0.0679077	0.0713279	0.0180104	0.0349856	0.0899002	0.192321	0.230888	0.137123	0.0407977	0.357166	0.0417046	0.283626	0.258324	0.17844	0.279611	1.411523
23	0	-4271.57	-4287.01	15.43978	0.105671	0.187121	0.224933	0.196133	0.114057	0.132354	0.0898011	0.12163	0.0758199	0.0494848	0.0369917	0.0160309	0.0721621	0.206443	0.2444	0.115135	0.0554345	0.33382	0.0447669	0.278442	0.262752	0.167237	0.291568	1.422189
24	0	-4268.962	-4283.426	14.46479	0.12354	0.2062	0.259965	0.213896	0.132454	0.135229	0.0971016	0.141599	0.0667999	0.02159	0.0301005	0.0390093	0.0522047	0.205936	0.260418	0.143297	0.0363414	0.308319	0.0456887	0.284174	0.267502	0.172687	0.275637	1.519689
25	0	-4272.346	-4287.499	15.1524	0.104583	0.190983	0.206033	0.17148	0.175819	0.106645	0.0851666	0.131035	0.0800642	0.030936	0.0450817	0.0451506	0.0779495	0.199364	0.277265	0.140154	0.0486485	0.280957	0.053612	0.258448	0.28517	0.159079	0.297303	1.450927
26	0	-4273.826	-4288.823	14.99767	0.107929	0.18844	0.193996	0.222531	0.168085	0.0936122	0.0984863	0.166615	0.0654091	0.046	0.0306779	0.0338105	0.0508083	0.193567	0.252625	0.177067	0.0445066	0.303584	0.0286499	0.269902	0.293742	0.166691	0.269665	1.4664
27	0	-4269.094	-4284.751	15.65741	0.0846846	0.208045	0.194958	0.200093	0.128186	0.117255	0.0937181	0.154464	0.0500196	0.0625012	0.0372138	0.0169229	0.052366	0.194645	0.261084	0.155818	0.0563578	0.300704	0.0313913	0.268908	0.28106	0.170196	0.279837	1.400427
28	0	-4272.055	-4287.255	15.19918	0.0963792	0.169315	0.232042	0.173191	0.12895	0.153244	0.0940394	0.144489	0.0729173	0.0352987	0.0505268	0.0383487	0.0575079	0.222019	0.237893	0.135277	0.06717	0.29001	0.0476297	0.271999	0.265217	0.1633	0.299484	1.446249
29	0	-4276.236	-4291.385	15.14936	0.127785	0.200537	0.19252	0.197253	0.143537	0.119298	0.102877	0.10599	0.0988551	0.0355709	0.0558189	0.0171584	0.0540305	0.17086	0.270601	0.142059	0.0828247	0.289406	0.0442502	0.26769	0.30286	0.13736	0.29209	1.451231
30	0	-4269.95	-4285.007	15.05631	0.111416	0.203674	0.244397	0.197253	0.150742	0.113199	0.0957655	0.122176	0.0617594	0.0274709	0.0628984	0.0298488	0.0399362	0.22038	0.23126	0.128621	0.0627117	0.32122	0.0358071	0.299738	0.260186	0.151501	0.288576	1.460536
31	0	-4274.327	-4288.885	14.55799	0.117887	0.203674	0.266705	0.212473	0.134504	0.11992	0.0820595	0.128738	0.0894578	0.0243911	0.0475384	0.0298288	0.0531921	0.205157	0.279911	0.0953915	0.0526384	0.342643	0.0242595	0.279464	0.259386	0.156259	0.304892	1.510368
