Iteration	Replicate_ID	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
344	0	-4272.344	-4286.916	14.57153	0.0843702	0.214639	0.219181	0.205241	0.121049	0.143591	0.114153	0.166915	0.0604161	0.0297338	0.0335244	0.0528981	0.0633016	0.212134	0.2395	0.127089	0.0582771	0.334423	0.0285773	0.273858	0.256721	0.165005	0.304416	1.509014
345	0	-4274.77	-4289.35	14.5797	0.105703	0.202102	0.263238	0.203422	0.121049	0.149985	0.0954621	0.125176	0.0381852	0.0310516	0.0534438	0.0528981	0.0664806	0.237641	0.264337	0.121643	0.0524217	0.303455	0.0205014	0.278536	0.263887	0.169356	0.28822	1.508197
346	0	-4269.36	-4285.256	15.89643	0.104826	0.212419	0.210402	0.142655	0.126136	0.103165	0.0954621	0.138441	0.0759806	0.0424584	0.0316963	0.0442348	0.0486488	0.206091	0.2398	0.133627	0.0510055	0.323648	0.0458295	0.265851	0.279313	0.169194	0.285642	1.376525
347	0	-4274.087	-4288.661	14.57357	0.1134	0.219648	0.249774	0.181176	0.153414	0.0916975	0.10789	0.155023	0.0499148	0.0222602	0.0288	0.0444655	0.0913478	0.189136	0.244471	0.155012	0.040837	0.318889	0.051656	0.271017	0.281273	0.170618	0.277092	1.50881
348	0	-4273.176	-4288.654	15.47814	0.12429	0.189027	0.254354	0.154373	0.141417	0.102151	0.0921144	0.128505	0.0899771	0.0162289	0.0234227	0.0508445	0.0516483	0.213243	0.224398	0.130692	0.0520317	0.337302	0.0423333	0.286537	0.286017	0.159572	0.267873	1.418353
349	0	-4270.253	-4285.247	14.99353	0.105074	0.199983	0.200356	0.206984	0.118502	0.136633	0.101655	0.129375	0.0717321	0.0189765	0.0444576	0.0457076	0.087379	0.192819	0.272631	0.125822	0.0431776	0.307982	0.057568	0.289246	0.265449	0.164975	0.28033	1.466814
350	0	-4277.346	-4292.593	15.24762	0.0909158	0.161696	0.199642	0.180656	0.149926	0.105566	0.109261	0.134337	0.0801421	0.0384671	0.0438425	0.0386505	0.108302	0.165684	0.292848	0.140862	0.0666377	0.283206	0.0507618	0.285943	0.282795	0.142097	0.289165	1.441405
351	0	-4271.783	-4287.361	15.57795	0.101699	0.154901	0.199147	0.180592	0.127841	0.106109	0.106427	0.153938	0.0599348	0.0356369	0.0603047	0.0382717	0.0835702	0.196576	0.272115	0.11738	0.0841706	0.300164	0.0295933	0.279905	0.275538	0.15861	0.285947	1.408372
352	0	-4273.594	-4288.74	15.14546	0.130886	0.210683	0.23599	0.204864	0.102867	0.127623	0.0809824	0.148767	0.0708814	0.0286476	0.0318468	0.0343727	0.0432101	0.191327	0.252765	0.125066	0.0739992	0.319818	0.0370244	0.272688	0.260572	0.15581	0.31093	1.451621
353	0	-4271.614	-4286.856	15.24234	0.091675	0.221699	0.199933	0.181517	0.137699	0.113214	0.106117	0.156763	0.0787564	0.0410717	0.0471265	0.0182157	0.0481468	0.212633	0.230825	0.107447	0.0603975	0.348052	0.0406456	0.265525	0.265192	0.17684	0.292444	1.441933
354	0	-4274.785	-4289.453	14.66811	0.123921	0.180463	0.266065	0.203926	0.119704	0.115749	0.130984	0.130035	0.0805445	0.0166967	0.023168	0.064117	0.0439831	0.169498	0.238464	0.153001	0.0663022	0.340977	0.0317582	0.281327	0.283854	0.174696	0.260123	1.499356
355	0	-4271.347	-4285.948	14.60085	0.111922	0.21601	0.229098	0.181214	0.14269	0.125311	0.123849	0.116179	0.0618513	0.0335887	0.0366397	0.0537165	0.0740128	0.223137	0.269706	0.121941	0.0315438	0.318973	0.034698	0.265208	0.261974	0.178556	0.294262	1.506082
356	0	-4275.081	-4289.799	14.71881	0.0994584	0.17968	0.224413	0.234983	0.18939	0.077263	0.103609	0.130264	0.0659535	0.0191262	0.0596193	0.032736	0.0777906	0.223575	0.248597	0.126529	0.0546076	0.300562	0.0461303	0.267256	0.263997	0.172213	0.296535	1.494287
357	0	-4269.383	-4285.068	15.68568	0.113183	0.173876	0.223978	0.181823	0.155009	0.0920768	0.0953026	0.130264	0.07921	0.0132089	0.054551	0.0255736	0.0595449	0.20888	0.245223	0.142243	0.0543939	0.317801	0.0314589	0.295627	0.252942	0.177227	0.274204	1.3976
358	0	-4269.845	-4284.534	14.68874	0.113183	0.182177	0.22427	0.199394	0.124865	0.117583	0.113475	0.156203	0.0692072	0.0447066	0.0761027	0.0165813	0.0595449	0.198766	0.23453	0.117339	0.0543408	0.353931	0.0410918	0.276777	0.261928	0.180829	0.280467	1.497293
359	0	-4276.221	-4291.007	14.7866	0.102623	0.171752	0.233343	0.202373	0.190994	0.128372	0.0829981	0.145966	0.0454531	0.026842	0.0567085	0.0495389	0.0505431	0.240667	0.219411	0.122841	0.0404385	0.348381	0.0282624	0.286239	0.249557	0.182438	0.281766	1.487507
360	0	-4270.21	-4285.423	15.21293	0.106144	0.200521	0.239659	0.205741	0.105295	0.110975	0.0938327	0.152374	0.0742255	0.0293035	0.0596268	0.0250918	0.0420851	0.204064	0.22512	0.119934	0.0507546	0.367024	0.0331028	0.274414	0.260607	0.184457	0.280521	1.444874
361	0	-4269.575	-4284.833	15.25748	0.103629	0.205097	0.205161	0.165908	0.16064	0.107623	0.0919793	0.129987	0.0842253	0.028477	0.0462551	0.037007	0.0744313	0.183455	0.267922	0.157829	0.0558751	0.308921	0.025998	0.286656	0.276619	0.161093	0.275633	1.440419
362	0	-4272.77	-4288.241	15.47109	0.115135	0.186818	0.19957	0.201799	0.137341	0.151549	0.0809872	0.129987	0.085357	0.0228184	0.0488881	0.0269797	0.0318295	0.188685	0.276931	0.134071	0.0686082	0.309671	0.0220348	0.253216	0.282114	0.161045	0.303626	1.419059
363	0	-4270.571	-4285.224	14.65361	0.111519	0.198429	0.207013	0.214235	0.158752	0.109312	0.106115	0.125111	0.0594123	0.0222517	0.0740444	0.0393713	0.0752403	0.167201	0.265095	0.14838	0.0701364	0.316569	0.0326191	0.284973	0.272583	0.162782	0.279663	1.500806
364	0	-4273.702	-4289.238	15.53612	0.123797	0.180713	0.221541	0.185687	0.156143	0.112578	0.101728	0.0781877	0.0693259	0.0136592	0.0235856	0.0608934	0.0847167	0.200576	0.236213	0.141258	0.0471652	0.332123	0.0426644	0.290509	0.270807	0.155446	0.283238	1.412556
365	0	-4274.659	-4290.122	15.46295	0.117019	0.159999	0.193204	0.191342	0.158586	0.116892	0.0784006	0.158707	0.0658041	0.0396162	0.0143677	0.0464613	0.0794733	0.184554	0.222758	0.11828	0.067918	0.371588	0.0349025	0.285876	0.264887	0.184271	0.264966	1.419873
366	0	-4270.828	-4286.106	15.27847	0.110609	0.20025	0.230273	0.191342	0.112546	0.134824	0.0841702	0.125896	0.0909861	0.0466184	0.0392013	0.0265772	0.0450275	0.195437	0.254238	0.146858	0.0672128	0.29968	0.0365752	0.291982	0.27722	0.168318	0.26248	1.438321
367	0	-4268.289	-4284.02	15.73045	0.0912897	0.182455	0.249606	0.178653	0.130825	0.10717	0.0931283	0.141342	0.057317	0.0596441	0.0373009	0.0193639	0.0450275	0.194972	0.264699	0.154571	0.0551786	0.301362	0.0292169	0.26546	0.27072	0.175113	0.288707	1.393123
368	0	-4272.065	-4287.049	14.98381	0.0805728	0.183597	0.231993	0.209263	0.118455	0.10717	0.128871	0.112768	0.085215	0.0738832	0.0373009	0.0359496	0.0627474	0.207172	0.222345	0.140287	0.048782	0.346078	0.0353354	0.273787	0.274383	0.177588	0.274242	1.467786
369	0	-4276.035	-4290.798	14.76308	0.116373	0.219342	0.248641	0.18454	0.166384	0.143541	0.117372	0.114418	0.0667617	0.041557	0.00783102	0.00932673	0.0537721	0.21564	0.24236	0.137199	0.0287729	0.334268	0.0417603	0.279228	0.276842	0.177422	0.266508	1.489859
370	0	-4274.003	-4289.965	15.9621	0.0982522	0.191301	0.195725	0.187057	0.111978	0.134488	0.0991422	0.141216	0.064838	0.0469251	0.0231286	0.0108317	0.0650747	0.200668	0.274639	0.130611	0.0630375	0.314465	0.0165801	0.247032	0.273263	0.181466	0.298239	1.369958
371	0	-4274.93	-4289.125	14.19539	0.121041	0.185015	0.221308	0.239657	0.15824	0.0911379	0.0945413	0.150443	0.064838	0.0931985	0.0514078	0.0143272	0.0614745	0.195207	0.224859	0.137328	0.0487026	0.354551	0.0393527	0.297833	0.250895	0.170656	0.280616	1.546628
372	0	-4277.097	-4290.956	13.85976	0.132959	0.204901	0.202696	0.203558	0.19615	0.106971	0.106151	0.151425	0.0771163	0.0134952	0.0687389	0.0285316	0.0874982	0.204931	0.243312	0.10788	0.0778648	0.343233	0.0227799	0.282877	0.259507	0.166442	0.291174	1.580191
373	0	-4274.317	-4289.063	14.74626	0.0960005	0.152751	0.263559	0.232054	0.177877	0.0979793	0.108021	0.125108	0.0738749	0.0204968	0.0252405	0.0524926	0.0660854	0.179813	0.271821	0.143334	0.0493963	0.331233	0.0244016	0.263239	0.273358	0.159421	0.303983	1.491541
374	0	-4273.739	-4289.619	15.87993	0.101776	0.15158	0.243205	0.191109	0.137386	0.0988613	0.105155	0.119117	0.0321641	0.00948316	0.0450038	0.0666971	0.0766371	0.194649	0.242415	0.147753	0.0533166	0.313565	0.0483018	0.263718	0.280806	0.179026	0.27645	1.378175
375	0	-4269.31	-4284.452	15.1415	0.116383	0.228242	0.221229	0.210909	0.141528	0.0880257	0.0885438	0.10674	0.074648	0.0261761	0.0456747	0.0316296	0.0722885	0.196278	0.23457	0.144915	0.0600929	0.319201	0.0449424	0.280661	0.279854	0.164875	0.274609	1.452017
376	0	-4271.119	-4286.276	15.15684	0.101375	0.21425	0.214555	0.199511	0.162273	0.0872609	0.0833144	0.149906	0.0832275	0.0432796	0.0539034	0.0114149	0.0462134	0.202808	0.258224	0.125849	0.0474682	0.339375	0.0262758	0.291122	0.260523	0.162337	0.286017	1.450483
377	0	-4276.942	-4292.055	15.11332	0.101375	0.229575	0.271881	0.187225	0.104487	0.109239	0.0937068	0.136146	0.0451901	0.0200348	0.0585226	0.0206912	0.076762	0.213667	0.24511	0.150494	0.0638095	0.298819	0.0281005	0.288131	0.256182	0.176611	0.279076	1.454835
378	0	-4267.023	-4282.358	15.33521	0.101375	0.212577	0.204174	0.215717	0.142776	0.109239	0.0985399	0.147396	0.0650235	0.0267114	0.0447074	0.0262113	0.0382004	0.211259	0.235264	0.150724	0.0474397	0.312654	0.0426591	0.268146	0.272253	0.167442	0.292159	1.432647
379	0	-4270.82	-4285.416	14.59595	0.123314	0.221624	0.265539	0.198686	0.120768	0.113983	0.11827	0.140517	0.0675837	0.0220391	0.045812	0.0241657	0.0442714	0.217249	0.2707	0.132283	0.0351251	0.310853	0.0337902	0.269782	0.267552	0.158732	0.303934	1.506573
380	0	-4270.971	-4286.29	15.31892	0.117735	0.218144	0.256209	0.185287	0.130089	0.0906068	0.0966746	0.114539	0.0603582	0.0360188	0.0282489	0.0266753	0.0736887	0.193069	0.254885	0.137318	0.0662731	0.313134	0.0353211	0.274991	0.278783	0.146654	0.299572	1.434275
381	0	-4273.577	-4288.084	14.50628	0.104176	0.208283	0.226376	0.232078	0.145875	0.123604	0.0921041	0.115647	0.0435384	0.00795823	0.0402931	0.0876598	0.0879467	0.192763	0.237601	0.145005	0.0546803	0.331141	0.0388105	0.266315	0.286731	0.1589	0.288054	1.515539
382	0	-4274.678	-4290.021	15.34354	0.108624	0.183137	0.229358	0.159254	0.192196	0.111809	0.108181	0.131357	0.0512044	0.00470882	0.0231758	0.0815728	0.0472365	0.215795	0.220221	0.119791	0.0530989	0.354782	0.0363121	0.294437	0.252716	0.17918	0.273668	1.431813
383	0	-4277.074	-4291.95	14.87636	0.0832133	0.20339	0.224928	0.207453	0.186363	0.0819478	0.0732782	0.131357	0.0753542	0.0164592	0.0457537	0.0812236	0.067812	0.192676	0.220208	0.113975	0.0616734	0.357639	0.0538291	0.272112	0.267606	0.18078	0.279502	1.478532
384	0	-4272.674	-4288.318	15.64352	0.100969	0.197964	0.172899	0.178057	0.126691	0.124068	0.110615	0.145053	0.0611387	0.0478435	0.0223254	0.0606704	0.0535209	0.216	0.251969	0.138589	0.0375968	0.318378	0.0374673	0.269495	0.255854	0.191545	0.283106	1.401815
385	0	-4276.067	-4291.111	15.04367	0.136994	0.156707	0.228994	0.217813	0.116908	0.153504	0.0900028	0.145525	0.0560225	0.0109717	0.0686649	0.0279334	0.0517602	0.22413	0.225807	0.144525	0.0436897	0.322353	0.0394951	0.269835	0.25298	0.17167	0.305515	1.4618
386	0	-4272.235	-4287.337	15.10204	0.119803	0.208566	0.214101	0.173921	0.15569	0.0883332	0.109813	0.170628	0.0692581	0.0325913	0.0330352	0.0279334	0.0522899	0.208332	0.24367	0.131689	0.0475469	0.331492	0.0372704	0.28678	0.285126	0.162281	0.265814	1.455963
387	0	-4269.216	-4284.573	15.35637	0.117752	0.212523	0.197854	0.191928	0.141199	0.120002	0.0699209	0.147437	0.0776737	0.0250849	0.0406293	0.04028	0.0482466	0.212147	0.243062	0.148375	0.05581	0.303121	0.037485	0.273715	0.260713	0.170473	0.295098	1.43053
388	0	-4270.632	-4285.511	14.87874	0.098277	0.165771	0.198171	0.232182	0.173004	0.111755	0.0869143	0.153549	0.0766435	0.03052	0.0478917	0.0269907	0.0766242	0.212496	0.239811	0.140266	0.0528131	0.325447	0.029167	0.280958	0.261135	0.186408	0.271499	1.478293
389	0	-4268.746	-4284.374	15.62789	0.0954303	0.158453	0.239585	0.189258	0.144247	0.11606	0.0829631	0.116372	0.0568824	0.0224558	0.0606061	0.0222776	0.098787	0.201144	0.236215	0.138918	0.0570777	0.334343	0.0323027	0.264805	0.268308	0.184544	0.282343	1.403378
390	0	-4272.458	-4288.582	16.12341	0.0724597	0.219541	0.192503	0.18337	0.111498	0.116032	0.100328	0.111312	0.0761754	0.0341784	0.0428133	0.0498571	0.0437582	0.196379	0.231601	0.152527	0.0456791	0.325386	0.048428	0.273629	0.277632	0.178557	0.270182	1.353826
391	0	-4275.11	-4289.873	14.76331	0.107173	0.209303	0.25375	0.201231	0.152085	0.106442	0.106773	0.098003	0.0605362	0.0541746	0.0428133	0.0277553	0.0697975	0.174161	0.260877	0.165916	0.0349594	0.316504	0.0475821	0.256485	0.297749	0.161113	0.284654	1.489837
392	0	-4275.738	-4289.754	14.01607	0.112909	0.247675	0.286896	0.169162	0.152085	0.12179	0.106038	0.13846	0.0470031	0.0200057	0.0763041	0.0279478	0.0582849	0.175881	0.270269	0.140779	0.0485906	0.316165	0.0483159	0.2647	0.298072	0.155941	0.281287	1.56456
393	0	-4270.399	-4285.152	14.7532	0.102516	0.179019	0.219617	0.201415	0.152085	0.141329	0.0924207	0.13846	0.0730578	0.0154946	0.0511912	0.0435888	0.0806527	0.201922	0.232821	0.12368	0.0701824	0.353716	0.0176782	0.287095	0.273989	0.170372	0.268544	1.490848
394	0	-4278.275	-4293.026	14.7505	0.108945	0.16729	0.322595	0.179565	0.146772	0.0902155	0.103916	0.114256	0.0777877	0.0360173	0.0490045	0.0463716	0.0483813	0.191398	0.220686	0.148367	0.0520104	0.3643	0.0232386	0.299151	0.263287	0.174202	0.263359	1.491117
395	0	-4272.578	-4287.844	15.26633	0.117572	0.17152	0.209073	0.17736	0.151093	0.141768	0.0923205	0.132935	0.093621	0.02109	0.0396347	0.0501098	0.0414377	0.196694	0.232241	0.122518	0.0850499	0.335727	0.0277693	0.282641	0.278327	0.160639	0.278392	1.439534
396	0	-4267.71	-4282.794	15.08406	0.129761	0.186802	0.205732	0.1814	0.147345	0.111241	0.106811	0.121654	0.0778768	0.0262086	0.066199	0.026135	0.0705951	0.213353	0.256035	0.121199	0.0557529	0.327997	0.0256629	0.267923	0.265323	0.176387	0.290367	1.457761
397	0	-4273.99	-4288.527	14.53741	0.133686	0.194746	0.253774	0.247667	0.129215	0.11395	0.103877	0.111432	0.0646884	0.0234518	0.0387972	0.0308887	0.066253	0.161412	0.234224	0.135788	0.0549695	0.379967	0.0336389	0.302576	0.266396	0.167446	0.263583	1.512426
398	0	-4268.627	-4283.617	14.98939	0.104148	0.196026	0.230316	0.202681	0.137975	0.120965	0.0909374	0.121006	0.0517914	0.0190311	0.0405115	0.0725214	0.0793177	0.22738	0.23813	0.129309	0.0675336	0.304761	0.0328851	0.263893	0.269212	0.165882	0.301012	1.467229
399	0	-4277.116	-4292.732	15.61624	0.0970302	0.201656	0.214393	0.17317	0.144451	0.0992727	0.0941793	0.13884	0.0683255	0.0130905	0.0713024	0.0322412	0.0565924	0.171472	0.252749	0.156836	0.0766555	0.328591	0.0136962	0.262169	0.268108	0.167221	0.302502	1.404543
400	0	-4272.836	-4289.599	16.76211	0.104637	0.157364	0.209577	0.158048	0.127452	0.0921276	0.0898319	0.119099	0.0441295	0.0448924	0.0536869	0.0167323	0.0723795	0.189403	0.240036	0.143523	0.0626624	0.330515	0.0338602	0.266095	0.258711	0.187454	0.287741	1.289957
401	0	-4273.799	-4289.116	15.31631	0.0927172	0.210865	0.199428	0.163632	0.141254	0.120073	0.116665	0.139735	0.0546657	0.0657875	0.0214794	0.034974	0.0732612	0.221479	0.199229	0.14615	0.0460272	0.341685	0.0454298	0.290052	0.262898	0.194004	0.253046	1.434536
402	0	-4274.23	-4289.196	14.96654	0.0930588	0.213834	0.25129	0.193502	0.125279	0.123974	0.09333	0.125119	0.0599425	0.0307077	0.0338325	0.0491865	0.076457	0.209766	0.233586	0.146101	0.0509227	0.329878	0.0297468	0.255219	0.257738	0.212503	0.274541	1.469513
403	0	-4269.384	-4285.017	15.63322	0.113205	0.195928	0.2007	0.195159	0.119142	0.0981573	0.110439	0.120066	0.0656324	0.0452674	0.0350868	0.037446	0.0666155	0.186491	0.274973	0.144727	0.0355703	0.311353	0.0468854	0.26566	0.293939	0.154041	0.286361	1.402845
404	0	-4272.703	-4288.569	15.86651	0.104849	0.18042	0.220985	0.20029	0.156672	0.0878175	0.105689	0.121171	0.0661077	0.0252437	0.013225	0.0436786	0.0533672	0.231445	0.234992	0.147132	0.0278832	0.327876	0.0306718	0.257292	0.28588	0.168966	0.287863	1.379516
405	0	-4275.262	-4289.766	14.50341	0.0976265	0.20745	0.284863	0.227289	0.155738	0.0997188	0.101251	0.129372	0.032565	0.020725	0.0270746	0.0511693	0.0809843	0.223965	0.29223	0.119641	0.0344258	0.29622	0.033518	0.263653	0.278605	0.166663	0.291079	1.515826
406	0	-4273.993	-4289.163	15.17043	0.0970348	0.205127	0.222883	0.187814	0.110614	0.125152	0.107724	0.151816	0.0660654	0.0264248	0.0526571	0.0375775	0.0582333	0.209799	0.242527	0.1236	0.0620324	0.333898	0.0281435	0.295569	0.276966	0.145077	0.282388	1.449124
407	0	-4275.223	-4290.269	15.04588	0.0988633	0.225603	0.203164	0.22129	0.15558	0.125152	0.0915322	0.123425	0.0953388	0.0285345	0.0282785	0.0316555	0.033161	0.22733	0.277505	0.116084	0.0580529	0.299256	0.0217721	0.243662	0.272621	0.168999	0.314717	1.461579
408	0	-4272.522	-4286.994	14.47206	0.098969	0.193198	0.249922	0.222496	0.147405	0.133027	0.124284	0.121611	0.0693433	0.0416361	0.0268347	0.0520041	0.0382301	0.201543	0.266459	0.132918	0.0678285	0.289911	0.0413398	0.260061	0.284838	0.147548	0.307554	1.518961
409	0	-4271.51	-4287.445	15.9353	0.116407	0.173135	0.253771	0.187858	0.144335	0.0849419	0.083013	0.105791	0.0508675	0.0285369	0.0287643	0.0520041	0.0632127	0.204708	0.277555	0.129213	0.0569794	0.294464	0.0370808	0.293495	0.269725	0.163064	0.273717	1.372637
410	0	-4267.581	-4282.238	14.65662	0.112578	0.220441	0.223531	0.197796	0.142464	0.119289	0.110041	0.126333	0.0766432	0.0446741	0.0330871	0.0344082	0.0592204	0.200595	0.244503	0.128514	0.0493041	0.342649	0.0344348	0.264448	0.270786	0.189762	0.275004	1.500506
411	0	-4271.575	-4287.351	15.7765	0.0891748	0.180103	0.202256	0.197796	0.140766	0.107233	0.102126	0.136617	0.077901	0.0662367	0.0235788	0.0237078	0.0410202	0.199923	0.203004	0.123424	0.0667633	0.36447	0.0424155	0.287289	0.25424	0.184002	0.27447	1.388517
412	0	-4277.876	-4292.054	14.17767	0.121366	0.259806	0.25965	0.206829	0.104724	0.129057	0.0972751	0.106564	0.0626725	0.0387068	0.0724407	0.0144987	0.0748109	0.21183	0.212563	0.126772	0.0603488	0.355789	0.0326958	0.274648	0.269839	0.181109	0.274404	1.5484
413	0	-4275.241	-4290.562	15.32142	0.111224	0.236755	0.193104	0.197113	0.124532	0.129057	0.0898571	0.0954629	0.073693	0.0384439	0.0591935	0.0183719	0.0672187	0.185266	0.280296	0.127881	0.0533246	0.301719	0.0515122	0.296282	0.269228	0.163979	0.270512	1.434025
414	0	-4271.837	-4287.362	15.52472	0.0980204	0.183825	0.227271	0.212193	0.110515	0.0956856	0.107327	0.128774	0.0473046	0.0223604	0.0614599	0.0691584	0.0498011	0.195482	0.258822	0.127815	0.0652728	0.318357	0.0342506	0.289061	0.253852	0.159156	0.297931	1.413695
415	0	-4276.964	-4293.355	16.39018	0.128837	0.158834	0.183398	0.189765	0.140736	0.12024	0.0772875	0.0947337	0.0484221	0.0267573	0.0377782	0.0441479	0.0762115	0.185898	0.233162	0.13999	0.0498016	0.335587	0.055562	0.268313	0.263471	0.180878	0.287339	1.327149
416	0	-4269.995	-4286.016	16.02008	0.0824702	0.196739	0.212206	0.175074	0.139939	0.120583	0.0862641	0.118612	0.0738902	0.0255321	0.0177765	0.0615311	0.0535428	0.185065	0.240086	0.130389	0.0655833	0.334083	0.0447939	0.282392	0.281852	0.170426	0.26533	1.36416
417	0	-4266.814	-4282.124	15.31039	0.0950107	0.196739	0.226228	0.219862	0.125402	0.118003	0.0997099	0.158538	0.0530383	0.0413502	0.0186083	0.033034	0.0496067	0.214588	0.24917	0.130189	0.0499249	0.331248	0.0248806	0.271003	0.260428	0.176979	0.29159	1.435129
418	0	-4275.84	-4291.55	15.70944	0.0766307	0.190791	0.249702	0.192337	0.144234	0.11946	0.0817714	0.130862	0.0669492	0.0264066	0.0379894	0.030306	0.0477832	0.203719	0.238002	0.138088	0.0490979	0.323218	0.0478748	0.268758	0.284378	0.187681	0.259184	1.395224
419	0	-4278.529	-4293.21	14.68062	0.133816	0.156877	0.303371	0.244252	0.129311	0.113033	0.0738945	0.108121	0.0745962	0.02028	0.0379894	0.0383241	0.0642402	0.225379	0.230389	0.12756	0.0445971	0.324739	0.0473361	0.271295	0.290553	0.178675	0.259477	1.498105
420	0	-4273.974	-4289.376	15.40245	0.0864808	0.178362	0.24508	0.193568	0.136521	0.0967556	0.0909641	0.148169	0.0498987	0.0359883	0.0320519	0.066189	0.0658932	0.229441	0.237693	0.141531	0.0566174	0.28588	0.0488369	0.254733	0.29973	0.15851	0.287026	1.425922
421	0	-4274.742	-4289.283	14.5405	0.140195	0.22929	0.23487	0.224093	0.134302	0.0902824	0.117983	0.111237	0.0635368	0.0525968	0.0149874	0.045531	0.0532127	0.229	0.230824	0.137843	0.0396099	0.333556	0.0291676	0.270085	0.257785	0.175072	0.297058	1.512117
422	0	-4274.607	-4289.363	14.75584	0.0919165	0.231809	0.237153	0.231807	0.149063	0.107329	0.0872548	0.102221	0.0685166	0.011507	0.030371	0.0630615	0.0785737	0.221962	0.212413	0.143326	0.046037	0.339525	0.0367377	0.267429	0.269169	0.172947	0.290456	1.490583
423	0	-4283.529	-4298.675	15.14685	0.137535	0.180975	0.21143	0.151182	0.122694	0.110182	0.119114	0.141095	0.0590393	0.0296814	0.0325194	0.0288352	0.1272	0.23915	0.244255	0.14029	0.0464379	0.299684	0.0301835	0.293425	0.253175	0.181114	0.272286	1.451483
424	0	-4271.028	-4286.075	15.04693	0.118342	0.172798	0.237103	0.194973	0.155253	0.101793	0.0908442	0.141095	0.0834201	0.0212581	0.0184558	0.0601743	0.0659657	0.222024	0.2416	0.121772	0.043455	0.334504	0.0366465	0.264299	0.276972	0.160849	0.29788	1.461475
425	0	-4268.72	-4283.875	15.1545	0.115573	0.19053	0.243564	0.199388	0.126943	0.117571	0.126183	0.119373	0.0478588	0.028013	0.0224445	0.0383432	0.0749315	0.189996	0.244269	0.133124	0.0624621	0.330925	0.0392238	0.287008	0.274616	0.165188	0.273188	1.450717
426	0	-4279.35	-4294.04	14.68965	0.138516	0.185858	0.229565	0.197837	0.131072	0.146907	0.0865825	0.140212	0.0939296	0.0119918	0.0232977	0.0523885	0.0590448	0.236248	0.292661	0.0967198	0.0479824	0.293524	0.0328653	0.277187	0.264495	0.165618	0.2927	1.497202
427	0	-4273.625	-4288.75	15.12505	0.131012	0.215829	0.205979	0.211603	0.140162	0.105366	0.0680966	0.116267	0.072842	0.0128485	0.0365724	0.070357	0.0667285	0.20469	0.253718	0.108398	0.034913	0.357062	0.0412187	0.290224	0.260225	0.169619	0.279932	1.453663
428	0	-4269.797	-4285.339	15.54239	0.102783	0.180778	0.191995	0.211603	0.123991	0.123971	0.115095	0.128259	0.0469778	0.0256216	0.0589944	0.0425415	0.0593172	0.206006	0.280047	0.120245	0.0527308	0.312202	0.0287691	0.260162	0.276318	0.177446	0.286073	1.411928
429	0	-4272.2	-4288.09	15.88973	0.10616	0.174503	0.193468	0.235278	0.153668	0.118886	0.0851247	0.13129	0.0636987	0.019291	0.0179052	0.0362719	0.0416502	0.195371	0.278306	0.152552	0.0434506	0.302948	0.0273731	0.276231	0.291252	0.152712	0.279805	1.377194
430	0	-4272.712	-4287.884	15.17168	0.111822	0.181945	0.249336	0.194346	0.138675	0.113262	0.101186	0.106594	0.0767228	0.0115589	0.0191151	0.0699935	0.0744433	0.208941	0.298738	0.122811	0.0453308	0.294075	0.0301049	0.28315	0.267626	0.145711	0.303512	1.448999
431	0	-4276.726	-4292.3	15.57439	0.134788	0.176366	0.197961	0.189954	0.169065	0.127163	0.0958993	0.111401	0.0669267	0.0396722	0.01592	0.0462072	0.037405	0.237903	0.248287	0.13056	0.0368423	0.31095	0.0354579	0.279606	0.252708	0.156968	0.310717	1.408728
432	0	-4269.61	-4284.381	14.77084	0.114992	0.177266	0.245817	0.212374	0.134681	0.121774	0.0748058	0.125969	0.0642957	0.0336631	0.0359997	0.065371	0.0820752	0.227179	0.245758	0.136714	0.0552676	0.307782	0.0272986	0.269315	0.256298	0.180442	0.293945	1.489084
433	0	-4276.02	-4291.051	15.03002	0.115502	0.185493	0.206491	0.214726	0.142527	0.0976736	0.105596	0.138216	0.0628071	0.0296622	0.0503615	0.0447711	0.0693379	0.198509	0.299361	0.140826	0.0291274	0.301066	0.0311108	0.241745	0.28699	0.18563	0.285635	1.463165
434	0	-4268.096	-4283.382	15.2851	0.10268	0.182873	0.212083	0.224761	0.131993	0.100297	0.0929737	0.148051	0.0821128	0.0292002	0.0253557	0.0565595	0.0487174	0.21452	0.253113	0.14705	0.0524473	0.314373	0.0184966	0.254813	0.268219	0.17842	0.298548	1.437657
435	0	-4272.875	-4287.863	14.98858	0.100414	0.219633	0.208251	0.188336	0.142501	0.122383	0.0929737	0.143302	0.0582931	0.0411586	0.0271346	0.0657722	0.0571572	0.213256	0.229945	0.136863	0.0565825	0.324674	0.0386793	0.304483	0.263144	0.186785	0.245588	1.467309
436	0	-4269.286	-4283.696	14.41025	0.120204	0.218425	0.256661	0.22464	0.154496	0.115912	0.0929737	0.136828	0.0459776	0.0357157	0.0121043	0.0506796	0.0605237	0.217064	0.256141	0.132786	0.0396207	0.330847	0.0235409	0.269941	0.263695	0.178356	0.288008	1.525142
