Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
200	-4081.561	-4077.434	-4.127388	0.9126951	0.158388	0.442433	0.737947	0.418133	0.26944	0.186909	0.110828	0.225051	0.0506111	0.237303	0.108586	0.0900418	0.112976	0.0659044	0.284211	0.103809	0.0520593	0.439228	0.0547876	0.2980917	0.333284	0.303563	0.125012	0.238141	0.119222	0.44884	0.98388	2.44806	3.148648
210	-4077.341	-4074.641	-2.700802	1.109528	0.144347	0.490265	0.590144	0.437922	0.27882	0.178204	0.141889	0.244552	0.0920198	0.177432	0.125779	0.0861636	0.0184514	0.082495	0.255119	0.0917518	0.0748104	0.455157	0.0406668	0.3451066	0.34529	0.301672	0.119695	0.233342	0.158275	0.507367	1.01602	2.31834	3.005989
220	-4077.299	-4075.547	-1.752213	0.7747325	0.171409	0.41575	0.462597	0.474513	0.297733	0.203322	0.0935767	0.181505	0.0685814	0.262713	0.144483	0.0940348	0.0409108	0.0976258	0.216958	0.0821609	0.0323033	0.542311	0.0286416	0.2811872	0.349251	0.296626	0.136494	0.217629	0.0901718	0.396759	0.9497	2.56337	2.91113
230	-4083.059	-4081.866	-1.192349	1.249178	0.205736	0.623794	0.578149	0.381176	0.160155	0.155284	0.0358589	0.176114	0.0678326	0.262713	0.0576865	0.0350031	0.115641	0.0930889	0.201191	0.0926883	0.0772534	0.514	0.0217782	0.3600591	0.342141	0.296092	0.131956	0.229811	0.183852	0.540681	1.03153	2.24393	2.855144
240	-4082.241	-4083.652	1.411882	1.011235	0.166973	0.414386	0.5718	0.320595	0.162147	0.156137	0.104834	0.198351	0.0259848	0.262713	0.0807495	0.0448871	0.0851622	0.111307	0.216926	0.104055	0.0244475	0.481415	0.0618492	0.3698206	0.33971	0.296018	0.13377	0.230502	0.13919	0.480103	1.00184	2.37887	2.594721
250	-4079.055	-4081.963	2.907632	1.00306	0.121789	0.396039	0.537002	0.319105	0.184261	0.201332	0.115272	0.17925	0.0858676	0.177499	0.0468704	0.0536816	0.0271762	0.104562	0.168458	0.119947	0.0272311	0.52796	0.0518423	0.3636617	0.345658	0.28478	0.154487	0.215075	0.137564	0.47767	1.00051	2.38426	2.445146
260	-4080.152	-4082.824	2.671376	1.669985	0.134656	0.454849	0.441459	0.408082	0.192233	0.194879	0.133896	0.241288	0.0738948	0.100939	0.0268613	0.0497046	0.0160294	0.1195	0.221365	0.0937594	0.0175073	0.503117	0.0447511	0.3978634	0.315007	0.302122	0.165579	0.217292	0.250428	0.614605	1.05902	2.07595	2.468771
270	-4080.527	-4085.777	5.249164	0.899146	0.125685	0.409745	0.318465	0.329795	0.147403	0.165912	0.132013	0.152919	0.0816368	0.15843	0.125684	0.0577718	0.00553183	0.121049	0.244395	0.0858546	0.0350808	0.447886	0.0657349	0.2738864	0.313123	0.298661	0.150054	0.238162	0.116418	0.444188	0.981049	2.45835	2.210992
280	-4082.179	-4084.761	2.582505	0.4978706	0.132698	0.432678	0.395012	0.371974	0.178089	0.223547	0.139541	0.144065	0.151548	0.15518	0.0387995	0.108979	0.00554677	0.0617408	0.197966	0.139015	0.0430652	0.534035	0.0241778	0.1991558	0.339086	0.29731	0.142402	0.221201	0.0329938	0.250524	0.818713	2.89777	2.477658
290	-4087.369	-4081.829	-5.54063	0.5350571	0.195503	0.447921	0.461039	0.458432	0.27364	0.158987	0.194805	0.346211	0.193621	0.197532	0.0834392	0.261209	0.0176318	0.0689738	0.182958	0.071584	0.0430998	0.561618	0.0717663	0.2180418	0.334072	0.321101	0.123599	0.221228	0.0400551	0.274187	0.844191	2.84157	3.289972
300	-4079.875	-4078.887	-0.9880876	0.6978752	0.171337	0.447921	0.580515	0.434742	0.217077	0.155713	0.131977	0.225876	0.0193342	0.160374	0.101303	0.153539	0.0350112	0.101896	0.228942	0.0824551	0.0272371	0.473338	0.086131	0.3013204	0.350972	0.302588	0.119888	0.226552	0.0737345	0.362526	0.924078	2.63966	2.834718
310	-4086.807	-4080.245	-6.562123	1.077483	0.19363	0.686576	0.515174	0.400797	0.20122	0.212978	0.22051	0.264884	0.0962688	0.151671	0.259348	0.0911953	0.097869	0.0685976	0.244037	0.079093	0.0534282	0.462983	0.0918612	0.374466	0.336278	0.306725	0.121446	0.235551	0.152149	0.498863	1.01174	2.33725	3.392121
320	-4076.398	-4077.073	0.6754229	1.037501	0.149351	0.388574	0.476325	0.414699	0.26661	0.201854	0.103019	0.243801	0.0223432	0.151671	0.118021	0.0685935	0.0635061	0.0896048	0.285302	0.0997161	0.043816	0.422658	0.0589038	0.3448328	0.339616	0.30286	0.110738	0.246785	0.144375	0.487741	1.00595	2.36194	2.668366
330	-4078.122	-4081.483	3.361127	1.288089	0.110317	0.328536	0.391477	0.289092	0.222074	0.201854	0.131604	0.255391	0.0497625	0.202162	0.0764017	0.114868	0.0262578	0.0960019	0.254373	0.0923872	0.0526838	0.423251	0.0813022	0.3399106	0.346452	0.295624	0.112967	0.244957	0.190655	0.549011	1.03511	2.22523	2.399796
340	-4079.588	-4079.188	-0.4001037	0.8576767	0.148134	0.410832	0.446787	0.441021	0.269964	0.189474	0.126627	0.163009	0.0570279	0.3241	0.0584689	0.107652	0.0328229	0.12729	0.234987	0.0931086	0.0389556	0.47241	0.0332486	0.2860801	0.344757	0.288408	0.125164	0.241671	0.107759	0.429359	0.971739	2.49114	2.775919
350	-4078.957	-4082.75	3.793479	1.010929	0.121418	0.300671	0.396184	0.326788	0.220047	0.201747	0.119698	0.199475	0.00658585	0.174224	0.135533	0.0770462	0.0771434	0.0994957	0.23346	0.0935884	0.0507185	0.471702	0.051035	0.3723506	0.313737	0.31408	0.132671	0.239513	0.139129	0.480012	1.00179	2.37907	2.356561
360	-4084.035	-4085.299	1.263932	0.9185771	0.130388	0.464514	0.500812	0.328339	0.256436	0.251371	0.0514205	0.212515	0.0341166	0.115148	0.135533	0.0770462	0.0518776	0.112206	0.31415	0.0764989	0.0564307	0.409902	0.0308121	0.2984003	0.341304	0.286989	0.131225	0.240482	0.120435	0.450832	0.98508	2.44365	2.609516
370	-4079.636	-4078.633	-1.003582	0.6915167	0.1564	0.555512	0.424695	0.415307	0.281694	0.149477	0.0529373	0.204301	0.0588119	0.148261	0.155514	0.136965	0.0963911	0.0849203	0.281211	0.123694	0.060444	0.406915	0.0428162	0.2484008	0.309579	0.329914	0.125399	0.235108	0.0723772	0.3595	0.921684	2.64644	2.836267
380	-4084.098	-4080.682	-3.415967	0.4690702	0.173767	0.456002	0.593189	0.382019	0.268375	0.305571	0.216992	0.155104	0.0865922	0.193215	0.0550994	0.110655	0.0809255	0.0734346	0.256396	0.110219	0.0501321	0.465308	0.0445102	0.1807061	0.314254	0.316158	0.125234	0.244354	0.0278084	0.231245	0.796389	2.94456	3.077505
390	-4080.303	-4078.396	-1.907183	0.4744076	0.187795	0.455878	0.482061	0.504321	0.209455	0.267148	0.16369	0.181004	0.0538783	0.193215	0.00960591	0.0983433	0.120233	0.0785712	0.266484	0.122586	0.0378417	0.463184	0.0313337	0.1714715	0.328215	0.323013	0.13031	0.218462	0.0287481	0.23488	0.800715	2.93566	2.926627
400	-4086.505	-4078.222	-8.283097	0.3625974	0.179483	0.600598	0.804249	0.401865	0.276109	0.225923	0.123737	0.260093	0.145103	0.107371	0.0382102	0.159387	0.242091	0.0606673	0.225824	0.0798426	0.0615759	0.526982	0.0451086	0.09005252	0.344841	0.283841	0.129364	0.241953	0.0117088	0.153317	0.687414	3.14756	3.564218
410	-4082.282	-4075.483	-6.799602	0.4742858	0.133934	0.632986	0.581291	0.437401	0.236603	0.267535	0.140809	0.270863	0.114904	0.344325	0.0418017	0.162354	0.0510634	0.0632766	0.188037	0.0853785	0.0594247	0.545132	0.0587507	0.1691142	0.345903	0.293425	0.127352	0.23332	0.0287265	0.234798	0.800617	2.93586	3.415869
420	-4080.15	-4077.595	-2.555237	0.7346173	0.156456	0.591593	0.602666	0.412976	0.223526	0.246894	0.142667	0.248943	0.028598	0.087381	0.0355743	0.130653	0.0835047	0.0928037	0.216345	0.104038	0.0582546	0.502859	0.0256989	0.2595864	0.347087	0.30882	0.125609	0.218483	0.0815925	0.379416	0.937051	2.60194	2.991432
430	-4076.081	-4076.554	0.4722605	0.6055936	0.165208	0.414117	0.47812	0.354668	0.206398	0.207992	0.122983	0.189581	0.0701943	0.165925	0.0800506	0.10747	0.125976	0.0809716	0.195339	0.110556	0.0414051	0.551318	0.0204104	0.2127234	0.334624	0.300657	0.133206	0.231514	0.0542638	0.315367	0.884146	2.74622	2.688683
440	-4083.161	-4083.803	0.6414877	1.014972	0.143105	0.532845	0.47586	0.461389	0.197778	0.153972	0.211123	0.109768	0.0597263	0.185349	0.0362789	0.0658358	0.0387294	0.0780467	0.227479	0.147949	0.0497303	0.47746	0.0193348	0.2974756	0.312371	0.311862	0.142787	0.232979	0.139932	0.481206	1.00244	2.37642	2.67176
450	-4077.229	-4076.574	-0.6544654	0.751032	0.168016	0.532423	0.438248	0.326768	0.197966	0.20984	0.155997	0.217903	0.059185	0.132813	0.0587849	0.136755	0.166657	0.0968602	0.232889	0.126885	0.0376622	0.481841	0.0238621	0.2465938	0.323162	0.290611	0.143154	0.243074	0.0851053	0.386646	0.942405	2.58584	2.801355
460	-4076.991	-4074.462	-2.5288	0.9166106	0.154589	0.511293	0.466561	0.44259	0.311278	0.183381	0.0703041	0.247775	0.0373734	0.261886	0.0774624	0.0564076	0.16789	0.0926567	0.233685	0.0915083	0.0485013	0.49076	0.0428886	0.3576781	0.33482	0.293764	0.133512	0.237903	0.12003	0.450168	0.984681	2.44512	2.988789
470	-4083.052	-4080.612	-2.439997	0.7660556	0.180957	0.522231	0.535368	0.402608	0.202238	0.193626	0.116428	0.215337	0.0720607	0.261886	0.133088	0.0662497	0.0778316	0.084331	0.234773	0.0721466	0.0144606	0.524045	0.0702436	0.261671	0.361483	0.282838	0.143152	0.212527	0.0883181	0.3931	0.947087	2.5715	2.979908
480	-4082.532	-4078.425	-4.106934	0.7337158	0.208165	0.48021	0.48688	0.435706	0.262648	0.257877	0.186182	0.200471	0.0551877	0.221412	0.0619217	0.208513	0.0814279	0.08256	0.225417	0.0698147	0.023618	0.528999	0.0695916	0.3034396	0.339209	0.2912	0.138857	0.230735	0.0813996	0.379013	0.936749	2.60284	3.146602
490	-4075.99	-4074.62	-1.369203	0.6386972	0.154756	0.49974	0.56535	0.359593	0.231964	0.146399	0.166465	0.195727	0.0387918	0.221412	0.0856523	0.109712	0.0972655	0.0785241	0.212987	0.100487	0.0308031	0.503139	0.07406	0.2314567	0.335497	0.296799	0.138148	0.229557	0.0611749	0.333111	0.899846	2.70587	2.872829
500	-4082.025	-4079.23	-2.794205	1.256839	0.20669	0.406411	0.458947	0.425933	0.291995	0.205507	0.16794	0.253653	0.00507251	0.193895	0.0853427	0.206603	0.107341	0.0956978	0.216595	0.0771448	0.027369	0.528087	0.0551065	0.388029	0.335643	0.304946	0.121689	0.237722	0.185202	0.542351	1.03226	2.24019	3.015329
510	-4080.442	-4077.539	-2.902866	1.283224	0.211904	0.562155	0.562995	0.334187	0.313069	0.209175	0.161297	0.273544	0.0174622	0.193895	0.0924983	0.0382605	0.0557555	0.111365	0.243314	0.0799335	0.0346827	0.491993	0.0387125	0.3850788	0.338815	0.300956	0.132452	0.227777	0.189812	0.54799	1.03468	2.22752	3.026195
520	-4081.32	-4079.165	-2.155698	0.7620787	0.173373	0.564317	0.514736	0.326379	0.330653	0.226434	0.125688	0.284189	0.0267336	0.123818	0.101376	0.105457	0.048324	0.103971	0.271675	0.0808676	0.050078	0.435427	0.0579812	0.3123572	0.34772	0.292974	0.119622	0.239684	0.087468	0.391406	0.945867	2.57526	2.951478
530	-4084.498	-4082.521	-1.977693	0.9579682	0.211138	0.463688	0.599746	0.473199	0.185291	0.15242	0.125688	0.196546	0.0946224	0.235307	0.0388137	0.118579	0.0386385	0.093994	0.211116	0.077082	0.0454519	0.523366	0.0489895	0.3758701	0.34078	0.31966	0.11806	0.2215	0.128493	0.463743	0.992671	2.41509	2.933678
540	-4078.525	-4074.808	-3.717711	0.7791597	0.182345	0.511637	0.464886	0.523566	0.233499	0.220246	0.1708	0.280124	0.0946224	0.198245	0.101412	0.0916106	0.0346872	0.0505578	0.176923	0.126439	0.0267629	0.565333	0.0539841	0.3223257	0.337153	0.290625	0.148672	0.223549	0.091117	0.398606	0.951009	2.55927	3.10768
550	-4081.207	-4078.149	-3.05865	0.6962263	0.144248	0.577857	0.671687	0.321592	0.20683	0.183898	0.161142	0.280124	0.157391	0.151186	0.108169	0.0583339	0.0193158	0.0738848	0.272715	0.11013	0.0217422	0.460019	0.0615088	0.2829866	0.324656	0.309504	0.119887	0.245953	0.0733824	0.361744	0.923462	2.64141	3.041774
560	-4079.736	-4082.809	3.072542	1.385967	0.166541	0.379092	0.353193	0.361389	0.192882	0.174733	0.0746991	0.168463	0.11523	0.136561	0.0608029	0.14973	0.095339	0.0915302	0.238474	0.106703	0.0462941	0.445704	0.0712939	0.3543869	0.326176	0.300078	0.125754	0.247992	0.207157	0.568405	1.04296	2.18148	2.428655
570	-4079.881	-4078.085	-1.795508	0.8530166	0.163558	0.543048	0.435556	0.361389	0.313961	0.171673	0.089207	0.234708	0.0881541	0.263771	0.184078	0.0289515	0.037404	0.0785799	0.295445	0.0999151	0.0269261	0.432777	0.0663579	0.3652029	0.352747	0.305458	0.118505	0.22329	0.10678	0.427634	0.970628	2.49496	2.91546
580	-4084.375	-4083.131	-1.243648	0.7503574	0.118	0.525114	0.410728	0.435015	0.210776	0.271102	0.218975	0.14998	0.0997225	0.19027	0.0654259	0.156852	0.00831188	0.0889051	0.2452	0.0626184	0.0653949	0.489643	0.0482393	0.3289597	0.34816	0.287768	0.133741	0.230331	0.084961	0.386352	0.94219	2.5865	2.860274
590	-4082.67	-4080.812	-1.858091	1.450082	0.142514	0.534992	0.552595	0.429652	0.193695	0.219252	0.184876	0.220727	0.0997225	0.185311	0.0911568	0.0165431	0.0506804	0.0908743	0.245793	0.0895053	0.0101213	0.500488	0.0632179	0.3901361	0.30735	0.31144	0.12555	0.255661	0.217507	0.580031	1.04735	2.15511	2.921718
600	-4082.762	-4082.954	0.1915634	0.7383541	0.145541	0.392701	0.479877	0.433945	0.16518	0.172054	0.130213	0.173929	0.0990134	0.242746	0.0740663	0.179487	0.0279979	0.122967	0.277829	0.105351	0.00471069	0.458243	0.0308986	0.275599	0.323318	0.314193	0.123389	0.239101	0.0823923	0.381078	0.938292	2.59824	2.716752
610	-4086.456	-4084.663	-1.792325	0.5225246	0.195049	0.473555	0.484407	0.395265	0.259782	0.208225	0.136736	0.213295	0.128912	0.235964	0.0857973	0.0467807	0.0513736	0.113607	0.305288	0.101755	0.00114563	0.439636	0.0385689	0.1907459	0.328505	0.28817	0.118627	0.264699	0.0376347	0.266366	0.83599	2.86001	2.915141
620	-4086.79	-4086.143	-0.6474819	0.8397975	0.10485	0.378004	0.400973	0.487088	0.240261	0.231278	0.190578	0.177859	0.164435	0.120561	0.0105376	0.240655	0.0535764	0.0868598	0.30906	0.118282	0.0148715	0.424328	0.0465982	0.3329443	0.341774	0.298485	0.117055	0.242686	0.103995	0.422677	0.9674	2.50593	2.800657
630	-4079.734	-4081.642	1.90753	1.072335	0.112933	0.344506	0.4296	0.413743	0.230191	0.185	0.113679	0.182787	0.12125	0.272376	0.00950375	0.111707	0.0178803	0.0977906	0.241637	0.116079	0.0524913	0.452693	0.0393088	0.3289818	0.32361	0.304493	0.135429	0.236468	0.151157	0.497464	1.01102	2.34036	2.545156
640	-4080.303	-4083.543	3.240125	0.8458171	0.134647	0.389685	0.404497	0.192468	0.266335	0.176289	0.107973	0.221028	0.115843	0.20832	0.0548489	0.0988002	0.0411608	0.103578	0.234576	0.0736008	0.0363301	0.471731	0.0801837	0.3214267	0.351239	0.294357	0.130909	0.223495	0.105264	0.424946	0.968884	2.50091	2.411896
650	-4076.743	-4077.067	0.3243751	0.58619	0.135428	0.461264	0.587371	0.31728	0.211424	0.201584	0.11542	0.211233	0.0865099	0.206743	0.0548489	0.041543	0.072822	0.0544329	0.234044	0.127308	0.045759	0.486823	0.0516331	0.2341803	0.335743	0.315591	0.1268	0.221866	0.0502728	0.304508	0.874106	2.77111	2.703471
660	-4089.799	-4081.686	-8.113566	0.8333419	0.193776	0.629789	0.455016	0.56416	0.395036	0.228585	0.13935	0.157782	0.185763	0.302287	0.0374631	0.143607	0.114651	0.0614479	0.2616	0.100631	0.0569726	0.462626	0.0567222	0.3032328	0.344097	0.292856	0.13007	0.232977	0.102631	0.420219	0.965782	2.51137	3.547265
670	-4082.368	-4075.172	-7.195875	0.4547009	0.185427	0.653635	0.696544	0.56416	0.22695	0.222029	0.151219	0.154188	0.142352	0.234287	0.0705046	0.0507746	0.103423	0.0902107	0.2279	0.0944944	0.0457154	0.506313	0.0353666	0.1848068	0.322179	0.317952	0.123767	0.236101	0.0253315	0.221318	0.784288	2.96906	3.455496
680	-4079.388	-4077.654	-1.73468	0.6516158	0.200962	0.477217	0.566775	0.381812	0.26298	0.13888	0.165897	0.235592	0.0528826	0.210974	0.00650174	0.0514512	0.157451	0.0725292	0.234468	0.0912782	0.0341071	0.51071	0.0569073	0.2794234	0.351899	0.295813	0.120814	0.231475	0.0638991	0.339778	0.905529	2.69079	2.909377
690	-4088.239	-4079.923	-8.315834	0.8976015	0.16117	0.785817	0.640371	0.408259	0.272959	0.300305	0.162039	0.239409	0.114054	0.210974	0.0327973	0.154054	0.0852828	0.0908995	0.197471	0.0813692	0.0391536	0.545381	0.0457259	0.2718827	0.318341	0.318997	0.139826	0.222836	0.116097	0.443652	0.98072	2.45953	3.567492
700	-4081.987	-4083.039	1.051549	0.8002185	0.119579	0.431361	0.403459	0.379957	0.222782	0.204137	0.103968	0.267102	0.136286	0.175662	0.0696533	0.0685145	0.0482945	0.0948596	0.221045	0.13326	0.00230846	0.484741	0.0637858	0.3668339	0.328519	0.304699	0.132145	0.234637	0.0956052	0.407222	0.957015	2.54016	2.630754
710	-4092.545	-4090.351	-2.193364	1.280707	0.107785	0.756845	0.534348	0.329307	0.259389	0.168561	0.0974296	0.230027	0.191544	0.108785	0.0328833	0.047948	0.0903919	0.0856919	0.275802	0.130224	0.00191727	0.425075	0.0812897	0.386829	0.314541	0.313849	0.131059	0.24055	0.189375	0.547459	1.03445	2.22871	2.955245
720	-4079.172	-4079.169	-0.002382864	0.8228159	0.18392	0.452891	0.483105	0.3869	0.174825	0.198646	0.167814	0.223425	0.107561	0.137752	0.0377606	0.0993015	0.0822453	0.107109	0.253296	0.102084	0.000655256	0.464666	0.0721909	0.3426299	0.329409	0.316157	0.125329	0.229105	0.100404	0.41616	0.963082	2.52035	2.736147
730	-4084.372	-4083.991	-0.3807526	1.770685	0.160211	0.400674	0.52505	0.363972	0.273119	0.174973	0.149976	0.28924	0.0756607	0.190418	0.0287689	0.0835816	0.0583392	0.117351	0.246661	0.0790526	0.000109552	0.508566	0.0482595	0.3711768	0.319012	0.288046	0.134521	0.258422	0.264275	0.628181	1.06303	2.04452	2.773984
740	-4083.934	-4082.409	-1.525482	0.7554058	0.138016	0.485328	0.506372	0.343365	0.284585	0.151412	0.159151	0.228762	0.157299	0.136157	0.0591653	0.159735	0.0791097	0.0771181	0.163883	0.0791521	0.000199524	0.586572	0.0930757	0.2989678	0.331453	0.302604	0.132763	0.23318	0.086041	0.388541	0.943789	2.58163	2.888457
750	-4084.185	-4080.466	-3.718891	0.7299317	0.186857	0.570369	0.490805	0.340621	0.284585	0.259669	0.159151	0.289362	0.0614104	0.163855	0.00780454	0.167105	0.126202	0.0708953	0.255582	0.10167	0.000141175	0.485174	0.0865371	0.2540684	0.350397	0.30424	0.111654	0.233709	0.0805897	0.377317	0.935474	2.60662	3.107798
