Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4086.616	-4081.588	-5.028102	0.88212	0.167455	0.653727	0.375391	0.370896	0.323008	0.150535	0.0932755	0.268901	0.0560283	0.242321	0.272281	0.13844	0.126459	0.0616658	0.262582	0.0825091	0.0348831	0.531663	0.0266974	0.3650553	0.368221	0.302372	0.114109	0.215297	0.112876	0.438209	0.977348	2.47157	3.238719
10	-4083.267	-4083.023	-0.2435964	0.7844261	0.122362	0.573735	0.41662	0.370896	0.211424	0.136216	0.110688	0.291701	0.0476068	0.19335	0.149793	0.030916	0.104959	0.116229	0.265201	0.0976439	0.0250779	0.461344	0.0345043	0.3135676	0.322784	0.301945	0.148001	0.227269	0.0922407	0.400787	0.952544	2.55443	2.760268
20	-4075.237	-4073.951	-1.285745	0.9933932	0.136283	0.568102	0.488789	0.427681	0.171882	0.219865	0.124405	0.280434	0.0803628	0.132576	0.0941644	0.106726	0.0332126	0.0913443	0.234749	0.0911523	0.036634	0.482151	0.0639698	0.3520242	0.330114	0.298813	0.126777	0.244296	0.135634	0.474757	0.998897	2.39071	2.864483
30	-4076.251	-4078.815	2.563958	0.8773957	0.122504	0.378723	0.50042	0.357684	0.283963	0.146566	0.128533	0.172481	0.044126	0.1077	0.133716	0.0891971	0.013899	0.113889	0.201184	0.107409	0.0271458	0.486861	0.0635116	0.2756361	0.33705	0.292828	0.142549	0.227573	0.11189	0.436524	0.976291	2.47529	2.479513
40	-4077.716	-4081.513	3.796593	0.9353429	0.125105	0.386625	0.280443	0.371885	0.191014	0.179087	0.161822	0.168196	0.00112309	0.124008	0.133716	0.14128	0.091946	0.105689	0.223844	0.10556	0.0243283	0.478481	0.0620969	0.3034309	0.327264	0.297732	0.139803	0.235201	0.123879	0.456416	0.988402	2.4313	2.356249
50	-4084.209	-4081.658	-2.551522	1.211074	0.149321	0.50751	0.460013	0.429428	0.194247	0.290619	0.191864	0.177507	0.054456	0.204344	0.14185	0.151207	0.0386951	0.0950846	0.231851	0.0815515	0.0135171	0.513232	0.0647633	0.3217638	0.323215	0.293226	0.13091	0.252649	0.177054	0.532147	1.02775	2.26305	2.991061
60	-4078.659	-4078.668	0.008907253	1.44384	0.128269	0.571589	0.460151	0.382516	0.25276	0.183406	0.132495	0.170796	0.0440318	0.191707	0.100512	0.0858887	0.030896	0.0810711	0.210131	0.127856	0.0144059	0.489618	0.0769175	0.3209531	0.322911	0.301551	0.147087	0.228451	0.216515	0.578934	1.04695	2.15761	2.735018
70	-4077.123	-4076.265	-0.8587099	1.131582	0.132926	0.489126	0.458708	0.482699	0.22162	0.222542	0.150519	0.230194	0.0390262	0.156625	0.0806653	0.0858887	0.0712405	0.081395	0.167793	0.125377	0.020492	0.547063	0.0578803	0.3735281	0.326073	0.303818	0.149752	0.220358	0.162435	0.513019	1.01879	2.30576	2.82178
80	-4082.996	-4084.359	1.362884	0.8649786	0.0842548	0.497942	0.36264	0.340648	0.217628	0.195562	0.11315	0.186016	0.0568605	0.273939	0.0599898	0.118211	0.0927791	0.0986208	0.202423	0.127254	0.0276509	0.501186	0.0428649	0.3296197	0.322162	0.292341	0.135805	0.249693	0.109292	0.432036	0.973452	2.48522	2.59962
90	-4078.145	-4077.288	-0.8568325	0.6917447	0.166792	0.493922	0.542019	0.335565	0.266307	0.210127	0.119187	0.22249	0.0845785	0.173185	0.0520784	0.112875	0.0424666	0.0978121	0.288856	0.0985613	0.0212863	0.429578	0.0639064	0.251213	0.306761	0.316995	0.128952	0.247292	0.0724259	0.359609	0.92177	2.64619	2.821592
100	-4079.468	-4079.946	0.4779483	0.9184869	0.16884	0.527427	0.526185	0.328812	0.238353	0.158641	0.101824	0.180031	0.0343991	0.126637	0.111307	0.119679	0.0659792	0.0969043	0.282332	0.116314	0.0516691	0.406248	0.0465338	0.2886342	0.287966	0.337184	0.132465	0.242385	0.120416	0.450801	0.985062	2.44372	2.688114
110	-4079.451	-4080.317	0.8657483	0.8292487	0.193548	0.393076	0.555562	0.289138	0.275742	0.20373	0.103405	0.197337	0.0120349	0.227348	0.108228	0.058966	0.0312209	0.11013	0.215649	0.0746558	0.0461505	0.519051	0.0343632	0.3264584	0.323032	0.292446	0.138413	0.246109	0.101766	0.418648	0.964741	2.51484	2.649334
120	-4081.354	-4080.069	-1.285155	0.9669603	0.209589	0.476771	0.519428	0.443278	0.237484	0.189647	0.135957	0.153987	0.0254576	0.12771	0.117545	0.118369	0.109202	0.0533427	0.286771	0.106617	0.0669317	0.453402	0.032936	0.332452	0.345715	0.308998	0.126709	0.218578	0.130315	0.466591	0.994302	2.40879	2.864424
130	-4077.68	-4073.34	-4.340044	0.7793558	0.132929	0.686673	0.574568	0.415744	0.263517	0.222029	0.170181	0.263129	0.04485	0.148443	0.104884	0.0619828	0.0809838	0.105101	0.249727	0.0810355	0.0422173	0.473245	0.0486751	0.3076602	0.321479	0.302115	0.134357	0.242049	0.0911589	0.398688	0.951066	2.55909	3.169913
140	-4083.235	-4075.198	-8.037415	0.5417357	0.207209	0.674639	0.574568	0.381338	0.342659	0.216848	0.197424	0.34129	0.0105901	0.328753	0.0645474	0.115808	0.0839764	0.0753168	0.257183	0.0802863	0.0746534	0.487375	0.0251862	0.201613	0.348772	0.298413	0.118439	0.234376	0.0413601	0.278292	0.848412	2.83194	3.53965
150	-4079.491	-4075.217	-4.274355	0.627614	0.136026	0.589083	0.635244	0.478656	0.262674	0.179156	0.161963	0.184784	0.0109028	0.164733	0.0411316	0.121213	0.197778	0.0953855	0.258934	0.101704	0.0368481	0.460092	0.0470363	0.2322901	0.316885	0.298945	0.128665	0.255506	0.0588488	0.327278	0.894778	2.7191	3.163344
160	-4081.791	-4082.961	1.169793	0.7963872	0.117208	0.469183	0.403931	0.301627	0.228174	0.140736	0.103634	0.269055	0.0587061	0.116343	0.141602	0.0642939	0.204437	0.0897321	0.183604	0.0836627	0.0282968	0.530649	0.0840549	0.3072149	0.341083	0.284174	0.146348	0.228396	0.0947897	0.405675	0.955949	2.54359	2.618929
170	-4077.546	-4078.989	1.442811	0.7697987	0.120491	0.368609	0.407226	0.381625	0.224166	0.246175	0.175046	0.172344	0.0665499	0.200373	0.105309	0.075748	0.047965	0.0880804	0.186231	0.122913	0.0244284	0.508317	0.0700304	0.2400998	0.322938	0.303354	0.143986	0.229722	0.089118	0.394684	0.948222	2.56798	2.591628
180	-4076.849	-4072.383	-4.465893	0.7206115	0.14122	0.512145	0.626109	0.515266	0.246987	0.2118	0.180363	0.21254	0.0886525	0.200373	0.105932	0.0754174	0.0656933	0.0808645	0.226042	0.10557	0.0294288	0.505115	0.0529803	0.2493066	0.331127	0.293874	0.136784	0.238215	0.0785952	0.373095	0.932273	2.61604	3.182498
190	-4080.858	-4078.214	-2.644164	0.7053988	0.191491	0.46926	0.472325	0.403244	0.26944	0.163825	0.147365	0.209764	0.0169586	0.232144	0.137104	0.225214	0.0621899	0.0894251	0.226408	0.0757013	0.0427345	0.480699	0.0850315	0.3098361	0.359919	0.290262	0.110781	0.239039	0.0753418	0.366066	0.926853	2.63174	3.000325
