Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
170	-4086.217	-4079.36	-6.85693	0.300592	0.196114	0.693404	0.628936	0.449645	0.224784	0.220191	0.179452	0.213034	0.0361833	0.0389812	0.127189	0.328678	0.0850114	0.337432	0.285459	0.124283	0.252826	0.0873433	0.213766	0.0847139	0.0261539	0.55505	0.0329727	0.00534345	0.104956	0.596796	3.29291	3.421602
180	-4085.653	-4083.867	-1.785956	0.3313712	0.176011	0.526046	0.533731	0.484366	0.252086	0.166142	0.0878621	0.219634	0.0506316	0.0373007	0.04534	0.242901	0.0924523	0.357147	0.302137	0.131545	0.209172	0.0909202	0.206742	0.0819302	0.0252945	0.536811	0.0583022	0.00818182	0.129018	0.644914	3.21789	2.914504
190	-4087.682	-4083.324	-4.357912	0.3791052	0.148981	0.616903	0.633621	0.400362	0.227299	0.16425	0.0344485	0.277485	0.182464	0.0547559	0.0872116	0.236227	0.107691	0.318266	0.304194	0.132499	0.245041	0.0949008	0.240957	0.0867987	0.0264019	0.522939	0.0280021	0.013819	0.165983	0.707642	3.11256	3.1717
200	-4083.797	-4082.573	-1.224124	0.353999	0.149844	0.553813	0.521198	0.425329	0.209716	0.192557	0.128249	0.144823	0.024942	0.0197507	0.0978132	0.234767	0.155519	0.340234	0.300819	0.116624	0.242323	0.0930595	0.279925	0.100836	0.0306716	0.43427	0.061238	0.0106753	0.146662	0.676288	3.16637	2.858321
210	-4079	-4078.9	-0.100287	0.3415672	0.164672	0.435227	0.47666	0.302616	0.272396	0.175186	0.168767	0.277111	0.141305	0.0185054	0.0418796	0.183894	0.0877181	0.330558	0.315269	0.122227	0.231946	0.0927692	0.28147	0.0886393	0.0308409	0.444705	0.061576	0.00926398	0.136986	0.659441	3.19431	2.745937
220	-4091.036	-4089.396	-1.640207	0.3555274	0.145669	0.328509	0.470801	0.324777	0.323507	0.234598	0.16556	0.299855	0.0923832	0.0337048	0.024154	0.308018	0.148394	0.315723	0.337197	0.114458	0.232622	0.0881745	0.275889	0.0886927	0.0540005	0.420149	0.0730947	0.0108557	0.147847	0.678297	3.163	2.899929
230	-4090.472	-4084.899	-5.572277	0.3102001	0.262306	0.422529	0.60228	0.339583	0.267958	0.187813	0.16608	0.333417	0.242651	0.010985	0.0879792	0.232558	0.136999	0.342825	0.280299	0.124284	0.252591	0.0885922	0.276863	0.0657638	0.0541912	0.441292	0.073298	0.00615914	0.11245	0.612541	3.26885	3.293136
240	-4078.53	-4077.787	-0.7435843	0.3241059	0.146624	0.410932	0.522013	0.475181	0.201553	0.208694	0.148644	0.241313	0.127614	0.0278231	0.064722	0.121603	0.113551	0.33474	0.292924	0.128618	0.243717	0.10221	0.202413	0.0750588	0.0617826	0.503664	0.0548716	0.00745316	0.123331	0.63415	3.23507	2.810267
250	-4076.707	-4079.835	3.128398	0.3817651	0.139686	0.400825	0.441382	0.359466	0.21407	0.16212	0.0911046	0.251837	0.0624062	0.022705	0.0609059	0.139749	0.0768115	0.33474	0.292924	0.128618	0.243717	0.101704	0.223943	0.0984972	0.0280778	0.501168	0.0466099	0.014174	0.168008	0.710769	3.10705	2.423069
260	-4079.895	-4079.426	-0.4688071	0.3155236	0.12999	0.657379	0.550316	0.362923	0.186358	0.160812	0.131073	0.214573	0.12851	0.0686803	0.0270055	0.108434	0.0567355	0.337734	0.291606	0.128039	0.242621	0.102726	0.246065	0.0994876	0.0283601	0.47947	0.0438906	0.00663877	0.116613	0.620975	3.25577	2.782789
270	-4076.159	-4076.49	0.3307434	0.3677565	0.176141	0.473339	0.441042	0.425093	0.173126	0.216446	0.127837	0.201236	0.0860861	0.0413675	0.0941744	0.177187	0.06976	0.337734	0.291606	0.128039	0.242621	0.110164	0.244863	0.0848209	0.0275567	0.465887	0.0667089	0.0123508	0.157293	0.693891	3.13647	2.702834
280	-4080.791	-4083.584	2.792517	0.389199	0.12745	0.344681	0.362163	0.397483	0.227095	0.231224	0.149991	0.188415	0.070326	0.0487362	0.0332056	0.117109	0.158779	0.348333	0.290413	0.127516	0.233738	0.122137	0.218575	0.0961429	0.0283069	0.466312	0.0685251	0.0151875	0.173642	0.719323	3.09185	2.456657
290	-4083.08	-4082.098	-0.9821665	0.3729281	0.15195	0.391523	0.455535	0.465881	0.225635	0.232342	0.128918	0.30083	0.0765293	0.0712037	0.0194265	0.257801	0.0565503	0.333267	0.285209	0.144016	0.237508	0.113852	0.225816	0.0968586	0.0285177	0.469784	0.0651714	0.0130104	0.161263	0.700241	3.12549	2.834125
300	-4079.613	-4080.567	0.9536612	0.3784405	0.115233	0.441678	0.58182	0.392715	0.257924	0.172668	0.146006	0.19115	0.0538359	0.0320656	0.0624986	0.164096	0.028852	0.333551	0.285451	0.144139	0.236859	0.119378	0.236776	0.0897267	0.0292542	0.467746	0.0571196	0.0137309	0.165476	0.706855	3.11394	2.640543
310	-4083.467	-4082.934	-0.5330207	0.3486446	0.156781	0.523855	0.514746	0.323475	0.221755	0.151454	0.194773	0.265056	0.101017	0.0349245	0.0553701	0.148717	0.0972861	0.341606	0.292345	0.150493	0.215556	0.120871	0.226285	0.0908487	0.0305672	0.473595	0.0578339	0.0100553	0.142501	0.669145	3.1783	2.789211
320	-4088.862	-4087.364	-1.498525	0.380985	0.173884	0.381077	0.408619	0.381629	0.146678	0.200717	0.143375	0.195608	0.186287	0.0554947	0.140438	0.286316	0.185639	0.337215	0.276462	0.134338	0.251984	0.126291	0.203042	0.0949228	0.0319379	0.494833	0.048973	0.0140695	0.167415	0.709856	3.10866	2.885761
330	-4077.815	-4078.362	0.5474718	0.3680739	0.164279	0.428415	0.476303	0.424508	0.213475	0.160696	0.133656	0.222258	0.10505	0.0692457	0.0512499	0.147534	0.0844927	0.337215	0.276462	0.134338	0.251984	0.109636	0.279617	0.0933683	0.038477	0.429575	0.0493274	0.0123908	0.157537	0.694285	3.13579	2.681162
340	-4083.818	-4082.593	-1.225291	0.3271223	0.140343	0.454829	0.527361	0.326383	0.209995	0.1472	0.165431	0.200892	0.0852836	0.146798	0.0364316	0.26868	0.148811	0.341079	0.282788	0.126758	0.249376	0.109636	0.279617	0.0933683	0.038477	0.429575	0.0493274	0.00775134	0.125692	0.638662	3.22789	2.858438
350	-4091.186	-4086.387	-4.79906	0.3563982	0.0951392	0.400152	0.730708	0.491224	0.176462	0.240077	0.199807	0.25753	0.137839	0.116299	0.11614	0.194113	0.0603239	0.333042	0.299688	0.123771	0.243499	0.0954341	0.277748	0.0927443	0.0542701	0.426704	0.0530997	0.0109591	0.148522	0.679435	3.16108	3.215815
360	-4078.269	-4078.065	-0.2046896	0.3614557	0.164853	0.536885	0.502025	0.311176	0.187665	0.248304	0.139509	0.244304	0.0591689	0.0712978	0.0512367	0.181179	0.0587731	0.335159	0.295237	0.124557	0.245047	0.095508	0.277963	0.0920415	0.0543121	0.427034	0.0531408	0.0115689	0.152435	0.68596	3.15004	2.756378
370	-4079.864	-4084.268	4.403383	0.4081042	0.110107	0.352616	0.428747	0.27913	0.189679	0.186584	0.111009	0.187911	0.160263	0.0877389	0.0277868	0.100776	0.0732235	0.341672	0.300975	0.12036	0.236992	0.0892816	0.279749	0.10052	0.0883217	0.399195	0.0429334	0.0179007	0.187784	0.739903	3.05441	2.29557
380	-4083.248	-4087.098	3.850029	0.3850185	0.0738164	0.463459	0.47325	0.325136	0.190698	0.141468	0.107331	0.166972	0.112383	0.0619871	0.0473862	0.124335	0.0626842	0.337294	0.309932	0.118818	0.233955	0.0858842	0.278743	0.121121	0.0543011	0.39776	0.0621912	0.0146137	0.170479	0.714546	3.10036	2.350906
390	-4081.354	-4081.538	0.1841727	0.3187871	0.106182	0.546136	0.423924	0.353048	0.163128	0.247882	0.154718	0.245804	0.0786517	0.0582884	0.100506	0.210407	0.028816	0.331832	0.30526	0.116894	0.246014	0.0839153	0.266787	0.0904687	0.0379985	0.441059	0.079772	0.00694249	0.119167	0.626045	3.24785	2.717491
400	-4086.101	-4082.732	-3.369315	0.3522231	0.168904	0.570249	0.676394	0.407313	0.115299	0.188827	0.123596	0.200235	0.05994	0.040977	0.175991	0.279924	0.0651917	0.326335	0.300204	0.131522	0.241939	0.0852231	0.270944	0.0918785	0.0230066	0.447932	0.0810152	0.0104677	0.145283	0.673938	3.17031	3.07284
410	-4080.641	-4075.234	-5.406879	0.3237885	0.151844	0.637167	0.570561	0.3451	0.270195	0.239146	0.171765	0.294914	0.178748	0.0789153	0.0230046	0.220916	0.0943219	0.329612	0.302949	0.131793	0.235646	0.0956783	0.248102	0.10315	0.0258291	0.502885	0.0243554	0.00742214	0.123082	0.633672	3.23582	3.276597
420	-4082.084	-4077.614	-4.469343	0.3786118	0.181746	0.485009	0.576798	0.548999	0.263358	0.242279	0.123764	0.216783	0.110503	0.0394021	0.0531829	0.229867	0.111154	0.323672	0.305634	0.132961	0.237734	0.093997	0.255492	0.090882	0.0268518	0.494048	0.0387298	0.0137536	0.165607	0.707058	3.11358	3.182843
430	-4082.401	-4082.964	0.5632379	0.3540387	0.173995	0.47911	0.477926	0.431299	0.256667	0.205415	0.135419	0.191254	0.117028	0.0379705	0.0310822	0.0852929	0.0571254	0.329147	0.309726	0.121022	0.240105	0.104613	0.277595	0.0987443	0.0197199	0.457247	0.0420804	0.01068	0.146692	0.676341	3.16629	2.679585
440	-4084.625	-4087.145	2.519347	0.3291697	0.170246	0.3571	0.364792	0.462081	0.203674	0.157538	0.162379	0.112982	0.104748	0.061329	0.0201115	0.145088	0.161906	0.312498	0.317412	0.124025	0.246064	0.112443	0.267268	0.118816	0.0308062	0.42687	0.0437965	0.00795725	0.127295	0.641689	3.22306	2.483974
450	-4086.706	-4080.707	-5.998987	0.3222135	0.145094	0.671052	0.749094	0.496746	0.254121	0.201552	0.0968463	0.244005	0.0775459	0.0485076	0.0549282	0.121129	0.175187	0.320407	0.30258	0.124721	0.252292	0.0904046	0.205509	0.0857767	0.0306561	0.54947	0.0381835	0.00726925	0.121849	0.631289	3.23959	3.335807
460	-4081.828	-4081.03	-0.7970731	0.3543889	0.179061	0.437555	0.607508	0.417651	0.148906	0.176605	0.123826	0.170657	0.137903	0.0682333	0.0939018	0.158891	0.0949181	0.361635	0.284223	0.117155	0.236987	0.0883329	0.27045	0.083811	0.0391297	0.476044	0.0422326	0.0107212	0.146964	0.676802	3.16551	2.815616
470	-4084.653	-4078.492	-6.160917	0.3704562	0.150876	0.564347	0.630182	0.402333	0.294717	0.229836	0.223449	0.286265	0.0982627	0.0379825	0.0262253	0.311679	0.095846	0.354388	0.283486	0.119796	0.24233	0.0874643	0.267791	0.0928195	0.038745	0.471363	0.0418173	0.0126931	0.159367	0.697224	3.13072	3.352
480	-4079.672	-4081.604	1.932129	0.3154416	0.105505	0.415966	0.38208	0.38023	0.259789	0.235944	0.104062	0.199669	0.0665696	0.0881595	0.0539092	0.172627	0.0781849	0.35341	0.282643	0.11944	0.244508	0.088974	0.272413	0.0814188	0.0394137	0.4795	0.038281	0.00663123	0.116549	0.620846	3.25597	2.542696
490	-4080.202	-4081.253	1.050603	0.3917623	0.166979	0.455804	0.473186	0.340257	0.166096	0.169255	0.140101	0.148254	0.0812196	0.0803705	0.0437093	0.295631	0.0699857	0.348031	0.278341	0.136474	0.237154	0.100423	0.253483	0.0918957	0.0460568	0.464934	0.0432069	0.0155441	0.175576	0.72221	3.08667	2.630848
500	-4083.877	-4083.296	-0.5804811	0.3786067	0.131984	0.573235	0.510246	0.352393	0.225732	0.14343	0.13897	0.281514	0.05544	0.093939	0.0454011	0.0452717	0.196402	0.337107	0.298146	0.13323	0.231517	0.100338	0.253268	0.10172	0.0369666	0.464538	0.0431701	0.0137529	0.165603	0.707052	3.11359	2.793957
510	-4077.392	-4083.121	5.728768	0.3693467	0.153754	0.373453	0.297646	0.252273	0.201141	0.208929	0.0960257	0.196945	0.0249666	0.0872756	0.0446726	0.165586	0.0603642	0.329916	0.291785	0.136676	0.241623	0.10607	0.247183	0.112979	0.0413799	0.453378	0.0390102	0.0125519	0.158515	0.695859	3.13307	2.163032
520	-4084.025	-4083.807	-0.2184941	0.3727177	0.114962	0.393751	0.433733	0.364211	0.198844	0.203111	0.207443	0.209821	0.0120789	0.102921	0.11293	0.256912	0.147041	0.313865	0.31541	0.142959	0.227765	0.101246	0.249341	0.113965	0.0417412	0.457336	0.0363703	0.0129833	0.161101	0.699986	3.12593	2.757758
530	-4078.239	-4081.373	3.13427	0.4175305	0.135826	0.401141	0.431874	0.399442	0.178384	0.188735	0.155752	0.138991	0.031281	0.101467	0.0676148	0.126287	0.0656871	0.329789	0.315939	0.124108	0.230164	0.101246	0.249341	0.113965	0.0417412	0.457336	0.0363703	0.0193226	0.194726	0.749574	3.03638	2.422482
540	-4084.641	-4086.306	1.664544	0.3991797	0.180533	0.47893	0.373082	0.269657	0.21102	0.177879	0.153028	0.220016	0.0344676	0.193813	0.0721591	0.0997019	0.105166	0.328745	0.314939	0.12688	0.229436	0.107805	0.23534	0.0826591	0.0485062	0.486964	0.0387265	0.0165962	0.181143	0.730391	3.07187	2.569454
