Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
170	-4081.05	-4078.821	-2.229381	0.3495011	0.16324	0.429034	0.616033	0.406012	0.197465	0.165674	0.185011	0.203009	0.141906	0.131488	0.17971	0.0788312	0.0614335	0.353816	0.273412	0.137096	0.235676	0.106889	0.18617	0.0608048	0.0482711	0.551747	0.0461189	0.0101532	0.143167	0.670299	3.17638	2.958847
180	-4081.274	-4082.717	1.443105	0.3852373	0.127569	0.381407	0.414706	0.334946	0.254858	0.210031	0.137362	0.164936	0.124341	0.230141	0.174118	0.0284058	0.00877721	0.323787	0.306731	0.140154	0.229327	0.0994512	0.20623	0.10098	0.0358955	0.514721	0.0427225	0.0146435	0.170645	0.714798	3.09991	2.591598
190	-4084.024	-4085.929	1.904708	0.3509121	0.170342	0.381799	0.446004	0.288158	0.161563	0.210031	0.125982	0.193222	0.110973	0.0729678	0.193423	0.186932	0.00404103	0.345131	0.298307	0.135254	0.221309	0.0893652	0.268803	0.0907386	0.0352183	0.46252	0.0533552	0.0103156	0.144264	0.672191	3.17323	2.545438
200	-4083.446	-4086.557	3.110825	0.3541971	0.160027	0.386125	0.522182	0.341877	0.179018	0.183479	0.138734	0.121288	0.0379268	0.171589	0.111289	0.0684622	0.00282785	0.334709	0.289299	0.131169	0.244823	0.098615	0.239796	0.134458	0.0210358	0.45799	0.0481051	0.0106986	0.146815	0.676549	3.16594	2.424826
210	-4081.438	-4084.269	2.831092	0.3420941	0.115404	0.463055	0.438978	0.399713	0.175288	0.178539	0.155455	0.109441	0.0525819	0.171589	0.140608	0.032275	0.0198723	0.328415	0.302662	0.128703	0.24022	0.0986781	0.23995	0.105141	0.0498115	0.458283	0.0481359	0.00932177	0.137397	0.660174	3.19311	2.4528
220	-4078.195	-4080.275	2.080622	0.3675429	0.158073	0.461269	0.446074	0.432096	0.158968	0.217687	0.162556	0.170322	0.0617173	0.0515566	0.145269	0.014672	0.0475865	0.323445	0.298081	0.141311	0.237163	0.103395	0.206764	0.110167	0.0521926	0.48019	0.0472906	0.0123239	0.157128	0.693626	3.13692	2.527847
230	-4082.909	-4081.064	-1.844489	0.3260339	0.218652	0.505784	0.476103	0.344264	0.255378	0.18166	0.171992	0.204492	0.097317	0.154873	0.132972	0.0609771	0.115894	0.342659	0.284198	0.13535	0.237793	0.0749905	0.159895	0.0989053	0.0505956	0.573158	0.0424562	0.00764304	0.12484	0.637041	3.23048	2.920358
240	-4084.458	-4084.082	-0.3752988	0.3651832	0.110609	0.459557	0.557805	0.354186	0.208558	0.269634	0.143713	0.151972	0.0504584	0.0946718	0.238628	0.0448124	0.0888349	0.342932	0.284424	0.149566	0.223078	0.0702142	0.156679	0.0969164	0.0495782	0.561632	0.0649794	0.0120285	0.155311	0.690679	3.14198	2.773439
250	-4085.808	-4083.069	-2.739449	0.3418365	0.166212	0.416781	0.484258	0.576235	0.300247	0.220774	0.118386	0.196972	0.0726166	0.118528	0.247957	0.0274397	0.0634474	0.350878	0.291067	0.134284	0.223772	0.063481	0.172397	0.121711	0.0445679	0.517934	0.0799087	0.0092935	0.137196	0.659816	3.19369	3.009854
260	-4093.322	-4089.982	-3.339377	0.4423975	0.177962	0.416781	0.554537	0.387919	0.237382	0.257657	0.163407	0.352242	0.117317	0.0931008	0.221096	0.0455818	0.0448647	0.349144	0.289629	0.124995	0.236232	0.06105	0.257698	0.100021	0.0366254	0.499404	0.0452014	0.0232757	0.212659	0.773367	2.9907	3.069846
270	-4084.459	-4079.137	-5.322019	0.3517201	0.156885	0.526508	0.625231	0.484424	0.354863	0.200658	0.132078	0.254185	0.0633381	0.0474448	0.33962	0.0489838	0.0338919	0.351043	0.289721	0.125675	0.233561	0.0687033	0.232732	0.11256	0.0412169	0.499481	0.0453076	0.0104092	0.144892	0.673269	3.17143	3.268111
280	-4087.304	-4085.094	-2.210043	0.3216234	0.169797	0.52239	0.470565	0.374876	0.289905	0.197563	0.196254	0.318773	0.128285	0.0250971	0.169929	0.0108893	0.0825887	0.336142	0.325169	0.115042	0.223647	0.0756872	0.269234	0.0972684	0.0386396	0.468249	0.050922	0.0072124	0.121387	0.630392	3.24101	2.956913
290	-4093.097	-4087.089	-6.007595	0.328295	0.179588	0.66358	0.509965	0.505922	0.230199	0.23506	0.109692	0.340012	0.0980283	0.0120323	0.296835	0.00990366	0.145852	0.331668	0.331119	0.114541	0.222672	0.079835	0.283989	0.0940893	0.0233018	0.465072	0.0537127	0.00786894	0.12661	0.640399	3.22512	3.336668
300	-4091.816	-4085.389	-6.427304	0.3018263	0.199965	0.53473	0.56148	0.630432	0.272618	0.176852	0.223761	0.172073	0.0603965	0.00375055	0.391681	0.0504477	0.100453	0.329435	0.307294	0.11557	0.247701	0.079123	0.281456	0.0932501	0.0230939	0.469843	0.0532337	0.00544462	0.105917	0.598857	3.28978	3.378639
310	-4081.711	-4081.828	0.116866	0.3539226	0.142238	0.547012	0.478107	0.304092	0.241924	0.185843	0.177634	0.19607	0.0721377	0.00463005	0.20522	0.014091	0.155223	0.343948	0.307242	0.120661	0.22815	0.0828477	0.27572	0.100743	0.0282723	0.460268	0.0521488	0.0106664	0.146602	0.676188	3.16654	2.724222
320	-4086.68	-4085.272	-1.408425	0.3099546	0.113491	0.469464	0.633477	0.340865	0.214389	0.296584	0.149191	0.192777	0.0857811	0.0617314	0.193013	0.0298047	0.0961825	0.322285	0.317462	0.11818	0.242073	0.0815687	0.293782	0.0991876	0.0209548	0.453163	0.0513437	0.0061375	0.112258	0.612148	3.26946	2.876751
330	-4087.428	-4085.66	-1.768209	0.3294715	0.13555	0.50222	0.361634	0.425063	0.192293	0.206105	0.149191	0.182364	0.082889	0.179787	0.203785	0.100017	0.191832	0.31765	0.312897	0.116481	0.252972	0.0799176	0.329798	0.0987759	0.0196008	0.423882	0.0480262	0.00798784	0.127531	0.642133	3.22235	2.91273
340	-4081.309	-4080.699	-0.609672	0.3465143	0.12208	0.558952	0.532658	0.317689	0.182766	0.196248	0.151364	0.292536	0.0474267	0.0141304	0.184798	0.123422	0.0728074	0.345332	0.295221	0.120766	0.238681	0.089575	0.25832	0.101201	0.0219695	0.475104	0.0538297	0.00981369	0.140843	0.666256	3.18309	2.796876
350	-4085.466	-4083.285	-2.181108	0.3092099	0.148007	0.436961	0.655866	0.355488	0.20008	0.239199	0.141714	0.250159	0.026019	0.10464	0.167446	0.113023	0.115418	0.299895	0.321189	0.145234	0.233681	0.0913857	0.263542	0.103247	0.0224135	0.484708	0.0347041	0.0060721	0.111676	0.61095	3.2713	2.95402
360	-4085.605	-4084.693	-0.9118703	0.3596675	0.213618	0.525344	0.527146	0.352125	0.197102	0.172307	0.190643	0.250159	0.063573	0.0449909	0.176755	0.0287525	0.0845807	0.298489	0.319683	0.150032	0.231796	0.0784012	0.199269	0.131211	0.0356031	0.510962	0.0445536	0.0113515	0.151053	0.68367	3.15393	2.827096
370	-4083.293	-4081.828	-1.464716	0.3723731	0.181265	0.559497	0.43344	0.448749	0.16998	0.198794	0.140072	0.23751	0.101895	0.0477841	0.2295	0.0212888	0.112605	0.310579	0.294128	0.154108	0.241185	0.084375	0.171396	0.141209	0.012066	0.549895	0.0410591	0.0129389	0.160837	0.699567	3.12666	2.88238
