Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	bls_prop[1]	bls_prop[2]	bls_prop[3]	bls_prop[4]	bls_prop[5]	bls_prop[6]	bls_prop[7]	bls_prop[8]	bls_prop[9]	bls_prop[10]	bls_prop[11]	bls_prop[12]	bls_prop[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
110	-4075.11	-4078.716	3.605844	0.1483839	0.563483	6.81819	4.75317	2.5046	1.46377	0.455097	0.914599	2.88852	0.255499	0.303044	3.08745	0.20567	0.753934	0.0225691	0.273088	0.190378	0.100316	0.0586281	0.0182279	0.0366323	0.115693	0.0102334	0.0121378	0.123661	0.00823767	0.0301972	0.378893	0.288381	0.113393	0.219333	0.0156763	0.207355	0.0350163	0.0301773	0.646053	0.0657227	4.80077e-05	0.010238	0.236946	3.75277	24.96703
120	-4079.007	-4084.665	5.658612	0.1393072	0.849207	6.07133	5.02075	6.11576	1.86948	0.881695	0.751541	0.929732	0.709363	0.357646	7.20686	0.380036	0.0626358	0.0272129	0.194556	0.16089	0.19598	0.0599075	0.028254	0.0240832	0.0297933	0.0227316	0.0114608	0.230944	0.0121783	0.00200717	0.367529	0.303878	0.115838	0.212754	0.0131957	0.215187	0.0286326	0.0313171	0.665501	0.0461666	2.6154e-05	0.0075657	0.209388	3.78302	31.20604
130	-4071.245	-4076.398	5.153082	0.1569125	0.630858	7.36851	7.42616	3.64014	1.60166	0.659912	0.53495	2.22041	0.773481	0.661073	2.87949	0.930358	0.168183	0.0213885	0.249821	0.251775	0.123415	0.0543025	0.0223735	0.0181369	0.0752804	0.026224	0.0224129	0.0976259	0.0315427	0.00570205	0.348977	0.313231	0.116398	0.221394	0.0133565	0.206854	0.0277532	0.0316986	0.673609	0.046729	7.96692e-05	0.013173	0.262563	3.72418	29.49519
140	-4074.163	-4079.208	5.044855	0.1520605	1.1444	6.65781	6.44616	2.97932	1.84827	1.08125	1.03842	2.06525	2.20841	0.537015	2.11728	0.736999	0.284673	0.0392654	0.228435	0.221173	0.102223	0.0634159	0.0370986	0.035629	0.0708606	0.0757725	0.0184255	0.0726459	0.0252871	0.0097674	0.348731	0.313011	0.116316	0.221942	0.014047	0.193374	0.0241829	0.0333374	0.708434	0.0266244	6.01414e-05	0.0114532	0.248033	3.74045	29.14525
150	-4072.05	-4074.062	2.012043	0.1705855	0.267614	5.70792	4.87078	2.44477	1.31292	0.709326	0.947776	1.7011	0.576571	0.536067	1.86416	0.211913	0.0322585	0.0126333	0.269455	0.229936	0.115411	0.0619793	0.0334853	0.0447419	0.0803044	0.0272184	0.0253062	0.0880017	0.0100038	0.00152284	0.343587	0.32075	0.111851	0.223812	0.0140053	0.178817	0.0391552	0.0351433	0.706334	0.0265455	0.000161423	0.0187122	0.302704	3.67842	21.18317
160	-4074.156	-4078.596	4.440193	0.1602988	0.852464	7.7647	6.4553	2.1288	2.51873	1.30374	0.587748	1.63383	0.707202	0.168113	2.30614	0.721779	0.138719	0.0312404	0.284554	0.236568	0.0780144	0.0923043	0.0477784	0.0215393	0.0598752	0.0259169	0.00616086	0.0845134	0.0264511	0.00508365	0.355006	0.305166	0.113239	0.226589	0.00660453	0.176965	0.0387498	0.0493626	0.699019	0.0292992	9.59685e-05	0.0144507	0.272625	3.71283	27.28728
170	-4071.988	-4075.589	3.601361	0.1680185	0.869818	7.12556	5.17293	2.71533	1.45753	1.19643	0.410623	1.75452	0.53566	0.376033	2.55178	0.272367	0.516667	0.0348551	0.285534	0.207288	0.108808	0.0584058	0.0479429	0.0164544	0.0703066	0.0214648	0.0150683	0.102254	0.0109142	0.0207037	0.358992	0.308592	0.103283	0.229133	0.00666236	0.178515	0.0390891	0.0481961	0.70514	0.0223979	0.000142627	0.0175962	0.295272	3.68699	24.95525
180	-4072.063	-4072.757	0.6942394	0.1684598	0.824298	5.37801	3.10506	2.32784	1.2067	0.758873	0.28927	1.04674	0.564082	0.363982	2.3458	0.0980656	0.26274	0.0443852	0.289585	0.167195	0.125345	0.0649759	0.0408623	0.015576	0.0563629	0.0303736	0.019599	0.126312	0.00528045	0.0141475	0.36771	0.291803	0.105791	0.234697	0.00680161	0.201529	0.0358078	0.0456751	0.686161	0.0240256	0.000145734	0.0177856	0.296553	3.68552	18.57146
190	-4071.439	-4073.857	2.417677	0.1542215	0.483959	5.79202	5.09597	2.90719	1.90841	0.425123	0.403905	1.10837	1.03217	0.681409	1.91356	0.12128	0.201533	0.0219235	0.262381	0.230849	0.131697	0.0864516	0.0192582	0.018297	0.0502093	0.0467574	0.030868	0.0866851	0.00549404	0.0091295	0.386716	0.293602	0.10283	0.216852	0.00723181	0.254572	0.0435162	0.048564	0.619496	0.02662	6.83146e-05	0.0122029	0.25452	3.73321	22.07489
200	-4074.782	-4071.208	-3.574135	0.1710533	0.41578	2.82216	2.16116	1.61551	1.07978	0.331928	0.291634	0.928975	0.557516	0.383942	1.4378	0.0562721	0.273414	0.0336504	0.228406	0.17491	0.130749	0.0873901	0.026864	0.0236029	0.0751849	0.0451215	0.0310737	0.116366	0.00455428	0.0221282	0.387012	0.29063	0.105341	0.217018	0.0086031	0.299801	0.0517678	0.0740623	0.534098	0.0316676	0.000165039	0.0189192	0.304052	3.67686	12.35587
210	-4071.476	-4073.914	2.437419	0.1615396	0.521195	5.20733	5.05064	2.50653	1.99252	0.825568	0.412965	0.978689	0.377575	0.402546	3.05013	0.383238	0.410526	0.0235628	0.235418	0.228335	0.113318	0.09008	0.0373232	0.0186698	0.0442456	0.0170698	0.0181987	0.137894	0.0173258	0.0185595	0.376518	0.305543	0.106143	0.211796	0.0081771	0.225076	0.0493978	0.0434599	0.639605	0.0342836	0.000102541	0.0149346	0.276293	3.70867	22.11945
220	-4077.576	-4076.338	-1.238169	0.1831428	0.507289	3.26035	3.60526	1.19354	1.16824	0.546188	0.436291	1.3939	0.964481	0.208862	1.39252	0.712732	0.00672947	0.0329486	0.211761	0.234162	0.0775209	0.0758776	0.0354751	0.0283372	0.0905345	0.0626433	0.0135657	0.0904448	0.0462921	0.000437081	0.364178	0.297008	0.103178	0.235635	0.0141284	0.313162	0.029819	0.0935691	0.491587	0.0577347	0.000281308	0.0246515	0.338254	3.63681	15.39639
230	-4073.754	-4072.684	-1.069859	0.1557039	0.374746	4.15829	3.41162	2.07527	1.04021	0.52085	0.60496	1.0149	0.401494	0.364849	1.3255	0.346366	0.00737445	0.0239509	0.265766	0.218045	0.132635	0.0664825	0.0332887	0.0386644	0.0648645	0.0256605	0.0233183	0.084716	0.0221371	0.000471319	0.356569	0.307807	0.101022	0.234601	0.0111988	0.238043	0.0575232	0.0609509	0.570531	0.0617527	7.4402e-05	0.0127323	0.258956	3.72824	15.64642
240	-4073.432	-4072.21	-1.221754	0.178601	0.517757	3.81872	3.00828	1.64184	1.39854	0.278676	0.668549	1.03574	0.606122	0.343114	1.53968	0.521296	0.042259	0.0335757	0.247638	0.195082	0.106471	0.0906931	0.0180717	0.0433544	0.0671661	0.0393061	0.0222504	0.0998461	0.0338053	0.00274043	0.354931	0.306392	0.105154	0.233523	0.0108331	0.230271	0.055645	0.0589607	0.584554	0.0597364	0.0002322	0.0224136	0.325557	3.6518	15.42057
