Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	bls_prop[1]	bls_prop[2]	bls_prop[3]	bls_prop[4]	bls_prop[5]	bls_prop[6]	bls_prop[7]	bls_prop[8]	bls_prop[9]	bls_prop[10]	bls_prop[11]	bls_prop[12]	bls_prop[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
2890	-4075.794	-4084.798	9.00415	0.1371575	0.652397	13.3372	10.7306	7.16531	2.22988	1.22935	0.79918	1.98952	0.409244	0.29149	6.95234	0.774357	0.506815	0.0138608	0.283363	0.227982	0.152234	0.0473761	0.0261188	0.0169794	0.0422693	0.0086948	0.00619299	0.147709	0.016452	0.0107678	0.385978	0.287213	0.101716	0.225094	0.0243849	0.160199	0.00605867	0.0356477	0.757339	0.0163712	2.23842e-05	0.00700115	0.20284	3.79014	47.0677
2900	-4072.468	-4081.289	8.820867	0.1368583	1.20775	11.0594	11.0917	6.43081	1.25971	1.09814	0.224031	1.34439	0.403497	1.06133	7.58503	2.34444	0.798505	0.0263077	0.240899	0.241604	0.140078	0.0274394	0.0239201	0.00487991	0.029284	0.0087891	0.0231182	0.16522	0.0510674	0.0173933	0.369419	0.312867	0.108041	0.209673	0.00332549	0.171081	0.0322504	0.0380691	0.737791	0.0174832	2.18961e-05	0.00692464	0.201929	3.79112	45.90874
2910	-4078.417	-4087.918	9.501254	0.1308386	0.440376	17.0236	15.3291	3.08377	2.51422	0.839129	0.541266	3.84047	0.460141	0.494868	3.07272	2.01002	0.819094	0.00872572	0.337309	0.303734	0.0611025	0.0498173	0.0166267	0.0107248	0.0760959	0.00911734	0.00980543	0.0608836	0.0398271	0.0162297	0.332193	0.33575	0.106684	0.225373	0.00332138	0.170869	0.0322105	0.0392602	0.736878	0.0174615	1.37521e-05	0.00549184	0.183605	3.81089	50.46876
2920	-4075.699	-4084.834	9.135052	0.1324988	0.61735	13.3189	11.395	6.72108	1.59663	0.944099	0.717529	3.19861	0.419794	0.362707	4.81368	2.99001	0.829812	0.0128815	0.27791	0.237767	0.140241	0.0333149	0.0196994	0.0149719	0.0667417	0.00875937	0.00756819	0.100442	0.0623892	0.0173147	0.356688	0.28677	0.114551	0.241991	0.00328689	0.176303	0.029997	0.0393157	0.733817	0.0172802	1.57005e-05	0.00586683	0.188654	3.80546	47.9252
2930	-4072.885	-4081.417	8.532261	0.1246886	0.580855	12.8467	10.1663	6.12384	1.92493	0.621057	0.271382	2.61569	0.94999	0.581098	5.39173	1.27165	0.829655	0.013149	0.290814	0.230138	0.138627	0.0435753	0.014059	0.00614335	0.0592121	0.0215052	0.0131545	0.122054	0.0287868	0.0187811	0.349108	0.296995	0.117049	0.236849	0.00646313	0.176326	0.0300747	0.0340928	0.735718	0.017325	8.16241e-06	0.00423402	0.16498	3.83078	44.17487
2940	-4074.023	-4080.941	6.917681	0.1319614	0.160741	10.8558	6.63419	4.17395	2.27371	0.489297	0.62378	1.95647	0.657037	1.21632	5.71995	0.6576	0.682442	0.00445249	0.300703	0.183766	0.115618	0.0629814	0.0135535	0.0172786	0.0541941	0.0181998	0.033692	0.158442	0.0182154	0.0189036	0.367263	0.300083	0.117736	0.214918	0.00676483	0.184557	0.0314785	0.0335027	0.731557	0.0121403	1.50469e-05	0.00574378	0.187019	3.80722	36.10126
2950	-4073.55	-4077.42	3.870631	0.1394956	0.371167	8.034	5.37015	2.83577	1.6238	0.869259	0.313726	0.615698	0.509857	1.36342	2.13943	1.46133	0.167513	0.0144563	0.31291	0.209158	0.110448	0.0632441	0.0338561	0.0122191	0.0239803	0.019858	0.0531026	0.0833269	0.0569164	0.00652433	0.366762	0.299674	0.118938	0.214625	0.00660429	0.180177	0.0468159	0.0425315	0.714196	0.00967551	2.65071e-05	0.00761642	0.209961	3.7824	25.67512
2960	-4071.653	-4072.656	1.003576	0.1598625	0.695517	4.37114	3.92817	2.65122	1.22275	0.47661	0.608974	0.930172	0.159343	0.66786	2.54976	0.292018	0.594701	0.0363228	0.228279	0.205145	0.138458	0.0638571	0.0248905	0.0318031	0.0485774	0.00832157	0.0348784	0.133159	0.0152504	0.0310577	0.366339	0.299329	0.119955	0.214378	0.00635575	0.163924	0.0502415	0.0464544	0.71288	0.0201439	9.37358e-05	0.0142825	0.271332	3.71429	19.14823
2970	-4072.505	-4075.702	3.197499	0.1568316	0.455601	5.44077	4.2512	2.27483	1.8548	0.546103	0.720799	1.71366	0.215424	1.50804	3.76861	0.384091	0.788669	0.0190448	0.227432	0.177706	0.0950913	0.0775335	0.0228279	0.0301305	0.0716337	0.00900502	0.0630382	0.157533	0.0160556	0.0329675	0.3682	0.300849	0.115485	0.215467	0.00754837	0.192565	0.0398302	0.0461365	0.688383	0.0255372	7.93077e-05	0.0131432	0.262322	3.72446	23.9226
2980	-4081.73	-4086.187	4.457524	0.1573416	0.218001	6.5307	5.88499	3.44364	1.82915	1.138	1.18223	1.73759	0.480981	0.369404	3.42031	0.9062	0.197149	0.00797419	0.238884	0.215265	0.125964	0.0669078	0.0416265	0.0432445	0.0635587	0.0175936	0.0135123	0.12511	0.0331476	0.00721144	0.368277	0.300912	0.115299	0.215512	0.00762684	0.194567	0.0402442	0.046616	0.695538	0.0154078	8.1607e-05	0.0133314	0.263842	3.72274	27.33834
2990	-4080.133	-4084.429	4.295622	0.1483908	0.513893	7.15388	4.06922	2.25549	2.12957	1.14478	0.42183	2.45579	0.215056	0.787644	4.99927	0.374426	0.345166	0.019128	0.26628	0.151463	0.0839531	0.0792663	0.0426109	0.0157012	0.0914089	0.00800477	0.0293175	0.186082	0.0139368	0.0128477	0.364686	0.304634	0.114174	0.216506	0.00776717	0.256798	0.0319465	0.0513855	0.636412	0.0156913	4.80282e-05	0.0102402	0.236967	3.75274	26.86602
3000	-4082.216	-4085.024	2.808414	0.1579435	0.776233	5.39675	6.7864	1.59108	1.41516	0.69984	0.496052	1.21712	0.283324	0.290022	3.73031	0.135008	0.160451	0.033782	0.234868	0.295346	0.0692443	0.0615884	0.0304573	0.0215884	0.0529695	0.0123303	0.0126219	0.162345	0.0058756	0.00698287	0.370951	0.292687	0.116136	0.220226	0.00937777	0.29313	0.0385709	0.0620408	0.531843	0.0650376	8.43861e-05	0.0135553	0.265634	3.72073	22.97775
3010	-4079.962	-4082.192	2.229557	0.160677	0.444607	5.83527	4.49813	2.47429	1.32858	0.625643	0.339125	2.30646	0.337008	0.412108	2.21747	0.662979	0.174096	0.0205306	0.269456	0.20771	0.114255	0.0613501	0.0288904	0.0156598	0.106505	0.015562	0.0190299	0.102396	0.0306145	0.00803927	0.38337	0.283631	0.114975	0.218025	0.00971835	0.309416	0.0161242	0.0291325	0.554924	0.0806852	9.79364e-05	0.0145973	0.273744	3.71156	21.65576
3020	-4076.414	-4080.287	3.872884	0.1425192	0.711454	6.03062	5.5482	3.55629	1.60838	0.674647	0.276309	1.45283	0.0658448	0.659164	3.39175	1.42717	0.278587	0.0277032	0.234826	0.216041	0.138478	0.0626285	0.02627	0.0107592	0.0565717	0.00256392	0.0256671	0.132071	0.0555723	0.0108479	0.38085	0.285948	0.11661	0.216592	0.010095	0.285315	0.0204929	0.0302614	0.570024	0.083812	3.27135e-05	0.00845792	0.219161	3.77235	25.68125
3030	-4076.996	-4081.039	4.043556	0.1491462	0.484544	6.89646	6.52929	3.3037	1.35129	1.14974	0.0788903	1.36431	0.0907893	0.697906	3.56504	0.410776	0.228627	0.0185284	0.263713	0.249673	0.12633	0.0516719	0.0439647	0.00301668	0.0521699	0.00347168	0.0266872	0.136323	0.0157076	0.00874246	0.352168	0.303263	0.123672	0.220897	0.0102287	0.289095	0.019126	0.0300731	0.577577	0.0739007	5.03499e-05	0.0104837	0.23925	3.75022	26.15137
3040	-4073.602	-4081.287	7.685363	0.1361238	0.793855	10.4639	10.683	2.29246	3.41425	1.29588	0.568349	3.48335	0.390164	0.94	3.5193	1.48411	0.308573	0.0200281	0.263992	0.269519	0.0578362	0.0861377	0.0326935	0.0143388	0.0878809	0.0098434	0.0237151	0.088788	0.0374424	0.00778494	0.360368	0.309926	0.103956	0.22575	0.00799026	0.228892	0.0149405	0.0234919	0.666957	0.0577282	2.07337e-05	0.00673896	0.199691	3.79355	39.63715
3050	-4075.261	-4078.566	3.305342	0.1426489	0.742611	6.02588	5.17651	2.02558	1.66651	0.615341	0.5719	1.84565	0.840818	0.404088	2.2395	1.37564	0.662996	0.0306952	0.249075	0.213967	0.0837257	0.0688839	0.0254346	0.023639	0.0762883	0.0347546	0.0167027	0.0925681	0.0568611	0.0274044	0.375387	0.290478	0.107983	0.226152	0.00652488	0.193004	0.0231112	0.0376808	0.654062	0.0856172	3.30035e-05	0.00849518	0.219556	3.77192	24.19302
3060	-4074.664	-4078.902	4.238461	0.1456282	1.03329	6.0344	6.97509	3.52823	1.54232	1.21978	0.558869	1.6487	0.25146	0.302482	1.59143	0.463778	1.55197	0.0386975	0.225992	0.261222	0.132135	0.0577608	0.0456815	0.02093	0.0617449	0.00941737	0.0113282	0.0596002	0.0173688	0.0581222	0.377821	0.292361	0.102199	0.227618	0.00650383	0.192381	0.0230367	0.0375592	0.655178	0.0853409	4.02449e-05	0.00937729	0.228602	3.76198	26.70178
3070	-4079.234	-4087.868	8.633555	0.1319293	0.744219	10.6033	8.01903	6.1781	2.78169	0.954652	0.665879	3.29765	1.03371	0.402091	4.67528	1.46479	3.95095	0.0166227	0.236832	0.179111	0.137992	0.062131	0.0213229	0.0148729	0.0736554	0.0230887	0.008981	0.104426	0.0327172	0.0882473	0.375041	0.301014	0.0952814	0.228664	0.00599837	0.272757	0.0150954	0.0346402	0.592801	0.0787084	1.50086e-05	0.00573649	0.186922	3.80733	44.77131
3080	-4074.015	-4075.493	1.478097	0.1615928	0.341361	5.31779	3.63541	2.19673	1.10008	0.659254	0.657882	0.718116	0.382325	0.14816	2.47652	0.447412	1.994	0.0170042	0.264896	0.181091	0.109426	0.0547982	0.0328395	0.0327711	0.0357716	0.0190448	0.00738032	0.123363	0.022287	0.0993275	0.373045	0.29895	0.0964755	0.231529	0.0135812	0.281919	0.01656	0.0404942	0.571557	0.0758878	0.00010283	0.0149555	0.27645	3.70849	20.07504
3090	-4075.385	-4079.488	4.102373	0.1699508	0.566148	5.18157	8.40449	2.70172	2.14731	0.574596	0.792747	1.72723	0.411131	0.0823418	2.62408	0.256903	0.845657	0.0215135	0.196899	0.319369	0.102665	0.0815975	0.0218345	0.0301242	0.0656345	0.0156229	0.00312897	0.0997144	0.00976227	0.0321348	0.375798	0.301156	0.100151	0.222894	0.0142118	0.261653	0.017329	0.029296	0.598099	0.0794118	0.000156611	0.018433	0.300871	3.68054	26.31592
3100	-4079.779	-4086.259	6.480283	0.1537189	0.710199	9.83357	8.7261	3.54939	2.51721	1.13408	0.718272	1.48554	0.598176	0.103293	4.17579	0.156188	0.578847	0.0207136	0.286805	0.254504	0.103521	0.0734166	0.0330764	0.020949	0.043327	0.0174463	0.00301263	0.121791	0.00455535	0.0168826	0.335327	0.333247	0.094155	0.23727	0.0125313	0.333336	0.00557029	0.0370013	0.527373	0.0841875	6.63411e-05	0.0120262	0.253013	3.73489	34.28665
3110	-4083.683	-4089.055	5.372236	0.1582652	0.509415	10.1027	5.69915	2.59477	2.04308	1.41143	1.06381	2.49155	0.333316	0.204205	1.6106	0.857684	1.29934	0.0168563	0.334294	0.188582	0.0858597	0.0676045	0.0467036	0.0352011	0.0824441	0.0110293	0.00675705	0.0532939	0.0283804	0.0429944	0.355736	0.323376	0.0998856	0.221002	0.0197833	0.382263	0.00530656	0.0100422	0.502404	0.0802015	8.59008e-05	0.0136758	0.266591	3.71965	30.22106
3120	-4082.104	-4086.434	4.330106	0.1558531	0.736829	5.55239	6.50904	3.46502	2.01919	0.856423	0.921781	1.73853	0.254516	0.290143	2.18695	1.99782	0.437103	0.0273247	0.205905	0.241382	0.128497	0.0748799	0.0317597	0.0341834	0.0644717	0.00943851	0.0107597	0.0811012	0.0740873	0.0162096	0.385186	0.280228	0.095289	0.239298	0.016008	0.309314	0.00429388	0.0152796	0.559725	0.0953791	7.50373e-05	0.0127863	0.259401	3.72774	26.96574
3130	-4078.067	-4081.087	3.020891	0.1532934	0.711643	6.09593	5.17703	2.93763	1.38896	0.778191	0.413834	1.23201	0.145356	0.551868	2.29988	1.09604	0.659485	0.0302983	0.259535	0.220413	0.12507	0.0591352	0.0331316	0.0176191	0.0524529	0.00618857	0.0234959	0.0979178	0.0466643	0.0280777	0.376228	0.293479	0.099795	0.230497	0.0237813	0.300257	0.00416815	0.0631578	0.511119	0.097517	6.47052e-05	0.0118777	0.251737	3.73632	23.48786
3140	-4079.166	-4082.187	3.020891	0.1525328	0.801003	6.10866	6.31317	1.68683	1.56594	0.881395	0.676957	0.986502	0.477599	0.225785	2.76554	0.802186	0.196305	0.0341028	0.260077	0.268784	0.0718169	0.06667	0.0375256	0.0288216	0.0420005	0.0203339	0.00961284	0.117743	0.0341532	0.00835771	0.381829	0.298118	0.100404	0.219649	0.0236713	0.26062	0.00361792	0.0361108	0.591525	0.0844547	6.1859e-05	0.0116148	0.249452	3.73887	23.48786
3150	-4077.112	-4081.158	4.045912	0.1419691	0.294171	6.81542	6.84904	2.69477	0.44503	0.910663	0.96262	1.55408	0.34699	0.566873	2.44717	1.00867	1.26243	0.011246	0.260549	0.261834	0.103019	0.0170132	0.034814	0.0368003	0.0594116	0.0132652	0.0216712	0.0935536	0.0385609	0.0482617	0.360361	0.304175	0.115522	0.219942	0.0204456	0.225106	0.0142935	0.0146798	0.659298	0.0661779	3.15061e-05	0.00830097	0.217489	3.77418	26.15793
3160	-4074.668	-4078.631	3.963212	0.1544796	0.631522	6.02081	6.84453	2.49854	0.539511	0.823104	0.703283	1.04685	0.311474	1.41984	3.47857	0.563712	1.04694	0.0243561	0.232207	0.263975	0.096362	0.0208075	0.0317449	0.0271237	0.0403742	0.0120127	0.0547595	0.134159	0.0217408	0.0403778	0.359085	0.309719	0.114052	0.217144	0.0202695	0.223167	0.0141703	0.0231673	0.653618	0.0656078	6.93458e-05	0.0122942	0.255293	3.73234	25.9287
3170	-4075.68	-4080.46	4.779848	0.141034	0.83958	9.45754	6.5881	2.19239	0.957839	0.840681	0.573043	1.22977	0.601255	0.486693	3.54501	0.242471	0.756841	0.0296554	0.334056	0.232703	0.0774391	0.0338325	0.0296943	0.0202409	0.0434375	0.0212374	0.0171908	0.125216	0.00856449	0.0267329	0.359085	0.309719	0.114052	0.217144	0.0194283	0.213905	0.0135823	0.0222058	0.666402	0.064477	2.95352e-05	0.0080381	0.214644	3.77729	28.31121
3180	-4072.897	-4078.377	5.480259	0.143877	0.927637	7.33412	6.71051	3.62413	1.85926	1.23457	0.692236	2.45133	0.318525	1.27307	3.88683	0.120173	0.155234	0.0303272	0.239774	0.219386	0.118484	0.0607847	0.0403617	0.0226312	0.0801413	0.0104135	0.0416205	0.127072	0.00392882	0.00507507	0.366378	0.29774	0.114328	0.221554	0.0121183	0.313444	0.0139864	0.0223974	0.571659	0.0663956	3.58513e-05	0.00885269	0.223288	3.76782	30.58763
3190	-4070.924	-4078.221	7.296534	0.1350863	0.265506	9.43961	9.2334	3.792	2.48882	1.02371	0.856781	1.88161	0.549784	3.14838	3.57848	0.95397	0.573943	0.00702659	0.249818	0.24436	0.100355	0.0658662	0.0270923	0.0226746	0.0497965	0.01455	0.0833213	0.094704	0.0252467	0.0151893	0.3721	0.30239	0.100495	0.225014	0.01071	0.277016	0.012361	0.0197945	0.621439	0.0586793	1.9177e-05	0.00648186	0.196531	3.79697	37.78598
3200	-4069.372	-4077.544	8.172749	0.1314867	0.445852	15.4456	8.62742	4.29327	1.94446	1.33184	1.30648	1.73217	0.681236	2.03953	3.8956	0.222328	0.189893	0.0105763	0.366395	0.204656	0.101843	0.0461256	0.0315932	0.0309918	0.0410898	0.01616	0.0483809	0.0924097	0.00527397	0.00450457	0.357627	0.309473	0.102849	0.23005	0.0116104	0.222649	0.0208343	0.00760597	0.673688	0.0636128	1.4488e-05	0.00563642	0.185576	3.80877	42.15573
3210	-4075.967	-4081.135	5.168275	0.1357832	0.786024	8.79052	6.97903	1.99294	1.67903	0.705938	0.680907	3.04332	0.532662	1.27318	2.43686	0.315098	0.329248	0.0266045	0.297532	0.236219	0.0674548	0.05683	0.0238938	0.0230466	0.103007	0.018029	0.0430933	0.0824803	0.0106651	0.011144	0.347187	0.317521	0.0992596	0.236033	0.020906	0.273989	0.0185472	0.0301951	0.599733	0.0566297	2.02119e-05	0.0066539	0.198654	3.79467	29.54476
3220	-4076.341	-4082.39	6.049101	0.1367071	0.747042	7.64878	8.36279	4.53816	1.21285	0.686904	0.625075	1.87788	0.716539	0.266267	5.47597	0.228298	0.233896	0.022901	0.234478	0.256367	0.13912	0.0371807	0.0210575	0.0191621	0.0575675	0.021966	0.00816257	0.167869	0.0069986	0.00717022	0.334402	0.322036	0.107946	0.235616	0.0107468	0.271741	0.018395	0.0216771	0.594812	0.0826284	2.16527e-05	0.00688618	0.201468	3.79162	32.62044
3230	-4077.788	-4084.987	7.199057	0.1521739	0.588644	11.3952	7.77125	3.32999	1.11165	0.880205	0.912629	2.95843	0.88268	0.328005	5.92006	0.589138	0.673898	0.0157637	0.30516	0.208111	0.089176	0.0297694	0.0235716	0.0244399	0.0792258	0.0236378	0.00878384	0.158537	0.0157769	0.0180467	0.337915	0.317444	0.106407	0.238234	0.0109872	0.257572	0.0188065	0.0221621	0.60812	0.0823522	6.05502e-05	0.0114919	0.248373	3.74007	37.34181
3240	-4074.297	-4084.446	10.14819	0.1290918	0.799772	15.7416	13.2647	6.96202	1.84733	1.77055	1.40967	4.05916	1.96343	0.280938	4.55988	2.44241	0.482273	0.0143886	0.283206	0.238644	0.125253	0.033235	0.0318538	0.0253611	0.0730277	0.0353238	0.00505431	0.0820361	0.043941	0.0086765	0.379451	0.291154	0.110891	0.218504	0.00915227	0.175689	0.0156657	0.00817417	0.738525	0.0527931	1.19185e-05	0.00511367	0.178301	3.81657	55.58377
3250	-4074.301	-4084.816	10.51496	0.118441	1.16313	14.5176	12.5352	7.66081	4.25699	1.90458	1.10534	6.52733	0.0206593	0.33415	6.53691	2.16886	0.197371	0.0197378	0.246357	0.212717	0.130001	0.0722395	0.03232	0.0187572	0.110766	0.00035058	0.0056704	0.110929	0.0368047	0.00334931	0.371451	0.302497	0.108812	0.21724	0.00985596	0.13405	0.0258787	0.00430642	0.795308	0.0306004	4.54513e-06	0.00316167	0.146275	3.85056	58.92884
3260	-4078.306	-4088.268	9.962645	0.1242336	1.35674	11.7205	16.147	5.8308	2.25294	1.45387	1.42861	4.28754	0.0243924	3.72524	3.9785	0.778463	1.03966	0.0251136	0.216948	0.298885	0.107929	0.0417024	0.0269114	0.0264439	0.0793633	0.000451508	0.068955	0.0736428	0.0144095	0.0192443	0.364124	0.313299	0.106666	0.215912	0.00409281	0.123421	0.0263668	0.00438765	0.810311	0.0314212	7.83727e-06	0.00414905	0.163609	3.83223	54.02424
3270	-4078.165	-4087.181	9.015653	0.1283348	0.961011	9.33487	11.7145	4.79076	2.34272	3.09974	1.02703	4.17732	0.0233316	2.51837	6.54708	0.305351	0.299927	0.0203854	0.198016	0.248494	0.101624	0.049695	0.0657532	0.0217859	0.0886113	0.000494922	0.0534209	0.13888	0.00647725	0.0063622	0.372342	0.297801	0.109073	0.220785	0.00409281	0.123421	0.0263668	0.00438765	0.810311	0.0314212	1.11882e-05	0.00495498	0.176005	3.81903	47.14204
3280	-4075.018	-4082.298	7.280183	0.1277136	0.94905	11.816	8.82609	3.32536	2.30474	1.26779	0.791213	3.30168	0.0847452	1.38719	1.93185	1.49711	0.228142	0.0251664	0.31333	0.234046	0.0881803	0.061116	0.0336187	0.020981	0.0875524	0.00224723	0.0367849	0.0512278	0.0396996	0.00604976	0.3454	0.310584	0.113755	0.230262	0.0171505	0.151683	0.0324045	0.00539237	0.754754	0.0386163	1.06165e-05	0.00482708	0.174123	3.82104	37.71093
3290	-4077.805	-4082.822	5.016486	0.1508712	0.704224	7.21655	7.21103	2.46359	0.565805	1.08542	0.829705	3.02405	0.404511	0.625591	3.87468	0.42779	0.621481	0.0242381	0.24838	0.24819	0.0847923	0.019474	0.0373582	0.0285569	0.104082	0.0139225	0.0215317	0.133359	0.0147237	0.0213902	0.380607	0.293069	0.106117	0.220207	0.0203407	0.18601	0.0291971	0.0030238	0.715629	0.0457993	5.5981e-05	0.0110518	0.244453	3.74444	29.05444
3300	-4079.251	-4087.342	8.090092	0.1313832	0.478499	8.51941	10.6256	4.30589	2.07964	1.34556	1.66897	4.42719	0.903195	0.64452	3.82521	1.74175	1.1463	0.0114716	0.204245	0.254739	0.10323	0.0498575	0.0322585	0.0400119	0.106138	0.0216533	0.0154518	0.0917058	0.0417569	0.0274814	0.35422	0.30832	0.106245	0.231216	0.015443	0.151615	0.032424	0.00229572	0.751432	0.0467899	1.43684e-05	0.00561318	0.185261	3.80911	41.71173
3310	-4077.123	-4085.207	8.084273	0.1256101	0.504889	8.73268	7.33818	6.44846	1.86268	0.9277	1.42443	2.19615	0.407868	2.93167	8.12864	0.376566	0.400841	0.0121132	0.209514	0.176057	0.154711	0.0446891	0.0222573	0.0341748	0.0526899	0.00978552	0.0703362	0.195021	0.00903452	0.00961694	0.366604	0.304924	0.104425	0.224048	0.00604331	0.155562	0.0332681	0.00235549	0.770995	0.0317759	8.85482e-06	0.00440949	0.167761	3.82782	41.68075
3320	-4074.415	-4083.078	8.662717	0.1295141	0.93191	12.2116	11.9693	6.17465	1.31246	0.831281	0.652498	3.5228	0.751689	2.02533	3.37596	0.50582	0.680116	0.0207343	0.271699	0.266307	0.137381	0.0292012	0.0184954	0.0145176	0.0783796	0.0167245	0.0450619	0.0751124	0.0112541	0.0151321	0.361543	0.314975	0.102984	0.220498	0.00647699	0.154086	0.0415396	0.00233313	0.765801	0.0297632	1.23424e-05	0.00520357	0.179583	3.8152	44.9454
3330	-4080.34	-4090.606	10.26575	0.1198575	0.914791	17.84	17.5083	4.67146	1.49728	0.971569	1.03092	4.92235	0.323362	2.86593	3.56129	0.255828	0.252718	0.0161579	0.315106	0.309247	0.0825117	0.0264464	0.0171608	0.0182091	0.0869431	0.00571152	0.0506208	0.0629029	0.00451867	0.00446375	0.347246	0.318056	0.122919	0.211779	0.00791635	0.188328	0.0507708	0.00131888	0.715289	0.0363774	5.21823e-06	0.00338718	0.15049	3.84612	56.61575
3340	-4078.561	-4088.358	9.797363	0.1189533	0.889846	16.3257	10.659	8.87872	2.2337	1.12533	1.16781	2.49795	0.614245	1.77627	3.83702	2.1547	0.54061	0.0168849	0.30978	0.202254	0.168474	0.0423846	0.0213533	0.0221592	0.0473987	0.0116553	0.0337047	0.0728075	0.0408854	0.0102581	0.342301	0.330189	0.0943665	0.233144	0.00106864	0.180401	0.0456316	0.00137214	0.744176	0.0273505	4.7797e-06	0.00324205	0.147798	3.84896	52.70081
3350	-4070.887	-4077.719	6.831722	0.1361251	0.531758	11.5924	6.71982	4.1748	2.34562	0.831969	1.13933	2.80972	0.0336933	1.80901	2.46766	0.483438	0.794877	0.014881	0.324407	0.188051	0.11683	0.0656409	0.0232822	0.0318836	0.0786287	0.00094289	0.0506244	0.0690561	0.0135288	0.0222442	0.366983	0.314061	0.0971996	0.221756	0.000956719	0.158008	0.0525363	0.0125901	0.751423	0.024486	2.07357e-05	0.00673928	0.199695	3.79354	35.73407
3360	-4078.64	-4084.255	5.614886	0.1555658	0.950431	7.92742	5.23958	2.79196	1.70446	0.68901	0.957229	3.5336	0.0219919	0.95001	3.89801	1.55033	0.838842	0.0306069	0.255288	0.168731	0.08991	0.0548891	0.0221883	0.0308258	0.113793	0.000708209	0.0305933	0.125528	0.0499255	0.0270133	0.355949	0.320389	0.0974383	0.226224	0.00125803	0.298435	0.0547925	0.0352917	0.584564	0.0256592	7.38179e-05	0.0126825	0.258543	3.7287	31.05288
3370	-4072.932	-4076.531	3.598964	0.1630904	0.479549	5.85412	5.53056	3.29517	2.06375	0.679731	0.93642	1.18645	0.0219866	1.14217	1.9729	1.23187	0.554293	0.0192212	0.234644	0.221675	0.132076	0.0827189	0.0272449	0.0375334	0.047555	0.000881265	0.0457802	0.0790773	0.0493758	0.0222171	0.363824	0.309734	0.0938509	0.232592	0.00120108	0.284924	0.0523118	0.0336939	0.603372	0.0244975	0.000111234	0.0155512	0.280863	3.70347	24.94896
3380	-4072.055	-4075.576	3.520633	0.1451461	0.75272	6.09299	5.80379	3.32663	1.28086	0.551907	0.947084	1.46206	0.0598177	1.1952	2.43902	0.335665	0.496681	0.0304198	0.246237	0.234549	0.134439	0.0517635	0.0223043	0.0382747	0.0590865	0.00241742	0.048302	0.0985685	0.0135653	0.0200725	0.369117	0.30881	0.091986	0.230087	0.00121773	0.231023	0.053037	0.0547235	0.635162	0.0248371	3.89951e-05	0.00923113	0.22714	3.76359	24.74442
3390	-4077.018	-4081.317	4.298243	0.1413687	0.812992	6.92716	6.38885	3.14019	1.77634	1.22716	1.10717	1.97125	0.06024	0.492191	2.11672	0.656771	0.196556	0.0302525	0.257768	0.237737	0.116851	0.0660997	0.0456642	0.0411993	0.0733527	0.0022416	0.018315	0.0787657	0.0244393	0.00731411	0.355248	0.300233	0.121249	0.22327	0.00124843	0.236848	0.0543742	0.0308894	0.651177	0.0254633	3.0229e-05	0.00813162	0.215662	3.77618	26.87359
3400	-4078.474	-4085.787	7.312808	0.1287114	1.67495	10.0633	8.56469	2.87566	2.26989	1.25175	0.439525	4.11572	0.835428	1.60411	3.1403	0.320426	0.705187	0.0442396	0.265796	0.226215	0.0759533	0.0599533	0.0330619	0.011609	0.108706	0.0220657	0.0423684	0.0829431	0.00846325	0.0186257	0.357192	0.301876	0.121912	0.21902	0.00118624	0.148309	0.0391336	0.0408866	0.748893	0.0215916	1.15468e-05	0.00503353	0.177147	3.81781	37.86088
3410	-4074.255	-4082.735	8.480037	0.1457859	0.615739	13.614	9.65873	6.21005	2.11449	1.4904	0.556979	2.17772	0.638458	2.05499	4.5787	0.0525992	0.109383	0.0140348	0.310311	0.220156	0.141548	0.0481965	0.0339713	0.0126955	0.0496377	0.0145527	0.0468403	0.104364	0.00119892	0.00249322	0.382079	0.289605	0.107788	0.220528	0.00110038	0.225849	0.0363012	0.0220314	0.694689	0.0200288	4.06604e-05	0.00942538	0.22908	3.76145	43.87227
3420	-4071.269	-4077.663	6.393542	0.1437532	0.868815	12.0933	6.36524	3.95237	1.90797	0.663868	0.520113	0.772424	0.412294	2.25052	2.32264	1.47952	0.333001	0.025597	0.356293	0.187532	0.116445	0.0562125	0.0195588	0.0153235	0.0227571	0.012147	0.0663046	0.0684294	0.0435896	0.00981084	0.359509	0.300775	0.117738	0.221977	0.00116096	0.160174	0.0382995	0.0373892	0.732931	0.0300453	3.55559e-05	0.00881629	0.222912	3.76824	33.94211
3430	-4074.958	-4080.392	5.433395	0.1305847	0.469975	7.75097	4.72991	3.43121	2.25224	0.82954	0.841508	2.98928	0.25617	1.06059	4.67771	0.498892	0.639869	0.0154456	0.254732	0.155447	0.112766	0.0740191	0.0272625	0.0276558	0.0982416	0.00841893	0.0348559	0.153731	0.0163959	0.0210291	0.354789	0.304542	0.115912	0.224757	0.00135557	0.187024	0.0447196	0.0436567	0.676488	0.0467564	1.34722e-05	0.00543583	0.182834	3.81172	30.42787
