Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
170	-4081.091	-4083.393	2.302428	0.3572646	0.146915	0.404061	0.495512	0.295067	0.207434	0.162311	0.184526	0.183919	0.0693554	0.0364716	0.017464	0.201189	0.10144	0.318856	0.298751	0.130282	0.252111	0.091316	0.228563	0.0862898	0.0702726	0.498978	0.0245807	0.0110624	0.149193	0.680563	3.15918	2.505666
180	-4084.628	-4080.913	-3.7146	0.3755523	0.159554	0.462386	0.606918	0.410378	0.304997	0.12061	0.15403	0.241711	0.0704138	0.100313	0.0514617	0.250008	0.174587	0.332965	0.292563	0.127583	0.246889	0.0800037	0.28622	0.099505	0.0755712	0.437165	0.0215357	0.0133512	0.163271	0.703409	3.11997	3.107369
190	-4079.048	-4079.893	0.8457617	0.3741099	0.152451	0.436347	0.517063	0.377819	0.23758	0.187004	0.122027	0.196265	0.105214	0.035184	0.0514617	0.174196	0.0587197	0.326632	0.286999	0.141762	0.244607	0.118285	0.247345	0.0954469	0.0668801	0.442088	0.0299555	0.0131634	0.162168	0.701672	3.123	2.651333
200	-4080.639	-4083.071	2.431367	0.3802128	0.144982	0.380782	0.426894	0.393703	0.241227	0.143054	0.155304	0.171013	0.0556329	0.0253277	0.0409435	0.200512	0.113396	0.347834	0.295613	0.130822	0.22573	0.115718	0.25788	0.0995124	0.0404924	0.450629	0.0357682	0.0139664	0.166827	0.708949	3.11026	2.492772
210	-4078.851	-4078.586	-0.2648275	0.3433783	0.110959	0.47599	0.417922	0.367658	0.20531	0.222895	0.143567	0.266051	0.112209	0.169646	0.0298821	0.0936784	0.146623	0.341851	0.303047	0.125779	0.229322	0.0844305	0.256696	0.0990554	0.0403065	0.486116	0.033395	0.00946338	0.138399	0.661954	3.19018	2.762391
220	-4083.638	-4083.123	-0.5147345	0.3476109	0.112078	0.43003	0.493389	0.44552	0.181193	0.173074	0.142679	0.274522	0.0525895	0.136435	0.0214733	0.219562	0.104837	0.346158	0.306865	0.114765	0.232211	0.087294	0.255787	0.0817167	0.0575299	0.484395	0.0332768	0.00993769	0.141696	0.667747	3.18062	2.787382
230	-4085.006	-4087.485	2.478761	0.3499512	0.243717	0.381018	0.386555	0.353517	0.180947	0.210406	0.111193	0.215862	0.0659442	0.101656	0.0354104	0.12046	0.0813461	0.349434	0.301692	0.108161	0.240712	0.0931159	0.255508	0.0816274	0.0548038	0.482788	0.0321571	0.0102049	0.143517	0.670904	3.17537	2.488033
240	-4084.482	-4082.096	-2.385513	0.330173	0.141323	0.649029	0.418004	0.342674	0.371844	0.181121	0.114529	0.249296	0.0611462	0.114065	0.0472278	0.171902	0.112299	0.349434	0.301692	0.108161	0.240712	0.0746453	0.283232	0.0911558	0.0464384	0.468883	0.0356463	0.00805918	0.12808	0.643163	3.2207	2.97446
250	-4086.391	-4082.522	-3.868422	0.3099156	0.131646	0.623069	0.429361	0.374909	0.234021	0.212444	0.142018	0.285274	0.0726449	0.196369	0.0301724	0.195004	0.195819	0.350881	0.301021	0.10792	0.240177	0.0746579	0.283279	0.0854034	0.0482363	0.468962	0.0394612	0.00613406	0.112228	0.612085	3.26955	3.122751
260	-4082.718	-4082.168	-0.5496819	0.3016417	0.141951	0.401409	0.472691	0.434238	0.229207	0.154962	0.140035	0.224682	0.0881091	0.0918982	0.0237918	0.202849	0.185054	0.356077	0.286604	0.111672	0.245646	0.0848255	0.278437	0.0794098	0.0448511	0.465507	0.0469702	0.00542942	0.105773	0.59855	3.29025	2.790877
270	-4081.484	-4080.893	-0.5913706	0.3020954	0.151688	0.566527	0.505229	0.346549	0.216451	0.17838	0.16052	0.243365	0.0571429	0.124367	0.0308805	0.153543	0.0604048	0.337876	0.318598	0.107362	0.236164	0.0973762	0.269301	0.0938563	0.0438044	0.450233	0.0454291	0.00546682	0.106126	0.599305	3.2891	2.795046
280	-4076.927	-4080.529	3.602771	0.3411022	0.0944004	0.486818	0.400948	0.321459	0.169363	0.174846	0.122478	0.173015	0.0270916	0.0852548	0.0823179	0.198951	0.0386875	0.320195	0.306205	0.127509	0.246091	0.0966792	0.267373	0.0931844	0.055917	0.44701	0.039836	0.00921314	0.136623	0.658793	3.19537	2.375632
290	-4088.155	-4082.657	-5.497943	0.3673414	0.223503	0.684372	0.546223	0.338577	0.356899	0.27497	0.150129	0.327753	0.00688415	0.151347	0.0405767	0.15206	0.0324082	0.327596	0.309634	0.123813	0.238957	0.0940956	0.230919	0.0906942	0.0544227	0.470849	0.0590196	0.0122985	0.156973	0.693376	3.13735	3.285703
300	-4091.102	-4089.741	-1.361156	0.290279	0.151931	0.456457	0.579026	0.257386	0.288565	0.211569	0.134257	0.206984	0.0412494	0.0542857	0.0251268	0.384675	0.080511	0.330596	0.303311	0.124947	0.241145	0.0973923	0.284168	0.0869684	0.051038	0.433105	0.0473287	0.00453995	0.0969573	0.57911	3.31939	2.872024
310	-4081.408	-4078.715	-2.692887	0.3795031	0.20993	0.538751	0.455902	0.400405	0.206032	0.202987	0.156319	0.257181	0.0682592	0.0969551	0.135619	0.155904	0.120952	0.339508	0.293508	0.12341	0.243574	0.089582	0.255538	0.100415	0.0589292	0.457368	0.0381677	0.0138719	0.166287	0.708112	3.11173	3.005197
320	-4080.166	-4078.909	-1.25691	0.3568944	0.180214	0.537394	0.474476	0.452468	0.273413	0.204252	0.156254	0.182511	0.0792436	0.0042084	0.0969855	0.143295	0.0768845	0.305545	0.3086	0.129755	0.256099	0.0896216	0.267423	0.100459	0.0589552	0.45757	0.0259703	0.0110182	0.148907	0.680082	3.15999	2.8616
330	-4078.873	-4083.438	4.564976	0.3982357	0.111912	0.38271	0.444608	0.271381	0.21635	0.211066	0.1256	0.186266	0.0397642	0.030433	0.081318	0.0858224	0.0921804	0.341086	0.297419	0.13376	0.227735	0.108492	0.223661	0.0840198	0.0493075	0.512042	0.022478	0.0164607	0.180437	0.729364	3.07374	2.279411
