Iteration	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
200	-4270.733	-4286.924	16.19099	0.10388	0.181248	0.201985	0.154378	0.145416	0.111447	0.0734219	0.113272	0.0929668	0.0628105	0.0542603	0.0248095	0.0271724	0.183359	0.250984	0.136143	0.0516075	0.331125	0.0467811	0.278461	0.263732	0.171451	0.286357	1.347068
210	-4273.689	-4289.111	15.42275	0.0882795	0.183441	0.248723	0.201528	0.153046	0.112436	0.100266	0.0958964	0.0553145	0.0511697	0.0400265	0.0454799	0.0482858	0.191606	0.256351	0.126696	0.0596896	0.317342	0.0483157	0.280337	0.293227	0.166725	0.25971	1.423892
220	-4270.806	-4286.991	16.18511	0.102352	0.169192	0.206307	0.192746	0.121928	0.108099	0.0847566	0.147827	0.0575838	0.0511697	0.0509154	0.0324156	0.0223639	0.206231	0.232125	0.157317	0.0789874	0.305168	0.0201711	0.2761	0.282642	0.159557	0.2817	1.347656
230	-4272.692	-4286.928	14.23602	0.100488	0.179496	0.242819	0.258766	0.140035	0.112673	0.0936836	0.147541	0.0649912	0.0501835	0.0556832	0.0495784	0.0466277	0.200809	0.251207	0.12845	0.0430221	0.350609	0.0259042	0.274756	0.283167	0.159854	0.282223	1.542565
240	-4271.405	-4286.399	14.99473	0.121608	0.191561	0.257443	0.221548	0.142669	0.108194	0.0787764	0.147541	0.0714896	0.0426383	0.0273272	0.0252265	0.030672	0.221608	0.244333	0.147425	0.0694667	0.28352	0.0336472	0.266379	0.287891	0.158718	0.287013	1.466695
250	-4271.52	-4287.038	15.51866	0.0999262	0.201259	0.22002	0.20721	0.123501	0.10283	0.114974	0.107853	0.0801932	0.0434817	0.0357385	0.0297806	0.0475339	0.174594	0.265437	0.127607	0.0689921	0.32081	0.0425594	0.26336	0.298494	0.164044	0.274102	1.414301
260	-4270.016	-4284.776	14.75921	0.102188	0.195355	0.232375	0.205964	0.179641	0.144327	0.0982839	0.100412	0.0644028	0.072568	0.0479322	0.0126689	0.0341284	0.196016	0.246237	0.13415	0.0532918	0.323671	0.0466351	0.266725	0.281829	0.17471	0.276736	1.490246
270	-4272.535	-4287.349	14.81372	0.122711	0.158763	0.242423	0.241065	0.144309	0.147314	0.106635	0.106723	0.0536728	0.0496476	0.0597092	0.0150378	0.0367855	0.220386	0.249079	0.136974	0.044305	0.326687	0.0225687	0.27784	0.257619	0.172951	0.29159	1.484795
280	-4279.506	-4294.309	14.80286	0.140706	0.190016	0.181776	0.212716	0.133457	0.120901	0.117243	0.111373	0.0890921	0.065244	0.0490433	0.0204791	0.0538354	0.224393	0.226787	0.114213	0.0309799	0.365235	0.0383915	0.290609	0.269883	0.167687	0.271821	1.485881
290	-4278.854	-4293.133	14.2782	0.103577	0.212564	0.271	0.202205	0.142549	0.0947839	0.109809	0.144028	0.0730049	0.0907078	0.0532457	0.0147258	0.026146	0.209586	0.30505	0.141298	0.0375431	0.273192	0.03333	0.244537	0.291648	0.163585	0.30023	1.538347
300	-4272.51	-4288.102	15.59247	0.0909111	0.179878	0.216472	0.187957	0.140368	0.115014	0.121731	0.147819	0.0632053	0.0637491	0.0334733	0.0255689	0.0207729	0.241063	0.272825	0.141565	0.0322806	0.278051	0.0342162	0.25745	0.260999	0.170411	0.31114	1.406921
310	-4273.468	-4288.063	14.59504	0.0989874	0.206705	0.256768	0.20357	0.14199	0.115088	0.109175	0.11998	0.0430354	0.0717386	0.0747834	0.0358686	0.0289749	0.217942	0.240265	0.131127	0.050888	0.308725	0.0510533	0.263585	0.27154	0.195565	0.26931	1.506664
320	-4271.928	-4287.695	15.76682	0.101895	0.191536	0.196653	0.193826	0.155142	0.0938574	0.0817122	0.152098	0.0441305	0.0786864	0.0572821	0.0182929	0.0243732	0.220927	0.239752	0.141563	0.0521704	0.304931	0.0406569	0.252123	0.284137	0.18633	0.277411	1.389485
330	-4275.493	-4291.014	15.52158	0.106335	0.201439	0.227102	0.187845	0.12574	0.115651	0.119177	0.120842	0.031214	0.053257	0.0673224	0.0320782	0.0260058	0.200708	0.26277	0.121254	0.0579068	0.300108	0.0572538	0.253795	0.287042	0.182506	0.276658	1.414009
340	-4273.466	-4288.086	14.61993	0.113708	0.180847	0.206848	0.226944	0.128842	0.109919	0.128142	0.159834	0.0631886	0.0512112	0.0492719	0.0419598	0.0434594	0.202539	0.265554	0.125286	0.0521001	0.295403	0.0591183	0.264602	0.273346	0.159722	0.30233	1.504174
350	-4284.33	-4298.677	14.34708	0.097112	0.234455	0.224192	0.186441	0.181301	0.118906	0.100095	0.156466	0.0981383	0.0414902	0.0391512	0.00832969	0.0453826	0.204172	0.307978	0.150128	0.0323402	0.264685	0.0406969	0.241504	0.297864	0.156318	0.304314	1.53146
360	-4269.48	-4284.491	15.01054	0.119519	0.189771	0.224192	0.198106	0.147562	0.134889	0.0772991	0.125638	0.0613787	0.0636682	0.0677592	0.0303356	0.0249956	0.199991	0.207654	0.150027	0.0691048	0.336724	0.0364989	0.269291	0.284137	0.179788	0.266784	1.465114
370	-4271.396	-4286.828	15.43213	0.107604	0.176043	0.261649	0.179404	0.163936	0.11827	0.0897709	0.112998	0.0605839	0.0490238	0.0644429	0.0165853	0.0226447	0.207435	0.241353	0.116431	0.051256	0.328189	0.0553366	0.270591	0.281252	0.171741	0.276417	1.422954
