Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
170	-4088.874	-4084.211	-4.663105	0.3182147	0.185655	0.423111	0.585229	0.428257	0.310903	0.137719	0.188862	0.306091	0.286273	0.0884843	0.04342	0.144666	0.0735479	0.350179	0.295088	0.115706	0.239027	0.0567992	0.241352	0.091356	0.0325141	0.486732	0.0912467	0.00688869	0.118719	0.625161	3.24923	3.202219
180	-4090.836	-4078.998	-11.83842	0.3090021	0.166291	0.706969	0.680163	0.600776	0.274601	0.214547	0.230157	0.300146	0.451353	0.105186	0.0484048	0.0575661	0.0835901	0.363	0.28628	0.118827	0.231892	0.0579508	0.246245	0.0660072	0.0331734	0.496601	0.100022	0.00605391	0.111514	0.610615	3.27182	3.919751
190	-4094.152	-4084.407	-9.744609	0.2899007	0.220649	0.65068	0.656164	0.433392	0.365912	0.199771	0.187786	0.342265	0.367802	0.0841104	0.114552	0.0668861	0.0203987	0.348361	0.300604	0.126631	0.224404	0.0539954	0.213985	0.112782	0.0288273	0.503492	0.0869182	0.00451191	0.0966652	0.578446	3.32038	3.71037
200	-4087.067	-4079.115	-7.952449	0.2689812	0.153009	0.515453	0.762846	0.430347	0.340617	0.222659	0.207123	0.284656	0.18785	0.162407	0.203129	0.0605412	0.000516818	0.340778	0.317529	0.122173	0.219519	0.0583119	0.21978	0.0920175	0.0480154	0.517128	0.0647473	0.00311681	0.0807003	0.539843	3.37634	3.531154
210	-4090.564	-4080.935	-9.62887	0.303546	0.0792727	0.769367	0.639421	0.505655	0.28444	0.240197	0.190452	0.297748	0.333329	0.122102	0.137603	0.057164	0.0420463	0.33355	0.322246	0.129342	0.214863	0.0489933	0.2475	0.103664	0.0403423	0.512454	0.0470463	0.00558736	0.107256	0.60171	3.28545	3.698796
220	-4089.88	-4077.156	-12.72429	0.326328	0.178446	0.746739	0.596583	0.605637	0.368574	0.256711	0.240449	0.171975	0.286309	0.191607	0.251806	0.0739692	0.0395324	0.34706	0.306189	0.122072	0.224679	0.0517722	0.219601	0.109544	0.0426304	0.541519	0.0349332	0.00767222	0.125071	0.63748	3.22978	4.008337
230	-4083.083	-4075.556	-7.526492	0.3254474	0.21082	0.618341	0.63753	0.47694	0.257516	0.268213	0.16028	0.288374	0.203978	0.145113	0.110079	0.0577907	0.0535834	0.321638	0.306983	0.135511	0.235867	0.0539856	0.206307	0.129978	0.0505827	0.512629	0.0465171	0.00758501	0.124381	0.636164	3.23187	3.488558
240	-4079.982	-4076.911	-3.070904	0.3178365	0.204327	0.570866	0.618113	0.410852	0.266508	0.185927	0.141944	0.226317	0.116032	0.146103	0.0833395	0.0391085	0.033561	0.342918	0.307627	0.131022	0.218433	0.0749558	0.216674	0.0913102	0.0443373	0.538388	0.0343345	0.00685327	0.118423	0.624576	3.25015	3.042999
250	-4080.393	-4074.602	-5.791586	0.3126102	0.167582	0.642777	0.56429	0.404319	0.287978	0.219443	0.196371	0.313628	0.243649	0.130142	0.0344852	0.0767864	0.0336155	0.34216	0.306948	0.126519	0.224372	0.0727336	0.252691	0.0886031	0.030229	0.522426	0.0333165	0.00637384	0.114334	0.616385	3.26291	3.315067
260	-4083.561	-4076.114	-7.447044	0.3358794	0.168952	0.690602	0.686197	0.377014	0.244115	0.26383	0.151892	0.245073	0.254949	0.0510549	0.20074	0.108716	0.0374781	0.332541	0.308861	0.132827	0.225771	0.0737077	0.199921	0.0997114	0.0306339	0.529423	0.0666028	0.0086518	0.132543	0.651419	3.20739	3.480613
