Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
170	-4084.9	-4082.491	-2.409054	0.3749111	0.192424	0.414558	0.71645	0.390737	0.162738	0.176178	0.205416	0.20786	0.0908691	0.121914	0.0111449	0.0753253	0.211201	0.0928885	0.258392	0.11538	0.0246782	0.458771	0.0498901	0.31071	0.314128	0.132749	0.242413	0.0132676	0.162781	0.702639	3.12131	2.976814
180	-4077.663	-4076.197	-1.466081	0.3222462	0.133633	0.518137	0.486068	0.417864	0.252532	0.207192	0.171878	0.19191	0.0907183	0.166316	0.0315021	0.0897182	0.125049	0.0942184	0.279613	0.100174	0.0370468	0.450662	0.0382865	0.32101	0.306911	0.128027	0.244051	0.00727241	0.121875	0.631339	3.23951	2.882517
190	-4081.141	-4080.712	-0.4289209	0.3518168	0.161303	0.546175	0.491573	0.36237	0.295097	0.153383	0.0723227	0.169314	0.0979912	0.114108	0.0694899	0.079821	0.165854	0.0797655	0.276751	0.0951257	0.0600659	0.458162	0.0301298	0.313974	0.312922	0.132999	0.240104	0.0104204	0.144967	0.673398	3.17121	2.778801
200	-4083.59	-4086.795	3.204619	0.3787653	0.137196	0.36516	0.416585	0.257291	0.243477	0.17488	0.178716	0.240404	0.0455831	0.123161	0.0690676	0.030266	0.13366	0.101324	0.228273	0.117629	0.051059	0.483913	0.0178031	0.348117	0.278036	0.148531	0.225317	0.0137739	0.165724	0.70724	3.11326	2.415447
210	-4081.099	-4077.886	-3.21273	0.3354978	0.186724	0.529812	0.505413	0.318315	0.213839	0.272976	0.18655	0.328351	0.0494646	0.123161	0.0693914	0.11592	0.157265	0.0846332	0.222721	0.0665182	0.055662	0.527538	0.0429269	0.358039	0.286913	0.12118	0.233868	0.00861149	0.132245	0.650873	3.20827	3.057182
220	-4083.502	-4081	-2.502152	0.3171214	0.128333	0.63009	0.498215	0.358641	0.178145	0.210621	0.130208	0.249662	0.0494646	0.0469866	0.182265	0.148371	0.175122	0.0622659	0.261729	0.0913888	0.0565406	0.477441	0.0506355	0.355347	0.278668	0.130187	0.235797	0.00678655	0.117863	0.623467	3.25188	2.986124
230	-4087.222	-4081.252	-5.969679	0.3082341	0.145049	0.783585	0.470925	0.534709	0.288502	0.19846	0.154935	0.279171	0.0508847	0.0024146	0.0329757	0.143697	0.247568	0.0752932	0.201847	0.0700585	0.0507564	0.533288	0.068757	0.35418	0.277819	0.127165	0.240836	0.00598699	0.110914	0.609375	3.27372	3.332877
240	-4083.208	-4080.978	-2.229659	0.3536893	0.211885	0.526795	0.483962	0.327832	0.247452	0.235707	0.158405	0.184273	0.0688997	0.154169	0.0415426	0.092445	0.225506	0.102798	0.19587	0.0777289	0.0431667	0.523123	0.0573129	0.363274	0.262233	0.139247	0.235246	0.010639	0.146421	0.67588	3.16706	2.958875
250	-4093.614	-4082.854	-10.76018	0.3357342	0.167592	0.768024	0.60397	0.403289	0.414376	0.261281	0.230975	0.275077	0.046684	0.09324	0.210668	0.0304438	0.306308	0.087411	0.249677	0.0742347	0.025968	0.504799	0.0579101	0.338187	0.323104	0.122309	0.216401	0.00863645	0.13243	0.651211	3.20772	3.811927
260	-4091.618	-4081.817	-9.801547	0.3435794	0.216416	0.664608	0.90483	0.442784	0.212093	0.24207	0.129384	0.205308	0.159572	0.115966	0.155449	0.0490096	0.218574	0.065909	0.18641	0.077561	0.0182739	0.613839	0.0380068	0.345882	0.292258	0.136209	0.225651	0.00948565	0.138555	0.662231	3.18973	3.716063
