Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
11	-18219.9	-18223.92	4.018314	0.394762	0.00189396	0.0354565	0.225162	0.120039	0.15054	0.0135767	0.160242	0.0805146	0.283218	0.148883	0.11936	0.0958006	0.130657	0.126894	0.0265734	0.150436	0.153318	0.136992	0.117114	0.212297	0.0332266	0.171716	0.147914	0.0481059	0.0610608	0.0748794	0.00263115	0.119536	0.0324285	0.048492	0.0393064	0.0310309	0.0229024	0.0557447	0.0231706	0.0803343	0.0482147	0.023473	0.021459	0.0245853	0.0621543	0.0309809	4.087077
12	-18090.43	-18094.53	4.101765	0.394762	0.00189396	0.0492245	0.225162	0.120039	0.15054	0.0135767	0.160242	0.0805146	0.283218	0.148883	0.11936	0.0958006	0.12071	0.13585	0.0643367	0.150436	0.153318	0.136992	0.118324	0.204725	0.0332266	0.171716	0.147914	0.0481059	0.0655186	0.0522931	0.00263115	0.119536	0.0324285	0.048492	0.0262943	0.0310309	0.0229024	0.0458237	0.0184408	0.0803343	0.0755293	0.023473	0.021459	0.0179241	0.0431324	0.0226179	4.078731
13	-17966	-17971.45	5.452465	0.279485	0.00189396	0.0492245	0.223884	0.120039	0.15054	0.0175193	0.160242	0.0805146	0.283218	0.162099	0.11936	0.0958006	0.12071	0.13585	0.0789213	0.150436	0.14589	0.136992	0.118324	0.204725	0.0332266	0.171716	0.160981	0.0263793	0.0655186	0.0522931	0.00112273	0.105725	0.0324285	0.048492	0.0262943	0.0260041	0.0163357	0.0458237	0.00970641	0.0803343	0.0755293	0.023473	0.021459	0.0179241	0.0431324	0.0240942	3.943661
14	-17944.47	-17949.96	5.487292	0.279485	0.00187887	0.0492245	0.223884	0.124223	0.15054	0.0175193	0.160242	0.0805146	0.283218	0.148953	0.11936	0.131883	0.0991058	0.13585	0.106981	0.150436	0.14589	0.136992	0.118324	0.204725	0.0332266	0.171716	0.160981	0.0263793	0.0655186	0.0571117	0.00116558	0.105725	0.0324285	0.048492	0.0262943	0.022539	0.0172863	0.0458237	0.00742029	0.0508013	0.0755293	0.0276269	0.021459	0.0260388	0.0232936	0.0240942	3.940179
15	-17883.37	-17889.78	6.409777	0.22079	0.00187887	0.0492245	0.223884	0.12276	0.15054	0.0175193	0.160242	0.0805146	0.20123	0.148953	0.115218	0.131883	0.160572	0.146649	0.135268	0.119899	0.14589	0.143076	0.118324	0.168995	0.0418828	0.171716	0.160981	0.0263793	0.0655186	0.0454332	0.00116558	0.101306	0.0324285	0.048492	0.0262943	0.0266996	0.0172863	0.0458237	0.00742029	0.0508013	0.0755293	0.0248796	0.0212881	0.0432451	0.0232936	0.0267572	3.84793
16	-17840.11	-17847.25	7.139837	0.22079	0.00125523	0.0525643	0.223884	0.12276	0.133365	0.0175193	0.160242	0.0828279	0.20123	0.148953	0.115218	0.131883	0.160572	0.146649	0.135268	0.119899	0.142155	0.143076	0.118324	0.168995	0.061621	0.171716	0.148564	0.0270728	0.0655186	0.0454332	0.000868938	0.0852828	0.022397	0.0382351	0.0262159	0.01886	0.0172863	0.0297049	0.0104712	0.0508013	0.0755293	0.0248796	0.0137423	0.0432451	0.0232936	0.0267572	3.774924
17	-17739.95	-17747.05	7.095655	0.22079	0.00108513	0.0860182	0.223884	0.123591	0.133365	0.0287102	0.201706	0.0828279	0.20123	0.148953	0.107793	0.131883	0.110046	0.146649	0.135268	0.119899	0.142155	0.140229	0.118324	0.168995	0.061621	0.171716	0.148564	0.0270728	0.0655186	0.0454332	0.000868938	0.0876007	0.022397	0.0233312	0.0192926	0.0173501	0.0169561	0.0297049	0.0104712	0.0508013	0.0755293	0.0248796	0.0095794	0.0432451	0.0272525	0.0267572	3.779342
18	-17646.11	-17653.72	7.611986	0.22079	0.00122138	0.0860182	0.223884	0.123591	0.133365	0.0287102	0.201706	0.0828279	0.20123	0.148953	0.106785	0.131883	0.110046	0.146649	0.164607	0.119899	0.142155	0.140229	0.101794	0.17805	0.061621	0.163101	0.163299	0.0270728	0.0406064	0.0296229	0.000868938	0.0646596	0.022397	0.0254782	0.0191464	0.0173501	0.0117695	0.0208051	0.0104712	0.0508013	0.0724554	0.0351363	0.00904225	0.0432451	0.0176082	0.0267572	3.727709
19	-17595.21	-17603.06	7.852052	0.22079	0.00134059	0.108759	0.223884	0.123591	0.133365	0.0321515	0.182088	0.0828279	0.198409	0.148953	0.106785	0.121462	0.110046	0.146649	0.168315	0.119899	0.13504	0.13872	0.101794	0.17805	0.0639221	0.163101	0.163299	0.0270728	0.0406064	0.0185897	0.000868938	0.0646596	0.022397	0.0311738	0.0191464	0.0173501	0.00984232	0.0172854	0.0142722	0.0358167	0.0724554	0.0396764	0.0116388	0.0432451	0.0176082	0.0267572	3.703703
20	-17562.41	-17570.39	7.988338	0.200254	0.00134059	0.108327	0.223884	0.11014	0.10763	0.0371101	0.182088	0.0828279	0.198409	0.148428	0.0760921	0.121462	0.168363	0.146649	0.168315	0.119899	0.13504	0.153539	0.101794	0.17805	0.0639221	0.163101	0.178103	0.0270728	0.0406064	0.0162059	0.00162847	0.0646596	0.0248915	0.0311738	0.0191464	0.0173501	0.00984232	0.0211464	0.0142722	0.0252127	0.0609759	0.0488846	0.0116388	0.0412404	0.0176082	0.0217506	3.690074
21	-17444.25	-17450.31	6.063237	0.200254	0.00134059	0.173786	0.223884	0.11014	0.10763	0.0614819	0.182088	0.121935	0.180415	0.148428	0.102386	0.134442	0.168363	0.146649	0.168315	0.119899	0.13504	0.17411	0.135784	0.17805	0.0639221	0.163101	0.178103	0.0185101	0.0636399	0.0162059	0.00162847	0.0646596	0.0244946	0.0188517	0.0191464	0.0173501	0.0137259	0.0211464	0.0142722	0.0153289	0.0609759	0.0488846	0.00760819	0.0412404	0.0176082	0.0177594	3.882584
22	-17413.19	-17420.82	7.627712	0.200254	0.00236321	0.173786	0.223884	0.11014	0.10763	0.065247	0.182088	0.121935	0.160177	0.148428	0.0783411	0.110344	0.143556	0.146649	0.168315	0.119899	0.138575	0.17411	0.116546	0.148599	0.0639221	0.163101	0.178103	0.0185101	0.0431548	0.0103971	0.00162847	0.0646596	0.033135	0.0141288	0.0191464	0.0173501	0.0137259	0.0211464	0.0205875	0.0118136	0.0568917	0.0554885	0.0092966	0.0332841	0.0180391	0.0177594	3.726137
23	-17367.12	-17373.23	6.109295	0.246581	0.00262982	0.173786	0.201952	0.11014	0.111615	0.0941561	0.182088	0.163757	0.160177	0.148428	0.0783411	0.102212	0.143556	0.140946	0.156405	0.119899	0.138575	0.17411	0.116546	0.148599	0.128505	0.157364	0.178103	0.0134321	0.0377771	0.0229413	0.00139932	0.0646596	0.033135	0.0108202	0.0290495	0.0152708	0.0206295	0.0211464	0.0205875	0.00979609	0.0568917	0.0554885	0.00745664	0.0332841	0.0180391	0.0277017	3.877978
24	-17334.5	-17340.71	6.203234	0.246581	0.0040998	0.173786	0.222917	0.11014	0.111615	0.0941561	0.173345	0.163757	0.160177	0.101584	0.0783411	0.102212	0.143556	0.140946	0.154442	0.161428	0.138575	0.17411	0.122179	0.148599	0.128505	0.157364	0.164025	0.0179189	0.0377771	0.022872	0.00209106	0.0408883	0.0378217	0.0108202	0.0290495	0.0193993	0.0251076	0.0211464	0.0255193	0.00758788	0.0442302	0.0554885	0.00612646	0.0506272	0.0156243	0.0220482	3.868585
25	-17274.22	-17281.18	6.969343	0.246581	0.00932581	0.173786	0.155872	0.11014	0.106148	0.0941561	0.173345	0.163757	0.182813	0.101584	0.111046	0.102212	0.143556	0.140946	0.140211	0.129161	0.138575	0.17411	0.122179	0.133883	0.128505	0.157364	0.164025	0.0179189	0.0489098	0.0224083	0.00222247	0.0425292	0.026914	0.0103067	0.0247217	0.0193993	0.0157706	0.0211464	0.0255193	0.00758788	0.0442302	0.0554885	0.00563247	0.072686	0.0140755	0.0112246	3.791974
26	-17241.15	-17247.92	6.767431	0.215727	0.0115631	0.173786	0.168494	0.11014	0.113873	0.102673	0.161506	0.141066	0.182813	0.0900365	0.111046	0.102212	0.143556	0.140946	0.140211	0.140014	0.138575	0.17411	0.122179	0.1405	0.128505	0.157364	0.164025	0.0179189	0.0489098	0.0224083	0.00222247	0.0490938	0.026914	0.013067	0.0272341	0.0193993	0.0157706	0.0211464	0.0720184	0.0115306	0.0406461	0.0554885	0.00563247	0.0565899	0.0157134	0.0155404	3.812165
27	-17208.37	-17216.55	8.183755	0.198002	0.0191154	0.173786	0.168494	0.11014	0.113873	0.142626	0.165411	0.141066	0.143554	0.0630892	0.0980773	0.0648929	0.131414	0.140946	0.140211	0.140014	0.134836	0.17411	0.122179	0.1405	0.128505	0.162656	0.164025	0.0160264	0.0323741	0.0224083	0.00222247	0.0490938	0.026914	0.013067	0.0272341	0.0193993	0.0095959	0.0211464	0.0517482	0.0170231	0.0406461	0.0554885	0.00563247	0.0533497	0.0101002	0.0155404	3.670532
28	-17150.61	-17158.4	7.79175	0.231065	0.0191154	0.173786	0.168494	0.11014	0.113873	0.197461	0.172878	0.141066	0.170282	0.0630892	0.0796511	0.0664635	0.0840577	0.140946	0.140211	0.140014	0.134836	0.159467	0.122179	0.1405	0.128505	0.162656	0.164025	0.0160264	0.0323741	0.0332171	0.00222247	0.0490938	0.026914	0.00846274	0.0272341	0.0228451	0.0095959	0.0177675	0.0517482	0.00765395	0.0406461	0.0554885	0.00469251	0.0533497	0.0101002	0.0155404	3.709733
29	-17136.63	-17144.01	7.379189	0.211056	0.0191154	0.173786	0.168494	0.11014	0.0929371	0.197461	0.172878	0.141066	0.170282	0.0750624	0.0897161	0.0932281	0.105779	0.140946	0.140211	0.140014	0.134836	0.159467	0.122179	0.1405	0.128505	0.162656	0.164025	0.0160264	0.0323741	0.0332171	0.00222247	0.0334069	0.0226568	0.00558446	0.0272341	0.0228451	0.0095959	0.0251718	0.0572847	0.0062806	0.0491463	0.0554885	0.00469251	0.0635823	0.014299	0.0155404	3.750989
30	-17103.73	-17111.2	7.473435	0.211056	0.0280999	0.173786	0.168494	0.109148	0.0929371	0.197461	0.172878	0.141066	0.170282	0.0750624	0.0897161	0.0932281	0.0795947	0.140946	0.140211	0.106679	0.134836	0.159467	0.122179	0.1405	0.128505	0.162656	0.164025	0.0127944	0.0410163	0.0332171	0.0030465	0.0334069	0.0226568	0.00558446	0.042866	0.0228451	0.0095959	0.0261895	0.0805634	0.00957273	0.0491463	0.0548674	0.00469251	0.0495348	0.0216146	0.0155404	3.741564
31	-17080.62	-17088.7	8.074912	0.211056	0.034081	0.173786	0.139541	0.109148	0.0929371	0.197461	0.172878	0.141066	0.170282	0.0750624	0.0897161	0.0953751	0.0795947	0.140946	0.140211	0.106679	0.121887	0.12985	0.122179	0.1405	0.128505	0.162656	0.164025	0.0127944	0.0410163	0.0313549	0.00362246	0.0334069	0.0226568	0.00609839	0.042866	0.0228451	0.00476606	0.0261895	0.0805634	0.0144081	0.0491463	0.0633274	0.00469251	0.0447278	0.0219715	0.0155404	3.681417
32	-17052.39	-17060.26	7.871336	0.211056	0.0393547	0.173786	0.139541	0.109148	0.0901876	0.197461	0.172878	0.141066	0.15056	0.0657478	0.0774733	0.0953751	0.0926426	0.140946	0.131881	0.139029	0.130598	0.127979	0.122179	0.1405	0.129638	0.162656	0.164025	0.0127944	0.0409922	0.0313549	0.00224963	0.0334069	0.0226568	0.00801873	0.042866	0.0228451	0.00529554	0.0261895	0.0805634	0.0144081	0.055403	0.0633274	0.00469251	0.0447278	0.0259111	0.018362	3.701774
33	-17043.53	-17050.91	7.384905	0.211056	0.0537437	0.173786	0.125626	0.110346	0.0910327	0.228135	0.172878	0.141362	0.159042	0.0657478	0.0774733	0.0953751	0.10763	0.140946	0.131881	0.139029	0.130598	0.127374	0.122179	0.1405	0.129638	0.140956	0.164025	0.0106151	0.049644	0.0297335	0.003258	0.0334069	0.0275822	0.00801873	0.042866	0.0228451	0.00529554	0.0261895	0.0805634	0.0176158	0.055403	0.0633274	0.00469251	0.0447278	0.0259111	0.018362	3.750417
34	-17026.81	-17035.19	8.384803	0.211056	0.0537437	0.173786	0.125626	0.110346	0.0825341	0.228135	0.172878	0.141362	0.159042	0.0800158	0.0774733	0.0953751	0.109239	0.140946	0.131881	0.139029	0.130598	0.127374	0.0872329	0.1405	0.129638	0.140956	0.109916	0.0106151	0.049644	0.0247948	0.003258	0.0334069	0.0275822	0.00801873	0.0372448	0.0228451	0.00529554	0.0261895	0.0805634	0.0176158	0.0389254	0.0633274	0.00358065	0.0447278	0.0304119	0.0236968	3.650428
35	-17023.79	-17031.68	7.89377	0.211056	0.0537437	0.173786	0.134659	0.110346	0.0825341	0.249919	0.175354	0.141362	0.159042	0.0800158	0.0774733	0.0953751	0.109239	0.140946	0.131881	0.120828	0.130598	0.127374	0.106619	0.1405	0.129638	0.140956	0.109916	0.0106151	0.0388381	0.0257441	0.003258	0.0334069	0.0322442	0.00801873	0.0500952	0.0311486	0.00529554	0.0261895	0.0540754	0.0176158	0.0389254	0.0683797	0.00536745	0.063043	0.0304119	0.0236968	3.699531
36	-17023.83	-17033	9.174609	0.211056	0.0537437	0.173786	0.116454	0.110346	0.0825341	0.170059	0.148959	0.141362	0.170964	0.0765891	0.0964016	0.0953751	0.109239	0.140946	0.131881	0.120828	0.130598	0.127374	0.106619	0.147121	0.129638	0.140956	0.109916	0.0106151	0.0338151	0.0257241	0.003258	0.0334069	0.0209894	0.00801873	0.0500952	0.0290882	0.00334956	0.0261895	0.0540754	0.0176158	0.0389254	0.0683797	0.00474136	0.0467134	0.0304119	0.0232889	3.571447
37	-17001.35	-17009.54	8.186785	0.225842	0.0722129	0.173786	0.116454	0.10473	0.0825341	0.170059	0.191479	0.141362	0.170964	0.0765891	0.0964016	0.0953751	0.109239	0.134064	0.130199	0.118346	0.130598	0.127374	0.106619	0.147121	0.129638	0.140956	0.109916	0.011605	0.045422	0.0255957	0.00418707	0.0334069	0.0209894	0.0115543	0.0500952	0.0433746	0.00334956	0.0261895	0.0630041	0.0228148	0.0395444	0.0683797	0.00474136	0.0467134	0.0304119	0.0169919	3.670229
38	-16997.8	-17005.37	7.566549	0.225842	0.110711	0.173786	0.116454	0.126306	0.0825341	0.205825	0.160086	0.141362	0.170964	0.0765891	0.0964016	0.0953751	0.109239	0.136569	0.130199	0.118346	0.130598	0.121679	0.106619	0.147121	0.129638	0.140956	0.099987	0.011605	0.0667261	0.0255957	0.00418707	0.0334069	0.0302648	0.0115543	0.0380025	0.0433746	0.00334956	0.0261895	0.0630041	0.0231221	0.0395444	0.0495038	0.00542472	0.0496047	0.0304119	0.0241954	3.732253
39	-16987.36	-16994.89	7.525938	0.225842	0.092005	0.173786	0.116454	0.126306	0.0825341	0.205825	0.180567	0.141362	0.170964	0.0765891	0.0964016	0.0974832	0.0964306	0.136569	0.116347	0.118346	0.130598	0.100807	0.106619	0.147121	0.129638	0.140956	0.099987	0.0175844	0.0667261	0.0255957	0.0143151	0.0342291	0.0302648	0.0326764	0.0380025	0.0433746	0.00302351	0.0397543	0.0630041	0.0231221	0.0395444	0.0495038	0.00542472	0.0534236	0.0304119	0.0167974	3.736314
40	-16965.34	-16973.6	8.257467	0.225842	0.092005	0.173786	0.116454	0.126306	0.0825341	0.205825	0.180567	0.141362	0.170964	0.0765891	0.0918321	0.0974832	0.0848972	0.136569	0.116347	0.118346	0.12768	0.116039	0.106619	0.121827	0.109762	0.140956	0.099987	0.0175844	0.0429204	0.0255957	0.0235222	0.0176455	0.0302648	0.0383924	0.0380025	0.0433746	0.00337163	0.0397543	0.0630041	0.0231221	0.0332506	0.0495038	0.00371671	0.0534236	0.0304119	0.0257224	3.663161
41	-16960.9	-16969.62	8.718326	0.225842	0.119035	0.173786	0.0997845	0.0952464	0.0825341	0.205825	0.180567	0.124082	0.175001	0.0765891	0.0918321	0.0974832	0.0848972	0.136569	0.116347	0.125781	0.12768	0.116039	0.106619	0.121827	0.109762	0.140956	0.103454	0.0175844	0.0429204	0.0183433	0.0235222	0.0176455	0.0302648	0.0243434	0.0380025	0.0406198	0.00337163	0.0351696	0.0502409	0.0231221	0.0533527	0.0495038	0.00197351	0.0534236	0.0304119	0.0257224	3.617075
42	-16962.52	-16970.73	8.204014	0.225842	0.119035	0.173786	0.0997845	0.0952464	0.097111	0.205825	0.180567	0.124082	0.196743	0.0765891	0.0918321	0.0974832	0.0848972	0.175416	0.116347	0.125781	0.130027	0.116039	0.0894616	0.121827	0.109762	0.140956	0.0961279	0.0175844	0.0373913	0.0129786	0.0235222	0.0176455	0.0302648	0.0243434	0.0299903	0.0406198	0.00246812	0.0573602	0.0502409	0.0231221	0.0533527	0.0495038	0.001563	0.0534236	0.0268428	0.0257224	3.668506
43	-16965.7	-16973.46	7.759505	0.225842	0.119035	0.176086	0.0997845	0.115025	0.097111	0.205825	0.180567	0.124082	0.135205	0.0765891	0.0722732	0.0974832	0.101738	0.175416	0.146037	0.125781	0.130027	0.116039	0.0894616	0.121827	0.109762	0.140956	0.0961279	0.0175844	0.0410263	0.00916994	0.0488166	0.0176455	0.0302648	0.0363908	0.0299903	0.0308635	0.00312329	0.0573602	0.0703559	0.0231221	0.0533527	0.0495038	0.00221663	0.0534236	0.0349467	0.0257224	3.712957
44	-16962.21	-16970.33	8.1229	0.238623	0.119035	0.176086	0.0997845	0.109749	0.097111	0.205825	0.180567	0.124082	0.135205	0.0962937	0.0722732	0.0974832	0.101738	0.162535	0.146037	0.125781	0.111851	0.112248	0.0869352	0.121827	0.109762	0.140956	0.0961279	0.0175844	0.0410263	0.00916994	0.0384101	0.0176455	0.0302648	0.0363908	0.0299903	0.0308297	0.00312329	0.0573602	0.0658704	0.0231221	0.0533527	0.0495038	0.00281937	0.0542636	0.022254	0.0257224	3.676618
45	-16904.15	-16911.8	7.653805	0.238623	0.119035	0.176086	0.0997845	0.117715	0.097111	0.205825	0.180567	0.124082	0.135205	0.0796133	0.0722732	0.0974832	0.101738	0.162535	0.141174	0.134396	0.132193	0.112248	0.0869352	0.140925	0.0820876	0.181901	0.0837196	0.0175844	0.0481398	0.0118004	0.0384101	0.0238207	0.0396199	0.0363908	0.0299903	0.0308297	0.00204072	0.0573602	0.0658704	0.0218408	0.04677	0.0495038	0.00281937	0.0542636	0.0259015	0.0173174	3.723527
46	-16884.58	-16892.29	7.717019	0.224887	0.119035	0.176086	0.0997845	0.135913	0.097111	0.205825	0.180567	0.108711	0.131584	0.0796133	0.0722732	0.0974832	0.0792198	0.162535	0.141174	0.134396	0.132193	0.112248	0.0869352	0.140925	0.0820876	0.181901	0.0837196	0.0364432	0.0481398	0.0118004	0.0384101	0.0238207	0.0396199	0.0245576	0.0418404	0.0308297	0.00208015	0.0573602	0.0658704	0.0336527	0.04677	0.0495038	0.00281937	0.0542636	0.0259015	0.0173174	3.717206
47	-16879.06	-16887.01	7.948953	0.224887	0.117215	0.176086	0.0997845	0.135913	0.097111	0.205825	0.180567	0.108711	0.131584	0.0796133	0.0722732	0.0974832	0.0901157	0.140812	0.141174	0.134396	0.132193	0.112248	0.0869352	0.140925	0.0820876	0.181901	0.0709327	0.0364432	0.0481398	0.0118004	0.0384101	0.0238207	0.0449343	0.0245576	0.0418404	0.0308297	0.00208015	0.0573602	0.0658704	0.0453168	0.04677	0.0509757	0.00281937	0.041863	0.0259015	0.0135077	3.694013
48	-16860.65	-16869.53	8.876366	0.210941	0.117215	0.129367	0.0997845	0.0867214	0.097111	0.205825	0.149423	0.108711	0.131584	0.0796133	0.0722732	0.0974832	0.0901157	0.140812	0.141174	0.134396	0.142368	0.112248	0.0869352	0.140925	0.102474	0.180835	0.0709327	0.0586783	0.049365	0.0118004	0.0384101	0.0238207	0.0449343	0.0255071	0.0434383	0.0308297	0.00335256	0.0418278	0.0752936	0.0453168	0.0450877	0.0509757	0.00175446	0.041863	0.0259015	0.0138456	3.601271
49	-16828.24	-16837.46	9.222734	0.20017	0.117215	0.129367	0.0997845	0.0867214	0.097111	0.175228	0.17964	0.108711	0.131584	0.0796133	0.0722732	0.0974832	0.0598528	0.140812	0.13515	0.134396	0.142368	0.112248	0.102492	0.140925	0.102474	0.180835	0.0499176	0.0917779	0.049365	0.0178955	0.031801	0.0238207	0.0449343	0.0280846	0.0381089	0.0308297	0.00335256	0.0342292	0.0752936	0.0453168	0.0409996	0.0509757	0.00175446	0.041863	0.0260138	0.0138456	3.566634
50	-16821.98	-16831.06	9.088064	0.20017	0.117215	0.129367	0.0997845	0.11352	0.104565	0.175228	0.17964	0.108711	0.143595	0.06408	0.0722724	0.0966647	0.0598528	0.140812	0.13515	0.134396	0.13333	0.112248	0.102492	0.107735	0.102474	0.180835	0.0499176	0.0940927	0.049365	0.0178265	0.031801	0.0285514	0.0335323	0.0356669	0.0381089	0.0308297	0.00335256	0.0340323	0.0752936	0.0453168	0.0409996	0.0509757	0.00185402	0.041863	0.0388334	0.0237509	3.580101
