Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	TL
100	-32340.6	-32410.77	70.16982	0.202314	0.0640555	0.0356193	0.0402079	0.1395	0.196726	0.0546362	0.0652483	0.0322805	0.0437548	0.13746	0.0687978	0.0699215	0.105028	0.0145302	0.0114449	0.102824	0.224855	0.0520551	0.0627172	0.103974	0.128048	0.0493551	0.0277025	0.31501	0.195838	0.0120497	0.159013	0.060331	0.229688	0.0620901	0.081343	0.0906472	0.098421	0.072595	0.00134106	0.0124775	0.00982559	0.127739	0.0331712	0.128587	0.0496297	0.0514913	0.0934637	0.0697161	9.84821e-05	0.0456002	0.00220387	4.035427
110	-32341.19	-32411.24	70.05566	0.192698	0.069963	0.0468866	0.0483832	0.144021	0.177182	0.0586655	0.0538479	0.0375225	0.0517749	0.148742	0.0718528	0.0692526	0.0976175	0.0115111	0.0113849	0.105333	0.239694	0.0508012	0.0441658	0.118642	0.127831	0.0311125	0.0333943	0.329308	0.23152	0.0224042	0.148966	0.0553901	0.236493	0.0404911	0.0879539	0.0870995	0.0768979	0.0629669	0.00392539	0.013914	0.00864027	0.113239	0.0373255	0.129698	0.0455036	0.0406599	0.0747422	0.080398	0.00317182	0.0517536	0.0221005	4.046843
120	-32344.3	-32415.95	71.65232	0.177529	0.066688	0.0518154	0.0333604	0.130441	0.167054	0.0559734	0.0652085	0.0253731	0.0416845	0.129951	0.0700071	0.08171	0.104166	0.0103925	0.0135258	0.0879682	0.229226	0.0470804	0.0565514	0.107463	0.1156	0.0340278	0.027375	0.303078	0.200111	0.0197173	0.188538	0.0670133	0.201212	0.0476145	0.0834929	0.07195	0.0857537	0.054487	0.00117441	0.0136024	0.00544701	0.126464	0.0282973	0.130734	0.0524366	0.0506619	0.0668677	0.0858618	0.000521817	0.0592497	0.0127172	3.887176
130	-32338.94	-32410.7	71.76037	0.194681	0.0872138	0.0371935	0.0296448	0.135981	0.160669	0.0510873	0.0668062	0.0355648	0.0365793	0.143411	0.0706972	0.0767159	0.110857	0.00711035	0.0126062	0.100062	0.227817	0.0622851	0.0496832	0.0991889	0.121698	0.032103	0.0259683	0.314031	0.198055	0.0189044	0.159144	0.0582313	0.226884	0.034835	0.0897024	0.0775896	0.0799753	0.0570522	0.00396325	0.0118742	0.00679908	0.115416	0.0314825	0.122799	0.0370643	0.0535115	0.0580973	0.0750125	0.000703793	0.0457173	0.0239027	3.876371
140	-32339.13	-32409.37	70.23399	0.192235	0.0924452	0.0435372	0.0293764	0.139625	0.174231	0.0537946	0.062742	0.0252048	0.0520232	0.144287	0.0646404	0.0816938	0.109983	0.0102935	0.010017	0.0970429	0.211169	0.0688627	0.0469783	0.10728	0.121752	0.0331783	0.0307375	0.344565	0.222247	0.0223529	0.157666	0.0477494	0.234702	0.0281101	0.0790926	0.0871186	0.0867421	0.0666122	0.00274428	0.013026	0.00926809	0.123038	0.0303932	0.131843	0.0593109	0.0411512	0.0883011	0.0732499	0.00297536	0.0398307	0.0337881	4.029009
150	-32335.71	-32406.97	71.25617	0.210322	0.0812257	0.0434545	0.0349104	0.14582	0.162371	0.0738936	0.052815	0.0293808	0.0454476	0.136832	0.0729863	0.0743815	0.105676	0.0101135	0.0107417	0.090541	0.202544	0.0635682	0.0494181	0.102464	0.117489	0.0333096	0.0252737	0.299677	0.192976	0.0305132	0.173973	0.0460461	0.217777	0.0446188	0.0850142	0.0879269	0.105852	0.0654978	0.00239988	0.0120107	0.0109463	0.106782	0.0313383	0.119893	0.0646237	0.0484854	0.0705902	0.0709105	0.00179523	0.0494006	0.0127627	3.926791
160	-32339.7	-32411.26	71.55876	0.171839	0.07082	0.0416963	0.0400638	0.136782	0.172188	0.0654843	0.0574812	0.0247712	0.0469656	0.15241	0.075146	0.0753123	0.0989846	0.00627667	0.0126536	0.084939	0.24838	0.0553991	0.0636397	0.100704	0.107954	0.0351033	0.0294801	0.307225	0.176416	0.0242008	0.173159	0.040207	0.224821	0.073608	0.0771453	0.0812108	0.081809	0.0652748	0.00231641	0.0133336	0.0109403	0.112141	0.0310067	0.129419	0.0490436	0.0360903	0.0843644	0.0724754	0.00734953	0.0454436	0.00305935	3.896533
170	-32343.57	-32415.64	72.07456	0.169852	0.0647935	0.0308862	0.0355415	0.130545	0.157794	0.0542597	0.0555896	0.0256474	0.056316	0.137296	0.0686711	0.0811988	0.102861	0.00754762	0.00915388	0.095169	0.222494	0.0531706	0.065598	0.117045	0.106797	0.0277947	0.0320632	0.284713	0.193855	0.0319465	0.164689	0.0527123	0.241959	0.0459908	0.0931974	0.0979406	0.0844989	0.0581562	0.00121147	0.0176162	0.00705262	0.119944	0.0319216	0.101558	0.0577636	0.0414566	0.0737825	0.0732471	0.00305851	0.054931	0.00366412	3.844952
180	-32340.32	-32411.7	71.37653	0.193145	0.0794127	0.0362794	0.0355736	0.154064	0.180909	0.0601684	0.065278	0.0232824	0.045058	0.152559	0.0722536	0.0794256	0.103542	0.0116368	0.00962728	0.104645	0.198109	0.0444037	0.0662062	0.0937412	0.127345	0.0376366	0.0201008	0.290947	0.210774	0.0275259	0.156929	0.0490449	0.248714	0.0570373	0.0744834	0.0714551	0.0838605	0.0658153	0.000342603	0.016543	0.00701503	0.105836	0.0266216	0.127993	0.0488226	0.0344051	0.0842341	0.077802	0.00329802	0.0431552	0.00769886	3.914755
190	-32334.67	-32405.53	70.85865	0.19751	0.073975	0.0464993	0.0379711	0.126796	0.165903	0.0604293	0.0631558	0.0361503	0.044811	0.146838	0.0648583	0.0784716	0.109334	0.00945922	0.0126465	0.0862542	0.244135	0.05445	0.0626735	0.0995339	0.118388	0.033426	0.0259888	0.325012	0.200818	0.0210796	0.152832	0.0489826	0.244713	0.0576063	0.0841465	0.0894998	0.0833918	0.0716818	0.000467342	0.0102651	0.0128032	0.111134	0.0335605	0.116224	0.0422129	0.0433611	0.0860641	0.0734042	0.00022482	0.0506801	0.00672206	3.966543
