Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
11	-16856.29	-16864.91	8.612865	0.0560238	0.140481	0.105741	0.115261	0.124995	0.125118	0.143174	0.192685	0.121042	0.141552	0.0866268	0.0853854	0.11309	0.126271	0.161383	0.147932	0.177268	0.120912	0.0765544	0.00391943	0.0572889	0.104968	0.184395	0.0188892	0.0163639	0.132677	0.0884747	0.0293613	0.066418	0.0442086	0.0407085	0.0658793	0.0219196	0.0389219	0.0794339	0.101132	0.0476319	0.0275462	0.0483249	0.015207	0.00532977	0.0263181	0.000809374	3.627621
12	-16716.38	-16726.36	9.985141	0.0560238	0.106993	0.140965	0.115261	0.124995	0.122944	0.140278	0.118661	0.0942834	0.141552	0.0866268	0.0655252	0.11309	0.104318	0.161383	0.147932	0.199933	0.120912	0.0765544	0.00391943	0.0572889	0.0912149	0.184395	0.0188892	0.0218182	0.132677	0.0813874	0.0418867	0.066418	0.0442086	0.0376089	0.0625781	0.0219196	0.0389219	0.0794339	0.101132	0.0476319	0.0199802	0.0483249	0.0156482	0.00785581	0.0263181	0.000705838	3.490394
13	-16527.85	-16538.94	11.09044	0.0560238	0.10055	0.140965	0.115261	0.124995	0.122944	0.127377	0.118661	0.119404	0.141552	0.0753911	0.063809	0.11309	0.0737904	0.161383	0.150894	0.199933	0.120912	0.0765544	0.00391943	0.0572889	0.0912149	0.184395	0.0188892	0.0236765	0.0777817	0.0577379	0.0503617	0.066418	0.0429861	0.0432934	0.0625781	0.0179036	0.0296339	0.0794339	0.101132	0.0438157	0.0199802	0.0483249	0.0156482	0.0127335	0.0263181	0.00090874	3.379864
14	-16415.08	-16425	9.922248	0.0560238	0.10055	0.140965	0.0987194	0.124995	0.118449	0.127377	0.159446	0.119404	0.141552	0.085432	0.0780834	0.112278	0.0737904	0.161383	0.150894	0.199933	0.120912	0.0966122	0.00644416	0.0757458	0.0912149	0.184395	0.0316716	0.0236765	0.0724822	0.0577379	0.0651889	0.066418	0.0429861	0.0432934	0.0625781	0.0133251	0.0296339	0.0500683	0.0910088	0.051602	0.0449634	0.0483249	0.0156482	0.0391989	0.0213682	0.00090874	3.496683
15	-16377.88	-16387.97	10.08911	0.0560238	0.10055	0.169142	0.0987194	0.124995	0.118449	0.127377	0.159446	0.119404	0.137068	0.085432	0.0780834	0.112278	0.0737904	0.161383	0.150894	0.199933	0.103777	0.0966122	0.0100332	0.0757458	0.0851066	0.204717	0.0316716	0.0236765	0.0724822	0.0577379	0.0651889	0.0426128	0.027299	0.0386476	0.0625781	0.0133251	0.0296339	0.049218	0.0910088	0.051602	0.0528878	0.0483249	0.0156482	0.0391989	0.0173846	0.00090874	3.479997
16	-16209.53	-16220.45	10.91844	0.0728877	0.10055	0.169142	0.0987194	0.0807417	0.102949	0.127377	0.159446	0.119404	0.15046	0.085432	0.0780834	0.107749	0.0737904	0.161383	0.126264	0.199933	0.0956405	0.0966122	0.0100332	0.0757458	0.0851066	0.198832	0.0316716	0.0239212	0.0691792	0.0556172	0.0651889	0.0426128	0.0223502	0.0531882	0.0625781	0.0137973	0.0296339	0.033903	0.0910088	0.038433	0.0528878	0.0397057	0.0156482	0.0612378	0.0173846	0.000834228	3.397064
17	-16072.36	-16083.38	11.02106	0.0728877	0.10055	0.110994	0.0987194	0.0807417	0.102949	0.127377	0.159446	0.119404	0.15046	0.0741398	0.0780834	0.107749	0.0737904	0.164485	0.129648	0.172528	0.0956405	0.0966122	0.0142147	0.0997957	0.100293	0.198832	0.0316716	0.0304438	0.0691792	0.0532843	0.0651889	0.0426128	0.0223502	0.0531882	0.0625781	0.0144625	0.0457282	0.033903	0.0678672	0.038433	0.0528878	0.0397057	0.0264681	0.088564	0.0173846	0.00156108	3.386802
18	-16008.07	-16019.25	11.17646	0.0728877	0.10055	0.110994	0.0987194	0.11085	0.102949	0.127377	0.0982227	0.119404	0.15046	0.0875876	0.0780834	0.107749	0.0737904	0.164485	0.131502	0.172528	0.0956405	0.1091	0.0145211	0.0997957	0.100293	0.198832	0.0316716	0.0304438	0.04117	0.0532843	0.0651889	0.0426128	0.0302783	0.0398405	0.0606503	0.0186615	0.0457282	0.0555019	0.0678672	0.038433	0.0528878	0.0397057	0.0352859	0.0767822	0.0173846	0.00156108	3.371262
19	-15996.9	-16009.32	12.41914	0.0728877	0.0978125	0.0938193	0.0987194	0.11085	0.102949	0.127377	0.0700962	0.119404	0.15046	0.08945	0.0780834	0.107749	0.0737904	0.164485	0.101399	0.172528	0.0956405	0.1091	0.0145211	0.0997957	0.100293	0.198832	0.0366932	0.0270686	0.0470641	0.0532843	0.0688593	0.0260692	0.0302783	0.0422372	0.0606503	0.0186615	0.0318144	0.0555019	0.0678672	0.038433	0.0528878	0.0280495	0.0352859	0.0542664	0.0201711	0.00180836	3.246994
20	-15942.74	-15955.44	12.70887	0.0830975	0.0978125	0.0938193	0.0987194	0.119381	0.0787247	0.127377	0.075939	0.119404	0.15046	0.08945	0.0883787	0.107749	0.0737904	0.164485	0.135242	0.10546	0.102809	0.1091	0.0145211	0.0997957	0.100293	0.198832	0.0366932	0.0270686	0.0470641	0.0532843	0.0688593	0.0260692	0.0302783	0.0422372	0.0383965	0.0471992	0.0297397	0.0630441	0.0678672	0.0249753	0.0528878	0.0340162	0.0352859	0.0364336	0.0201711	0.00180836	3.218021
21	-15928.32	-15940.75	12.43812	0.0830975	0.0956008	0.0938193	0.10661	0.119381	0.0787247	0.133281	0.105035	0.119404	0.145471	0.0684097	0.0883787	0.107749	0.0737904	0.164485	0.135242	0.142848	0.10655	0.1091	0.0145211	0.0937943	0.0901006	0.198832	0.0366932	0.0317241	0.0526915	0.0532843	0.0688593	0.0260692	0.0214809	0.0264735	0.0365076	0.0471992	0.0297397	0.0630441	0.0678672	0.0249753	0.0528878	0.0340162	0.0352859	0.0306477	0.0293597	0.00206354	3.245096
22	-15916.23	-15929.25	13.01979	0.112919	0.0804542	0.0938193	0.10661	0.119381	0.0769171	0.133281	0.105035	0.119404	0.145471	0.0887645	0.124436	0.107749	0.117105	0.109642	0.135242	0.142848	0.10655	0.1091	0.0145211	0.0937943	0.0667347	0.140319	0.0366932	0.0218604	0.0361434	0.0532843	0.0688593	0.0361324	0.0214809	0.029916	0.0365076	0.0471992	0.0297397	0.0449901	0.0678672	0.0249753	0.0484477	0.0340162	0.0352859	0.0306477	0.0293597	0.0034248	3.186929
23	-15901.99	-15915.52	13.53333	0.112919	0.0943141	0.10826	0.10661	0.119381	0.0853283	0.133281	0.105035	0.119404	0.145471	0.0887645	0.120496	0.107749	0.0960684	0.109642	0.135242	0.107626	0.102806	0.1091	0.0145211	0.0937943	0.0801359	0.136001	0.0366932	0.0218604	0.0364033	0.0473292	0.0688593	0.0361324	0.0168738	0.0186434	0.0365076	0.058631	0.0380222	0.0449901	0.0336783	0.0394559	0.0484477	0.0208065	0.0368582	0.0306477	0.0293597	0.0034248	3.135575
24	-15899.08	-15912.4	13.31784	0.112919	0.0943141	0.10826	0.10661	0.119381	0.0853283	0.133281	0.105035	0.119364	0.158573	0.0640018	0.120496	0.107142	0.0960684	0.109642	0.135242	0.107626	0.111886	0.1091	0.0145211	0.0937943	0.0801359	0.136001	0.0366932	0.0289033	0.0364033	0.06174	0.0727967	0.0361324	0.0168738	0.0147984	0.0171606	0.058631	0.0320408	0.0557752	0.0336783	0.0394559	0.0484477	0.0335159	0.0283465	0.0479903	0.0239284	0.00508978	3.157124
