Iteration	Posterior	Likelihood	Prior	branchG[1]	branchG[2]	branchG[3]	branchG[4]	branchG[5]	branchG[6]	branchG[7]	branchG[8]	branchG[9]	branchG[10]	branchG[11]	branchG[12]	branchG[13]	branchG[14]	branchG[15]	branchG[16]	branchG[17]	branchG[18]	branchG[19]	branchG[20]	branchG[21]	branchG[22]	branchG[23]	branchG[24]	branchG[25]	branchG[26]	branchG[27]	branchG[28]	branchG[29]	branchG[30]	branchG[31]	branchG[32]	branchG[33]	branchG[34]	branchG[35]	branchG[36]	branchG[37]	branchG[38]	branchG[39]	branchG[40]	branchG[41]	branchG[42]	branchG[43]	branchG[44]	branchG[45]	branchG[46]	branchG[47]	branchG[48]	branchG[49]	branchG[50]	branchG[51]	branchG[52]	branchG[53]	branchG[54]	branchG[55]	branchG[56]	branchG[57]	branchG[58]	branchG[59]	branchG[60]	branchG[61]	branchG[62]	branchG[63]	branchG[64]	branchG[65]	branchG[66]	branchG[67]	branchG[68]	branchG[69]	branchG[70]	branchG[71]	branchG[72]	branchG[73]	branchG[74]	branchG[75]	branchG[76]	branchG[77]	branchG[78]	gamma	kappa	meanG	nodelogG[1]	nodelogG[2]	nodelogG[3]	nodelogG[4]	nodelogG[5]	nodelogG[6]	nodelogG[7]	nodelogG[8]	nodelogG[9]	nodelogG[10]	nodelogG[11]	nodelogG[12]	nodelogG[13]	nodelogG[14]	nodelogG[15]	nodelogG[16]	nodelogG[17]	nodelogG[18]	nodelogG[19]	nodelogG[20]	nodelogG[21]	nodelogG[22]	nodelogG[23]	nodelogG[24]	nodelogG[25]	nodelogG[26]	nodelogG[27]	nodelogG[28]	nodelogG[29]	nodelogG[30]	nodelogG[31]	nodelogG[32]	nodelogG[33]	nodelogG[34]	nodelogG[35]	nodelogG[36]	nodelogG[37]	nodelogG[38]	nodelogG[39]	nodelogG[40]	nodelogG[41]	nodelogG[42]	nodelogG[43]	nodelogG[44]	nodelogG[45]	nodelogG[46]	nodelogG[47]	nodelogG[48]	nodelogG[49]	nodelogG[50]	nodelogG[51]	nodelogG[52]	nodelogG[53]	nodelogG[54]	nodelogG[55]	nodelogG[56]	nodelogG[57]	nodelogG[58]	nodelogG[59]	nodelogG[60]	nodelogG[61]	nodelogG[62]	nodelogG[63]	nodelogG[64]	nodelogG[65]	nodelogG[66]	nodelogG[67]	nodelogG[68]	nodelogG[69]	nodelogG[70]	nodelogG[71]	nodelogG[72]	nodelogG[73]	nodelogG[74]	nodelogG[75]	nodelogG[76]	nodelogG[77]	nodelogG[78]	nodelogG[79]	root_age	sigmaG
560	-8959.811	-8704.352	-255.459	5.14393	7.64318	5.94756	7.51929	7.4473	7.04794	5.26947	8.55341	6.36817	5.91074	3.82432	7.93242	8.27064	9.88454	9.44464	5.7065	4.38581	9.93159	16.7364	18.3971	14.0823	14.1187	9.8746	5.34206	5.49796	13.19	9.19933	12.8127	6.65136	7.44004	8.5282	7.14134	16.1734	17.3928	14.8799	12.1723	10.9363	9.14638	11.7814	20.9799	10.45	12.9681	14.1663	15.434	16.3067	14.0249	7.42069	6.61676	8.28267	11.2364	11.6041	11.5957	12.9344	11.0084	7.576	7.19749	11.0293	9.11638	7.26359	6.81587	6.00287	6.40546	6.71461	6.67668	6.09613	5.56823	5.85599	6.13214	6.88332	6.65997	5.48857	5.78653	5.74228	5.82381	6.4524	7.23041	7.24983	7.83139	0.4155913	4.503424	9.184029	0.66118	1.00514	0.785252	1.02818	1.01982	0.920453	0.640361	1.06111	0.877616	0.81287	0.404088	1.00288	1.03915	1.18278	1.14323	0.761985	0.533345	1.14596	1.38051	1.46269	1.27907	1.39823	1.12358	0.58996	0.586981	1.22148	0.908506	1.13303	0.756854	0.854185	1.00979	0.918192	1.2532	1.31634	1.13264	0.958564	1.10462	0.949383	1.07728	1.48297	0.973115	1.06511	1.16064	1.1644	1.21256	1.21218	0.888967	0.851923	0.789368	1.01901	1.08225	1.04697	1.08162	1.14187	0.865457	0.893423	1.06682	1.01828	0.901363	0.82094	0.750755	0.807137	0.805964	0.848079	0.795928	0.730414	0.76102	0.774181	0.801043	0.803173	0.724176	0.76141	0.763426	0.754743	0.775671	0.843772	0.874554	0.846102	0.941576	86.82954	1.568935
570	-8963.468	-8705.933	-257.5355	6.68213	7.64318	6.93853	7.86399	7.78871	8.45392	7.99353	8.9577	4.1743	5.12613	4.50752	7.93242	8.27064	9.88454	9.44464	7.14028	4.18051	9.1143	14.8609	16.3355	14.0823	15.8373	13.0239	13.0098	7.52486	13.0323	7.82883	6.74054	5.91168	6.61266	8.17841	7.14134	17.9946	17.6813	15.1167	10.6759	14.0668	15.4088	13.4406	14.9799	15.3342	14.4963	12.9665	16.0249	14.5298	12.3008	6.32494	6.34536	8.28267	11.1021	11.6041	11.5957	12.0825	9.03841	8.00901	7.68655	9.79335	10.2261	8.70139	7.93507	6.08063	6.40546	6.16206	6.08587	6.09613	5.56823	5.85599	6.09073	6.77462	8.57974	5.63579	5.74237	5.59483	5.71789	7.10362	7.8877	7.83135	7.50376	0.4155913	5.425946	9.393312	0.88842	1.00514	0.925762	1.02818	1.01982	1.07845	0.865818	0.964734	0.510754	0.689166	0.546854	1.00288	1.03915	1.18278	1.14323	0.945497	0.480525	1.14596	1.38051	1.46269	1.27907	1.39823	1.31575	1.31481	0.859574	1.22148	0.778835	0.57514	0.756854	0.854185	1.00979	0.918192	1.32697	1.31171	1.13264	0.958564	1.10462	1.18378	1.07728	1.20806	1.19176	1.17956	1.14296	1.18332	1.22627	1.09825	0.786568	0.815545	0.789368	1.00856	1.08225	1.04697	1.08162	1.08269	0.913734	0.893423	0.963581	1.01828	1.00114	0.87804	0.761933	0.807137	0.805964	0.773488	0.795928	0.730414	0.76102	0.774181	0.795158	0.939659	0.763108	0.76141	0.756772	0.738801	0.775671	0.927289	0.866612	0.921061	0.829497	86.82954	1.506275
580	-8960.186	-8699.354	-260.8322	3.35039	7.44791	5.6751	7.86399	7.78871	7.44286	4.19233	6.74479	8.34028	3.87446	7.09229	7.88296	8.21906	10.2677	9.81076	7.14973	5.67359	9.63821	14.8609	16.3355	13.0589	17.1063	6.04226	7.9177	7.95318	15.7388	15.9357	10.4333	6.40228	7.16144	8.17841	7.75042	15.9675	11.3671	15.1167	12.0703	14.8553	14.7905	13.4406	15.7272	16.1937	13.7791	12.325	16.3768	16.4276	14.8531	6.84985	6.88655	9.46031	13.4077	12.2124	13.0334	12.904	8.04406	7.10045	8.67206	9.08162	10.2428	11.0698	8.84839	7.03839	6.98514	6.84079	6.4357	6.05812	5.10768	5.95354	6.09073	6.77462	7.96739	5.63579	5.59567	5.59483	5.71789	7.21115	8.0071	7.41436	6.32265	0.3870782	5.22375	9.50238	0.31126	1.00514	0.751175	1.02818	1.01982	0.967809	0.382617	0.795643	1.20128	0.535346	0.926203	1.00288	1.03915	1.18278	1.14323	0.861811	0.660948	1.14596	1.38051	1.46269	1.27907	1.39823	0.715878	0.950677	0.94503	1.22148	1.23228	0.954593	0.756854	0.854185	1.00979	0.918192	1.20429	0.909118	1.13264	0.958564	1.10462	1.10083	1.07728	1.29442	1.23914	1.17956	1.09888	1.20218	1.22627	1.20487	0.855816	0.815545	0.860458	1.17246	1.08225	1.09135	1.13876	1.08269	0.84652	0.856051	0.963581	0.952746	1.06809	1.02019	0.846768	0.840172	0.848179	0.822034	0.790495	0.641077	0.77537	0.774181	0.795158	0.862294	0.763108	0.738931	0.756772	0.738801	0.775671	0.940339	0.866612	0.873535	0.728263	86.82954	1.779764
590	-8971.255	-8701.894	-269.3607	5.85468	7.44791	7.51753	8.44074	8.35993	6.42345	5.76494	3.69411	6.46733	7.43534	6.3112	8.89402	9.27324	10.2333	9.77784	5.66597	8.81956	10.1886	14.8609	16.3355	13.4249	15.0317	8.26637	6.16418	9.59735	15.265	17.9327	11.1003	5.94174	6.64629	8.34083	7.75042	24.9424	18.8852	15.1167	11.2115	13.4252	28.5466	12.6518	13.0185	13.7759	12.1428	13.2676	16.6324	15.2587	13.6972	6.48337	7.02332	9.46031	12.6529	11.8826	12.9398	14.7311	12.6176	7.74302	7.51589	9.33613	9.25274	8.18518	8.14552	8.05042	7.0866	7.3612	6.25837	6.83513	6.1877	5.95354	5.60293	5.86449	8.31978	6.19688	5.59567	5.73149	5.85756	7.26794	7.59419	7.6329	9.43571	0.3870782	4.86146	9.956438	0.796075	1.00514	0.995378	1.02818	1.01982	0.839867	0.628518	0.241948	0.813761	0.934913	0.824854	1.00288	1.03915	1.18278	1.14323	0.558536	0.94288	1.14596	1.38051	1.46269	1.27907	1.39823	0.938502	0.683623	1.08261	1.22148	1.36138	1.0322	0.756854	0.854185	1.00979	0.918192	1.57824	1.33661	1.13264	0.958564	1.10462	1.75989	1.07728	1.18751	1.15121	1.12702	1.04162	1.21563	1.22627	1.14076	0.790974	0.832627	0.860458	1.14591	1.05847	1.09135	1.1325	1.20397	0.896127	0.881693	0.963581	0.976752	0.955788	0.870268	0.948013	0.837252	0.863625	0.870273	0.895313	0.807689	0.77537	0.774181	0.72265	0.893072	0.824583	0.738931	0.756772	0.759763	0.775671	0.947152	0.813811	0.951569	0.99798	86.82954	1.781625
600	-8964.313	-8696.525	-267.7881	6.04487	7.7923	3.69298	10.1006	10.0039	6.16085	10.7044	7.70572	4.52591	6.77309	5.306	7.63084	7.9562	10.2333	9.77784	14.4561	8.40498	9.68952	15.2702	16.7855	13.4249	15.0317	6.53864	9.56322	11.2273	14.2012	14.6567	5.58752	6.06327	6.78223	8.34083	8.40583	24.5398	27.0175	15.1167	10.4368	13.6578	25.4605	12.1577	15.553	13.4673	13.207	13.6332	17.9602	14.2044	13.1134	6.61597	7.61725	10.2603	11.7711	11.8826	13.3078	13.7541	9.78482	7.74302	8.88075	9.59328	9.25274	9.67157	9.62471	7.43147	6.95201	6.86764	5.95179	5.86436	6.1877	5.95354	5.60293	6.68452	7.00012	7.41547	5.85441	5.73149	5.98409	6.88262	8.02384	8.70021	8.05996	0.361005	5.417528	10.11887	0.78458	1.00514	0.377982	1.02818	1.01982	0.785048	1.25019	0.964689	0.503723	0.853885	0.674165	1.00288	1.03915	1.18278	1.14323	1.42492	0.953894	1.14596	1.38051	1.46269	1.27907	1.39823	0.734848	1.06508	1.21886	1.22148	1.24891	0.435971	0.756854	0.854185	1.00979	0.918192	1.49739	1.58094	1.13264	0.958564	1.10462	1.6456	1.07728	1.23445	1.16614	1.09242	1.14918	1.28235	1.22627	1.07857	0.80856	0.832627	0.930969	1.08316	1.05847	1.09135	1.15686	1.12001	0.896127	0.881693	0.987182	0.976752	0.955788	1.01521	0.89518	0.837252	0.846969	0.826646	0.762261	0.807689	0.77537	0.774181	0.72265	0.808937	0.980515	0.778194	0.756772	0.759763	0.794234	0.881274	0.927491	0.951569	0.861096	84.33647	1.750454
610	-8974.373	-8703.243	-271.1296	4.07187	7.44977	9.89013	10.7434	10.6406	6.35248	6.44993	8.92456	5.1813	4.66484	5.59818	7.63084	7.9562	9.63097	9.20235	15.4207	11.3067	9.68952	15.2702	16.7855	13.5289	14.8284	5.35882	9.76196	4.20279	12.6087	5.81793	10.9314	7.02558	7.85864	8.71337	7.6742	9.8535	9.77814	15.052	12.4529	16.8521	40.9278	13.9198	16.0803	19.0255	17.1846	14.4578	15.1306	16.8758	15.0498	8.00839	7.26486	8.98791	10.4511	11.4013	12.2818	12.3452	9.9656	8.20174	9.03805	9.66766	9.19838	9.1667	9.89185	7.89595	6.54284	6.86764	6.80648	5.95947	6.30732	6.16705	6.51144	6.55456	8.22098	8.449	5.37258	5.89332	6.89113	7.39905	6.87988	7.97975	9.41002	0.361005	4.883584	10.07424	0.480441	1.00514	1.26919	1.02818	1.01982	0.748809	0.670537	0.952601	0.621188	0.529985	0.704093	1.00288	1.03915	1.18278	1.14323	1.42837	1.15883	1.14596	1.38051	1.46269	1.27907	1.39823	0.562011	1.08295	0.31539	1.22148	0.549682	1.01889	0.756854	0.854185	1.00979	0.918192	0.850016	0.843347	1.13264	0.958564	1.10462	1.87535	1.07728	1.1523	1.34869	1.20999	1.26029	1.13716	1.22255	1.23198	0.93651	0.870581	0.851874	0.979854	1.05847	1.05544	1.12308	1.05992	0.896127	0.931685	0.987182	0.983461	0.943962	0.980464	0.947839	0.784563	0.846969	0.826646	0.762261	0.807689	0.792	0.788155	0.839199	0.948573	1.03411	0.739148	0.721218	0.819503	0.857078	0.881274	0.793888	1.01009	0.93709	84.33647	1.750454
620	-8964.365	-8704.245	-260.1208	7.89643	7.55908	6.04451	9.84895	9.75466	8.24039	7.171	4.75533	5.1039	4.19909	8.71148	7.77313	8.10456	11.2982	10.7954	12.7747	15.3707	10.094	15.5269	17.0676	14.4343	14.9564	7.69453	5.8977	4.93993	11.0294	7.05254	12.062	6.7653	7.5675	8.91901	7.6742	16.1179	14.0295	15.052	11.2307	15.4421	22.1683	15.4822	15.4636	19.3904	16.9311	14.195	16.2472	15.2195	15.0206	7.89371	7.43632	8.87357	8.91912	10.9818	13.4191	15.1428	11.4294	7.51498	8.78087	10.488	9.89864	9.80363	10.4886	9.25704	8.44218	7.86895	7.04827	6.0706	6.53383	6.16705	6.47256	6.8482	6.61661	7.74555	5.67713	6.13734	6.96248	7.47566	7.23127	8.38732	9.73697	0.361005	5.038635	10.13875	1.04306	1.00514	0.806264	1.02818	1.01982	0.96587	0.951163	0.594365	0.577469	0.407974	1.08818	1.00288	1.03915	1.18278	1.14323	1.20943	1.37011	1.14596	1.38051	1.46269	1.27907	1.39823	0.876237	0.645238	0.531713	1.22148	0.833072	1.12581	0.756854	0.854185	1.00979	0.918192	1.21561	1.09508	1.13264	0.958564	1.10462	1.41868	1.07728	1.22364	1.27279	1.30239	1.15498	1.19901	1.22255	1.14225	0.903721	0.890842	0.851874	0.86362	1.03702	1.04432	1.21112	1.14929	0.896127	0.855729	1.00166	1.03972	0.951428	1.03135	1.00328	0.923243	0.929666	0.862168	0.778309	0.838336	0.792	0.788155	0.833997	0.759997	0.958602	0.7518	0.756458	0.819503	0.866025	0.881274	0.837156	1.01009	0.966756	72.7329	2.067929
630	-8968.88	-8699.889	-268.9908	7.84513	7.55908	5.92431	8.55861	8.47668	9.76006	8.47262	7.18709	5.98639	7.85525	6.87729	7.20375	7.5109	11.2261	10.7265	7.77542	5.36382	10.1362	18.6887	20.5431	16.0966	18.1098	5.68201	6.23762	8.3976	13.736	6.302	8.20166	5.43251	6.07667	8.67254	8.03164	9.94079	16.6395	15.2146	10.7599	11.0459	9.88572	9.56863	10.0442	8.57231	11.3686	16.2293	16.4227	14.7389	13.9061	6.16345	7.56761	9.28688	10.4802	10.3613	12.9671	15.3988	10.3732	7.51498	8.38833	14.0775	13.366	11.3399	10.7102	8.59508	8.38833	7.90188	7.07777	5.62593	6.26306	6.16705	6.47256	6.16713	7.21652	6.73079	6.07164	6.56382	6.86928	7.37559	6.5121	8.07368	8.97625	0.361005	5.132398	9.538909	1.0374	1.00514	0.730464	1.02818	1.01982	1.12459	1.02065	0.877724	0.752757	0.988746	0.882835	1.00288	1.03915	1.18278	1.14323	0.842614	0.520115	1.14596	1.38051	1.46269	1.27907	1.39823	0.612876	0.693911	0.992581	1.22148	0.544719	0.841298	0.756854	0.854185	1.00979	0.918192	0.795834	1.24327	1.13264	0.958564	1.10462	1.00824	1.07728	0.776838	0.981774	0.884421	1.22699	1.19901	1.23188	1.10505	0.713147	0.866501	0.891416	1.05424	0.986506	1.04432	1.18136	1.19361	0.896127	0.855729	1.16265	1.1344	1.1176	0.991622	0.938834	0.917685	0.929666	0.865795	0.712233	0.801573	0.792	0.788155	0.833997	0.835382	0.836629	0.7518	0.814811	0.819503	0.85432	0.881274	0.746168	1.06798	0.838214	77.81283	2.037794
640	-8971.466	-8700.154	-271.3121	6.4114	8.77711	5.92129	8.25412	8.1751	2.86805	4.18739	9.13488	4.22166	10.4836	7.5415	7.08479	7.38686	11.7601	11.2367	14.1488	12.7222	10.1964	16.1752	17.7802	14.1293	14.6059	4.86831	7.66967	9.74752	15.5007	12.2972	9.70136	7.17066	8.02092	8.67254	8.03164	12.271	21.2591	13.3068	10.7599	10.4228	5.25505	11.3586	16.9414	9.60188	13.4952	16.6106	13.4941	12.8908	12.4552	8.13547	7.56761	9.28688	11.8266	10.3613	11.6142	14.1161	12.2071	8.79016	8.01574	10.695	9.46246	7.98335	8.91315	9.31726	8.78732	7.94874	7.11974	5.53302	6.28326	6.16705	6.47256	8.0701	7.26946	6.12901	6.95891	6.1174	6.02166	6.8477	8.52152	10.0726	9.8398	0.361005	4.738792	9.710998	0.73234	1.00514	0.741315	1.02818	1.01982	0.125356	0.402157	1.07968	0.446597	1.23665	0.962915	1.00288	1.03915	1.18278	1.14323	1.29253	1.20022	1.14596	1.38051	1.46269	1.27907	1.39823	0.421114	0.815911	1.04344	1.22148	1.02039	0.98716	0.756854	0.854185	1.00979	0.918192	1.03298	1.51031	1.13264	0.958564	1.10462	0.509811	1.07728	1.23091	0.931342	1.03337	1.22699	1.14478	1.11551	1.10505	0.954264	0.866501	0.891416	1.15922	0.986506	1.04432	1.08565	1.21378	0.953643	0.93435	1.03719	1.02118	0.930833	0.873537	1.00891	0.958047	0.929666	0.870931	0.69777	0.80437	0.792	0.788155	0.833997	0.841731	0.805164	0.881566	0.803517	0.769617	0.789816	0.881274	0.97976	1.02652	0.959448	85.63603	1.93603
650	-8988.161	-8708.087	-280.0734	2.95387	7.78156	5.04064	10.2313	10.1334	13.7663	5.88028	10.8626	7.22682	2.95398	3.10947	8.28494	8.63819	10.6031	10.1312	5.25909	8.35178	9.7279	16.5789	18.224	14.2306	19.5949	4.4686	10.0621	8.68126	14.7665	17.196	23.0696	5.99589	6.70686	7.53351	7.96026	10.9655	10.18	13.3068	10.4823	10.6358	14.3026	9.82817	5.54712	8.47795	7.86502	9.27465	12.3493	12.5582	11.9114	5.90919	6.51527	9.52546	13.5382	12.8849	11.799	11.4874	6.24027	8.73601	8.9394	11.0405	12.7856	11.9444	7.63378	8.18853	7.92278	7.58355	6.61089	6.47031	4.59401	5.96329	6.29938	6.32223	7.64448	7.80123	6.10045	6.21131	6.1834	6.45379	6.46482	6.22668	4.65993	0.361005	4.978782	9.235519	0.163787	1.00514	0.611243	1.02818	1.01982	1.48782	0.601915	1.13499	1.15633	0.379247	0.222557	1.00288	1.03915	1.18278	1.14323	0.545075	0.946811	1.14596	1.38051	1.46269	1.27907	1.39823	0.352067	1.0571	0.942815	1.22148	1.35378	1.58003	0.756854	0.854185	1.00979	0.918192	1.01228	0.947718	1.13264	0.958564	1.10462	1.36192	1.07728	0.604401	0.948915	0.907667	0.883733	1.06778	1.11551	1.08235	0.798854	0.744202	0.883663	1.11707	1.14605	1.07411	1.06958	1.05086	0.948276	0.93435	1.0586	1.02738	1.18606	0.968266	0.896746	0.868089	0.929666	0.830079	0.833695	0.561568	0.762816	0.788155	0.810441	0.936882	0.991688	0.776995	0.793728	0.792638	0.789816	0.829814	0.7913	0.797213	0.539545	85.63603	2.466132
660	-8987.461	-8707.087	-280.3746	5.3492	7.78156	14.0742	9.05383	8.96715	4.36996	17.7693	9.20471	6.62826	2.88237	3.88699	9.39005	9.79041	9.63466	9.20587	9.65657	3.69903	9.0812	17.2979	19.0143	14.0855	19.4388	7.4419	6.95221	8.8618	18.3364	31.5025	14.2025	6.37829	7.1346	8.46052	7.8966	18.931	12.3978	13.3068	12.6359	8.43153	7.71556	8.6189	4.68616	5.89395	6.6196	8.26457	12.5443	15.1383	14.0643	7.05958	7.25847	9.23178	16.8112	12.5883	11.2911	10.4471	7.03284	8.73601	13.4655	11.4019	12.5544	17.8486	17.5434	5.76949	6.17427	6.07158	6.41651	7.32571	5.23975	5.95706	6.54273	7.0285	8.20208	6.9068	6.30162	6.4193	6.18645	6.91394	7.40534	10.1577	8.62971	0.361005	5.041165	9.9179	0.679582	1.00514	1.47494	1.02818	1.01982	0.49114	1.56113	0.989807	0.966994	0.243694	0.416411	1.00288	1.03915	1.18278	1.14323	1.24365	0.410175	1.14596	1.38051	1.46269	1.27907	1.39823	0.795092	0.73597	0.960693	1.22148	1.69154	1.15868	0.756854	0.854185	1.00979	0.918192	1.47296	1.10531	1.13264	0.958564	1.10462	1.02755	1.07728	0.493596	0.747188	0.793625	0.848038	1.08139	1.11551	1.24465	0.852555	0.845002	0.876688	1.30514	1.14605	1.05388	1.05159	0.986402	0.948276	0.93435	1.09548	1.01848	1.17911	1.32409	0.725999	0.784896	0.796276	0.770327	0.942452	0.675805	0.762816	0.787247	0.84427	0.938212	0.885487	0.776995	0.821909	0.793067	0.789816	0.889636	0.849454	1.16413	0.70786	80.79637	2.466132
670	-8965.632	-8705.939	-259.6924	4.98586	8.11121	5.94136	9.27126	9.1825	4.96349	10.0657	8.35955	3.77172	3.37256	3.67049	7.35512	7.66872	9.63466	9.20587	14.6398	7.65155	9.5426	18.1471	19.9479	16.5343	17.456	7.36934	6.44864	6.65321	14.7453	13.2236	5.6631	7.89575	8.832	8.29035	7.82643	10.3121	15.7803	13.3068	10.7579	9.46463	5.96527	8.98635	8.73238	6.8982	6.83138	7.65564	12.5443	12.8884	11.1569	8.56335	7.04927	7.93421	10.0258	8.09547	9.12298	9.10998	7.69646	8.17694	9.15021	14.0412	13.2338	11.3268	9.26152	7.12626	6.17427	6.38006	6.74252	5.73814	5.48596	6.00767	6.54273	7.0285	6.60364	7.07267	6.56857	6.4193	6.18645	6.31209	6.76071	7.58809	7.53841	0.361005	5.78328	8.830406	0.582447	1.00514	0.725863	1.02818	1.01982	0.601759	1.17665	1.01533	0.444738	0.34758	0.359282	1.00288	1.03915	1.18278	1.14323	1.42162	0.858052	1.14596	1.38051	1.46269	1.27907	1.39823	0.809984	0.694063	0.745754	1.22148	1.12688	0.619696	0.756854	0.854185	1.00979	0.918192	0.945306	1.31484	1.13264	0.958564	1.10462	0.703677	1.07728	1.04314	0.847583	0.829888	0.839128	1.08139	1.11551	1.10489	1.03793	0.827354	0.868935	1.11583	0.886412	0.930072	0.990201	0.928834	0.924873	0.900308	1.13711	1.1577	1.08566	1.02255	0.909448	0.784896	0.796276	0.813374	0.730296	0.70834	0.770165	0.787247	0.84427	0.829036	0.9061	0.813033	0.821909	0.793067	0.789816	0.81053	0.849454	0.910811	0.843749	80.79637	1.930564
680	-8962.466	-8698.533	-263.933	8.15719	8.11121	5.31364	9.54558	9.4542	4.9468	6.78447	9.24806	10.5628	3.44282	7.61933	8.93771	9.31879	9.63466	9.20587	9.25897	9.6513	9.5426	18.1471	19.9479	16.5343	16.6558	5.87726	8.89417	9.86459	12.7185	11.4249	9.04564	6.84763	7.65959	8.35409	6.82586	14.1288	11.6487	10.7967	8.62182	10.3806	7.66306	11.4424	10.0865	9.63358	10.2216	8.78766	9.04795	8.38082	7.6766	7.4837	6.19533	6.16989	8.33982	6.96113	6.98341	7.63985	5.69743	8.98972	9.45882	14.0412	12.6271	10.162	7.98775	7.008	6.17427	6.38006	6.8498	6.97554	6.41421	6.01002	6.64942	7.14033	6.6542	7.28194	6.18848	6.04785	6.18645	6.31209	6.76071	6.96024	5.24014	0.361005	6.257742	8.743857	1.01005	1.00514	0.68065	1.02818	1.01982	0.598834	0.827371	1.09644	1.20344	0.229707	0.993669	1.00288	1.03915	1.18278	1.14323	1.03821	1.07426	1.14596	1.38051	1.46269	1.27907	1.39823	0.613477	0.973338	1.00554	1.22148	1.12832	1.05795	0.756854	0.854185	1.00979	0.918192	1.32105	1.15339	1.13264	0.958564	1.10462	0.840985	1.07728	1.0282	0.92782	1.03976	0.97928	0.979162	0.933938	0.912634	0.914226	0.834006	0.750123	0.987386	0.854928	0.830432	0.857703	0.908467	0.924873	0.982619	1.13711	1.1577	1.04491	0.969054	0.894912	0.784896	0.796276	0.813374	0.899569	0.84412	0.770165	0.787586	0.857982	0.835661	0.931427	0.813033	0.770134	0.793067	0.789816	0.81053	0.849454	0.835795	0.602891	80.79637	1.700412
690	-8968.769	-8695.596	-273.1736	7.17566	7.51153	5.51179	8.63628	8.5536	5.87226	5.17235	8.85518	3.28385	2.56913	7.44674	7.33376	7.64645	10.7259	10.2485	5.8825	6.04094	9.19153	20.2388	22.2471	16.2145	16.6558	11.6511	10.0466	8.6748	10.6418	14.1054	4.87004	6.50753	7.27916	7.99774	6.82586	10.4785	12.4647	12.137	9.53445	11.0069	13.1018	11.5368	7.7106	10.299	8.72837	7.06365	12.4119	10.4184	8.48917	6.80864	5.93107	6.16989	6.65656	6.6404	6.98341	7.25091	7.29145	11.2782	11.091	15.3568	12.3829	10.9924	10.299	5.77029	6.87357	6.14535	6.23397	5.94892	5.10118	6.50763	6.52994	5.62737	6.6542	6.58827	5.73095	6.04785	6.18645	6.31209	5.63916	6.91999	8.42227	0.3602965	5.435197	8.658557	0.965405	1.00514	0.712451	1.02818	1.01982	0.747795	0.591715	1.05873	0.423166	0.209971	0.938192	1.00288	1.03915	1.18278	1.14323	0.813004	0.83609	1.14596	1.38051	1.46269	1.27907	1.39823	1.08092	0.952221	0.823857	1.22148	1.46623	0.561109	0.756854	0.854185	1.00979	0.918192	0.8885	1.03927	1.13264	0.958564	1.10462	1.25596	1.07728	0.9392	0.978703	1.04689	0.834977	1.1521	1.03558	1.00003	0.869979	0.796143	0.750123	0.832543	0.813956	0.830432	0.857703	0.863082	1.05181	1.05266	1.23186	1.14074	1.04491	1.03728	0.726119	0.878088	0.796276	0.780817	0.72777	0.609601	0.80574	0.821106	0.808712	0.835661	0.844476	0.746319	0.770134	0.793067	0.789816	0.81053	0.691899	0.988313	0.862546	72.8635	1.868095
700	-8963.454	-8696.381	-267.0723	7.31998	7.63742	4.48505	7.32242	7.25232	10.2544	3.05209	6.74303	6.65846	3.4008	5.90057	7.46072	7.77883	10.6579	10.1836	6.02876	4.8774	9.4145	20.2388	22.2471	16.2145	16.9188	15.3827	11.32	18.1941	10.9019	6.58567	8.50249	5.86519	6.56066	7.40098	6.57134	11.9705	15.4728	12.568	9.41739	11.4665	7.98887	10.4535	11.4585	9.72168	9.5215	8.47693	11.9627	10.6559	7.73264	5.67869	5.28386	5.93983	7.06476	6.87945	6.44013	6.66552	6.12891	12.6077	12.0046	15.3568	12.5784	11.166	9.7479	5.81842	6.83002	6.29442	6.38519	5.71765	5.39931	5.66314	6.16928	6.20033	5.21705	5.54488	5.827	6.00334	6.14093	6.01098	5.91692	7.21654	6.722	0.3448458	5.25867	8.728459	0.968264	1.00514	0.5334	1.02818	1.01982	1.23201	0.30242	0.990935	0.916429	0.332845	0.80743	1.00288	1.03915	1.18278	1.14323	0.827122	0.643043	1.14596	1.38051	1.46269	1.27907	1.39823	1.29421	1.02784	1.39845	1.22148	0.783682	1.01442	0.756854	0.854185	1.00979	0.918192	1.06645	1.28936	1.13264	0.958564	1.10462	0.790732	1.07728	1.12209	1.01424	0.961244	0.996167	1.08977	1.06589	0.989297	0.77971	0.728787	0.717116	0.853519	0.844676	0.830432	0.787358	0.86031	1.07986	1.12141	1.23186	1.14074	1.05851	1.03728	0.733334	0.872568	0.796276	0.801635	0.742678	0.730318	0.734358	0.771756	0.808712	0.666775	0.701132	0.760756	0.770134	0.786652	0.789816	0.768074	0.776118	0.940541	0.714456	89.55539	1.523483
