Iteration	Posterior	Likelihood	Prior	alpha	beta	clockrate[1]	clockrate[2]	clockrate[3]	clockrate[4]	clockrate[5]	clockrate[6]	clockrate[7]	clockrate[8]	clockrate[9]	clockrate[10]	clockrate[11]	clockrate[12]	clockrate[13]	clockrate[14]	clockrate[15]	clockrate[16]	clockrate[17]	clockrate[18]	clockrate[19]	clockrate[20]	clockrate[21]	clockrate[22]	clockrate[23]	clockrate[24]	clockrate[25]	clockrate[26]	clockrate[27]	clockrate[28]	clockrate[29]	clockrate[30]	clockrate[31]	clockrate[32]	clockrate[33]	clockrate[34]	clockrate[35]	clockrate[36]	clockrate[37]	clockrate[38]	clockrate[39]	clockrate[40]	clockrate[41]	clockrate[42]	clockrate[43]	clockrate[44]	clockrate[45]	clockrate[46]	clockrate[47]	clockrate[48]	clockrate[49]	clockrate[50]	clockrate[51]	clockrate[52]	clockrate[53]	clockrate[54]	clockrate[55]	clockrate[56]	clockrate[57]	clockrate[58]	clockrate[59]	clockrate[60]	clockrate[61]	clockrate[62]	clockrate[63]	clockrate[64]	clockrate[65]	clockrate[66]	clockrate[67]	clockrate[68]	clockrate[69]	clockrate[70]	clockrate[71]	clockrate[72]	clockrate[73]	clockrate[74]	clockrate[75]	clockrate[76]	clockrate[77]	clockrate[78]	clockrate[79]	clockrate[80]	clockrate[81]	clockrate[82]	clockrate[83]	clockrate[84]	clockrate[85]	clockrate[86]	clockrate[87]	clockrate[88]	clockrate[89]	clockrate[90]	clockrate[91]	clockrate[92]	clockrate[93]	clockrate[94]	clockrate[95]	clockrate[96]	clockrate[97]	clockrate[98]	clockrate[99]	clockrate[100]	clockrate[101]	clockrate[102]	clockrate[103]	clockrate[104]	clockrate[105]	clockrate[106]	clockrate[107]	clockrate[108]	clockrate[109]	clockrate[110]	clockrate[111]	clockrate[112]	clockrate[113]	clockrate[114]	clockrate[115]	clockrate[116]	clockrate[117]	clockrate[118]	clockrate[119]	clockrate[120]	gamma	kappa	lambda	mean_clockrate	mu	relvar_clockrate
610	-17714.62	-17675.93	-38.69386	1.652712	3.103892	0.183286	0.850841	1.18643	1.23813	0.392082	0.447617	0.403837	0.943661	0.537827	0.917003	0.491833	0.267187	1.17959	1.10296	0.443552	0.117233	0.181763	0.217192	0.334149	0.301637	0.0853194	0.455564	0.457996	0.336816	0.167112	0.281252	0.316918	0.259979	0.41486	0.200734	1.16032	0.336475	0.0459058	0.0794528	0.591833	1.25503	0.172437	0.165927	0.279095	0.204717	0.289068	0.14783	0.123536	0.239469	0.393837	0.402233	0.215558	0.574821	0.516816	0.700028	0.462526	0.705486	0.416093	0.328932	0.415501	0.296889	0.23534	0.327564	0.414962	1.02015	0.111983	0.279315	0.733762	0.378346	0.15203	0.631437	0.306021	0.358292	0.509084	0.507511	0.267449	0.0727328	0.336327	0.100569	0.731206	0.651415	1.19384	1.11681	1.00442	0.4625	0.231814	0.121522	0.218222	0.646645	0.465382	0.0984796	0.503827	0.307	0.312502	0.50391	0.15129	0.140705	0.648193	0.141127	0.28847	0.155609	0.15297	0.373565	0.906199	1.15032	0.279941	0.579929	0.42588	1.38115	0.241813	0.58409	0.381214	0.663215	0.469466	0.737363	0.562674	0.641175	1.1157	0.112971	0.541405	1.93366	0.68991	0.159778	0.346638	0.117922	0.4635596	4.108246	0.4280187	0.5324645	17.105	0.6050659
620	-17708.72	-17674.92	-33.7993	1.821428	3.679185	0.190084	0.928246	1.09177	1.44073	0.424711	0.435304	0.424155	0.771219	0.507773	0.824975	0.532755	0.284998	1.12507	1.03525	0.442317	0.114094	0.1685	0.211899	0.381549	0.328758	0.0841436	0.472627	0.432567	0.308771	0.183426	0.318057	0.33897	0.257452	0.403587	0.169784	1.0856	0.376689	0.046659	0.0795206	0.610085	1.43692	0.18416	0.168115	0.254608	0.218581	0.277097	0.143135	0.112258	0.267888	0.365999	0.416901	0.267547	0.473709	0.523886	0.693156	0.466167	0.662125	0.393873	0.332262	0.473801	0.261781	0.237626	0.300702	0.412555	0.989605	0.117741	0.258856	0.716433	0.391701	0.149588	0.668148	0.354296	0.361198	0.516342	0.541952	0.264982	0.0706364	0.353385	0.11293	0.678647	0.707117	1.29296	1.18685	1.04414	0.453941	0.246161	0.133929	0.211206	0.58436	0.534529	0.109224	0.482978	0.308932	0.26204	0.490786	0.147708	0.143202	0.662386	0.12981	0.326865	0.171844	0.146492	0.429837	0.950213	1.1688	0.325323	0.59663	0.424166	1.41812	0.244933	0.532748	0.385863	0.724744	0.422002	0.686136	0.603334	0.816086	1.05927	0.122825	0.595342	1.68552	0.681981	0.169381	0.328033	0.114657	0.4765003	3.965485	0.4907186	0.4950628	14.27614	0.5490198
630	-17707.53	-17673.63	-33.89718	1.935871	4.158521	0.186351	0.933175	1.03765	1.4248	0.396036	0.466118	0.452032	0.830597	0.520032	0.81236	0.563354	0.313749	1.03954	0.966014	0.451857	0.109826	0.168995	0.192697	0.369168	0.330306	0.103779	0.494577	0.446124	0.331556	0.189026	0.371915	0.354981	0.270173	0.420702	0.184464	1.18076	0.387556	0.044671	0.0826078	0.575378	1.55157	0.166737	0.17172	0.248958	0.202884	0.261883	0.13055	0.124209	0.275874	0.370245	0.45352	0.244284	0.509206	0.550106	0.664433	0.521255	0.710201	0.340374	0.334068	0.468915	0.269792	0.233468	0.331434	0.403826	1.01251	0.107042	0.245173	0.695891	0.36494	0.17168	0.650627	0.415803	0.357901	0.53663	0.486789	0.289684	0.0641517	0.339004	0.119895	0.723537	0.667135	1.28273	1.18548	0.981969	0.425286	0.235854	0.13059	0.229132	0.636371	0.530391	0.121587	0.495156	0.288667	0.292004	0.472787	0.129128	0.138065	0.704366	0.137153	0.337525	0.152835	0.138458	0.466535	1.10901	0.9335	0.303412	0.593984	0.413137	1.28949	0.222602	0.543754	0.357306	0.682837	0.490818	0.683939	0.606759	0.790074	0.963211	0.151344	0.569475	1.82244	0.647135	0.165473	0.368343	0.122192	0.4765003	4.168198	1.252778	0.465519	14.35551	0.5165635
640	-17708.93	-17671.56	-37.36976	1.780337	3.93187	0.186445	0.98591	1.06891	1.42621	0.392764	0.430044	0.381353	0.86816	0.513005	0.811642	0.51349	0.339074	0.960935	0.95163	0.416293	0.111737	0.162401	0.22417	0.386006	0.29252	0.104776	0.471138	0.383757	0.336374	0.219386	0.402606	0.375649	0.237076	0.448846	0.180546	1.15392	0.388825	0.0438238	0.0823103	0.54115	1.8755	0.149118	0.170367	0.241617	0.209905	0.312685	0.131128	0.120468	0.289833	0.399945	0.484145	0.22868	0.441101	0.52016	0.690303	0.558163	0.714296	0.31641	0.331362	0.478133	0.292345	0.226636	0.309101	0.393928	0.942571	0.112621	0.217559	0.731029	0.327423	0.174369	0.747569	0.480203	0.342277	0.581942	0.52015	0.244135	0.0665103	0.317651	0.126166	0.815933	0.637937	1.2903	1.23215	0.89978	0.505564	0.210271	0.141317	0.240898	0.64416	0.470272	0.112717	0.443836	0.286446	0.286154	0.446406	0.131198	0.124245	0.688454	0.137821	0.316064	0.167683	0.145506	0.47036	1.13065	0.967032	0.292856	0.522903	0.408255	1.70769	0.23324	0.529703	0.352421	0.712069	0.482429	0.599135	0.642256	0.846954	1.09497	0.157995	0.577527	1.77409	0.594916	0.173083	0.344969	0.122694	0.4765003	4.246594	0.2367427	0.4527964	15.35521	0.5616915
650	-17703.9	-17669.52	-34.37751	1.826458	3.514508	0.184759	0.818522	0.989081	1.49416	0.393257	0.381339	0.42669	0.85348	0.469962	0.924179	0.459772	0.384466	0.890271	0.938535	0.36051	0.106807	0.136998	0.244091	0.328974	0.277412	0.107594	0.475136	0.418883	0.330547	0.206228	0.373593	0.391236	0.245388	0.427086	0.165932	1.16918	0.37275	0.0373825	0.0794888	0.543066	2.25757	0.143044	0.172065	0.218667	0.181258	0.29749	0.146551	0.117197	0.281021	0.452077	0.530413	0.273344	0.371055	0.543107	0.595134	0.526217	0.67016	0.305642	0.33425	0.534007	0.274329	0.234969	0.309407	0.454033	1.01729	0.102995	0.224719	0.705466	0.401929	0.20251	0.856303	0.528408	0.344875	0.635427	0.601029	0.254197	0.0727649	0.309529	0.126397	0.816051	0.651138	1.31149	1.10767	0.809102	0.502717	0.222039	0.134721	0.250752	0.635125	0.457247	0.119533	0.43956	0.281333	0.277416	0.471633	0.131211	0.116812	0.707522	0.143644	0.352662	0.189124	0.144005	0.55665	1.20203	0.913176	0.303762	0.511853	0.427697	1.75036	0.248461	0.537913	0.289672	0.696123	0.513664	0.580315	0.603735	0.820529	1.23032	0.1427	0.493874	1.81794	0.592489	0.170156	0.323368	0.112104	0.4930157	4.035781	0.1110211	0.5196911	10.88675	0.5475077
660	-17711.22	-17673.3	-37.91375	1.637702	3.351095	0.179728	0.847669	0.945845	1.41069	0.421394	0.460901	0.466599	0.848843	0.591664	1.00763	0.484702	0.389557	0.97164	0.850898	0.411519	0.12326	0.155064	0.259224	0.310913	0.287299	0.0991933	0.447136	0.479053	0.333399	0.200107	0.359995	0.401588	0.220843	0.435932	0.160186	1.27367	0.351862	0.039146	0.0800884	0.487226	2.67233	0.144767	0.182876	0.229536	0.184116	0.286929	0.171002	0.0948913	0.232858	0.431869	0.532701	0.245075	0.383937	0.60062	0.608383	0.518528	0.640113	0.29184	0.270195	0.574052	0.284748	0.239573	0.281669	0.395327	1.07589	0.125978	0.207449	0.746212	0.411055	0.226478	0.869755	0.527122	0.338103	0.550673	0.610049	0.250008	0.0749215	0.305072	0.11803	0.873758	0.540696	1.39687	1.07227	0.911673	0.516306	0.227946	0.151361	0.258245	0.647803	0.460604	0.117323	0.406275	0.262545	0.246774	0.469281	0.129811	0.111871	0.718978	0.160252	0.31984	0.196105	0.140534	0.505302	1.20678	0.997928	0.354323	0.449036	0.428007	1.78412	0.23361	0.465563	0.302223	0.676913	0.522495	0.624147	0.590548	0.740417	1.29223	0.177933	0.501934	1.9672	0.538056	0.176777	0.309714	0.117692	0.4878255	4.391323	0.1708308	0.4887067	11.14455	0.6106116
670	-17707.75	-17667.75	-39.99534	1.519073	3.025063	0.184804	0.861165	1.01931	1.48644	0.45655	0.560176	0.440603	0.797763	0.568217	0.976198	0.393768	0.372274	1.13557	0.789788	0.362723	0.122377	0.157223	0.242154	0.35259	0.258408	0.0989364	0.441915	0.509365	0.356067	0.175642	0.388532	0.445954	0.230405	0.413821	0.179152	1.183	0.356969	0.0355199	0.0787593	0.495811	2.49502	0.15393	0.171673	0.202763	0.183404	0.239877	0.180236	0.108883	0.234347	0.473512	0.494669	0.267662	0.338213	0.56736	0.667451	0.516313	0.611655	0.324295	0.339791	0.548826	0.288852	0.220116	0.295693	0.345577	1.03548	0.124438	0.205579	0.758886	0.34999	0.213035	0.88238	0.458004	0.342704	0.613966	0.609822	0.266754	0.0758386	0.349598	0.103277	0.904406	0.550531	1.16988	1.14856	0.920071	0.585332	0.207927	0.144732	0.246018	0.683909	0.457278	0.115314	0.469124	0.273712	0.230002	0.407625	0.123048	0.119991	0.856679	0.163185	0.32262	0.180427	0.12097	0.476581	1.17616	0.836858	0.388867	0.496869	0.408623	1.90315	0.214584	0.417285	0.324621	0.74727	0.540515	0.636318	0.692311	0.785558	1.31838	0.178668	0.462737	1.97085	0.585112	0.185205	0.317772	0.112969	0.5002047	4.031297	0.2675101	0.5021624	11.56791	0.6582963
680	-17716.72	-17675.41	-41.30877	1.532655	2.722979	0.155433	1.00057	1.00101	1.39257	0.444538	0.559593	0.601216	0.771206	0.587157	1.12971	0.341816	0.358063	1.30723	0.756182	0.348653	0.139869	0.150882	0.253189	0.338217	0.266903	0.123253	0.404254	0.504762	0.387514	0.173016	0.434482	0.470151	0.220795	0.358498	0.183989	1.11202	0.425755	0.0359805	0.0821746	0.525146	2.44217	0.154488	0.177041	0.240452	0.194479	0.266157	0.177719	0.108331	0.227274	0.497502	0.48591	0.277416	0.306012	0.57145	0.729598	0.530118	0.628189	0.293002	0.345018	0.591243	0.270556	0.225011	0.264484	0.379284	0.951179	0.12811	0.222439	0.841666	0.349004	0.230281	0.930085	0.496559	0.372829	0.644152	0.520889	0.299259	0.0732213	0.315929	0.0981443	1.01513	0.572323	1.13892	1.13387	0.890342	0.647054	0.228301	0.157494	0.246406	0.709733	0.474072	0.121533	0.525281	0.237735	0.262659	0.368895	0.120176	0.119922	0.718642	0.181975	0.270181	0.176338	0.113421	0.443957	1.23191	0.777403	0.418189	0.493683	0.376297	1.73691	0.217559	0.507626	0.297991	0.789049	0.473056	0.668037	0.687693	0.74657	1.32432	0.18174	0.448812	1.83275	0.539521	0.212038	0.31577	0.12221	0.4789377	4.423697	0.5870787	0.5628596	10.95889	0.6524625
690	-17724.05	-17680.32	-43.73159	1.395354	2.899207	0.142965	1.00379	1.02125	1.39352	0.404909	0.562076	0.606515	0.781753	0.577923	1.07038	0.327163	0.415057	1.19136	0.751349	0.329087	0.124178	0.162229	0.295599	0.311898	0.27522	0.127825	0.391997	0.606531	0.35064	0.200174	0.398807	0.496594	0.220352	0.386861	0.186878	1.19359	0.424425	0.0347962	0.081917	0.562195	2.16541	0.129171	0.189934	0.249945	0.184174	0.314452	0.187247	0.105072	0.196746	0.435143	0.502775	0.340149	0.302251	0.561324	0.665675	0.516264	0.656763	0.28641	0.36834	0.573509	0.252718	0.206965	0.245728	0.363513	0.830715	0.124497	0.220814	0.931389	0.406581	0.253122	1.07841	0.454762	0.402604	0.722233	0.54027	0.280323	0.0764031	0.329379	0.0951515	0.778079	0.579368	1.19271	1.23555	0.88721	0.658819	0.198176	0.182674	0.239738	0.794163	0.398765	0.14154	0.51933	0.23711	0.277878	0.380365	0.118692	0.131585	0.778207	0.180344	0.281415	0.165379	0.106591	0.447162	1.20153	0.758528	0.402758	0.425305	0.337873	1.71705	0.242906	0.548966	0.302342	0.868867	0.445457	0.712348	0.661029	0.757916	1.43484	0.185057	0.467504	1.98047	0.555626	0.199783	0.29939	0.107689	0.4836899	4.310031	0.1450791	0.4812884	12.9688	0.7166638
700	-17710.57	-17674.04	-36.52985	1.781238	3.810977	0.140626	1.00705	1.07791	1.14483	0.412274	0.601764	0.570457	0.928591	0.545669	1.04246	0.33976	0.402679	1.19441	0.725024	0.348497	0.114469	0.194266	0.274335	0.325139	0.277953	0.13067	0.395576	0.591457	0.38914	0.214106	0.329639	0.503057	0.192481	0.389669	0.158396	1.09056	0.435244	0.035242	0.0804358	0.515665	2.19362	0.138943	0.173574	0.225325	0.184507	0.297375	0.178776	0.119087	0.18461	0.399418	0.45528	0.359875	0.291373	0.592215	0.583845	0.454514	0.649052	0.284516	0.307622	0.534737	0.262119	0.186304	0.239345	0.374073	0.866338	0.137194	0.23538	1.05607	0.378727	0.227265	1.15719	0.50611	0.408414	0.712814	0.523753	0.318438	0.0798893	0.310036	0.0765657	0.768944	0.50214	1.28433	1.18234	0.788328	0.629214	0.225835	0.154657	0.233133	0.714177	0.360218	0.118377	0.46077	0.224206	0.271775	0.366369	0.110678	0.141564	0.777562	0.194476	0.262851	0.188742	0.107168	0.442774	1.10948	0.727988	0.40981	0.460487	0.341974	1.75236	0.221221	0.545096	0.400276	0.912271	0.461815	0.730686	0.714415	0.822315	1.41481	0.193513	0.467086	1.70521	0.523977	0.215356	0.316113	0.0998139	0.4729122	4.127473	0.2540228	0.4673966	10.90457	0.5614074
710	-17702.39	-17667.31	-35.07993	1.932016	4.064735	0.139783	0.881478	1.00962	1.16062	0.391036	0.475691	0.571173	0.828486	0.559208	1.00117	0.307305	0.392315	1.13399	0.879227	0.350415	0.097831	0.207716	0.25817	0.317078	0.328811	0.145125	0.384425	0.623797	0.39299	0.204214	0.379769	0.531108	0.182012	0.359188	0.174087	1.06228	0.419338	0.0324763	0.0776084	0.47731	2.22967	0.138557	0.175387	0.215531	0.171706	0.306732	0.196605	0.125946	0.182938	0.409865	0.508712	0.374178	0.310775	0.573751	0.540481	0.46232	0.684213	0.369278	0.337576	0.528635	0.248215	0.182092	0.244688	0.360521	0.909927	0.147192	0.238604	0.975897	0.394744	0.244994	1.24189	0.491686	0.395321	0.697998	0.511186	0.330938	0.0720001	0.334529	0.0664432	0.759855	0.477212	1.2925	1.10375	0.689356	0.771394	0.209333	0.157369	0.233394	0.677411	0.396223	0.118509	0.352715	0.223777	0.286134	0.341214	0.105533	0.147389	0.73791	0.17695	0.243778	0.18839	0.0954477	0.405326	1.10955	0.735891	0.387119	0.426001	0.389315	1.78783	0.20022	0.521146	0.35584	0.84343	0.356412	0.821397	0.743379	0.836937	1.41841	0.189723	0.507691	1.63506	0.516435	0.196394	0.320536	0.107594	0.481816	4.127473	0.1169505	0.4753117	11.26561	0.5175941
720	-17694.77	-17662.04	-32.73274	1.695876	3.542735	0.146505	0.873568	1.05524	0.999683	0.377256	0.480308	0.59992	0.807364	0.539368	0.867935	0.296612	0.358272	0.922727	0.887513	0.353073	0.106888	0.193489	0.308806	0.336743	0.343051	0.152691	0.344536	0.554957	0.474375	0.201468	0.356954	0.497686	0.183625	0.327881	0.166178	1.1348	0.395417	0.0350723	0.0809701	0.542737	2.25213	0.142672	0.176228	0.213033	0.166134	0.328845	0.178564	0.135735	0.198498	0.484172	0.51192	0.373201	0.335178	0.576373	0.528173	0.503111	0.623843	0.327139	0.285665	0.485118	0.268838	0.18578	0.212125	0.423923	0.912298	0.152259	0.240032	0.901072	0.435768	0.270263	1.13969	0.519704	0.408153	0.598364	0.452563	0.325447	0.0741034	0.325404	0.0651373	0.729819	0.483192	1.3105	0.99431	0.692077	0.902974	0.242805	0.145698	0.215822	0.80163	0.386135	0.116173	0.371721	0.256229	0.280239	0.365476	0.102561	0.141617	0.745982	0.186806	0.260508	0.191008	0.0933227	0.418496	1.0656	0.778018	0.421498	0.383499	0.342882	1.71939	0.206201	0.518877	0.34843	0.854457	0.332042	0.884282	0.735289	0.82903	1.31453	0.189566	0.543169	1.55164	0.547247	0.19375	0.323587	0.112384	0.490971	3.912634	0.097284	0.4786911	10.30532	0.5896657
730	-17715.09	-17680.37	-34.71275	1.94337	3.871069	0.139888	0.810274	1.09899	1.06807	0.389652	0.435799	0.693603	1.00339	0.534848	0.96152	0.281556	0.335277	0.83711	0.881431	0.354064	0.11613	0.212972	0.308395	0.365182	0.351975	0.166978	0.33692	0.488792	0.490539	0.183268	0.365495	0.516967	0.183986	0.299676	0.14919	1.07315	0.401699	0.0312108	0.0909513	0.522509	2.41774	0.14816	0.153069	0.19743	0.156471	0.332265	0.176785	0.147578	0.2476	0.488214	0.530835	0.370406	0.333305	0.57959	0.544343	0.524105	0.665798	0.30977	0.2988	0.497437	0.2667	0.191262	0.223536	0.451349	0.868501	0.148596	0.262723	0.892547	0.45659	0.270188	1.05305	0.555642	0.430848	0.624962	0.519839	0.357599	0.0727143	0.352038	0.0716761	0.694109	0.491351	1.02428	0.903359	0.7051	0.776498	0.240504	0.170031	0.221873	0.870964	0.419933	0.111614	0.406558	0.262147	0.296426	0.372619	0.100033	0.133408	0.704473	0.174275	0.284361	0.162773	0.0899715	0.424399	1.031	0.771869	0.431851	0.398119	0.34948	1.46943	0.199397	0.493637	0.370183	0.897538	0.303647	0.940988	0.683445	0.818765	1.47391	0.207942	0.513043	1.51808	0.576139	0.195993	0.329832	0.0933849	0.5001455	3.865929	0.09474989	0.5020241	13.31174	0.51457
740	-17702.14	-17670.96	-31.18276	1.981516	3.727464	0.149213	0.836645	1.06259	1.16683	0.403245	0.455104	0.696765	0.890496	0.509868	0.937766	0.292495	0.352447	0.79261	0.88779	0.340367	0.124691	0.234321	0.3011	0.400018	0.385026	0.177165	0.319648	0.473126	0.464806	0.197914	0.384884	0.495509	0.2076	0.299697	0.155077	1.00236	0.410168	0.0336002	0.078984	0.549233	2.34174	0.165986	0.17226	0.214814	0.149006	0.334936	0.1971	0.149066	0.213566	0.528234	0.653536	0.388132	0.313551	0.669807	0.521503	0.511628	0.578492	0.333427	0.30519	0.477984	0.329155	0.175096	0.259954	0.414348	0.83462	0.152374	0.308233	0.811965	0.478746	0.288362	1.02224	0.565239	0.442938	0.590851	0.602167	0.343652	0.0802294	0.353378	0.0634968	0.727967	0.499277	0.988564	0.908979	0.679675	0.664173	0.250715	0.175181	0.211947	0.741621	0.398686	0.100232	0.397213	0.287176	0.296336	0.417008	0.0936395	0.14642	0.662821	0.157685	0.275707	0.171495	0.0955461	0.457374	1.02334	0.811997	0.377664	0.417542	0.373657	1.43948	0.280278	0.490407	0.332322	0.889562	0.2513	0.948755	0.630573	0.807625	1.47983	0.192906	0.440878	1.52922	0.625233	0.205879	0.350566	0.0858449	0.486005	3.865929	0.03065498	0.5315989	10.56354	0.5046642
750	-17699.81	-17665.43	-34.38159	1.878365	3.658758	0.154991	0.813507	1.01847	1.34734	0.465594	0.483715	0.742682	1.0454	0.483281	1.0523	0.316359	0.382281	0.817342	0.788659	0.310713	0.132973	0.228824	0.296209	0.4286	0.33923	0.162592	0.29703	0.533813	0.450866	0.22658	0.37304	0.533078	0.207558	0.315232	0.16883	0.874181	0.410718	0.0385688	0.0798256	0.519275	2.32267	0.159397	0.1588	0.208106	0.152148	0.329613	0.183295	0.164778	0.173523	0.556914	0.619694	0.392332	0.357002	0.576369	0.588364	0.508017	0.558873	0.334742	0.328964	0.451217	0.273692	0.163956	0.243148	0.448484	0.995707	0.158928	0.308343	0.73983	0.570098	0.255597	1.21776	0.49586	0.433806	0.545785	0.485837	0.30958	0.074005	0.378413	0.0651381	0.761594	0.479852	0.920331	0.915771	0.723398	0.606228	0.234278	0.171924	0.229861	0.787041	0.385743	0.108462	0.414019	0.249769	0.321102	0.436595	0.0894054	0.14352	0.667397	0.148994	0.320876	0.150611	0.104023	0.458221	1.10236	0.729366	0.365049	0.444326	0.397554	1.42891	0.267523	0.460966	0.32318	0.87971	0.251801	0.875212	0.723741	0.891375	1.53167	0.188257	0.460505	1.6718	0.658906	0.218646	0.313574	0.0839943	0.4804954	3.977395	0.06649317	0.5133887	11.9877	0.532378
760	-17693.44	-17661.81	-31.63359	1.824775	3.756516	0.162569	0.891346	1.13984	1.29452	0.437784	0.578509	0.64136	1.0681	0.476058	1.02191	0.272556	0.337312	0.767017	0.813303	0.3824	0.134884	0.209626	0.263616	0.405355	0.288024	0.155438	0.302698	0.615243	0.519102	0.197467	0.356591	0.512849	0.233906	0.308605	0.165853	0.707402	0.42273	0.0447218	0.0695427	0.531999	2.26998	0.136421	0.151012	0.199562	0.159033	0.291819	0.17399	0.149788	0.188917	0.51331	0.645412	0.396723	0.314042	0.566753	0.579812	0.410093	0.614302	0.296185	0.356609	0.416016	0.282424	0.162163	0.289155	0.455617	0.985006	0.154704	0.328828	0.735655	0.4762	0.255369	1.10506	0.436692	0.458219	0.552088	0.439929	0.261042	0.07348	0.425572	0.058441	0.721988	0.481778	0.859494	0.794974	0.823126	0.600686	0.229157	0.207979	0.243068	0.864933	0.306851	0.111914	0.372362	0.269093	0.312309	0.436865	0.0940177	0.146888	0.679988	0.147639	0.311745	0.16726	0.105613	0.429492	1.11641	0.735512	0.311108	0.434517	0.362027	1.58376	0.272862	0.510675	0.375972	0.883901	0.286823	0.983253	0.646223	0.954597	1.44179	0.194957	0.414939	1.70767	0.656619	0.232027	0.373672	0.0969829	0.472951	4.086254	0.1026264	0.4857626	10.16253	0.5480128
770	-17693.15	-17660.17	-32.97933	1.873866	4.110272	0.174962	0.822851	1.14095	1.19869	0.40331	0.561101	0.677231	1.16585	0.479565	0.796919	0.246224	0.364753	0.836964	0.835655	0.376539	0.14682	0.201315	0.264617	0.428172	0.269688	0.167545	0.267239	0.677352	0.553384	0.18465	0.327244	0.485897	0.21993	0.283805	0.151024	0.750123	0.442076	0.0403042	0.0831893	0.51151	2.30236	0.14166	0.164412	0.242406	0.193021	0.256254	0.173438	0.175763	0.178686	0.480476	0.582392	0.374451	0.327168	0.638472	0.577002	0.52593	0.552722	0.279264	0.349724	0.407907	0.306736	0.148083	0.301272	0.469411	0.824997	0.157744	0.304402	0.773196	0.460014	0.226265	1.08956	0.463146	0.445582	0.580064	0.441095	0.256965	0.0687002	0.46128	0.0586222	0.711835	0.47793	0.753573	0.770293	0.838374	0.651259	0.223461	0.233547	0.269286	0.836133	0.323985	0.103479	0.393827	0.228799	0.281504	0.423743	0.095571	0.160179	0.774011	0.132918	0.263318	0.158762	0.0972985	0.44594	0.975843	0.621325	0.344051	0.458426	0.333491	1.59171	0.255927	0.54235	0.346611	1.0228	0.277724	0.896154	0.655587	0.945612	1.39586	0.175581	0.411343	1.67892	0.6459	0.228013	0.377299	0.0878061	0.4777277	4.086254	0.1799484	0.4558983	12.82031	0.5336561
780	-17692.23	-17663.06	-29.17236	1.958026	4.499405	0.194102	0.813478	1.13302	1.06931	0.389096	0.480256	0.639769	1.0377	0.502552	0.833266	0.240775	0.371255	0.719199	0.736709	0.350918	0.143888	0.219387	0.270269	0.399673	0.241995	0.141649	0.262293	0.613612	0.547322	0.200515	0.314503	0.533155	0.222229	0.308246	0.14307	0.709862	0.438314	0.0438571	0.082856	0.546403	2.33849	0.129049	0.159313	0.243091	0.190229	0.26787	0.157802	0.197825	0.174641	0.439871	0.655308	0.330544	0.35098	0.713102	0.594934	0.542408	0.578141	0.282893	0.352617	0.409064	0.33089	0.171704	0.322481	0.486494	0.951145	0.147661	0.299713	0.722793	0.455447	0.238641	0.947325	0.5238	0.432071	0.530455	0.502222	0.27536	0.0833601	0.436823	0.0569668	0.663931	0.420198	0.705188	0.779781	0.779432	0.694537	0.213018	0.252728	0.204981	0.871931	0.284067	0.110645	0.370009	0.256077	0.301952	0.43118	0.0974282	0.156694	0.857938	0.128655	0.319225	0.155894	0.0882985	0.471576	1.01972	0.627081	0.362599	0.455538	0.337646	1.66291	0.266823	0.55756	0.389508	1.03108	0.296893	0.880453	0.75973	0.941929	1.27587	0.216363	0.44733	1.66091	0.726678	0.216992	0.388568	0.0718094	0.4957052	4.017914	0.3339219	0.4351744	9.101477	0.5107184
790	-17695.94	-17663.81	-32.1301	1.779473	3.676448	0.162407	0.903306	1.12499	1.12427	0.400062	0.455673	0.544844	0.967163	0.476605	0.863562	0.243324	0.366821	0.703756	0.751605	0.391229	0.155781	0.223521	0.239466	0.387758	0.286694	0.157198	0.23512	0.541915	0.500144	0.195831	0.362868	0.524768	0.211869	0.291479	0.148312	0.648901	0.402462	0.0449784	0.0802115	0.552383	2.51503	0.114589	0.15729	0.271543	0.191641	0.27489	0.18177	0.183758	0.154852	0.454541	0.686805	0.3328	0.303906	0.72094	0.651148	0.513289	0.540972	0.300423	0.306297	0.425455	0.316886	0.163816	0.326845	0.477238	1.04455	0.146323	0.357643	0.696075	0.47671	0.228564	0.897696	0.498804	0.386601	0.502656	0.578412	0.298695	0.0893794	0.488198	0.0613016	0.827184	0.448889	0.694149	0.711255	0.801807	0.640238	0.215358	0.247998	0.208672	0.948063	0.348672	0.114104	0.294802	0.245444	0.26702	0.409395	0.0968901	0.162962	0.772412	0.110463	0.291154	0.158685	0.0986508	0.415546	1.04171	0.564034	0.384009	0.414224	0.337306	1.61265	0.292436	0.573497	0.39744	1.13153	0.339127	0.75982	0.665221	0.835833	1.20758	0.200116	0.519625	1.47789	0.719082	0.229857	0.395604	0.0653103	0.4957052	4.017914	1.308501	0.4840197	12.13314	0.561964
