state	power	likelihood
1255	0.59049	-1425.01
1260	0.59049	-1425.01
1265	0.59049	-1425.05
1270	0.59049	-1425.09
1275	0.59049	-1425.01
1280	0.59049	-1426.66
1285	0.59049	-1426.66
1290	0.59049	-1425.76
1295	0.59049	-1426.22
1300	0.59049	-1425.19
1305	0.59049	-1427
1310	0.59049	-1425.12
1315	0.59049	-1430.3
1320	0.59049	-1425.59
1325	0.59049	-1425.07
1330	0.59049	-1425.6
1335	0.59049	-1425.6
1340	0.59049	-1426.46
1345	0.59049	-1425.33
1350	0.59049	-1426.53
1355	0.59049	-1425.59
1360	0.59049	-1425.42
1365	0.59049	-1425.42
1370	0.59049	-1425.03
1375	0.59049	-1425.05
1380	0.59049	-1425.13
1385	0.59049	-1426.07
1390	0.59049	-1425.03
1395	0.59049	-1425.18
1400	0.59049	-1425.18
1405	0.59049	-1425.05
1410	0.59049	-1425.09
1415	0.59049	-1425.09
1420	0.59049	-1426.84
1425	0.59049	-1425.64
1430	0.59049	-1425.58
1435	0.59049	-1425.34
1440	0.59049	-1425.02
1445	0.59049	-1425.08
1450	0.59049	-1425.45
1455	0.59049	-1426.28
1460	0.59049	-1425.03
1465	0.59049	-1429.87
1470	0.59049	-1431.71
1475	0.59049	-1425.64
1480	0.59049	-1425.62
1485	0.59049	-1425.1
1490	0.59049	-1425.1
1495	0.59049	-1427.32
1500	0.59049	-1425.01
1505	0.59049	-1426.02
1510	0.59049	-1425.5
1515	0.59049	-1425.02
1520	0.59049	-1425.02
1525	0.59049	-1425.06
1530	0.59049	-1425.02
1535	0.59049	-1425.04
1540	0.59049	-1425.07
1545	0.59049	-1425.61
1550	0.59049	-1425.04
1555	0.59049	-1426.82
1560	0.59049	-1425.07
1565	0.59049	-1426.18
1570	0.59049	-1425.4
1575	0.59049	-1425.01
1580	0.59049	-1425.26
1585	0.59049	-1425.28
1590	0.59049	-1425.33
1595	0.59049	-1426
1600	0.59049	-1430.8
1605	0.59049	-1425.6
1610	0.59049	-1425.11
1615	0.59049	-1425.11
1620	0.59049	-1425.07
1625	0.59049	-1425.19
1630	0.59049	-1426.41
1635	0.59049	-1425.23
1640	0.59049	-1426.84
1645	0.59049	-1428.23
1650	0.59049	-1425.2
1655	0.59049	-1425.62
1660	0.59049	-1425.08
1665	0.59049	-1426.75
1670	0.59049	-1426.15
1675	0.59049	-1426.85
1680	0.59049	-1425.31
1685	0.59049	-1429.91
1690	0.59049	-1425.45
1695	0.59049	-1427.12
1700	0.59049	-1425.36
1705	0.59049	-1425.13
1710	0.59049	-1425.71
1715	0.59049	-1429.04
1720	0.59049	-1425.16
1725	0.59049	-1425.1
1730	0.59049	-1425.03
1735	0.59049	-1425.16
1740	0.59049	-1427.17
1745	0.59049	-1426.42
1750	0.59049	-1425.39
1755	0.59049	-1429.23
1760	0.59049	-1430.1
1765	0.59049	-1430.55
1770	0.59049	-1425.63
1775	0.59049	-1425.25
1780	0.59049	-1425.49
1785	0.59049	-1425.37
1790	0.59049	-1425.27
1795	0.59049	-1425.27
1800	0.59049	-1425.61
1805	0.59049	-1425.41
1810	0.59049	-1425.34
1815	0.59049	-1428.61
1820	0.59049	-1425.56
1825	0.59049	-1426.14
1830	0.59049	-1426.32
1835	0.59049	-1425.04
1840	0.59049	-1425.62
1845	0.59049	-1426.26
1850	0.59049	-1425.3
1855	0.59049	-1425.12
1860	0.59049	-1425.12
1865	0.59049	-1426.19
1870	0.59049	-1425.06
1875	0.59049	-1431.92
1880	0.59049	-1425.19
1885	0.59049	-1425.37
1890	0.59049	-1425.91
1895	0.59049	-1425.56
1900	0.59049	-1425.09
1905	0.59049	-1427.53
1910	0.59049	-1426.47
1915	0.59049	-1425.53
1920	0.59049	-1425.74
1925	0.59049	-1429.7
1930	0.59049	-1425.65
1935	0.59049	-1431.63
1940	0.59049	-1425.02
1945	0.59049	-1425.02
1950	0.59049	-1425.11
1955	0.59049	-1426.98
1960	0.59049	-1425.33
1965	0.59049	-1425.22
1970	0.59049	-1425.07
1975	0.59049	-1425.14
1980	0.59049	-1425.16
1985	0.59049	-1425.14
1990	0.59049	-1426.24
1995	0.59049	-1426.27
2000	0.59049	-1426.27
2005	0.59049	-1425.02
2010	0.59049	-1426.28
2015	0.59049	-1425.11
2020	0.59049	-1425.7
2025	0.59049	-1425.4
2030	0.59049	-1426.42
2035	0.59049	-1425.45
2040	0.59049	-1425.19
2045	0.59049	-1426.48
2050	0.59049	-1428.8
2055	0.59049	-1425.03
2060	0.59049	-1426.58
2065	0.59049	-1425.2
2070	0.59049	-1425.03
2075	0.59049	-1425.05
2080	0.59049	-1425.71
2085	0.59049	-1425.39
2090	0.59049	-1425.07
2095	0.59049	-1428.44
2100	0.59049	-1425.89
2105	0.59049	-1425.64
2110	0.59049	-1426.21
2115	0.59049	-1427.23
2120	0.59049	-1425.22
2125	0.59049	-1425.52
2130	0.59049	-1425.57
2135	0.59049	-1425.51
2140	0.59049	-1425.57
2145	0.59049	-1427.99
2150	0.59049	-1425.06
2155	0.59049	-1425.23
2160	0.59049	-1425.16
2165	0.59049	-1427.69
2170	0.59049	-1425.01
2175	0.59049	-1426.74
2180	0.59049	-1426.98
2185	0.59049	-1425.3
2190	0.59049	-1425.35
2195	0.59049	-1425.37
2200	0.59049	-1426.1
2205	0.59049	-1426.07
2210	0.59049	-1425.59
2215	0.59049	-1425.16
2220	0.59049	-1426.87
2225	0.59049	-1425.43
2230	0.59049	-1425.68
2235	0.59049	-1432.84
2240	0.59049	-1426.39
2245	0.59049	-1425.02
2250	0.59049	-1425.1
2255	0.59049	-1425.02
2260	0.59049	-1427.86
2265	0.59049	-1425.26
2270	0.59049	-1425.26
2275	0.59049	-1425.06
2280	0.59049	-1431.5
2285	0.59049	-1425.1
2290	0.59049	-1425.11
2295	0.59049	-1425.45
2300	0.59049	-1425.01
2305	0.59049	-1425.34
2310	0.59049	-1425.26
2315	0.59049	-1427.61
2320	0.59049	-1425.1
2325	0.59049	-1425.08
2330	0.59049	-1425.07
2335	0.59049	-1425.54
2340	0.59049	-1426.24
2345	0.59049	-1425.85
2350	0.59049	-1425.85
2355	0.59049	-1426.44
2360	0.59049	-1425.09
2365	0.59049	-1425.09
2370	0.59049	-1426.63
2375	0.59049	-1425.99
2380	0.59049	-1425.22
2385	0.59049	-1425.11
2390	0.59049	-1425.29
2395	0.59049	-1425.05
2400	0.59049	-1425.35
2405	0.59049	-1425.53
2410	0.59049	-1425.21
2415	0.59049	-1426.52
2420	0.59049	-1427.76
2425	0.59049	-1426.96
2430	0.59049	-1425.2
2435	0.59049	-1425.24
2440	0.59049	-1425.05
2445	0.59049	-1425.75
2450	0.59049	-1426.79
2455	0.59049	-1425.04
2460	0.59049	-1425.04
2465	0.59049	-1425.04
2470	0.59049	-1425.26
2475	0.59049	-1425.62
2480	0.59049	-1425.42
2485	0.59049	-1426.81
2490	0.59049	-1425.45
2495	0.59049	-1425.87
2500	0.59049	-1430.9
2505	0.59049	-1425.34
2510	0.59049	-1425.72
2515	0.59049	-1428.29
2520	0.59049	-1427.83
2525	0.59049	-1425.14
2530	0.59049	-1425.14
2535	0.59049	-1426.67
2540	0.59049	-1425.48
2545	0.59049	-1425.04
2550	0.59049	-1425.69
2555	0.59049	-1425.01
2560	0.59049	-1425.59
2565	0.59049	-1425.03
2570	0.59049	-1426.04
2575	0.59049	-1425.09
2580	0.59049	-1425.2
2585	0.59049	-1425.2
2590	0.59049	-1425.85
2595	0.59049	-1425.06
2600	0.59049	-1425.74
2605	0.59049	-1427.45
2610	0.59049	-1425.02
