state	power	likelihood
1255	1e-05	-145940
1260	1e-05	-227960
1265	1e-05	-23031.7
1270	1e-05	-40460.9
1275	1e-05	-116295
1280	1e-05	-116295
1285	1e-05	-102685
1290	1e-05	-389502
1295	1e-05	-41148
1300	1e-05	-4241.77
1305	1e-05	-85632.7
1310	1e-05	-68379
1315	1e-05	-137369
1320	1e-05	-16320.5
1325	1e-05	-8527.04
1330	1e-05	-16505.6
1335	1e-05	-168187
1340	1e-05	-277637
1345	1e-05	-64773.6
1350	1e-05	-293498
1355	1e-05	-13646.5
1360	1e-05	-11062.7
1365	1e-05	-10865
1370	1e-05	-2813.99
1375	1e-05	-165545
1380	1e-05	-76653.8
1385	1e-05	-76653.8
1390	1e-05	-16432.3
1395	1e-05	-3490.4
1400	1e-05	-31809.1
1405	1e-05	-4123.23
1410	1e-05	-135887
1415	1e-05	-135887
1420	1e-05	-133957
1425	1e-05	-64849.7
1430	1e-05	-64849.7
1435	1e-05	-90298.4
1440	1e-05	-160621
1445	1e-05	-57019.8
1450	1e-05	-78362.9
1455	1e-05	-117000
1460	1e-05	-2283.28
1465	1e-05	-215173
1470	1e-05	-77331.1
1475	1e-05	-1571.31
1480	1e-05	-1750.54
1485	1e-05	-2519.05
1490	1e-05	-2244.54
1495	1e-05	-241754
1500	1e-05	-169223
1505	1e-05	-12127.4
1510	1e-05	-40159.3
1515	1e-05	-113372
1520	1e-05	-111439
1525	1e-05	-18793.3
1530	1e-05	-122408
1535	1e-05	-123656
1540	1e-05	-11441.5
1545	1e-05	-34435.1
1550	1e-05	-47163.6
1555	1e-05	-7602.78
1560	1e-05	-73140.9
1565	1e-05	-193236
1570	1e-05	-75812.3
1575	1e-05	-225487
1580	1e-05	-6773.09
1585	1e-05	-12877
1590	1e-05	-42767.3
1595	1e-05	-102026
1600	1e-05	-12616.2
1605	1e-05	-89499.9
1610	1e-05	-126834
1615	1e-05	-205088
1620	1e-05	-149091
1625	1e-05	-24388.9
1630	1e-05	-65448.4
1635	1e-05	-105509
1640	1e-05	-361674
1645	1e-05	-155302
1650	1e-05	-114706
1655	1e-05	-119068
1660	1e-05	-39506.6
1665	1e-05	-12495.9
1670	1e-05	-42769
1675	1e-05	-137014
1680	1e-05	-63517.7
1685	1e-05	-270234
1690	1e-05	-270234
1695	1e-05	-13398.6
1700	1e-05	-57613.7
1705	1e-05	-6037.73
1710	1e-05	-15303.1
1715	1e-05	-1725.76
1720	1e-05	-1493.52
1725	1e-05	-179013
1730	1e-05	-13422.6
1735	1e-05	-198581
1740	1e-05	-1579.89
1745	1e-05	-17915.7
1750	1e-05	-148491
1755	1e-05	-65325.3
1760	1e-05	-2904.09
1765	1e-05	-62907
1770	1e-05	-1673.57
1775	1e-05	-35427.7
1780	1e-05	-4432.09
1785	1e-05	-3391.6
1790	1e-05	-2025.61
1795	1e-05	-4832.02
1800	1e-05	-11281.4
1805	1e-05	-2307.28
1810	1e-05	-244122
1815	1e-05	-62718.5
1820	1e-05	-188465
1825	1e-05	-116582
1830	1e-05	-82293.4
1835	1e-05	-443138
1840	1e-05	-1493.37
1845	1e-05	-1773.01
1850	1e-05	-2776.9
1855	1e-05	-24847.1
1860	1e-05	-122057
1865	1e-05	-43255.9
1870	1e-05	-43255.9
1875	1e-05	-22675.9
1880	1e-05	-202395
1885	1e-05	-34587.3
1890	1e-05	-73427.2
1895	1e-05	-182543
1900	1e-05	-20982.4
1905	1e-05	-86882.8
1910	1e-05	-77883.3
1915	1e-05	-92124.9
1920	1e-05	-1509.05
1925	1e-05	-11642.8
1930	1e-05	-1657.92
