state	power	likelihood
1255	0.01024	-1542.57
1260	0.01024	-1434.47
1265	0.01024	-1453.11
1270	0.01024	-1434.76
1275	0.01024	-1434.76
1280	0.01024	-1565.83
1285	0.01024	-1454.58
1290	0.01024	-1477.94
1295	0.01024	-1472.27
1300	0.01024	-1490.19
1305	0.01024	-1490
1310	0.01024	-1599.81
1315	0.01024	-1425.46
1320	0.01024	-1480.96
1325	0.01024	-1486.06
1330	0.01024	-1429.7
1335	0.01024	-1488.41
1340	0.01024	-1499.98
1345	0.01024	-1459.5
1350	0.01024	-1498.33
1355	0.01024	-1454.12
1360	0.01024	-1492.89
1365	0.01024	-1595.94
1370	0.01024	-1528.95
1375	0.01024	-1451.76
1380	0.01024	-1569.05
1385	0.01024	-1569.05
1390	0.01024	-1445.6
1395	0.01024	-1452.1
1400	0.01024	-1535.34
1405	0.01024	-1425.63
1410	0.01024	-1432.95
1415	0.01024	-1432.95
1420	0.01024	-1453.29
1425	0.01024	-1427.4
1430	0.01024	-1483.83
1435	0.01024	-1439.66
1440	0.01024	-1432.44
1445	0.01024	-1456.15
1450	0.01024	-1441.01
1455	0.01024	-1435.15
1460	0.01024	-1451.66
1465	0.01024	-1463.15
1470	0.01024	-1425.33
1475	0.01024	-1477.5
1480	0.01024	-1430.44
1485	0.01024	-1487.2
1490	0.01024	-1466.49
1495	0.01024	-1435.03
1500	0.01024	-1535.53
1505	0.01024	-1427.38
1510	0.01024	-1450.02
1515	0.01024	-1455.04
1520	0.01024	-1437.21
1525	0.01024	-1444.01
1530	0.01024	-1450.81
1535	0.01024	-1519.87
1540	0.01024	-1458.65
1545	0.01024	-1429.06
1550	0.01024	-1425.21
1555	0.01024	-1465.87
1560	0.01024	-1449.42
1565	0.01024	-1484.07
1570	0.01024	-1447.58
1575	0.01024	-1447.58
1580	0.01024	-1432.4
1585	0.01024	-1561.63
1590	0.01024	-1478.58
1595	0.01024	-1426.82
1600	0.01024	-1426.82
1605	0.01024	-1566.98
1610	0.01024	-1426.19
1615	0.01024	-1426.19
1620	0.01024	-1506.78
1625	0.01024	-1425.05
1630	0.01024	-1441.93
1635	0.01024	-1441.93
1640	0.01024	-1441.83
1645	0.01024	-1649.06
1650	0.01024	-1425.5
1655	0.01024	-1426.12
1660	0.01024	-1561.88
1665	0.01024	-1450.05
1670	0.01024	-1426.57
1675	0.01024	-1454.57
1680	0.01024	-1454.57
1685	0.01024	-1438.2
1690	0.01024	-1426.59
1695	0.01024	-1426.59
1700	0.01024	-1425.01
1705	0.01024	-1430.98
1710	0.01024	-1460.96
1715	0.01024	-1601.4
1720	0.01024	-1431.29
1725	0.01024	-1480.24
1730	0.01024	-1435.96
1735	0.01024	-1435.06
1740	0.01024	-1429.85
1745	0.01024	-1429.06
1750	0.01024	-1504.81
1755	0.01024	-1436.86
1760	0.01024	-1428.94
1765	0.01024	-1578.34
1770	0.01024	-1430.83
