state	power	likelihood
1255	0.0503284	-1426.04
1260	0.0503284	-1425.58
1265	0.0503284	-1427.19
1270	0.0503284	-1435.82
1275	0.0503284	-1425.02
1280	0.0503284	-1425.02
1285	0.0503284	-1425.02
1290	0.0503284	-1442.35
1295	0.0503284	-1427.05
1300	0.0503284	-1451.29
1305	0.0503284	-1432.08
1310	0.0503284	-1426.51
1315	0.0503284	-1448.01
1320	0.0503284	-1425.22
1325	0.0503284	-1425.22
1330	0.0503284	-1425.22
1335	0.0503284	-1425.22
1340	0.0503284	-1429.16
1345	0.0503284	-1432.12
1350	0.0503284	-1439.28
1355	0.0503284	-1439.28
1360	0.0503284	-1475.67
1365	0.0503284	-1438.06
1370	0.0503284	-1441.15
1375	0.0503284	-1440.84
1380	0.0503284	-1432.54
1385	0.0503284	-1425.24
1390	0.0503284	-1426.22
1395	0.0503284	-1426.24
1400	0.0503284	-1439.96
1405	0.0503284	-1431.6
1410	0.0503284	-1427.39
1415	0.0503284	-1427.6
1420	0.0503284	-1426.56
1425	0.0503284	-1435.5
1430	0.0503284	-1425.49
1435	0.0503284	-1425.17
1440	0.0503284	-1430.22
1445	0.0503284	-1427.99
1450	0.0503284	-1425.33
1455	0.0503284	-1453.98
1460	0.0503284	-1425.49
1465	0.0503284	-1429.93
1470	0.0503284	-1425.2
1475	0.0503284	-1427.29
1480	0.0503284	-1427.29
1485	0.0503284	-1429.06
1490	0.0503284	-1440.32
1495	0.0503284	-1425.11
1500	0.0503284	-1428.09
1505	0.0503284	-1428.09
1510	0.0503284	-1427.84
1515	0.0503284	-1459.01
1520	0.0503284	-1448.56
1525	0.0503284	-1462.94
1530	0.0503284	-1429.5
1535	0.0503284	-1431.14
1540	0.0503284	-1431.14
1545	0.0503284	-1441.6
1550	0.0503284	-1425.88
1555	0.0503284	-1425.24
1560	0.0503284	-1425.24
1565	0.0503284	-1438.6
1570	0.0503284	-1434.7
1575	0.0503284	-1434.7
1580	0.0503284	-1425.97
1585	0.0503284	-1435.43
1590	0.0503284	-1442.97
1595	0.0503284	-1425.2
1600	0.0503284	-1426.26
1605	0.0503284	-1427.87
1610	0.0503284	-1438.26
1615	0.0503284	-1437.48
1620	0.0503284	-1425.07
1625	0.0503284	-1425.08
1630	0.0503284	-1425.03
1635	0.0503284	-1481.71
1640	0.0503284	-1425.66
1645	0.0503284	-1427.09
1650	0.0503284	-1432.27
1655	0.0503284	-1425.18
1660	0.0503284	-1425.96
1665	0.0503284	-1429.49
1670	0.0503284	-1429.49
1675	0.0503284	-1444.71
1680	0.0503284	-1425.67
1685	0.0503284	-1451.02
1690	0.0503284	-1429.39
1695	0.0503284	-1425.01
1700	0.0503284	-1447.46
1705	0.0503284	-1425.41
1710	0.0503284	-1462.69
1715	0.0503284	-1443.04
1720	0.0503284	-1425.49
1725	0.0503284	-1425.49
1730	0.0503284	-1461.67
1735	0.0503284	-1426.29
1740	0.0503284	-1426.56
1745	0.0503284	-1428.14
1750	0.0503284	-1428.4
