state	power	likelihood
1255	1.16658e-302	-212266
1260	1.16658e-302	-398821
1265	1.16658e-302	-220948
1270	1.16658e-302	-27249.8
1275	1.16658e-302	-282432
1280	1.16658e-302	-451818
1285	1.16658e-302	-451818
1290	1.16658e-302	-313293
1295	1.16658e-302	-201318
1300	1.16658e-302	-253409
1305	1.16658e-302	-464246
1310	1.16658e-302	-85865.1
1315	1.16658e-302	-48005
1320	1.16658e-302	-125950
1325	1.16658e-302	-272917
1330	1.16658e-302	-81068.6
1335	1.16658e-302	-14449.6
1340	1.16658e-302	-238980
1345	1.16658e-302	-32054.3
1350	1.16658e-302	-266650
1355	1.16658e-302	-270176
1360	1.16658e-302	-450066
1365	1.16658e-302	-378445
1370	1.16658e-302	-378445
1375	1.16658e-302	-58532
1380	1.16658e-302	-81284.9
1385	1.16658e-302	-69315.3
1390	1.16658e-302	-209988
1395	1.16658e-302	-176585
1400	1.16658e-302	-163994
1405	1.16658e-302	-148172
1410	1.16658e-302	-54887.7
1415	1.16658e-302	-241627
1420	1.16658e-302	-373454
1425	1.16658e-302	-77267.5
1430	1.16658e-302	-378704
1435	1.16658e-302	-414658
1440	1.16658e-302	-340445
1445	1.16658e-302	-223571
1450	1.16658e-302	-1900.96
1455	1.16658e-302	-73405.1
1460	1.16658e-302	-107418
1465	1.16658e-302	-16769.5
1470	1.16658e-302	-47282.6
1475	1.16658e-302	-79897.8
1480	1.16658e-302	-100146
1485	1.16658e-302	-108588
1490	1.16658e-302	-116252
1495	1.16658e-302	-137757
1500	1.16658e-302	-457372
1505	1.16658e-302	-141372
1510	1.16658e-302	-92033.7
1515	1.16658e-302	-102182
1520	1.16658e-302	-7986.07
1525	1.16658e-302	-231878
1530	1.16658e-302	-82664.2
1535	1.16658e-302	-135992
1540	1.16658e-302	-176742
1545	1.16658e-302	-353519
1550	1.16658e-302	-130318
1555	1.16658e-302	-268205
1560	1.16658e-302	-442947
1565	1.16658e-302	-375240
1570	1.16658e-302	-347463
1575	1.16658e-302	-30704.7
1580	1.16658e-302	-178887
1585	1.16658e-302	-143738
1590	1.16658e-302	-274846
1595	1.16658e-302	-406886
1600	1.16658e-302	-182408
1605	1.16658e-302	-182408
1610	1.16658e-302	-97870.7
1615	1.16658e-302	-6556.7
1620	1.16658e-302	-22581.5
1625	1.16658e-302	-128709
1630	1.16658e-302	-462114
1635	1.16658e-302	-248378
1640	1.16658e-302	-297948
1645	1.16658e-302	-254200
1650	1.16658e-302	-65757.8
1655	1.16658e-302	-451049
1660	1.16658e-302	-273589
1665	1.16658e-302	-357905
1670	1.16658e-302	-427871
1675	1.16658e-302	-427871
1680	1.16658e-302	-427871
1685	1.16658e-302	-134335
1690	1.16658e-302	-29668.6
1695	1.16658e-302	-2603.27
1700	1.16658e-302	-168370
1705	1.16658e-302	-329690
1710	1.16658e-302	-24448.5
1715	1.16658e-302	-37032.8
1720	1.16658e-302	-413251
1725	1.16658e-302	-413251
1730	1.16658e-302	-463582
1735	1.16658e-302	-167016
1740	1.16658e-302	-266361
1745	1.16658e-302	-167973
1750	1.16658e-302	-167973
1755	1.16658e-302	-69552.4
1760	1.16658e-302	-422691
1765	1.16658e-302	-235881
1770	1.16658e-302	-175016
1775	1.16658e-302	-154191
1780	1.16658e-302	-169243
1785	1.16658e-302	-440457
1790	1.16658e-302	-440457
1795	1.16658e-302	-213630
1800	1.16658e-302	-120427
1805	1.16658e-302	-360678
1810	1.16658e-302	-360678
1815	1.16658e-302	-391310
1820	1.16658e-302	-224524
1825	1.16658e-302	-224524
1830	1.16658e-302	-102020
1835	1.16658e-302	-33246.5
1840	1.16658e-302	-363727
1845	1.16658e-302	-214629
1850	1.16658e-302	-306803
1855	1.16658e-302	-347363
1860	1.16658e-302	-298865
1865	1.16658e-302	-359091
1870	1.16658e-302	-327856
1875	1.16658e-302	-210977
1880	1.16658e-302	-302665
1885	1.16658e-302	-166962
1890	1.16658e-302	-113989
1895	1.16658e-302	-254934
1900	1.16658e-302	-252903
1905	1.16658e-302	-279972
1910	1.16658e-302	-88379.4
1915	1.16658e-302	-456128
1920	1.16658e-302	-266490
1925	1.16658e-302	-14632.7
1930	1.16658e-302	-23846.4
1935	1.16658e-302	-18946.5
1940	1.16658e-302	-445527
1945	1.16658e-302	-32331.7
1950	1.16658e-302	-120109
1955	1.16658e-302	-326955
1960	1.16658e-302	-258915
1965	1.16658e-302	-258915
1970	1.16658e-302	-390948
1975	1.16658e-302	-197023
1980	1.16658e-302	-104907
1985	1.16658e-302	-160031
1990	1.16658e-302	-431115
1995	1.16658e-302	-330062
2000	1.16658e-302	-198363
2005	1.16658e-302	-452161
2010	1.16658e-302	-452161
2015	1.16658e-302	-452161
2020	1.16658e-302	-183572
2025	1.16658e-302	-294784
2030	1.16658e-302	-289486
2035	1.16658e-302	-461593
2040	1.16658e-302	-461593
2045	1.16658e-302	-467754
2050	1.16658e-302	-372724
2055	1.16658e-302	-85509.8
2060	1.16658e-302	-301845
2065	1.16658e-302	-340298
2070	1.16658e-302	-122909
2075	1.16658e-302	-304535
2080	1.16658e-302	-407469
2085	1.16658e-302	-163375
2090	1.16658e-302	-139270
2095	1.16658e-302	-189060
2100	1.16658e-302	-346933
2105	1.16658e-302	-323969
2110	1.16658e-302	-457215
2115	1.16658e-302	-61588.8
