Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
11	-16961.43	-16972.98	11.54866	0.0295286	0.168638	0.0481307	0.176158	0.144871	0.109141	0.242725	0.0688434	0.106567	0.0789915	0.0933422	0.0821537	0.119359	0.11149	0.141376	0.162925	0.0445027	0.0985935	0.115497	0.099306	0.0820797	0.0702493	0.034654	0.0701231	0.0608805	0.0442314	0.0316568	0.0275416	0.0435313	0.0152907	0.019423	0.056414	0.0204242	0.0270432	0.0695242	0.0359436	0.117928	0.0128726	0.0585704	0.104941	0.0148396	0.0216386	0.0521008	3.334042
12	-16782.87	-16794.03	11.15151	0.0386471	0.168638	0.0481307	0.176158	0.144871	0.142549	0.242725	0.0722011	0.106567	0.0789915	0.0707045	0.0821537	0.0985132	0.11149	0.122112	0.162925	0.0550602	0.0985935	0.115497	0.099306	0.0820797	0.0702493	0.0610322	0.0701231	0.0738297	0.0376124	0.0316568	0.0275416	0.0435313	0.0152907	0.019423	0.056414	0.0290862	0.0270432	0.0695242	0.0359436	0.117928	0.0175247	0.0585704	0.104941	0.0148396	0.0216386	0.0521008	3.373757
13	-16725.46	-16736.86	11.40685	0.0415906	0.149968	0.0481307	0.131892	0.144871	0.142549	0.242725	0.0810919	0.106567	0.0789915	0.0790891	0.0821537	0.0985132	0.11149	0.135918	0.125957	0.0550602	0.0985935	0.115497	0.099306	0.0820797	0.0777476	0.0837443	0.0701231	0.0564109	0.0376124	0.0316568	0.0407978	0.0435313	0.024479	0.019423	0.049579	0.0290862	0.0270432	0.072528	0.0359436	0.117928	0.0175247	0.0585704	0.104941	0.0148396	0.0216386	0.0610404	3.348223
14	-16446.46	-16458.18	11.71138	0.0415906	0.0974243	0.0481307	0.131892	0.144871	0.14598	0.242725	0.0810919	0.106567	0.0789915	0.0790891	0.0821537	0.0985132	0.089762	0.131592	0.125957	0.0550602	0.10156	0.115497	0.099306	0.0820797	0.0777476	0.171748	0.0511026	0.0564109	0.0376124	0.0289018	0.0407978	0.0435313	0.024479	0.0136892	0.0206659	0.0407422	0.0270432	0.072528	0.0359436	0.105053	0.0175247	0.0585704	0.104941	0.0236007	0.0289296	0.0563728	3.31777
15	-16368.98	-16382.31	13.3304	0.0453684	0.0974243	0.0481307	0.131892	0.109151	0.14598	0.162496	0.0810919	0.106567	0.0789915	0.0790891	0.0761701	0.0985132	0.089762	0.113844	0.125957	0.0550602	0.10156	0.120038	0.099306	0.0831311	0.0777476	0.171748	0.0526628	0.0564109	0.0326197	0.0289018	0.0407978	0.0435313	0.03288	0.018055	0.0161305	0.0372295	0.0270432	0.0424565	0.0359436	0.105053	0.0175247	0.0585704	0.104941	0.0286175	0.0208791	0.0566	3.155868
16	-16302.29	-16315.09	12.799	0.0479277	0.0974243	0.0481307	0.0899841	0.139342	0.14598	0.162496	0.100481	0.106434	0.11086	0.0790891	0.0761701	0.0985132	0.0881833	0.113844	0.133857	0.0550602	0.10156	0.120038	0.099306	0.0831311	0.0900443	0.19539	0.0538028	0.0580868	0.0326197	0.0289018	0.0407978	0.0435313	0.03288	0.0232361	0.0152	0.0372295	0.0233913	0.0424565	0.0359436	0.0763734	0.0175247	0.0585704	0.0938048	0.0286175	0.0208791	0.0619161	3.209008
17	-16198.83	-16211.94	13.11345	0.0479277	0.0974243	0.0679062	0.113534	0.139607	0.14598	0.132424	0.0784956	0.106434	0.11086	0.0790891	0.0761701	0.0985132	0.0881833	0.113844	0.133857	0.0550602	0.113207	0.120038	0.099306	0.0831311	0.0900443	0.19539	0.0538028	0.0548247	0.0235097	0.0289018	0.0407978	0.0355884	0.03288	0.0238159	0.020006	0.0372295	0.0382581	0.0424565	0.0359436	0.0666097	0.0156146	0.0360317	0.0938048	0.0286175	0.020529	0.0619161	3.177563
18	-16046.43	-16059.39	12.95725	0.0479277	0.0974243	0.0679062	0.113534	0.13248	0.134514	0.164076	0.0784956	0.106434	0.11086	0.0790891	0.0761701	0.0985132	0.0881833	0.113844	0.133857	0.0818306	0.113207	0.120038	0.099306	0.0831311	0.07841	0.19539	0.0591763	0.0548247	0.0274486	0.0289018	0.0407978	0.0355884	0.0277982	0.0238159	0.020006	0.0372295	0.0439351	0.0424565	0.0286888	0.0666097	0.0173467	0.0360317	0.0752838	0.0332457	0.0278237	0.0515529	3.193182
19	-15911.16	-15924.18	13.01786	0.0919175	0.0974243	0.0919822	0.113534	0.13248	0.134514	0.114949	0.0784956	0.106434	0.11086	0.0744044	0.0761701	0.106826	0.0845661	0.113844	0.133857	0.0818306	0.104525	0.11159	0.099306	0.0877681	0.07841	0.19539	0.0591763	0.0482021	0.0274486	0.0289018	0.0407978	0.0355884	0.0208561	0.0238159	0.0206343	0.0292714	0.0421274	0.0424565	0.0286888	0.0666097	0.0173467	0.0360317	0.0752838	0.0332457	0.0380091	0.0515529	3.187122
20	-15873.87	-15886.07	12.20101	0.0919175	0.0974243	0.0919822	0.113534	0.13248	0.0898944	0.141971	0.0784956	0.0917379	0.147628	0.0784363	0.0761701	0.110902	0.0845661	0.113844	0.133857	0.0818306	0.103943	0.125293	0.099306	0.0877681	0.07841	0.19539	0.0608964	0.0482021	0.0374641	0.0289018	0.0588084	0.0512607	0.0237209	0.0256457	0.0206343	0.0383571	0.0421274	0.0424565	0.0405915	0.0503613	0.018475	0.0360317	0.0752838	0.0332457	0.0380091	0.0515529	3.268807
