Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-21874.46	-21865.1	-9.367805	0.0239616	0.0788991	0.0269481	0.0319925	0.0017934	0.0761446	0.173929	0.604043	0.0836856	0.151868	0.729289	0.00304062	0.0538057	0.058696	0.070256	0.119456	0.0165882	0.632217	1.66646e-05	0.178277	0.0261049	0.0667361	0.0442346	0.0623772	0.0127263	0.130022	0.314701	0.00841262	0.311101	0.0699096	0.104702	0.00309686	0.131755	0.484169	0.23249	0.00287049	0.067629	0.0100679	0.144709	0.00202166	0.00463033	0.0302236	0.0460905	5.425688
1	-20420.69	-20412.28	-8.411122	0.0239616	0.0788991	0.0269481	0.0319925	0.0017934	0.0761446	0.173553	0.604043	0.12935	0.15003	0.729289	0.00411117	0.0538057	0.058696	0.070256	0.173763	0.0168806	0.397999	1.66646e-05	0.178277	0.0261049	0.0734407	0.0442346	0.0485971	0.0199809	0.130022	0.294622	0.00862191	0.311101	0.0699096	0.0700304	0.00319517	0.131755	0.484169	0.23249	0.00498309	0.067629	0.0100679	0.237039	0.00202166	0.00551642	0.028589	0.0460905	5.33002
2	-19586.48	-19581.17	-5.309182	0.0331911	0.0788991	0.0269481	0.0333624	0.0017934	0.0761446	0.173553	0.604043	0.191047	0.15003	0.476812	0.00588806	0.0538057	0.0655139	0.090732	0.173763	0.021702	0.397999	2.10788e-05	0.178277	0.0261049	0.0939861	0.0442346	0.0485971	0.0199809	0.140899	0.20486	0.00599627	0.311101	0.0699096	0.0700304	0.00389286	0.131755	0.418137	0.187587	0.00772226	0.067629	0.0146104	0.237039	0.00142982	0.00611905	0.028589	0.0460905	5.019826
3	-18898.81	-18898.76	-0.04790051	0.0432797	0.0681991	0.0269481	0.0333624	0.0017934	0.0762462	0.162491	0.432776	0.191047	0.15003	0.190692	0.00588806	0.0538057	0.0655139	0.090732	0.173763	0.021702	0.397999	2.72849e-05	0.178277	0.0261049	0.104652	0.0442346	0.0485971	0.0199809	0.140899	0.152679	0.00599627	0.311101	0.0699096	0.0700304	0.00389286	0.208818	0.418137	0.164491	0.00823216	0.0700491	0.0139011	0.161997	0.00109784	0.00964431	0.028589	0.0460905	4.493698
4	-18533.38	-18533.89	0.5018359	0.0658359	0.0681991	0.0269481	0.0429707	0.00272778	0.0762462	0.162491	0.432776	0.309871	0.15003	0.190692	0.00588806	0.0840099	0.0972795	0.090732	0.173763	0.021702	0.397999	2.72849e-05	0.178277	0.0261049	0.10201	0.0449613	0.0485971	0.0199809	0.160423	0.107046	0.00599627	0.311101	0.050613	0.0700304	0.00416707	0.151573	0.313634	0.164491	0.00502909	0.0700491	0.016683	0.102185	0.00156075	0.0158491	0.039705	0.0284682	4.438724
5	-18103.56	-18104.58	1.013425	0.0658359	0.0681991	0.0408083	0.0429707	0.00272778	0.0895288	0.162491	0.432776	0.309871	0.15003	0.208878	0.00588806	0.138118	0.146044	0.090732	0.174378	0.021702	0.25572	2.72858e-05	0.178277	0.0254246	0.10201	0.0493993	0.033549	0.0199809	0.160423	0.107046	0.00695058	0.281006	0.0485597	0.0700304	0.00416707	0.131078	0.313634	0.164491	0.00502909	0.0700491	0.0119034	0.102185	0.00156075	0.0259122	0.039705	0.0284682	4.387565
6	-17739.57	-17745.51	5.935124	0.0658359	0.0681991	0.0514656	0.0672712	0.00355109	0.0895288	0.162491	0.290024	0.309871	0.15003	0.154929	0.00776681	0.138118	0.146044	0.090732	0.174378	0.021702	0.177873	3.42398e-05	0.113521	0.0353225	0.10201	0.0493993	0.033549	0.0326546	0.160423	0.0634147	0.00688325	0.219527	0.048245	0.053127	0.00434497	0.0832236	0.313634	0.139458	0.00421253	0.0700491	0.0119034	0.102185	0.00156075	0.0259122	0.0225214	0.0284682	3.895396
7	-17608.89	-17616.43	7.538281	0.0658359	0.0681991	0.0514656	0.0672712	0.00355109	0.0895288	0.162491	0.266723	0.223456	0.15003	0.154929	0.00776681	0.167244	0.0909425	0.090732	0.174378	0.021702	0.177873	2.2006e-05	0.113521	0.0353225	0.106448	0.0784182	0.033549	0.0326546	0.160423	0.0724962	0.00680595	0.22144	0.048245	0.0447974	0.00377945	0.0832236	0.234129	0.117942	0.00493516	0.0700491	0.0210976	0.102185	0.00156075	0.0456426	0.0338058	0.0284682	3.73508
8	-17523.9	-17531.76	7.85376	0.0658359	0.104845	0.0632388	0.0672712	0.00533075	0.0895288	0.162491	0.266723	0.238946	0.15003	0.079365	0.00776681	0.167244	0.0909425	0.090732	0.174378	0.0295693	0.177873	1.62924e-05	0.113521	0.0353225	0.106448	0.079042	0.033549	0.0326546	0.160423	0.0724962	0.00909441	0.22144	0.048245	0.0447974	0.00495705	0.0832236	0.234129	0.0967472	0.0048736	0.0700491	0.0279337	0.0910962	0.00261356	0.0364742	0.0338058	0.0284682	3.703532
9	-17176.43	-17183.85	7.416372	0.0973813	0.0958705	0.0798389	0.0895444	0.00551954	0.0895288	0.160324	0.164163	0.250849	0.15003	0.079365	0.0108141	0.167244	0.0909425	0.145872	0.174378	0.0394409	0.177873	1.62924e-05	0.113521	0.0406007	0.0929031	0.079042	0.033549	0.0410447	0.160423	0.0724962	0.0135459	0.22144	0.048245	0.0447974	0.00495705	0.0832236	0.234129	0.0967472	0.0048736	0.0719954	0.0415803	0.0593445	0.00409415	0.0534501	0.0338058	0.0284682	3.747271
10	-17001.79	-17012.01	10.22589	0.0973813	0.0958705	0.0870398	0.0895444	0.00551954	0.116647	0.160324	0.0980047	0.204539	0.15003	0.102703	0.0108141	0.127714	0.0909425	0.145872	0.143656	0.0394409	0.128617	2.50893e-05	0.113521	0.0406007	0.0929031	0.079042	0.0274851	0.0410447	0.160423	0.0724962	0.0135459	0.22144	0.048245	0.0447974	0.00495705	0.0832236	0.16755	0.0610594	0.0048736	0.0719954	0.0415803	0.0593445	0.00640111	0.0534501	0.0236526	0.0380029	3.466319
11	-16947.05	-16957.22	10.17234	0.149118	0.084606	0.0944533	0.0895444	0.00551954	0.116647	0.156681	0.0980047	0.137202	0.15003	0.102703	0.0108141	0.127714	0.144579	0.145872	0.143656	0.0394409	0.128617	2.6702e-05	0.113521	0.0406007	0.0929031	0.079042	0.0274851	0.0410447	0.189539	0.0724962	0.0135621	0.170678	0.0321175	0.0447974	0.00495705	0.0832236	0.16755	0.0610594	0.0048736	0.0644665	0.0444317	0.0593445	0.00640111	0.0534501	0.0334048	0.0454972	3.471674
12	-16881.08	-16891.8	10.71988	0.149118	0.084606	0.0944533	0.0895444	0.00788922	0.116647	0.156681	0.0980047	0.137202	0.15003	0.102703	0.0118663	0.127714	0.144579	0.145872	0.143656	0.0394409	0.125703	2.06842e-05	0.0782704	0.0420834	0.0863766	0.079042	0.0344617	0.0410447	0.189539	0.0724962	0.0172836	0.170678	0.0250959	0.0447974	0.00495705	0.0746786	0.16755	0.0610594	0.0105787	0.066892	0.0237989	0.0593445	0.00880976	0.0534501	0.0334048	0.0454972	3.416919
13	-16715.5	-16726.28	10.7865	0.14468	0.084606	0.0944533	0.103216	0.00788922	0.116647	0.156681	0.0857971	0.101141	0.15003	0.102703	0.0118663	0.127714	0.144579	0.145872	0.143656	0.0394409	0.122776	2.06842e-05	0.12208	0.0420834	0.0863766	0.079042	0.0335865	0.0410447	0.189539	0.0519253	0.0172836	0.170678	0.0250959	0.0602652	0.0048773	0.0746786	0.130534	0.0567931	0.0105787	0.066892	0.03902	0.0575355	0.0191986	0.0534501	0.0334048	0.0605256	3.410258
14	-16573.74	-16584.71	10.97124	0.14468	0.0934896	0.0944533	0.103216	0.00788922	0.116647	0.156681	0.0717083	0.101141	0.15003	0.102703	0.0153489	0.0833367	0.144579	0.145872	0.135315	0.0798189	0.122776	2.06842e-05	0.12208	0.0420834	0.0863766	0.116005	0.0335865	0.0410447	0.189539	0.0519253	0.0188908	0.170678	0.0158897	0.0602652	0.0102221	0.0548043	0.0880251	0.0567931	0.0139783	0.066892	0.03902	0.0575355	0.017837	0.0534501	0.05463	0.0605256	3.391783
15	-16522.71	-16534.13	11.4286	0.14468	0.0934896	0.0887073	0.103216	0.0117674	0.116647	0.156681	0.0717083	0.111639	0.15003	0.102703	0.0153489	0.0833367	0.144579	0.145872	0.135315	0.0805752	0.122776	2.06842e-05	0.12208	0.0636402	0.0863766	0.116005	0.0350313	0.0410447	0.189539	0.0345394	0.0188908	0.170678	0.0157483	0.0602652	0.00820139	0.0548043	0.0834266	0.0382748	0.0139783	0.066892	0.0339189	0.0369617	0.017837	0.0534501	0.05463	0.0507422	3.346048
16	-16510.3	-16521.93	11.63339	0.14468	0.113095	0.0887073	0.103216	0.0117674	0.116647	0.139616	0.0717083	0.0933836	0.129369	0.102703	0.0153489	0.107362	0.144579	0.145872	0.135315	0.0805752	0.122776	2.06842e-05	0.12208	0.0636402	0.0863766	0.156662	0.0220677	0.0410447	0.189539	0.0345394	0.0188908	0.170678	0.0113795	0.0602652	0.00765362	0.0345161	0.0834266	0.0382748	0.0139783	0.0562741	0.0339189	0.0369617	0.017837	0.0534501	0.05463	0.0507422	3.325569
17	-16466.38	-16478.92	12.5385	0.14468	0.0950043	0.0887073	0.0792854	0.0117674	0.116647	0.139616	0.0717083	0.0933836	0.106513	0.102703	0.0153489	0.107362	0.0976612	0.145872	0.122283	0.0805752	0.122776	2.06842e-05	0.0863787	0.0636402	0.0863766	0.156662	0.0183703	0.0410447	0.189539	0.0345394	0.0188908	0.191993	0.0120035	0.0621593	0.0098836	0.0345161	0.0834266	0.0355715	0.0139783	0.0751807	0.0339189	0.0400548	0.017837	0.0534501	0.05463	0.0790973	3.235058
18	-16410.59	-16423.1	12.50851	0.14468	0.13096	0.0887073	0.0911009	0.0117674	0.116647	0.139616	0.0717083	0.0933836	0.150126	0.102703	0.0173457	0.107362	0.0976612	0.145872	0.122283	0.0805752	0.122776	2.06842e-05	0.108611	0.0636402	0.0890129	0.144929	0.0183703	0.0410447	0.130718	0.0345394	0.0219035	0.191993	0.0120035	0.0621593	0.0112696	0.0329478	0.0614371	0.0217225	0.0243164	0.0751807	0.0339189	0.0400548	0.0215163	0.0360209	0.05463	0.0708215	3.238057
19	-16320.68	-16333.17	12.48981	0.14468	0.13096	0.0887073	0.0911009	0.0168422	0.116647	0.139616	0.0717083	0.0933836	0.150126	0.102703	0.0243863	0.107362	0.0976612	0.143519	0.134868	0.105321	0.122776	2.06842e-05	0.0861867	0.0636402	0.0890129	0.144929	0.0313245	0.0410447	0.130718	0.0345394	0.032383	0.153969	0.0120035	0.0621593	0.0112696	0.0329478	0.0489583	0.0217225	0.0243164	0.0751807	0.0339189	0.0307061	0.0351347	0.0360209	0.05463	0.0708215	3.239927
20	-16277.08	-16289.03	11.956	0.14468	0.13096	0.0887073	0.0911009	0.0250835	0.107363	0.139616	0.0717083	0.0933836	0.150126	0.117897	0.0243863	0.107362	0.0976612	0.143519	0.130128	0.105321	0.128319	1.71961e-05	0.0861867	0.0814399	0.0885685	0.144929	0.0313245	0.0315017	0.132629	0.0345394	0.032383	0.153969	0.0136906	0.0621593	0.0226926	0.0329478	0.0489583	0.0217225	0.0292048	0.0813374	0.0339189	0.0352591	0.0351347	0.0360209	0.05463	0.0708215	3.293308
21	-16241.58	-16253.53	11.95268	0.14468	0.120208	0.102862	0.0911009	0.0256724	0.107363	0.139616	0.0717083	0.0933836	0.150126	0.117897	0.0357637	0.107362	0.0976612	0.143519	0.130128	0.148757	0.128319	1.78636e-05	0.0861867	0.0814399	0.0949208	0.144929	0.0208333	0.0363413	0.132629	0.0326669	0.032383	0.153969	0.0201862	0.0432334	0.0304152	0.0347287	0.032569	0.0299939	0.0292048	0.0543084	0.0209525	0.0352591	0.0351347	0.0360209	0.0438505	0.0753394	3.29364
22	-16225.03	-16236.72	11.68301	0.14468	0.120208	0.103512	0.0911009	0.0256724	0.107363	0.139616	0.0717083	0.106234	0.150126	0.0719728	0.0391745	0.107362	0.0976612	0.143519	0.125745	0.148757	0.128319	1.32197e-05	0.0881577	0.0814399	0.0949208	0.144929	0.0224586	0.0363413	0.132629	0.0276684	0.032383	0.191514	0.0201862	0.0425436	0.0325011	0.0347287	0.0384554	0.0299939	0.047305	0.0543084	0.0325019	0.0234691	0.0360096	0.0360209	0.0438505	0.0735452	3.320607
23	-16222.56	-16234.63	12.06308	0.14468	0.120208	0.0942096	0.0911009	0.0256724	0.109617	0.139616	0.0717083	0.106234	0.150126	0.0719728	0.0489075	0.107362	0.0976612	0.134947	0.125745	0.11545	0.128319	1.32197e-05	0.0868185	0.0814399	0.105298	0.17107	0.0222792	0.0363413	0.101356	0.0276684	0.032383	0.191514	0.0201862	0.0592309	0.0325011	0.0304567	0.0384554	0.0209276	0.047305	0.0432801	0.0325019	0.0286109	0.0360096	0.0360209	0.0438505	0.0735452	3.2826
24	-16206.66	-16218.32	11.65194	0.14468	0.103058	0.0942096	0.109115	0.0256724	0.109617	0.139616	0.0803124	0.106234	0.150126	0.0719728	0.0489075	0.107362	0.0976612	0.134947	0.13018	0.148239	0.141756	1.32197e-05	0.0868185	0.0814399	0.0944078	0.17107	0.0222792	0.0363413	0.101356	0.0276684	0.0368278	0.191514	0.0201862	0.0454654	0.0392772	0.0406421	0.0363944	0.0209276	0.047305	0.0432801	0.0270806	0.0173658	0.0351163	0.044603	0.0391232	0.0735452	3.323714
